"Name","PlayDataId","PlayData","PlayDataType","ConditionType","ConditionTypeValue1","ConditionTypeValue2","AchievementState"
"47","4304","몬스터 처치 등급 몬스터 횟수","43","21","3","0","0"
"48","4305","몬스터 처치 등급 몬스터 횟수","43","21","4","0","0"
"50","43002","분노한 오마왕 처치","43","26","110030002","0","0"
"56","43101","비천비곡 귀마벽력도 (필드보스)","43","26","1000202","0","0"
"57","43102","뱀골비곡 천마귀룡 (필드보스)","43","26","1000203","0","0"
"58","43103","적월비곡 귀주마령 (필드보스)","43","26","1000204","0","0"
"59","43104","몽촌비곡 아수라천 (필드보스)","43","26","1000205","0","0"
"60","43105","숨겨진제단 토벌 (천혈강시 처치)","43","26","110033005","0","0"
"61","43106","사북형장 토벌 (좌장군 황웅 처치)","43","26","110033201","0","0"
"62","43107","귀화망량 보스토벌 (귀화망량 처치)","43","26","110032201","0","0"
"63","43108","토용장군 보스토벌 (토용장군 처치)","43","26","110034005","0","0"
"66","43111","마방진5층 우면귀견수 처치","43","26","202005201","0","0"
"67","43112","마방진5층 불사귀수 처치","43","26","202005191","0","0"
"68","43113","비정봉5층 홍갑혈마 처치","43","26","201541104","0","0"
"69","43114","비정봉5층 혈의몽코 처치","43","26","201541105","0","0"
"70","43115","마방진6층 오마막군왕 처치","43","26","202006201","0","0"
"71","43116","마방진6층 오마군주 처치","43","26","202006191","0","0"
"72","43117","비정봉6층 불괴흑치 처치","43","26","201551104","0","0"
"73","43118","비정봉6층 괴수고혈마 처치","43","26","201551105","0","0"
"74","43119","사귀감옥 토벌 (클리어)","76","27","200501940","0","0"
"75","43120","보스토벌 아수라천 (클리어)","76","27","200501950","0","0"
"76","43121","지옥토벌 호패마왕 (클리어)","76","27","200610002","0","0"
"77","43122","지옥토벌 염화수장 (클리어)","76","27","200610001","0","0"
"78","43123","보스토벌 옥혈귀마 (클리어)","76","27","200601020","0","0"
"79","43124","토벌 잊혀진 투기장 (클리어)","76","27","200501960","0","0"
"80","43125","지옥토벌 광혈괴마 (클리어)","76","27","200610004","0","0"
"81","43126","보스토벌 오마패왕천 (클리어)","76","27","200501970","0","0"
"82","43127","문파원정 흡혼마수 (클리어)","76","27","200251670","0","0"
"83","4401","퀘스트 진행 퀘스트 타입 횟수","44","22","1","0","0"
"84","4402","퀘스트 진행 퀘스트 타입 횟수","44","22","2","0","0"
"85","4403","퀘스트 진행 퀘스트 타입 횟수","44","22","3","0","0"
"86","4405","퀘스트 진행 퀘스트 타입 횟수","44","22","5","0","0"
"87","44000","지정 퀘스트 완료","44","56","6","4220600","0"
"88","44001","지정 퀘스트 완료","44","56","6","4220100","0"
"89","44002","지정 퀘스트 완료","44","56","6","4220700","0"
"90","44003","지정 퀘스트 완료","44","56","6","4220800","0"
"91","44004","지정 퀘스트 완료","44","56","6","4220200","0"
"92","44005","지정 퀘스트 완료","44","56","6","4220300","0"
"93","44006","지정 퀘스트 완료","44","56","6","4220900","0"
"94","44007","지정 퀘스트 완료","44","56","6","4220400","0"
"95","44008","지정 퀘스트 완료","44","56","6","4237400","0"
"96","44009","지정 퀘스트 완료","44","56","6","4236800","0"
"97","44010","지정 퀘스트 완료","44","56","6","4231600","0"
"98","44011","지정 퀘스트 완료","44","56","6","4238600","0"
"99","44012","지정 퀘스트 완료","44","56","6","4221800","0"
"100","44132","지정 스테이지 퀘스트 완료 횟수","44","27","10010","2","0"
"101","44501","수락 받은 지역의 의뢰 완료 횟수","74","45","101003010","0","0"
"102","44503","수락 받은 지역의 의뢰 완료 횟수","74","45","101001010","0","0"
"103","44504","수락 받은 지역의 의뢰 완료 횟수","74","45","101003030","0","0"
"104","44506","수락 받은 지역의 의뢰 완료 횟수","74","45","103003010","0","0"
"105","44507","수락 받은 지역의 의뢰 완료 횟수","74","45","105001010","0","0"
"106","44508","수락 받은 지역의 의뢰 완료 횟수","74","45","105001020","0","0"
"107","44509","수락 받은 지역의 의뢰 완료 횟수","74","45","105002010","0","0"
"108","44510","수락 받은 지역의 의뢰 완료 횟수","74","45","105002020","0","0"
"109","44511","수락 받은 지역의 의뢰 완료 횟수","74","45","105002050","0","0"
"110","44512","수락 받은 지역의 의뢰 완료 횟수","74","45","106001010","0","0"
"111","44513","수락 받은 지역의 의뢰 완료 횟수","74","45","107001010","0","0"
"112","44514","수락 받은 지역의 의뢰 완료 횟수","74","45","107001020","0","0"
"113","44515","수락 받은 지역의 의뢰 완료 횟수","74","45","107003010","0","0"
"114","44516","수락 받은 지역의 의뢰 완료 횟수","74","45","109001010","0","0"
"115","44517","수락 받은 지역의 의뢰 완료 횟수","74","45","109001020","0","0"
"116","44518","수락 받은 지역의 의뢰 완료 횟수","74","45","110001010","0","0"
"117","44519","수락 받은 지역의 의뢰 완료 횟수","74","45","110500010","0","0"
"118","44520","수락 받은 지역의 의뢰 완료 횟수","74","45","110500020","0","0"
"119","44521","수락 받은 지역의 의뢰 완료 횟수","74","45","301001020","0","0"
"120","44522","수락 받은 지역의 의뢰 완료 횟수","74","45","301001010","0","0"
"121","4501","정예 스테이지 진입 횟수","45","19","11","0","0"
"122","4502","고대미궁 진입 횟수","45","19","12","0","0"
"123","4503","마방진 진입 횟수","45","19","103","0","0"
"124","4504","결투장 진입 횟수","45","19","105","0","0"
"125","4505","비곡 진입 횟수","45","19","13","0","0"
"126","4506","점령전 진입 횟수","45","19","21","0","0"
"127","4510","비정봉 진입 횟수","45","19","104","0","0"
"128","4511","문파원정 진입 횟수","45","19","52","0","0"
"129","4512","보스토벌 진입 횟수","45","19","101","0","0"
"130","14241","등급 아이템 획득","14","24","2","0","0"
"131","14242","등급 아이템 획득","14","24","3","0","0"
"132","14243","등급 아이템 획득","14","24","4","0","0"
"133","14244","등급 아이템 획득","14","24","5","0","0"
"134","14245","등급 아이템 획득","14","24","6","0","0"
"135","14246","등급 아이템 획득","14","24","7","0","0"
"136","49311","모든 내공 오픈","49","32","0","0","0"
"137","49312","내공 오픈","49","31","1001","0","0"
"138","49313","내공 오픈","49","31","1002","0","0"
"139","49314","내공 오픈","49","31","1003","0","0"
"140","50311","모든 내공 레벨","50","32","0","0","0"
"141","50312","내공 레벨","50","31","1001","0","0"
"142","50313","내공 레벨","50","31","1002","0","0"
"143","50314","내공 레벨","50","31","1003","0","0"
"144","51311","모든 내공 단계 업","51","32","0","0","0"
"145","51312","내공 단계 업","51","31","1001","0","0"
"146","51313","내공 단계 업","51","31","1002","0","0"
"147","51314","내공 단계 업","51","31","1003","0","0"
"148","2501","스킬 강화 횟수","25","1","0","0","0"
"149","3203","영약 승급 단계 증가","32","1","0","0","0"
"150","3310","영약 복용 진행 횟수","33","49","0","0","0"
"151","5501","문파 창설 횟수","55","1","0","0","0"
"152","5601","문파 가입 횟수","56","1","0","0","0"
"153","42301","지정 스테이지 클리어 횟수","73","27","200255010","0","0"
"154","42302","지정 스테이지 클리어 횟수","73","27","200255020","0","0"
"155","42303","지정 스테이지 클리어 횟수","73","27","200255030","0","0"
"156","42401","문파원정 청염마제 (클리어)","76","27","200251650","0","0"
"157","42402","문파원정 혈사갈 (클리어)","76","27","200251660","0","0"
"158","7801","위업의 탑 레벨 달성","78","3","1000000","0","0"
"159","7802","대장간 레벨 달성","78","3","2000000","0","0"
"160","7803","광산 레벨 달성","78","3","3000000","0","0"
"161","7804","천년목 레벨 달성","78","3","4000000","0","0"
"162","7805","폐관동굴 레벨 달성","78","3","5000000","0","0"
"163","7806","무혼의 탑 레벨 달성","78","3","6000000","0","0"
"164","7807","승리의 탑 레벨 달성","78","3","7000000","0","0"
"165","7808","성역의 사원 레벨 달성","78","3","8000000","0","0"
"166","7809","정령의 문 레벨 달성","78","3","9000000","0","0"
"167","7903","내공 n성 달성 총합","79","3","0","0","0"
"168","25207","특정 등급의 모든장비 레벨 달성","72","1","0","2","0"
"169","60411","모든 고급 장비 1티어 제작","80","41","1","0","0"
"170","61411","고급 무기 장비 1티어 제작","81","41","1","0","0"
"171","61412","고급 무기 장비 2티어 제작","81","41","2","0","0"
"172","62411","고급 방어구 장비 1티어 제작","82","41","1","0","0"
"173","62412","고급 방어구(상의) 1티어 제작","82","41","1","1","0"
"174","63411","고급 장신구 장비 1티어 제작","83","41","1","0","0"
"176","9201","공성전 진행 횟수","92","1","0","0","0"
"177","9202","공성전 승리 횟수","92","34","0","0","0"
"178","9203","공성전 랭킹 점수","92","51","0","0","1"
"179","9204","공성전 승리 문파의 문주 체크","92","54","0","0","0"
"180","10401","사북쟁패(황제) 승리 문파의 문주 체크","104","54","0","0","0"
"181","9401","비곡점령 진행 횟수","94","1","0","0","0"
"182","9402","비곡점령 승리 횟수","94","34","0","0","0"
"183","100014","전설 등급 정령 획득","84","1","5","0","0"
"184","100033","정령석 합성 횟수","86","1","17","1","0"
"185","100040","봉인해제 횟수","87","1","0","0","0"
"186","100050","[이은] 두루마리 완료 횟수","88","1","1001","0","0"
"187","100051","[홍약사] 두루마리 완료 횟수","88","1","1002","0","0"
"188","100052","[손덕] 두루마리 완료 횟수","88","1","1003","0","0"
"189","100053","[마원지] 두루마리 완료 횟수","88","1","1004","0","0"
"190","100054","[복양저] 두루마리 완료 횟수","88","1","1005","0","0"
"191","100055","[왕산해] 두루마리 완료 횟수","88","1","1006","0","0"
"192","100056","[오셰르] 두루마리 완료 횟수","88","1","1007","0","0"
"193","100057","[아라] 두루마리 완료 횟수","88","1","1008","0","0"
"194","100058","[호룡이] 두루마리 완료 횟수","88","1","1009","0","0"
"195","100070","캐릭터 모든 보감(컬렉션) 완성 횟수","89","1","0","0","0"
"196","100080","문파 지원 횟수","90","1","0","0","0"
"197","100090","문파 발전 기부(협력) 횟수","91","1","0","0","0"
"198","100100","타입 오브젝트 채집","24","28","5","12","0"
"199","100101","타입 오브젝트 채집","24","28","1","0","0"
"200","100102","타입 오브젝트 채집","24","28","2","0","0"
"201","100103","타입 오브젝트 채집","24","28","4","0","0"
"202","100110","정령석 획득 횟수","14","8","17","1","0"
"203","100120","체질 승급 횟수","32","1","0","0","0"
"204","100140","스테이지 클리어 스테이지 타입 횟수","42","19","102","0","0"
"205","100141","스테이지 클리어 스테이지 타입 횟수","42","19","101","0","0"
"206","100142","스테이지 클리어 스테이지 타입 횟수","42","19","52","0","0"
"207","100161","역근경 승급 횟수","51","31","1001","0","0"
"208","100162","구음진경 승급 횟수","51","31","1002","0","0"
"209","100163","구양신공 승급 횟수","51","31","1003","0","0"
"210","100164","내공 단계 업","51","31","1004","0","0"
"211","100165","내공 단계 업","51","31","1005","0","0"
"212","100166","내공 단계 업","51","31","1006","0","0"
"213","100190","레벨 달성","2","3","0","0","1"
"214","100210","문파 창설/가입 횟수","93","1","0","0","0"
"215","100220","정령 초월 진행 횟수","96","49","0","0","0"
"216","100231","마석 초월 진행 횟수","97","49","0","0","0"
"217","100232","마석 초월 성공 횟수","97","12","0","0","0"
"218","100233","마석 초월 실패 횟수","97","13","0","0","0"
"219","100241","폐관수련 진행 횟수","98","49","0","0","0"
"220","100242","폐관수련 성공 횟수","98","12","0","0","0"
"221","100243","폐관수련 실패 횟수","98","13","0","0","0"
"222","100250","폐관수련 총합 등급 (최대)","98","55","0","0","0"
"223","100261","정령 보물 초월 진행 횟수","99","49","0","0","0"
"224","100262","정령 보물 초월 성공 횟수","99","12","0","0","0"
"225","100263","정령 보물 초월 실패 횟수","99","13","0","0","0"
"226","100301","성물 단계 달성","53","3","1","0","0"
"227","100302","성물 단계 달성","53","3","2","0","0"
"228","100303","성물 단계 달성","53","3","3","0","0"
"229","100304","성물 단계 달성","53","3","4","0","0"
"230","100305","성물 단계 달성","53","3","5","0","0"
"236","550012","은행골 임무 모두 완료","44","50","10101","0","0"
"237","550014","비천현 임무 모두 완료","44","50","10108","0","0"
"238","550016","오마유적 1층 임무 모두 완료","44","50","10112","0","0"
"239","550021","우면숲 임무 모두 완료","44","50","10201","0","0"
"240","550022","우마신전 임무 모두 완료","44","50","10203","0","0"
"241","550025","뱀골 임무 모두 완료","44","50","10303","0","0"
"242","550026","절명곡 임무 모두 완료","44","50","10308","0","0"
"243","550033","폐광 임무 모두 완료","44","50","10404","0","0"
"244","550035","비밀광산 임무 모두 완료","44","50","10408","0","0"
"245","550038","서천 교역지 임무 모두 완료","44","50","10411","0","0"
"246","550039","환목림 임무 모두 완료","44","50","10501","0","0"
"247","550040","천도봉 하층 임무 모두 완료","44","50","10504","0","0"
"248","550041","적월산 임무 모두 완료","44","50","10601","0","0"
"249","550051","사요평원 임무 모두 완료","44","50","10305","0","0"
"250","550061","신월사막 임무 모두 완료","44","50","10702","0","0"
"251","550062","사막길 임무 모두 완료","44","50","10701","0","0"
"252","550063","사북현 임무 모두 완료","44","50","10704","0","0"
"253","550064","개미굴 1층, 2층 임무 모두 완료","44","50","10703","0","0"
"254","550065","석각묘 1층 임무 모두 완료","44","50","10811","0","0"
"255","550066","석각묘 2층 임무 모두 완료","44","50","10812","0","0"
"256","550067","석각묘 3층 임무 모두 완료","44","50","10813","0","0"
"257","550068","검지 1~2층 임무 모두 완료","44","50","10831","0","0"
"258","550069","협곡 절벽길 임무 모두 완료","44","50","10930","0","0"
"259","550070","협곡 동굴 임무 모두 완료","44","50","10940","0","0"
"260","550071","사북장벽 (주둔지/보급소/제어실)  임무 모두 완료","44","50","10961","0","0"
"261","550072","구룡빙원 임무 모두 완료","44","50","10010","0","0"
"262","550073","구룡빙궁 임무 모두 완료","44","50","10020","0","0"
"263","550074","주마신전 전층 임무 모두 완료","44","50","10030","0","0"
"264","550075","신기선 내부선실 임무 모두 완료","44","50","11511","0","0"
"265","550076","[1계]우마신전1~3층 임무 모두 완료","44","50","11514","0","0"
"266","550077","신기선 기관실 임무 모두 완료","44","50","11512","0","0"
"267","550078","[8계]폐광1~3층 임무 모두 완료","44","50","11519","0","0"
"268","551002","[정예] 오마의 무덤 1층 임무 모두 완료","44","50","10116","0","0"
"269","551003","[정예] 오마의 무덤 2층 임무 모두 완료","44","50","10117","0","0"
"270","551006","[정예] 우마신전 1층 임무 모두 완료","44","50","10207","0","0"
"271","551008","[정예] 우마신전 3층 임무 모두 완료","44","50","10209","0","0"
"272","551009","[정예] 절명곡 1층 임무 모두 완료","44","50","10312","0","0"
"273","551010","[정예] 절명곡 2층 임무 모두 완료","44","50","10313","0","0"
"274","551011","[정예] 폐광 1층 임무 모두 완료","44","50","10412","0","0"
"275","551013","[정예] 폐광 3층 임무 모두 완료","44","50","10414","0","0"
"276","551014","[정예] 비밀광산 1층 임무 모두 완료","44","50","10415","0","0"
"277","551015","[정예] 비밀광산 2층 임무 모두 완료","44","50","10416","0","0"
"278","551016","[정예] 적월곡 1층,2층,3층 임무 모두 완료","44","50","10611","0","0"
"279","551019","[정예] 천도봉 상층 임무 모두 완료","44","50","10508","0","0"
"280","551020","[정예] 사요평원 임무 모두 완료","44","50","10306","0","0"
"281","551021","[정예] 환목림 임무 모두 완료","44","50","10502","0","0"
"282","551022","[정예] 적월산 임무 모두 완료","44","50","10602","0","0"
"283","551023","[정예] 몽촌사막 임무 모두 완료","44","50","10711","0","0"
"284","551024","[정예] 개미굴 1층 임무 모두 완료","44","50","10712","0","0"
"285","551025","[정예] 개미굴 2층 임무 모두 완료","44","50","10713","0","0"
"286","551026","[정예] 지하감옥 임무 모두 완료","44","50","10714","0","0"
"287","551027","[정예] 석각묘 1층 임무 모두 완료","44","50","10821","0","0"
"288","551028","[정예] 석각묘 2층 임무 모두 완료","44","50","10822","0","0"
"289","551029","[정예] 석각묘 3층 임무 모두 완료","44","50","10823","0","0"
"290","551030","[정예] 검지 1층 임무 모두 완료","44","50","10841","0","0"
"291","551031","[정예] 검지 2층 임무 모두 완료","44","50","10842","0","0"
"292","551032","[정예] 협곡 동굴 임무 모두 완료","44","50","10950","0","0"
"293","551033","[정예] 사북장벽 주둔지 임무 모두 완료","44","50","10971","0","0"
"294","551034","[정예] 사북장벽 보급소 임무 모두 완료","44","50","10972","0","0"
"295","551035","[정예] 사북장벽 제어실 임무 모두 완료","44","50","10973","0","0"
"296","551036","[정예] 주마신전1층 임무 모두 완료","44","50","10050","0","0"
"297","551037","[정예] 주마신전2층 임무 모두 완료","44","50","10051","0","0"
"298","551038","[정예] 주마신전3층 임무 모두 완료","44","50","10052","0","0"
"299","551039","[정예] 구룡빙궁 임무 모두 완료","44","50","10040","0","0"
"300","552001","비천미궁 1층 임무 모두 완료","44","50","10124","0","0"
"301","552002","비천미궁 2층 임무 모두 완료","44","50","10125","0","0"
"302","552003","비천미궁 3층 임무 모두 완료","44","50","10126","0","0"
"303","552004","우마미궁 1층 임무 모두 완료","44","50","10210","0","0"
"304","552005","우마미궁 2층 임무 모두 완료","44","50","10211","0","0"
"305","552006","우마미궁 3층 임무 모두 완료","44","50","10212","0","0"
"306","552007","뱀골미궁 1층 임무 모두 완료","44","50","10318","0","0"
"307","552008","뱀골미궁 2층 임무 모두 완료","44","50","10319","0","0"
"308","552009","뱀골미궁 3층 임무 모두 완료","44","50","10320","0","0"
"309","552010","폐광미궁 1층 임무 모두 완료","44","50","10417","0","0"
"310","552011","폐광미궁 2층 임무 모두 완료","44","50","10418","0","0"
"311","552012","폐광미궁 3층 임무 모두 완료","44","50","10419","0","0"
"312","552013","천도미궁 1층 임무 모두 완료","44","50","10509","0","0"
"313","552014","천도미궁 2층 임무 모두 완료","44","50","10510","0","0"
"314","552015","천도미궁 3층 임무 모두 완료","44","50","10511","0","0"
"315","552016","몽촌미궁 1층 임무 모두 완료","44","50","10731","0","0"
"316","552017","몽촌미궁 2층 임무 모두 완료","44","50","10732","0","0"
"317","552018","몽촌미궁 3층 임무 모두 완료","44","50","10733","0","0"
"318","552019","몽촌미궁 4층 임무 모두 완료","44","50","10734","0","0"
"319","552020","석각미궁 1층 임무 모두 완료","44","50","10851","0","0"
"320","552021","석각미궁 2층 임무 모두 완료","44","50","10852","0","0"
"321","552022","석각미궁 3층 임무 모두 완료","44","50","10853","0","0"
"322","552023","석각미궁 4층 임무 모두 완료","44","50","10854","0","0"
"323","552024","사북미궁 1층 임무 모두 완료","44","50","10921","0","0"
"324","552025","사북미궁 2층 임무 모두 완료","44","50","10922","0","0"
"325","552026","사북미궁 3층 임무 모두 완료","44","50","10923","0","0"
"326","552027","사북미궁 4층 임무 모두 완료","44","50","10924","0","0"
"327","552028","구룡미궁 1층 임무 모두 완료","44","50","10060","0","0"
"328","552029","구룡미궁 2층 임무 모두 완료","44","50","10061","0","0"
"329","552030","구룡미궁 3층 임무 모두 완료","44","50","10062","0","0"
"330","552031","구룡미궁 4층 임무 모두 완료","44","50","10063","0","0"
"331","553001","비천비곡 1층 임무 모두 완료","44","50","10120","0","0"
"332","553002","비천비곡 2층 임무 모두 완료","44","50","10121","0","0"
"333","553004","비천비곡 4층 임무 모두 완료","44","50","10123","0","0"
"334","553005","뱀골비곡 1층 임무 모두 완료","44","50","10314","0","0"
"335","553006","뱀골비곡 2층 임무 모두 완료","44","50","10315","0","0"
"336","553007","뱀골비곡 3층 임무 모두 완료","44","50","10316","0","0"
"337","553008","뱀골비곡 4층 임무 모두 완료","44","50","10317","0","0"
"338","553009","적월비곡 1층 임무 모두 완료","44","50","10614","0","0"
"339","553010","적월비곡 2층 임무 모두 완료","44","50","10615","0","0"
"340","553011","적월비곡 3층 임무 모두 완료","44","50","10616","0","0"
"341","553012","적월비곡 4층 임무 모두 완료","44","50","10617","0","0"
"342","553013","오마유적 2층 임무 모두 완료","44","50","10113","0","0"
"343","553015","천도봉 상층 임무 모두 완료","44","50","10524","0","0"
"344","553016","몽촌비곡 1층 임무 모두 완료","44","50","10861","0","0"
"345","553017","몽촌비곡 2층 임무 모두 완료","44","50","10862","0","0"
"346","553018","몽촌비곡 3층 임무 모두 완료","44","50","10863","0","0"
"347","553019","몽촌비곡 4층 임무 모두 완료","44","50","10864","0","0"
"348","553020","주마비곡 1층 임무 모두 완료","44","50","10070","0","0"
"349","553021","주마비곡 2층 임무 모두 완료","44","50","10071","0","0"
"350","553022","주마비곡 3층 임무 모두 완료","44","50","10072","0","0"
"351","553023","주마비곡 4층 임무 모두 완료","44","50","10073","0","0"
