"Name","UniqueID","TrainingStatusId","TrainingLevel","AttributeType","AttributeValue","Training_NeedCostId","Training_NeedCostCount","Training_NeedUse01Id","Training_NeedItem01Count","Training_NeedUse02Id","Training_NeedItem02Count","Training_Success","Training_Fail","Training_CriticalFail","CriticalFail_Down1Level","CriticalFail_Down2Level","CriticalFail_Down3Level","CriticalFail_Down4Level","CriticalFail_Down5Level","Slot_Bg_Grade"
"1010205","1010205","10102","5","42","250","11","10000","517000412","1","501000024","3","3000","4500","2500","8000","2000","0","0","0","4"
"1010206","1010206","10102","6","42","300","11","10000","517000412","1","501000024","3","2500","4500","3000","6000","3500","500","0","0","4"
"1010207","1010207","10102","7","42","350","11","10000","517000412","1","501000024","3","2000","4500","3500","6000","3500","500","0","0","4"
"1010208","1010208","10102","8","42","400","11","10000","517000412","1","501000024","3","1500","4500","4000","6000","3500","500","0","0","4"
"1010209","1010209","10102","9","42","450","11","50000","517000413","1","501000025","2","1000","4500","4500","6000","3500","500","0","0","5"
"1010210","1010210","10102","10","42","500","11","50000","517000413","1","501000025","2","500","4500","5000","6000","3500","500","0","0","5"
"1010301","1010301","10103","1","41","50","11","1000","517000411","1","517000103","5","7000","3000","0","0","0","0","0","0","3"
"1010302","1010302","10103","2","41","100","11","1000","517000411","1","517000103","5","5000","5000","0","0","0","0","0","0","3"
"1010303","1010303","10103","3","41","150","11","1000","517000411","1","517000103","5","4000","5500","500","10000","0","0","0","0","3"
"1010304","1010304","10103","4","41","200","11","1000","517000411","1","517000103","5","3500","5500","1000","9000","1000","0","0","0","3"
"1010305","1010305","10103","5","41","250","11","10000","517000412","1","517000104","3","3000","4500","2500","8000","2000","0","0","0","4"
"1010306","1010306","10103","6","41","300","11","10000","517000412","1","517000104","3","2500","4500","3000","6000","3500","500","0","0","4"
"1010307","1010307","10103","7","41","350","11","10000","517000412","1","517000104","3","2000","4500","3500","6000","3500","500","0","0","4"
"1010308","1010308","10103","8","41","400","11","10000","517000412","1","517000104","3","1500","4500","4000","6000","3500","500","0","0","4"
"1010309","1010309","10103","9","41","450","11","50000","517000413","1","517000105","2","1000","4500","4500","6000","3500","500","0","0","5"
"1010310","1010310","10103","10","41","500","11","50000","517000413","1","517000105","2","500","4500","5000","6000","3500","500","0","0","5"
"1010401","1010401","10104","1","43","50","11","1000","517000411","1","517000203","5","7000","3000","0","0","0","0","0","0","3"
"1010402","1010402","10104","2","43","100","11","1000","517000411","1","517000203","5","5000","5000","0","0","0","0","0","0","3"
"1010403","1010403","10104","3","43","150","11","1000","517000411","1","517000203","5","4000","5500","500","10000","0","0","0","0","3"
"1010404","1010404","10104","4","43","200","11","1000","517000411","1","517000203","5","3500","5500","1000","9000","1000","0","0","0","3"
"1010405","1010405","10104","5","43","250","11","10000","517000412","1","517000204","3","3000","4500","2500","8000","2000","0","0","0","4"
"1010406","1010406","10104","6","43","300","11","10000","517000412","1","517000204","3","2500","4500","3000","6000","3500","500","0","0","4"
"1010407","1010407","10104","7","43","350","11","10000","517000412","1","517000204","3","2000","4500","3500","6000","3500","500","0","0","4"
"1010408","1010408","10104","8","43","400","11","10000","517000412","1","517000204","3","1500","4500","4000","6000","3500","500","0","0","4"
"1010409","1010409","10104","9","43","450","11","50000","517000413","1","517000205","2","1000","4500","4500","6000","3500","500","0","0","5"
"1010410","1010410","10104","10","43","500","11","50000","517000413","1","517000205","2","500","4500","5000","6000","3500","500","0","0","5"
"1010501","1010501","10105","1","89","300","11","1000","517000411","1","501000023","5","7000","3000","0","0","0","0","0","0","3"
"1010502","1010502","10105","2","89","600","11","1000","517000411","1","501000023","5","5000","5000","0","0","0","0","0","0","3"
"1010503","1010503","10105","3","89","900","11","1000","517000411","1","501000023","5","4000","5500","500","10000","0","0","0","0","3"
"1010504","1010504","10105","4","89","1200","11","1000","517000411","1","501000023","5","3500","5500","1000","9000","1000","0","0","0","3"
"1010505","1010505","10105","5","89","1500","11","10000","517000412","1","501000024","3","3000","4500","2500","8000","2000","0","0","0","4"
"1010506","1010506","10105","6","89","1800","11","10000","517000412","1","501000024","3","2500","4500","3000","6000","3500","500","0","0","4"
"1010507","1010507","10105","7","89","2100","11","10000","517000412","1","501000024","3","2000","4500","3500","6000","3500","500","0","0","4"
"1010508","1010508","10105","8","89","2400","11","10000","517000412","1","501000024","3","1500","4500","4000","6000","3500","500","0","0","4"
"1010509","1010509","10105","9","89","2700","11","50000","517000413","1","501000025","2","1000","4500","4500","6000","3500","500","0","0","5"
"1010510","1010510","10105","10","89","3000","11","50000","517000413","1","501000025","2","500","4500","5000","6000","3500","500","0","0","5"
"1010601","1010601","10106","1","82","300","11","1000","517000411","1","501000043","5","7000","3000","0","0","0","0","0","0","3"
"1010602","1010602","10106","2","82","600","11","1000","517000411","1","501000043","5","5000","5000","0","0","0","0","0","0","3"
"1010603","1010603","10106","3","82","900","11","1000","517000411","1","501000043","5","4000","5500","500","10000","0","0","0","0","3"
"1010604","1010604","10106","4","82","1200","11","1000","517000411","1","501000043","5","3500","5500","1000","9000","1000","0","0","0","3"
"1010605","1010605","10106","5","82","1500","11","10000","517000412","1","501000044","3","3000","4500","2500","8000","2000","0","0","0","4"
"1010606","1010606","10106","6","82","1800","11","10000","517000412","1","501000044","3","2500","4500","3000","6000","3500","500","0","0","4"
"1010607","1010607","10106","7","82","2100","11","10000","517000412","1","501000044","3","2000","4500","3500","6000","3500","500","0","0","4"
"1010608","1010608","10106","8","82","2400","11","10000","517000412","1","501000044","3","1500","4500","4000","6000","3500","500","0","0","4"
"1010609","1010609","10106","9","82","2700","11","50000","517000413","1","501000045","2","1000","4500","4500","6000","3500","500","0","0","5"
"1010610","1010610","10106","10","82","3000","11","50000","517000413","1","501000045","2","500","4500","5000","6000","3500","500","0","0","5"
"1010701","1010701","10107","1","84","300","11","1000","517000411","1","517000303","5","7000","3000","0","0","0","0","0","0","3"
"1010702","1010702","10107","2","84","600","11","1000","517000411","1","517000303","5","5000","5000","0","0","0","0","0","0","3"
"1010703","1010703","10107","3","84","900","11","1000","517000411","1","517000303","5","4000","5500","500","10000","0","0","0","0","3"
"1010704","1010704","10107","4","84","1200","11","1000","517000411","1","517000303","5","3500","5500","1000","9000","1000","0","0","0","3"
"1010705","1010705","10107","5","84","1500","11","10000","517000412","1","517000304","3","3000","4500","2500","8000","2000","0","0","0","4"
"1010706","1010706","10107","6","84","1800","11","10000","517000412","1","517000304","3","2500","4500","3000","6000","3500","500","0","0","4"
"1010707","1010707","10107","7","84","2100","11","10000","517000412","1","517000304","3","2000","4500","3500","6000","3500","500","0","0","4"
"1010708","1010708","10107","8","84","2400","11","10000","517000412","1","517000304","3","1500","4500","4000","6000","3500","500","0","0","4"
"1010709","1010709","10107","9","84","2700","11","50000","517000413","1","517000305","2","1000","4500","4500","6000","3500","500","0","0","5"
"1010710","1010710","10107","10","84","3000","11","50000","517000413","1","517000305","2","500","4500","5000","6000","3500","500","0","0","5"
"1010801","1010801","10108","1","93","300","11","1000","517000411","1","517000403","5","7000","3000","0","0","0","0","0","0","3"
"1010802","1010802","10108","2","93","600","11","1000","517000411","1","517000403","5","5000","5000","0","0","0","0","0","0","3"
"1010803","1010803","10108","3","93","900","11","1000","517000411","1","517000403","5","4000","5500","500","10000","0","0","0","0","3"
"1010804","1010804","10108","4","93","1200","11","1000","517000411","1","517000403","5","3500","5500","1000","9000","1000","0","0","0","3"
"1010805","1010805","10108","5","93","1500","11","10000","517000412","1","517000404","3","3000","4500","2500","8000","2000","0","0","0","4"
"1010806","1010806","10108","6","93","1800","11","10000","517000412","1","517000404","3","2500","4500","3000","6000","3500","500","0","0","4"
"1010807","1010807","10108","7","93","2100","11","10000","517000412","1","517000404","3","2000","4500","3500","6000","3500","500","0","0","4"
"1010808","1010808","10108","8","93","2400","11","10000","517000412","1","517000404","3","1500","4500","4000","6000","3500","500","0","0","4"
"1010809","1010809","10108","9","93","2700","11","50000","517000413","1","517000405","2","1000","4500","4500","6000","3500","500","0","0","5"
"1010810","1010810","10108","10","93","3000","11","50000","517000413","1","517000405","2","500","4500","5000","6000","3500","500","0","0","5"
"1020101","1020101","10201","1","119","30","11","1000","517000411","1","501000013","5","7000","3000","0","0","0","0","0","0","3"
"1020102","1020102","10201","2","119","60","11","1000","517000411","1","501000013","5","5000","5000","0","0","0","0","0","0","3"
"1020103","1020103","10201","3","119","90","11","1000","517000411","1","501000013","5","4000","5500","500","10000","0","0","0","0","3"
"1020104","1020104","10201","4","119","120","11","1000","517000411","1","501000013","5","3500","5500","1000","9000","1000","0","0","0","3"
"1020105","1020105","10201","5","119","150","11","10000","517000412","1","501000014","3","3000","4500","2500","8000","2000","0","0","0","4"
"1020106","1020106","10201","6","119","180","11","10000","517000412","1","501000014","3","2500","4500","3000","6000","3500","500","0","0","4"
"1020107","1020107","10201","7","119","210","11","10000","517000412","1","501000014","3","2000","4500","3500","6000","3500","500","0","0","4"
"1020108","1020108","10201","8","119","240","11","10000","517000412","1","501000014","3","1500","4500","4000","6000","3500","500","0","0","4"
"1020109","1020109","10201","9","119","270","11","50000","517000413","1","501000015","2","1000","4500","4500","6000","3500","500","0","0","5"
"1020110","1020110","10201","10","119","300","11","50000","517000413","1","501000015","2","500","4500","5000","6000","3500","500","0","0","5"
"1020201","1020201","10202","1","50","30","11","1000","517000411","1","501000023","5","7000","3000","0","0","0","0","0","0","3"
"1020202","1020202","10202","2","50","60","11","1000","517000411","1","501000023","5","5000","5000","0","0","0","0","0","0","3"
"1020203","1020203","10202","3","50","90","11","1000","517000411","1","501000023","5","4000","5500","500","10000","0","0","0","0","3"
"1020204","1020204","10202","4","50","120","11","1000","517000411","1","501000023","5","3500","5500","1000","9000","1000","0","0","0","3"
"1020205","1020205","10202","5","50","150","11","10000","517000412","1","501000024","3","3000","4500","2500","8000","2000","0","0","0","4"
"1020206","1020206","10202","6","50","180","11","10000","517000412","1","501000024","3","2500","4500","3000","6000","3500","500","0","0","4"
"1020207","1020207","10202","7","50","210","11","10000","517000412","1","501000024","3","2000","4500","3500","6000","3500","500","0","0","4"
"1020208","1020208","10202","8","50","240","11","10000","517000412","1","501000024","3","1500","4500","4000","6000","3500","500","0","0","4"
"1020209","1020209","10202","9","50","270","11","50000","517000413","1","501000025","2","1000","4500","4500","6000","3500","500","0","0","5"
"1020210","1020210","10202","10","50","300","11","50000","517000413","1","501000025","2","500","4500","5000","6000","3500","500","0","0","5"
"1020301","1020301","10203","1","52","30","11","1000","517000411","1","517000103","5","7000","3000","0","0","0","0","0","0","3"
"1020302","1020302","10203","2","52","60","11","1000","517000411","1","517000103","5","5000","5000","0","0","0","0","0","0","3"
"1020303","1020303","10203","3","52","90","11","1000","517000411","1","517000103","5","4000","5500","500","10000","0","0","0","0","3"
"1020304","1020304","10203","4","52","120","11","1000","517000411","1","517000103","5","3500","5500","1000","9000","1000","0","0","0","3"
"1020305","1020305","10203","5","52","150","11","10000","517000412","1","517000104","3","3000","4500","2500","8000","2000","0","0","0","4"
"1020306","1020306","10203","6","52","180","11","10000","517000412","1","517000104","3","2500","4500","3000","6000","3500","500","0","0","4"
"1020307","1020307","10203","7","52","210","11","10000","517000412","1","517000104","3","2000","4500","3500","6000","3500","500","0","0","4"
"1020308","1020308","10203","8","52","240","11","10000","517000412","1","517000104","3","1500","4500","4000","6000","3500","500","0","0","4"
"1020309","1020309","10203","9","52","270","11","50000","517000413","1","517000105","2","1000","4500","4500","6000","3500","500","0","0","5"
"1020310","1020310","10203","10","52","300","11","50000","517000413","1","517000105","2","500","4500","5000","6000","3500","500","0","0","5"
"1020401","1020401","10204","1","48","30","11","1000","517000411","1","517000203","5","7000","3000","0","0","0","0","0","0","3"
"1020402","1020402","10204","2","48","60","11","1000","517000411","1","517000203","5","5000","5000","0","0","0","0","0","0","3"
"1020403","1020403","10204","3","48","90","11","1000","517000411","1","517000203","5","4000","5500","500","10000","0","0","0","0","3"
"1020404","1020404","10204","4","48","120","11","1000","517000411","1","517000203","5","3500","5500","1000","9000","1000","0","0","0","3"
"1020405","1020405","10204","5","48","150","11","10000","517000412","1","517000204","3","3000","4500","2500","8000","2000","0","0","0","4"
"1020406","1020406","10204","6","48","180","11","10000","517000412","1","517000204","3","2500","4500","3000","6000","3500","500","0","0","4"
"1020407","1020407","10204","7","48","210","11","10000","517000412","1","517000204","3","2000","4500","3500","6000","3500","500","0","0","4"
"1020408","1020408","10204","8","48","240","11","10000","517000412","1","517000204","3","1500","4500","4000","6000","3500","500","0","0","4"
"1020409","1020409","10204","9","48","270","11","50000","517000413","1","517000205","2","1000","4500","4500","6000","3500","500","0","0","5"
"1020410","1020410","10204","10","48","300","11","50000","517000413","1","517000205","2","500","4500","5000","6000","3500","500","0","0","5"
"1020501","1020501","10205","1","120","30","11","1000","517000411","1","501000023","5","7000","3000","0","0","0","0","0","0","3"
"1020502","1020502","10205","2","120","60","11","1000","517000411","1","501000023","5","5000","5000","0","0","0","0","0","0","3"
"1020503","1020503","10205","3","120","90","11","1000","517000411","1","501000023","5","4000","5500","500","10000","0","0","0","0","3"
"1020504","1020504","10205","4","120","120","11","1000","517000411","1","501000023","5","3500","5500","1000","9000","1000","0","0","0","3"
"1020505","1020505","10205","5","120","150","11","10000","517000412","1","501000024","3","3000","4500","2500","8000","2000","0","0","0","4"
"1020506","1020506","10205","6","120","180","11","10000","517000412","1","501000024","3","2500","4500","3000","6000","3500","500","0","0","4"
"1020507","1020507","10205","7","120","210","11","10000","517000412","1","501000024","3","2000","4500","3500","6000","3500","500","0","0","4"
"1020508","1020508","10205","8","120","240","11","10000","517000412","1","501000024","3","1500","4500","4000","6000","3500","500","0","0","4"
"1020509","1020509","10205","9","120","270","11","50000","517000413","1","501000025","2","1000","4500","4500","6000","3500","500","0","0","5"
"1020510","1020510","10205","10","120","300","11","50000","517000413","1","501000025","2","500","4500","5000","6000","3500","500","0","0","5"
"1020601","1020601","10206","1","51","30","11","1000","517000411","1","501000043","5","7000","3000","0","0","0","0","0","0","3"
"1020602","1020602","10206","2","51","60","11","1000","517000411","1","501000043","5","5000","5000","0","0","0","0","0","0","3"
"1020603","1020603","10206","3","51","90","11","1000","517000411","1","501000043","5","4000","5500","500","10000","0","0","0","0","3"
"1020604","1020604","10206","4","51","120","11","1000","517000411","1","501000043","5","3500","5500","1000","9000","1000","0","0","0","3"
"1020605","1020605","10206","5","51","150","11","10000","517000412","1","501000044","3","3000","4500","2500","8000","2000","0","0","0","4"
"1020606","1020606","10206","6","51","180","11","10000","517000412","1","501000044","3","2500","4500","3000","6000","3500","500","0","0","4"
"1020607","1020607","10206","7","51","210","11","10000","517000412","1","501000044","3","2000","4500","3500","6000","3500","500","0","0","4"
"1020608","1020608","10206","8","51","240","11","10000","517000412","1","501000044","3","1500","4500","4000","6000","3500","500","0","0","4"
"1020609","1020609","10206","9","51","270","11","50000","517000413","1","501000045","2","1000","4500","4500","6000","3500","500","0","0","5"
"1020610","1020610","10206","10","51","300","11","50000","517000413","1","501000045","2","500","4500","5000","6000","3500","500","0","0","5"
"1020701","1020701","10207","1","53","30","11","1000","517000411","1","517000303","5","7000","3000","0","0","0","0","0","0","3"
"1020702","1020702","10207","2","53","60","11","1000","517000411","1","517000303","5","5000","5000","0","0","0","0","0","0","3"
"1020703","1020703","10207","3","53","90","11","1000","517000411","1","517000303","5","4000","5500","500","10000","0","0","0","0","3"
"1020704","1020704","10207","4","53","120","11","1000","517000411","1","517000303","5","3500","5500","1000","9000","1000","0","0","0","3"
"1020705","1020705","10207","5","53","150","11","10000","517000412","1","517000304","3","3000","4500","2500","8000","2000","0","0","0","4"
"1020706","1020706","10207","6","53","180","11","10000","517000412","1","517000304","3","2500","4500","3000","6000","3500","500","0","0","4"
"1020707","1020707","10207","7","53","210","11","10000","517000412","1","517000304","3","2000","4500","3500","6000","3500","500","0","0","4"
"1020708","1020708","10207","8","53","240","11","10000","517000412","1","517000304","3","1500","4500","4000","6000","3500","500","0","0","4"
"1020709","1020709","10207","9","53","270","11","50000","517000413","1","517000305","2","1000","4500","4500","6000","3500","500","0","0","5"
"1020710","1020710","10207","10","53","300","11","50000","517000413","1","517000305","2","500","4500","5000","6000","3500","500","0","0","5"
"1020801","1020801","10208","1","49","30","11","1000","517000411","1","517000403","5","7000","3000","0","0","0","0","0","0","3"
"1020802","1020802","10208","2","49","60","11","1000","517000411","1","517000403","5","5000","5000","0","0","0","0","0","0","3"
"1020803","1020803","10208","3","49","90","11","1000","517000411","1","517000403","5","4000","5500","500","10000","0","0","0","0","3"
"1020804","1020804","10208","4","49","120","11","1000","517000411","1","517000403","5","3500","5500","1000","9000","1000","0","0","0","3"
"1020805","1020805","10208","5","49","150","11","10000","517000412","1","517000404","3","3000","4500","2500","8000","2000","0","0","0","4"
"1020806","1020806","10208","6","49","180","11","10000","517000412","1","517000404","3","2500","4500","3000","6000","3500","500","0","0","4"
"1020807","1020807","10208","7","49","210","11","10000","517000412","1","517000404","3","2000","4500","3500","6000","3500","500","0","0","4"
"1020808","1020808","10208","8","49","240","11","10000","517000412","1","517000404","3","1500","4500","4000","6000","3500","500","0","0","4"
"1020809","1020809","10208","9","49","270","11","50000","517000413","1","517000405","2","1000","4500","4500","6000","3500","500","0","0","5"
"1020810","1020810","10208","10","49","300","11","50000","517000413","1","517000405","2","500","4500","5000","6000","3500","500","0","0","5"
"1030101","1030101","10301","1","44","25","11","1000","517000411","1","501000013","5","7000","3000","0","0","0","0","0","0","3"
"1030102","1030102","10301","2","44","50","11","1000","517000411","1","501000013","5","5000","5000","0","0","0","0","0","0","3"
"1030103","1030103","10301","3","44","75","11","1000","517000411","1","501000013","5","4000","5500","500","10000","0","0","0","0","3"
"1030104","1030104","10301","4","44","100","11","1000","517000411","1","501000013","5","3500","5500","1000","9000","1000","0","0","0","3"
"1030105","1030105","10301","5","44","125","11","10000","517000412","1","501000014","3","3000","4500","2500","8000","2000","0","0","0","4"
"1030106","1030106","10301","6","44","150","11","10000","517000412","1","501000014","3","2500","4500","3000","6000","3500","500","0","0","4"
"1030107","1030107","10301","7","44","175","11","10000","517000412","1","501000014","3","2000","4500","3500","6000","3500","500","0","0","4"
"1030108","1030108","10301","8","44","200","11","10000","517000412","1","501000014","3","1500","4500","4000","6000","3500","500","0","0","4"
"1030109","1030109","10301","9","44","225","11","50000","517000413","1","501000015","2","1000","4500","4500","6000","3500","500","0","0","5"
"1030110","1030110","10301","10","44","250","11","50000","517000413","1","501000015","2","500","4500","5000","6000","3500","500","0","0","5"
"1030201","1030201","10302","1","45","25","11","1000","517000411","1","501000023","5","7000","3000","0","0","0","0","0","0","3"
"1030202","1030202","10302","2","45","50","11","1000","517000411","1","501000023","5","5000","5000","0","0","0","0","0","0","3"
"1030203","1030203","10302","3","45","75","11","1000","517000411","1","501000023","5","4000","5500","500","10000","0","0","0","0","3"
"1030204","1030204","10302","4","45","100","11","1000","517000411","1","501000023","5","3500","5500","1000","9000","1000","0","0","0","3"
"1030205","1030205","10302","5","45","125","11","10000","517000412","1","501000024","3","3000","4500","2500","8000","2000","0","0","0","4"
"1030206","1030206","10302","6","45","150","11","10000","517000412","1","501000024","3","2500","4500","3000","6000","3500","500","0","0","4"
"1030207","1030207","10302","7","45","175","11","10000","517000412","1","501000024","3","2000","4500","3500","6000","3500","500","0","0","4"
"1030208","1030208","10302","8","45","200","11","10000","517000412","1","501000024","3","1500","4500","4000","6000","3500","500","0","0","4"
"1030209","1030209","10302","9","45","225","11","50000","517000413","1","501000025","2","1000","4500","4500","6000","3500","500","0","0","5"
"1030210","1030210","10302","10","45","250","11","50000","517000413","1","501000025","2","500","4500","5000","6000","3500","500","0","0","5"
"1030301","1030301","10303","1","32","60","11","1000","517000411","1","517000103","5","7000","3000","0","0","0","0","0","0","3"
"1030302","1030302","10303","2","32","120","11","1000","517000411","1","517000103","5","5000","5000","0","0","0","0","0","0","3"
"1030303","1030303","10303","3","32","180","11","1000","517000411","1","517000103","5","4000","5500","500","10000","0","0","0","0","3"
"1030304","1030304","10303","4","32","240","11","1000","517000411","1","517000103","5","3500","5500","1000","9000","1000","0","0","0","3"
"1030305","1030305","10303","5","32","300","11","10000","517000412","1","517000104","3","3000","4500","2500","8000","2000","0","0","0","4"
"1030306","1030306","10303","6","32","360","11","10000","517000412","1","517000104","3","2500","4500","3000","6000","3500","500","0","0","4"
"1030307","1030307","10303","7","32","420","11","10000","517000412","1","517000104","3","2000","4500","3500","6000","3500","500","0","0","4"
"1030308","1030308","10303","8","32","480","11","10000","517000412","1","517000104","3","1500","4500","4000","6000","3500","500","0","0","4"
"1030309","1030309","10303","9","32","540","11","50000","517000413","1","517000105","2","1000","4500","4500","6000","3500","500","0","0","5"
"1030310","1030310","10303","10","32","600","11","50000","517000413","1","517000105","2","500","4500","5000","6000","3500","500","0","0","5"
"1030401","1030401","10304","1","33","60","11","1000","517000411","1","517000203","5","7000","3000","0","0","0","0","0","0","3"
"1030402","1030402","10304","2","33","120","11","1000","517000411","1","517000203","5","5000","5000","0","0","0","0","0","0","3"
"1030403","1030403","10304","3","33","180","11","1000","517000411","1","517000203","5","4000","5500","500","10000","0","0","0","0","3"
"1030404","1030404","10304","4","33","240","11","1000","517000411","1","517000203","5","3500","5500","1000","9000","1000","0","0","0","3"
"1030405","1030405","10304","5","33","300","11","10000","517000412","1","517000204","3","3000","4500","2500","8000","2000","0","0","0","4"
"1030406","1030406","10304","6","33","360","11","10000","517000412","1","517000204","3","2500","4500","3000","6000","3500","500","0","0","4"
"1030407","1030407","10304","7","33","420","11","10000","517000412","1","517000204","3","2000","4500","3500","6000","3500","500","0","0","4"
"1030408","1030408","10304","8","33","480","11","10000","517000412","1","517000204","3","1500","4500","4000","6000","3500","500","0","0","4"
"1030409","1030409","10304","9","33","540","11","50000","517000413","1","517000205","2","1000","4500","4500","6000","3500","500","0","0","5"
"1030410","1030410","10304","10","33","600","11","50000","517000413","1","517000205","2","500","4500","5000","6000","3500","500","0","0","5"
"1030501","1030501","10305","1","34","60","11","1000","517000411","1","501000023","5","7000","3000","0","0","0","0","0","0","3"
"1030502","1030502","10305","2","34","120","11","1000","517000411","1","501000023","5","5000","5000","0","0","0","0","0","0","3"
"1030503","1030503","10305","3","34","180","11","1000","517000411","1","501000023","5","4000","5500","500","10000","0","0","0","0","3"
"1030504","1030504","10305","4","34","240","11","1000","517000411","1","501000023","5","3500","5500","1000","9000","1000","0","0","0","3"
"1030505","1030505","10305","5","34","300","11","10000","517000412","1","501000024","3","3000","4500","2500","8000","2000","0","0","0","4"
"1030506","1030506","10305","6","34","360","11","10000","517000412","1","501000024","3","2500","4500","3000","6000","3500","500","0","0","4"
"1030507","1030507","10305","7","34","420","11","10000","517000412","1","501000024","3","2000","4500","3500","6000","3500","500","0","0","4"
"1030508","1030508","10305","8","34","480","11","10000","517000412","1","501000024","3","1500","4500","4000","6000","3500","500","0","0","4"
"1030509","1030509","10305","9","34","540","11","50000","517000413","1","501000025","2","1000","4500","4500","6000","3500","500","0","0","5"
"1030510","1030510","10305","10","34","600","11","50000","517000413","1","501000025","2","500","4500","5000","6000","3500","500","0","0","5"
"1030601","1030601","10306","1","35","60","11","1000","517000411","1","501000043","5","7000","3000","0","0","0","0","0","0","3"
"1030602","1030602","10306","2","35","120","11","1000","517000411","1","501000043","5","5000","5000","0","0","0","0","0","0","3"
"1030603","1030603","10306","3","35","180","11","1000","517000411","1","501000043","5","4000","5500","500","10000","0","0","0","0","3"
"1030604","1030604","10306","4","35","240","11","1000","517000411","1","501000043","5","3500","5500","1000","9000","1000","0","0","0","3"
"1030605","1030605","10306","5","35","300","11","10000","517000412","1","501000044","3","3000","4500","2500","8000","2000","0","0","0","4"
"1030606","1030606","10306","6","35","360","11","10000","517000412","1","501000044","3","2500","4500","3000","6000","3500","500","0","0","4"
"1030607","1030607","10306","7","35","420","11","10000","517000412","1","501000044","3","2000","4500","3500","6000","3500","500","0","0","4"
"1030608","1030608","10306","8","35","480","11","10000","517000412","1","501000044","3","1500","4500","4000","6000","3500","500","0","0","4"
"1030609","1030609","10306","9","35","540","11","50000","517000413","1","501000045","2","1000","4500","4500","6000","3500","500","0","0","5"
"1030610","1030610","10306","10","35","600","11","50000","517000413","1","501000045","2","500","4500","5000","6000","3500","500","0","0","5"
"1030701","1030701","10307","1","38","20","11","1000","517000411","1","517000303","5","7000","3000","0","0","0","0","0","0","3"
"1030702","1030702","10307","2","38","40","11","1000","517000411","1","517000303","5","5000","5000","0","0","0","0","0","0","3"
"1030703","1030703","10307","3","38","60","11","1000","517000411","1","517000303","5","4000","5500","500","10000","0","0","0","0","3"
"1030704","1030704","10307","4","38","80","11","1000","517000411","1","517000303","5","3500","5500","1000","9000","1000","0","0","0","3"
"1030705","1030705","10307","5","38","100","11","10000","517000412","1","517000304","3","3000","4500","2500","8000","2000","0","0","0","4"
"1030706","1030706","10307","6","38","120","11","10000","517000412","1","517000304","3","2500","4500","3000","6000","3500","500","0","0","4"
"1030707","1030707","10307","7","38","140","11","10000","517000412","1","517000304","3","2000","4500","3500","6000","3500","500","0","0","4"
"1030708","1030708","10307","8","38","160","11","10000","517000412","1","517000304","3","1500","4500","4000","6000","3500","500","0","0","4"
"1030709","1030709","10307","9","38","180","11","50000","517000413","1","517000305","2","1000","4500","4500","6000","3500","500","0","0","5"
"1030710","1030710","10307","10","38","200","11","50000","517000413","1","517000305","2","500","4500","5000","6000","3500","500","0","0","5"
"1030801","1030801","10308","1","39","20","11","1000","517000411","1","517000403","5","7000","3000","0","0","0","0","0","0","3"
"1030802","1030802","10308","2","39","40","11","1000","517000411","1","517000403","5","5000","5000","0","0","0","0","0","0","3"
"1030803","1030803","10308","3","39","60","11","1000","517000411","1","517000403","5","4000","5500","500","10000","0","0","0","0","3"
