"Name","MonsterId","GroupId","NameSid","NameTitleSid","HideLevel","MonsterResourceID","MonColorGroupID","MonScale","GhostShader","Race","MonGrade","WayPointAuto","Level","MonType","MaxHP","PhysicalAttack","MagicAttack","PhysicalDefense","MagicDefense","Accuracy","Dodge","Critical","AvoidCritical","CriticalOutcome","DefCriticalOutcome","MonAttackDamage","MonDefense","DefSmiteSkillDamage","DarkdefenseDamage","SkillDamage","DefSkillDamage","AtkAllDamage","DefAllDamage","StunPer","DefStunPer","KnockDownPer","DefKnockDownPer","SmiteBuffPer","DefSmiteBuffPer","DeBuffPer","DefDeBuffPer","CursePer","DefCursePer","WalkSpeed","RunSpeed","FastRunSpeed","CombatPower","Exp","NameTagDropItemId","DropType","DropItemId","HpStack","PierceBody","UseAppear","BodyCleartime","FSMIndex","FactionType","ViewRange","ActivityRange","ActivityDelayMinSec","ActivityDelayMaxSec","SearchingType","AiIndex","TargetingType","AttackDelayMin","AttackDelayMax","NormalAttackCntMin","NormalAttackCntMax","MonNormalAttack","MonAttack","AttackRate_0","AttackRate_1","AttackRate_2","AttackRate_3","MonNormalLongAttack","LongMonAttack","LongAttackRate_0","LongAttackRate_1","LongAttackRate_2","LongAttackRate_3","TraceGap","AttackRange","LongAttackRange","CapsuleHalfHeight","CapsuleRadius","ServerCapsuleRadius","HitConGrade","StateConGrade","MoveConGrade","SmiteBuffArmor","EffectBuffArmor","NaviMeshType","PartsRadius","SiegeMode","CollectItemId","CollectDropRate","CollectDropCount","MonsterFunctionData","SummonGoblinRate01","GoblinId01","SummonGoblinRate02","GoblinId02","QuestDropId"
"1300003","1300003","0","0","0","1","401622","0","0.82","0","5","5","0","100","4","70000","6637","6637","2684","2684","10000","1398","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","0","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","460","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1300004","1300004","0","6200238","0","1","401622","0","1","0","5","5","0","100","4","70000","6637","6637","2684","2684","10000","1398","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","0","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","550","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1300005","1300005","0","6200239","0","1","401622","0","1","0","5","5","0","100","4","70000","6637","6637","2684","2684","10000","1398","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","0","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","550","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1300006","1300006","0","6200240","0","1","401622","0","1","0","5","5","0","100","4","70000","6637","6637","2684","2684","10000","1398","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","0","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","550","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1300007","1300007","0","6200241","0","1","401622","0","1","0","5","5","0","100","4","70000","6637","6637","2684","2684","10000","1398","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","0","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","550","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1300011","1300011","0","0","0","1","500611","0","1","0","5","1","0","100","4","70000","6637","6637","2684","2684","10000","1398","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","0","0","2","502","0","60000","5000","8","20","0","90000011","0","1","1","4","6","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","380","0","130","100","100","10000","10000","10000","0","0","0","0","0","0","0","0","HideNameTag/Rare","0","0","0","0","(0)"
"1300012","1300012","0","0","0","1","500611","0","1","0","5","1","0","100","4","70000","6637","6637","2684","2684","10000","1398","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","0","0","2","502","0","60000","5000","8","20","0","90000011","0","1","1","4","6","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","380","0","130","100","100","10000","10000","10000","0","0","0","0","0","0","0","0","HideNameTag/Rare","0","0","0","0","(0)"
"1300013","1300013","0","0","0","1","500611","0","1","0","5","1","0","100","4","70000","6637","6637","2684","2684","10000","1398","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","0","0","2","502","0","60000","5000","8","20","0","90000011","0","1","1","4","6","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","380","0","130","100","100","10000","10000","10000","0","0","0","0","0","0","0","0","HideNameTag/Rare","0","0","0","0","(0)"
"1300014","1300014","0","0","0","1","500611","0","1","0","5","1","0","100","4","70000","6637","6637","2684","2684","10000","1398","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","0","0","2","502","0","60000","5000","8","20","0","90000011","0","1","1","4","6","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","380","0","130","100","100","10000","10000","10000","0","0","0","0","0","0","0","0","HideNameTag/Rare","0","0","0","0","(0)"
"1311001","1311001","0","6200201","0","1","401702","0","1","0","5","5","1","100","1","350000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","3500","1","0","2","502","2","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","400","0","350","350","350","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 450","0","0","0","0","(0)"
"1311002","1311002","0","6200202","0","1","401622","0","0.82","0","5","5","1","100","1","70000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","2","120000","120000","8","20","0","90005001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","460","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1311003","1311003","0","6200203","0","1","401652","0","1","0","5","5","1","100","1","42000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","420","1","0","2","502","2","120000","120000","8","20","0","90001001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","350","0","200","200","200","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Collision/Zoffset 200/BodyClearTime 3","0","0","0","0","(0)"
"1312001","1312001","0","6200204","0","1","401702","0","1","0","5","5","1","100","1","350000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","3500","1","0","2","502","2","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","400","0","350","350","350","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 450","0","0","0","0","(0)"
"1312002","1312002","0","6200205","0","1","401622","0","0.82","0","5","5","1","100","1","70000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","2","120000","120000","8","20","0","90005001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","460","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1312003","1312003","0","6200206","0","1","401652","0","1","0","5","5","1","100","1","42000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","420","1","0","2","502","2","120000","120000","8","20","0","90001001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","350","0","200","200","200","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Collision/Zoffset 200/BodyClearTime 3","0","0","0","0","(0)"
"1313001","1313001","0","6200207","0","1","401702","0","1","0","5","5","1","100","1","350000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","3500","1","0","2","502","2","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","400","0","350","350","350","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 450","0","0","0","0","(0)"
"1313002","1313002","0","6200208","0","1","401622","0","0.82","0","5","5","1","100","1","70000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","2","120000","120000","8","20","0","90005001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","460","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1313003","1313003","0","6200209","0","1","401652","0","1","0","5","5","1","100","1","42000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","420","1","0","2","502","2","120000","120000","8","20","0","90001001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","350","0","200","200","200","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Collision/Zoffset 200/BodyClearTime 3","0","0","0","0","(0)"
"1314001","1314001","0","6200210","0","1","401702","0","1","0","5","5","1","100","1","350000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","3500","1","0","2","502","2","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","400","0","350","350","350","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 450","0","0","0","0","(0)"
"1314002","1314002","0","6200211","0","1","401622","0","0.82","0","5","5","1","100","1","70000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","2","120000","120000","8","20","0","90005001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","460","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1314003","1314003","0","6200212","0","1","401652","0","1","0","5","5","1","100","1","42000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","420","1","0","2","502","2","120000","120000","8","20","0","90001001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","350","0","200","200","200","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Collision/Zoffset 200/BodyClearTime 3","0","0","0","0","(0)"
"1315001","1315001","0","6200213","0","1","401702","0","1","0","5","5","1","100","1","350000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","3500","1","0","2","502","2","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","400","0","350","350","350","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 450","0","0","0","0","(0)"
"1315002","1315002","0","6200214","0","1","401622","0","0.82","0","5","5","1","100","1","70000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","2","120000","120000","8","20","0","90005001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","460","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1315003","1315003","0","6200215","0","1","401652","0","1","0","5","5","1","100","1","42000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","420","1","0","2","502","2","120000","120000","8","20","0","90001001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","350","0","200","200","200","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Collision/Zoffset 200/BodyClearTime 3","0","0","0","0","(0)"
"1316001","1316001","0","6200216","0","1","401702","0","1","0","5","5","1","100","1","350000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","3500","1","0","2","502","2","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","400","0","350","350","350","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 450","0","0","0","0","(0)"
"1316002","1316002","0","6200217","0","1","401622","0","0.82","0","5","5","1","100","1","70000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","2","120000","120000","8","20","0","90005001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","460","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1316003","1316003","0","6200218","0","1","401652","0","1","0","5","5","1","100","1","42000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","420","1","0","2","502","2","120000","120000","8","20","0","90001001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","350","0","200","200","200","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Collision/Zoffset 200/BodyClearTime 3","0","0","0","0","(0)"
"1317001","1317001","0","6200219","0","1","401702","0","1","0","5","5","1","100","1","350000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","3500","1","0","2","502","2","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","400","0","350","350","350","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 450","0","0","0","0","(0)"
"1317002","1317002","0","6200220","0","1","401622","0","0.82","0","5","5","1","100","1","70000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","700","1","0","2","502","2","120000","120000","8","20","0","90005001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","460","0","500","500","500","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 280/BodyClearTime 3","0","0","0","0","(0)"
"1317003","1317003","0","6200221","0","1","401652","0","1","0","5","5","1","100","1","42000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","420","1","0","2","502","2","120000","120000","8","20","0","90001001","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","350","0","200","200","200","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Collision/Zoffset 200/BodyClearTime 3","0","0","0","0","(0)"
"1318001","1318001","0","6200222","0","1","401702","0","1","0","5","5","1","100","1","350000","6637","6637","2684","2684","10000","1396","1073","900000","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","3500","1","0","2","502","2","120000","120000","8","20","0","0","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","400","0","350","350","350","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon/Zoffset 450","0","0","0","0","(0)"
