"Name","RowId","ClassID","StepGrade","MaxLv","CapNeedLevel","CapMaterialUseId1","CapMaterialUseId1Count","CapMaterialUseId2","CapMaterialUseId2Count","CapMaterialUseId3","CapMaterialUseId3Count","CapMaterialUseId4","CapMaterialUseId4Count","CapStepCostType","CapStepCost","CapStepStatus1","CapStepStatus1Value","CapStepStatus2","CapStepStatus2Value","CapStepStatus3","CapStepStatus3Value","CapStepStatus4","CapStepStatus4Value","CapStepStatus5","CapStepStatus5Value","CapStepStatus6","CapStepStatus6Value","CapStepStatus7","CapStepStatus7Value","CapStepStatus8","CapStepStatus8Value"
"215","215","2","15","75","110","701000105","36","701000205","36","701000305","18","701000405","12","2","4000000","24","168","26","168","1","2800","6","560","29","112","28","112","22","252","0","0"
"216","216","2","16","80","115","701000105","48","701000205","48","701000305","24","701000405","16","2","4500000","24","180","26","180","1","3000","6","600","29","120","28","120","22","270","0","0"
"217","217","2","17","85","120","701000105","60","701000205","60","701000305","30","701000405","20","2","5000000","24","192","26","192","1","3200","6","640","29","128","28","128","22","288","0","0"
"218","218","2","18","90","125","701000105","72","701000205","72","701000305","36","701000405","24","2","6000000","24","204","26","204","1","3400","6","680","29","136","28","136","22","306","0","0"
"219","219","2","19","95","130","701000105","84","701000205","84","701000305","42","701000405","28","2","7000000","24","216","26","216","1","3600","6","720","29","144","28","144","22","324","0","0"
"220","220","2","20","100","135","701000105","96","701000205","96","701000305","48","701000405","32","2","8000000","24","228","26","228","1","3800","6","760","29","152","28","152","22","342","0","0"
"221","221","2","21","105","140","701000105","108","701000205","108","701000305","54","701000405","36","2","9000000","24","240","26","240","1","4000","6","800","29","160","28","160","22","360","0","0"
"31","31","3","1","5","0","0","0","0","0","0","0","0","0","0","0","24","0","26","0","1","0","6","0","29","0","28","0","20","0","22","0"
"32","32","3","2","10","0","701000101","10","701000201","10","701000301","5","701000401","2","2","4000","24","12","26","12","1","200","6","40","29","8","28","8","20","18","22","18"
"33","33","3","3","15","0","701000102","10","701000202","10","701000302","5","701000402","2","2","10000","24","24","26","24","1","400","6","80","29","16","28","16","20","36","22","36"
"34","34","3","4","20","0","701000102","30","701000202","30","701000302","15","701000402","6","2","30000","24","36","26","36","1","600","6","120","29","24","28","24","20","54","22","54"
"35","35","3","5","25","0","701000103","10","701000203","10","701000303","5","701000403","3","2","60000","24","48","26","48","1","800","6","160","29","32","28","32","20","72","22","72"
"36","36","3","6","30","0","701000103","30","701000203","30","701000303","10","701000403","6","2","100000","24","60","26","60","1","1000","6","200","29","40","28","40","20","90","22","90"
"37","37","3","7","35","0","701000103","50","701000203","50","701000303","20","701000403","9","2","150000","24","72","26","72","1","1200","6","240","29","48","28","48","20","108","22","108"
"38","38","3","8","40","0","701000104","6","701000204","6","701000304","3","701000404","2","2","500000","24","84","26","84","1","1400","6","280","29","56","28","56","20","126","22","126"
"39","39","3","9","45","0","701000104","12","701000204","12","701000304","6","701000404","3","2","800000","24","96","26","96","1","1600","6","320","29","64","28","64","20","144","22","144"
"310","310","3","10","50","0","701000104","20","701000204","20","701000304","10","701000404","5","2","1200000","24","108","26","108","1","1800","6","360","29","72","28","72","20","162","22","162"
"311","311","3","11","55","0","701000104","40","701000204","40","701000304","20","701000404","10","2","2000000","24","120","26","120","1","2000","6","400","29","80","28","80","20","180","22","180"
"312","312","3","12","60","95","701000104","80","701000204","80","701000304","40","701000404","20","2","2500000","24","132","26","132","1","2200","6","440","29","88","28","88","20","198","22","198"
"313","313","3","13","65","100","701000105","12","701000205","12","701000305","6","701000405","4","2","3000000","24","144","26","144","1","2400","6","480","29","96","28","96","20","216","22","216"
"314","314","3","14","70","105","701000105","24","701000205","24","701000305","12","701000405","8","2","3500000","24","156","26","156","1","2600","6","520","29","104","28","104","20","234","22","234"
"315","315","3","15","75","110","701000105","36","701000205","36","701000305","18","701000405","12","2","4000000","24","168","26","168","1","2800","6","560","29","112","28","112","20","252","22","252"
"316","316","3","16","80","115","701000105","48","701000205","48","701000305","24","701000405","16","2","4500000","24","180","26","180","1","3000","6","600","29","120","28","120","20","270","22","270"
"317","317","3","17","85","120","701000105","60","701000205","60","701000305","30","701000405","20","2","5000000","24","192","26","192","1","3200","6","640","29","128","28","128","20","288","22","288"
"318","318","3","18","90","125","701000105","72","701000205","72","701000305","36","701000405","24","2","6000000","24","204","26","204","1","3400","6","680","29","136","28","136","20","306","22","306"
"319","319","3","19","95","130","701000105","84","701000205","84","701000305","42","701000405","28","2","7000000","24","216","26","216","1","3600","6","720","29","144","28","144","20","324","22","324"
"320","320","3","20","100","135","701000105","96","701000205","96","701000305","48","701000405","32","2","8000000","24","228","26","228","1","3800","6","760","29","152","28","152","20","342","22","342"
"321","321","3","21","105","140","701000105","108","701000205","108","701000305","54","701000405","36","2","9000000","24","240","26","240","1","4000","6","800","29","160","28","160","20","360","22","360"
"41","41","4","1","5","0","0","0","0","0","0","0","0","0","0","0","24","0","26","0","1","0","6","0","29","0","28","0","20","0","0","0"
"42","42","4","2","10","0","701000101","10","701000201","10","701000301","5","701000401","2","2","4000","24","12","26","12","1","200","6","40","29","8","28","8","20","18","0","0"
"43","43","4","3","15","0","701000102","10","701000202","10","701000302","5","701000402","2","2","10000","24","24","26","24","1","400","6","80","29","16","28","16","20","36","0","0"
"44","44","4","4","20","0","701000102","30","701000202","30","701000302","15","701000402","6","2","30000","24","36","26","36","1","600","6","120","29","24","28","24","20","54","0","0"
"45","45","4","5","25","0","701000103","10","701000203","10","701000303","5","701000403","3","2","60000","24","48","26","48","1","800","6","160","29","32","28","32","20","72","0","0"
"46","46","4","6","30","0","701000103","30","701000203","30","701000303","10","701000403","6","2","100000","24","60","26","60","1","1000","6","200","29","40","28","40","20","90","0","0"
"47","47","4","7","35","0","701000103","50","701000203","50","701000303","20","701000403","9","2","150000","24","72","26","72","1","1200","6","240","29","48","28","48","20","108","0","0"
"48","48","4","8","40","0","701000104","6","701000204","6","701000304","3","701000404","2","2","500000","24","84","26","84","1","1400","6","280","29","56","28","56","20","126","0","0"
"49","49","4","9","45","0","701000104","12","701000204","12","701000304","6","701000404","3","2","800000","24","96","26","96","1","1600","6","320","29","64","28","64","20","144","0","0"
"410","410","4","10","50","0","701000104","20","701000204","20","701000304","10","701000404","5","2","1200000","24","108","26","108","1","1800","6","360","29","72","28","72","20","162","0","0"
"411","411","4","11","55","0","701000104","40","701000204","40","701000304","20","701000404","10","2","2000000","24","120","26","120","1","2000","6","400","29","80","28","80","20","180","0","0"
"412","412","4","12","60","95","701000104","80","701000204","80","701000304","40","701000404","20","2","2500000","24","132","26","132","1","2200","6","440","29","88","28","88","20","198","0","0"
"413","413","4","13","65","100","701000105","12","701000205","12","701000305","6","701000405","4","2","3000000","24","144","26","144","1","2400","6","480","29","96","28","96","20","216","0","0"
"414","414","4","14","70","105","701000105","24","701000205","24","701000305","12","701000405","8","2","3500000","24","156","26","156","1","2600","6","520","29","104","28","104","20","234","0","0"
"415","415","4","15","75","110","701000105","36","701000205","36","701000305","18","701000405","12","2","4000000","24","168","26","168","1","2800","6","560","29","112","28","112","20","252","0","0"
"416","416","4","16","80","115","701000105","48","701000205","48","701000305","24","701000405","16","2","4500000","24","180","26","180","1","3000","6","600","29","120","28","120","20","270","0","0"
"417","417","4","17","85","120","701000105","60","701000205","60","701000305","30","701000405","20","2","5000000","24","192","26","192","1","3200","6","640","29","128","28","128","20","288","0","0"
"418","418","4","18","90","125","701000105","72","701000205","72","701000305","36","701000405","24","2","6000000","24","204","26","204","1","3400","6","680","29","136","28","136","20","306","0","0"
"419","419","4","19","95","130","701000105","84","701000205","84","701000305","42","701000405","28","2","7000000","24","216","26","216","1","3600","6","720","29","144","28","144","20","324","0","0"
"420","420","4","20","100","135","701000105","96","701000205","96","701000305","48","701000405","32","2","8000000","24","228","26","228","1","3800","6","760","29","152","28","152","20","342","0","0"
"421","421","4","21","105","140","701000105","108","701000205","108","701000305","54","701000405","36","2","9000000","24","240","26","240","1","4000","6","800","29","160","28","160","20","360","0","0"
"51","51","5","1","5","0","0","0","0","0","0","0","0","0","0","0","24","0","26","0","1","0","6","0","29","0","28","0","20","0","22","0"
"52","52","5","2","10","0","701000101","10","701000201","10","701000301","5","701000401","2","2","4000","24","12","26","12","1","200","6","40","29","8","28","8","20","18","22","18"
"53","53","5","3","15","0","701000102","10","701000202","10","701000302","5","701000402","2","2","10000","24","24","26","24","1","400","6","80","29","16","28","16","20","36","22","36"
"54","54","5","4","20","0","701000102","30","701000202","30","701000302","15","701000402","6","2","30000","24","36","26","36","1","600","6","120","29","24","28","24","20","54","22","54"
"55","55","5","5","25","0","701000103","10","701000203","10","701000303","5","701000403","3","2","60000","24","48","26","48","1","800","6","160","29","32","28","32","20","72","22","72"
"56","56","5","6","30","0","701000103","30","701000203","30","701000303","10","701000403","6","2","100000","24","60","26","60","1","1000","6","200","29","40","28","40","20","90","22","90"
"57","57","5","7","35","0","701000103","50","701000203","50","701000303","20","701000403","9","2","150000","24","72","26","72","1","1200","6","240","29","48","28","48","20","108","22","108"
"58","58","5","8","40","0","701000104","6","701000204","6","701000304","3","701000404","2","2","500000","24","84","26","84","1","1400","6","280","29","56","28","56","20","126","22","126"
"59","59","5","9","45","0","701000104","12","701000204","12","701000304","6","701000404","3","2","800000","24","96","26","96","1","1600","6","320","29","64","28","64","20","144","22","144"
"510","510","5","10","50","0","701000104","20","701000204","20","701000304","10","701000404","5","2","1200000","24","108","26","108","1","1800","6","360","29","72","28","72","20","162","22","162"
"511","511","5","11","55","0","701000104","40","701000204","40","701000304","20","701000404","10","2","2000000","24","120","26","120","1","2000","6","400","29","80","28","80","20","180","22","180"
"512","512","5","12","60","95","701000104","80","701000204","80","701000304","40","701000404","20","2","2500000","24","132","26","132","1","2200","6","440","29","88","28","88","20","198","22","198"
"513","513","5","13","65","100","701000105","12","701000205","12","701000305","6","701000405","4","2","3000000","24","144","26","144","1","2400","6","480","29","96","28","96","20","216","22","216"
"514","514","5","14","70","105","701000105","24","701000205","24","701000305","12","701000405","8","2","3500000","24","156","26","156","1","2600","6","520","29","104","28","104","20","234","22","234"
"515","515","5","15","75","110","701000105","36","701000205","36","701000305","18","701000405","12","2","4000000","24","168","26","168","1","2800","6","560","29","112","28","112","20","252","22","252"
"516","516","5","16","80","115","701000105","48","701000205","48","701000305","24","701000405","16","2","4500000","24","180","26","180","1","3000","6","600","29","120","28","120","20","270","22","270"
"517","517","5","17","85","120","701000105","60","701000205","60","701000305","30","701000405","20","2","5000000","24","192","26","192","1","3200","6","640","29","128","28","128","20","288","22","288"
"518","518","5","18","90","125","701000105","72","701000205","72","701000305","36","701000405","24","2","6000000","24","204","26","204","1","3400","6","680","29","136","28","136","20","306","22","306"
"519","519","5","19","95","130","701000105","84","701000205","84","701000305","42","701000405","28","2","7000000","24","216","26","216","1","3600","6","720","29","144","28","144","20","324","22","324"
"520","520","5","20","100","135","701000105","96","701000205","96","701000305","48","701000405","32","2","8000000","24","228","26","228","1","3800","6","760","29","152","28","152","20","342","22","342"
"521","521","5","21","105","140","701000105","108","701000205","108","701000305","54","701000405","36","2","9000000","24","240","26","240","1","4000","6","800","29","160","28","160","20","360","22","360"
"61","61","6","1","5","0","0","0","0","0","0","0","0","0","0","0","24","0","26","0","1","0","6","0","29","0","28","0","22","0","0","0"
"62","62","6","2","10","0","701000101","10","701000201","10","701000301","5","701000401","2","2","4000","24","12","26","12","1","200","6","40","29","8","28","8","22","18","0","0"
"63","63","6","3","15","0","701000102","10","701000202","10","701000302","5","701000402","2","2","10000","24","24","26","24","1","400","6","80","29","16","28","16","22","36","0","0"
"64","64","6","4","20","0","701000102","30","701000202","30","701000302","15","701000402","6","2","30000","24","36","26","36","1","600","6","120","29","24","28","24","22","54","0","0"
"65","65","6","5","25","0","701000103","10","701000203","10","701000303","5","701000403","3","2","60000","24","48","26","48","1","800","6","160","29","32","28","32","22","72","0","0"
"66","66","6","6","30","0","701000103","30","701000203","30","701000303","10","701000403","6","2","100000","24","60","26","60","1","1000","6","200","29","40","28","40","22","90","0","0"
"67","67","6","7","35","0","701000103","50","701000203","50","701000303","20","701000403","9","2","150000","24","72","26","72","1","1200","6","240","29","48","28","48","22","108","0","0"
"68","68","6","8","40","0","701000104","6","701000204","6","701000304","3","701000404","2","2","500000","24","84","26","84","1","1400","6","280","29","56","28","56","22","126","0","0"
"69","69","6","9","45","0","701000104","12","701000204","12","701000304","6","701000404","3","2","800000","24","96","26","96","1","1600","6","320","29","64","28","64","22","144","0","0"
"610","610","6","10","50","0","701000104","20","701000204","20","701000304","10","701000404","5","2","1200000","24","108","26","108","1","1800","6","360","29","72","28","72","22","162","0","0"
"611","611","6","11","55","0","701000104","40","701000204","40","701000304","20","701000404","10","2","2000000","24","120","26","120","1","2000","6","400","29","80","28","80","22","180","0","0"
"612","612","6","12","60","95","701000104","80","701000204","80","701000304","40","701000404","20","2","2500000","24","132","26","132","1","2200","6","440","29","88","28","88","22","198","0","0"
"613","613","6","13","65","100","701000105","12","701000205","12","701000305","6","701000405","4","2","3000000","24","144","26","144","1","2400","6","480","29","96","28","96","22","216","0","0"
"614","614","6","14","70","105","701000105","24","701000205","24","701000305","12","701000405","8","2","3500000","24","156","26","156","1","2600","6","520","29","104","28","104","22","234","0","0"
"615","615","6","15","75","110","701000105","36","701000205","36","701000305","18","701000405","12","2","4000000","24","168","26","168","1","2800","6","560","29","112","28","112","22","252","0","0"
"616","616","6","16","80","115","701000105","48","701000205","48","701000305","24","701000405","16","2","4500000","24","180","26","180","1","3000","6","600","29","120","28","120","22","270","0","0"
"617","617","6","17","85","120","701000105","60","701000205","60","701000305","30","701000405","20","2","5000000","24","192","26","192","1","3200","6","640","29","128","28","128","22","288","0","0"
"618","618","6","18","90","125","701000105","72","701000205","72","701000305","36","701000405","24","2","6000000","24","204","26","204","1","3400","6","680","29","136","28","136","22","306","0","0"
"619","619","6","19","95","130","701000105","84","701000205","84","701000305","42","701000405","28","2","7000000","24","216","26","216","1","3600","6","720","29","144","28","144","22","324","0","0"
"620","620","6","20","100","135","701000105","96","701000205","96","701000305","48","701000405","32","2","8000000","24","228","26","228","1","3800","6","760","29","152","28","152","22","342","0","0"
"621","621","6","21","105","140","701000105","108","701000205","108","701000305","54","701000405","36","2","9000000","24","240","26","240","1","4000","6","800","29","160","28","160","22","360","0","0"
