"Name","ContributeId","ContributeGroup","ContributeGrade","ContributeMin","ContributeMax","ContributeGradeText","RewardType","RewardCnt","ContributeRewardType1","ContributeRewardTypeSub1","ContributeRewardTypeValue1","ContributeRewardType2","ContributeRewardTypeSub2","ContributeRewardTypeValue2","ContributeRewardType3","ContributeRewardTypeSub3","ContributeRewardTypeValue3","ContributeRewardType4","ContributeRewardTypeSub4","ContributeRewardTypeValue4","ContributeRewardType5","ContributeRewardTypeSub5","ContributeRewardTypeValue5","ContributeRewardType6","ContributeRewardTypeSub6","ContributeRewardTypeValue6","ContributeRewardType7","ContributeRewardTypeSub7","ContributeRewardTypeValue7","ContributeRewardType8","ContributeRewardTypeSub8","ContributeRewardTypeValue8","ContributeRewardType9","ContributeRewardTypeSub9","ContributeRewardTypeValue9","ContributeRewardType10","ContributeRewardTypeSub10","ContributeRewardTypeValue10"
"11","11","400","2","2","5","A","17","6000","4","(601202102,601202102,601202102,601202102,601202102,601202102)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","5","4","(603200501,603200501,603200501,603200501,603200501,603200501)","18","4","(603200601,603200601,603200601,603200601,603200601,603200601)","18","4","(602202436,602202436,602202436,602202436,602202436,602202436)","2","1","(18)","1080","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","8","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","25","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","80","0","(0)","0"
"12","12","400","3","6","50","B","17","5000","4","(601202102,601202102,601202102,601202102,601202102,601202102)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","3","4","(603200501,603200501,603200501,603200501,603200501,603200501)","10","4","(603200601,603200601,603200601,603200601,603200601,603200601)","10","4","(602202436,602202436,602202436,602202436,602202436,602202436)","1","1","(18)","540","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","8","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","25","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","80","0","(0)","0"
"13","13","500","1","1","1","S","17","7000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","15","4","(603200501,603200501,603200501,603200501,603200501,603200501)","31","4","(603200601,603200601,603200601,603200601,603200601,603200601)","31","4","(602202436,602202436,602202436,602202436,602202436,602202436)","3","1","(18)","1800","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","10","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","30","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","95","0","(0)","0"
"14","14","500","2","2","5","A","17","6000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","10","4","(603200501,603200501,603200501,603200501,603200501,603200501)","21","4","(603200601,603200601,603200601,603200601,603200601,603200601)","21","4","(602202436,602202436,602202436,602202436,602202436,602202436)","2","1","(18)","1440","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","10","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","30","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","95","0","(0)","0"
"15","15","500","3","6","50","B","17","5000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","5","4","(603200501,603200501,603200501,603200501,603200501,603200501)","12","4","(603200601,603200601,603200601,603200601,603200601,603200601)","12","4","(602202436,602202436,602202436,602202436,602202436,602202436)","1","1","(18)","720","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","10","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","30","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","95","0","(0)","0"
"16","16","600","1","1","1","S","17","7000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","20","4","(603200501,603200501,603200501,603200501,603200501,603200501)","37","4","(603200601,603200601,603200601,603200601,603200601,603200601)","37","4","(602202436,602202436,602202436,602202436,602202436,602202436)","4","1","(18)","1800","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","12","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","35","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","110","0","(0)","0"
"17","17","600","2","2","5","A","17","6000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","15","4","(603200501,603200501,603200501,603200501,603200501,603200501)","26","4","(603200601,603200601,603200601,603200601,603200601,603200601)","26","4","(602202436,602202436,602202436,602202436,602202436,602202436)","3","1","(18)","1440","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","12","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","35","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","110","0","(0)","0"
"18","18","600","3","6","50","B","17","5000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200002,508200002,508200002,508200002,508200002,508200002)","10","4","(603200501,603200501,603200501,603200501,603200501,603200501)","15","4","(603200601,603200601,603200601,603200601,603200601,603200601)","15","4","(602202436,602202436,602202436,602202436,602202436,602202436)","2","1","(18)","720","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","12","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","35","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","110","0","(0)","0"
"19","19","700","1","1","1","S","17","7000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200003,508200003,508200003,508200003,508200003,508200003)","10","4","(603200502,603200502,603200502,603200502,603200502,603200502)","9","4","(603200602,603200602,603200602,603200602,603200602,603200602)","9","4","(602202436,602202436,602202436,602202436,602202436,602202436)","5","1","(18)","1800","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","14","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","40","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","130","0","(0)","0"
"20","20","700","2","2","5","A","17","6000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200003,508200003,508200003,508200003,508200003,508200003)","5","4","(603200502,603200502,603200502,603200502,603200502,603200502)","6","4","(603200602,603200602,603200602,603200602,603200602,603200602)","6","4","(602202436,602202436,602202436,602202436,602202436,602202436)","4","1","(18)","1440","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","14","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","40","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","130","0","(0)","0"
"21","21","700","3","6","50","B","17","5000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200003,508200003,508200003,508200003,508200003,508200003)","3","4","(603200502,603200502,603200502,603200502,603200502,603200502)","3","4","(603200602,603200602,603200602,603200602,603200602,603200602)","3","4","(602202436,602202436,602202436,602202436,602202436,602202436)","3","1","(18)","720","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","14","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","40","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","130","0","(0)","0"
"22","22","800","1","1","1","S","17","7000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200003,508200003,508200003,508200003,508200003,508200003)","15","4","(603200502,603200502,603200502,603200502,603200502,603200502)","12","4","(603200602,603200602,603200602,603200602,603200602,603200602)","12","4","(602202436,602202436,602202436,602202436,602202436,602202436)","10","1","(18)","1800","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","16","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","45","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","150","0","(0)","0"
"23","23","800","2","2","5","A","17","6000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200003,508200003,508200003,508200003,508200003,508200003)","10","4","(603200502,603200502,603200502,603200502,603200502,603200502)","9","4","(603200602,603200602,603200602,603200602,603200602,603200602)","9","4","(602202436,602202436,602202436,602202436,602202436,602202436)","8","1","(18)","1440","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","16","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","45","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","150","0","(0)","0"
"24","24","800","3","6","50","B","17","5000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200003,508200003,508200003,508200003,508200003,508200003)","5","4","(603200502,603200502,603200502,603200502,603200502,603200502)","6","4","(603200602,603200602,603200602,603200602,603200602,603200602)","6","4","(602202436,602202436,602202436,602202436,602202436,602202436)","6","1","(18)","720","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","16","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","45","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","150","0","(0)","0"
"25","25","900","1","1","1","S","17","7000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200003,508200003,508200003,508200003,508200003,508200003)","20","4","(603200502,603200502,603200502,603200502,603200502,603200502)","15","4","(603200602,603200602,603200602,603200602,603200602,603200602)","15","4","(602202436,602202436,602202436,602202436,602202436,602202436)","15","1","(18)","1800","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","18","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","50","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","170","0","(0)","0"
"26","26","900","2","2","5","A","17","6000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200003,508200003,508200003,508200003,508200003,508200003)","15","4","(603200502,603200502,603200502,603200502,603200502,603200502)","12","4","(603200602,603200602,603200602,603200602,603200602,603200602)","12","4","(602202436,602202436,602202436,602202436,602202436,602202436)","12","1","(18)","1440","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","18","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","50","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","170","0","(0)","0"
"27","27","900","3","6","50","B","17","5000","4","(601202103,601202103,601202103,601202103,601202103,601202103)","1","4","(508200003,508200003,508200003,508200003,508200003,508200003)","10","4","(603200502,603200502,603200502,603200502,603200502,603200502)","9","4","(603200602,603200602,603200602,603200602,603200602,603200602)","9","4","(602202436,602202436,602202436,602202436,602202436,602202436)","9","1","(18)","720","4","(1301201407,1301201407,1301201407,1301201407,1301201407,1301201407)","18","4","(1301201406,1301201406,1301201406,1301201406,1301201406,1301201406)","50","4","(1301201410,1301201410,1301201410,1301201410,1301201410,1301201410)","170","0","(0)","0"
