"Name","MonsterCollectId","MonsterId","StageGroupId","StageId","='!명세서'!B15","MonsterGradeIcon","MaxCollectLevel","CollectItemId","CollectItemLevelUpCount1","CollectItemLevelUpCount2","CollectItemLevelUpCount3","CollectItemLevelUpCount4","CollectItemLevelUpCount5","MonsterThumbnail","MonsterRewardType1","MonsterRewardId1","MonsterRewardValue1","MonsterRewardType2","MonsterRewardId2","MonsterRewardValue2","MonsterRewardType3","MonsterRewardId3","MonsterRewardValue3","MonsterRewardType4","MonsterRewardId4","MonsterRewardValue4","MonsterRewardType5","MonsterRewardId5","MonsterRewardValue5"
"1004005","1004005","104002044","1004","101004020","5778,9507,3671","1103","5","131004005","1","2","3","4","5","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1004006","1004006","104002046","1004","101004020","-18375,4634,1400","1102","5","131004006","1","2","3","4","5","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1005001","1005001","104003057","1005","101004030","-18660,-9859,3272","1105","5","131005001","2","4","6","8","10","9","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1005002","1005002","104003058","1005","101004030","20596,-3657,4311","1104","5","131005002","2","4","6","8","10","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1005003","1005003","104003061","1005","101004030","-5689,13421,3154","1103","5","131005003","2","4","6","8","10","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1005004","1005004","104003069","1005","101004030","6450,8200,3470","1102","5","131005004","2","4","6","8","10","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1005005","1005005","104004033","1005","101004040","-14420,-9591,2951","1104","5","131005005","2","4","6","8","10","10","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1005006","1005006","104004054","1005","101004040","-13161,173,1572","1103","5","131005006","2","4","6","8","10","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1005007","1005007","104004056","1005","101004040","6940,-13819,2888","1102","5","131005007","2","4","6","8","10","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1006001","1006001","105001005","1006","102003010","-13178,-26785,4911","1104","5","131006001","2","4","6","8","10","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1006002","1006002","105001036","1006","102003010","-21193,-26713,4917","1104","5","131006002","2","4","6","8","10","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1006003","1006003","105001032","1006","102003010","-27504,1685,5213","1102","5","131006003","2","4","6","8","10","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1006004","1006004","105001031","1006","102003010","-40060,-8650,5360","1102","5","131006004","2","4","6","8","10","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1007001","1007001","105002008","1007","102004010","-39,12,94","1105","5","131007001","2","4","6","8","10","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1007002","1007002","105002023","1007","102004010","13732,-11897,-946","1104","5","131007002","2","4","6","8","10","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1007003","1007003","105002024","1007","102004010","-9351,13169,-941","1103","5","131007003","2","4","6","8","10","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1007004","1007004","105003011","1007","102004040","7312,11540,2164","1105","5","131007004","2","4","6","8","10","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1007005","1007005","105003022","1007","102004040","-1369,578,434","1104","5","131007005","2","4","6","8","10","9","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1007006","1007006","105003033","1007","102004040","-26647,4533,1232","1102","5","131007006","2","4","6","8","10","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1007007","1007007","105005011","1007","102004070","2213,-1938,-99","1104","5","131007007","2","4","6","8","10","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1007008","1007008","105005042","1007","102004070","18153,3854,-377","1103","5","131007008","2","4","6","8","10","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1007009","1007009","105005043","1007","102004070","-13181,17876,155","1102","5","131007009","2","4","6","8","10","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1008001","1008001","106001122","1008","103003010","15487,9400,119","1105","5","131008001","3","6","9","12","15","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1008002","1008002","106001060","1008","103003010","8014,-10538,247","1105","5","131008002","3","6","9","12","15","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1008003","1008003","106001053","1008","103003010","-14940,-10612,369","1104","5","131008003","3","6","9","12","15","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1008004","1008004","106001043","1008","103003010","-4181,-10621,837","1104","5","131008004","3","6","9","12","15","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1009001","1009001","106001079","1009","103003070","18802,9920,1228","1105","5","131009001","3","6","9","12","15","9","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1009002","1009002","106001087","1009","103003070","22809,-24694,3093","1105","5","131009002","3","6","9","12","15","11","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1009003","1009003","106001120","1009","103003070","-13716,-15920,-3747","1104","5","131009003","3","6","9","12","15","10","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1009004","1009004","106001103","1009","103003070","-22151,5410,-372","1103","5","131009004","3","6","9","12","15","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1010001","1010001","106002045","1010","103003020","-13854,-8019,1871","1105","5","131010001","3","6","9","12","15","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1010002","1010002","106002014","1010","103003020","9398,-12552,2116","1105","5","131010002","3","6","9","12","15","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1010003","1010003","106002046","1010","103003020","-11349,-17967,661","1104","5","131010003","3","6","9","12","15","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1010004","1010004","106002047","1010","103003020","28148,6788,-679","1103","5","131010004","3","6","9","12","15","10","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1010005","1010005","106003007","1010","103003030","8350,7879,1920","1105","5","131010005","3","6","9","12","15","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1010006","1010006","106003020","1010","103003030","17534,-6493,2005","1104","5","131010006","3","6","9","12","15","14","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1010007","1010007","106003033","1010","103003030","11653,-892,110","1103","5","131010007","3","6","9","12","15","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1010008","1010008","106003061","1010","103003030","-554,-19944,2459","1102","5","131010008","3","6","9","12","15","9","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1011001","1011001","107001012","1011","104004010","-2237,4664,470","1105","5","131011001","4","8","12","16","20","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1011002","1011002","107001013","1011","104004010","3577,6031,265","1105","5","131011002","4","8","12","16","20","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1011003","1011003","107001008","1011","104004010","1875,825,1180","1104","5","131011003","4","8","12","16","20","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1012001","1012001","107002031","1012","104004050","-8824,-11575,490","1104","5","131012001","4","8","12","16","20","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1012002","1012002","107002005","1012","104004050","-18970,1535,311","1104","5","131012002","4","8","12","16","20","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1012003","1012003","107002009","1012","104004050","17079,-13084,696","1102","5","131012003","4","8","12","16","20","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013001","1013001","107004033","1013","104004040","-11879,12421,4856","1105","5","131013001","4","8","12","16","20","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013002","1013002","107004034","1013","104004040","21494,14823,5124","1105","5","131013002","4","8","12","16","20","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013003","1013003","107004043","1013","104004040","36843,12287,5829","1104","5","131013003","4","8","12","16","20","14","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013004","1013004","107004046","1013","104004040","-20700,-5929,5889","1104","5","131013004","4","8","12","16","20","9","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013005","1013005","107004011","1013","104004040","32907,-18368,6332","1102","5","131013005","4","8","12","16","20","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013006","1013006","107005031","1013","104004090","19535,494,2131","1105","5","131013006","4","8","12","16","20","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013007","1013007","107005030","1013","104004090","-26189,19064,-1197","1105","5","131013007","4","8","12","16","20","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013008","1013008","107005032","1013","104004090","-20579,-12828,966","1104","5","131013008","4","8","12","16","20","10","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013009","1013009","107005051","1013","104004090","-24886,36063,-1065","1104","5","131013009","4","8","12","16","20","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013010","1013010","107005063","1013","104004090","23779,-19480,2722","1103","5","131013010","4","8","12","16","20","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013011","1013011","107006022","1013","104004100","9121,2079,1373","1104","5","131013011","4","8","12","16","20","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013012","1013012","107006027","1013","104004100","-31451,-21041,1689","1103","5","131013012","4","8","12","16","20","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1013013","1013013","107006032","1013","104004100","22348,-22964,561","1103","5","131013013","4","8","12","16","20","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1014001","1014001","109003016","1014","104004070","-8378,466,1200","1104","5","131014001","4","8","12","16","20","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1014002","1014002","109003019","1014","104004070","-6859,13730,2997","1104","5","131014002","4","8","12","16","20","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1014003","1014003","109003022","1014","104004070","18849,14483,1122","1103","5","131014003","4","8","12","16","20","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1014004","1014004","109003040","1014","104004070","34909,-17341,1052","1103","5","131014004","4","8","12","16","20","11","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1014005","1014005","109003048","1014","104004070","13442,25520,76","1103","5","131014005","4","8","12","16","20","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1014006","1014006","109004007","1014","104004060","6229,-5326,-38","1104","5","131014006","4","8","12","16","20","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1014007","1014007","109004013","1014","104004060","8498,11292,179","1104","5","131014007","4","8","12","16","20","14","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1014008","1014008","109004029","1014","104004060","-14560,25260,2432","1103","5","131014008","4","8","12","16","20","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1014009","1014009","109004038","1014","104004060","-1050,-30901,1204","1103","5","131014009","4","8","12","16","20","9","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1015001","1015001","109002003","1015","105001010","-802,6171,1717","1104","5","131015001","4","8","12","16","20","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1015002","1015002","109002009","1015","105001010","3703,-1823,4784","1104","5","131015002","4","8","12","16","20","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1015003","1015003","109002013","1015","105001010","11611,-3971,6250","1103","5","131015003","4","8","12","16","20","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1016001","1016001","205010010","1016","105001020","-8650,-16130,280","1104","5","131016001","4","8","12","16","20","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1016002","1016002","205010028","1016","105001020","-23270,-4520,-10","1104","5","131016002","4","8","12","16","20","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1016003","1016003","205010023","1016","105001020","-7860,13520,480","1103","5","131016003","4","8","12","16","20","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1016004","1016004","205010015","1016","105001020","31380,7150,1040","1103","5","131016004","4","8","12","16","20","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1017001","1017001","205020004","1017","105002010","11860,-5265,915","1103","5","131017001","5","10","15","20","25","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1017002","1017002","205020012","1017","105002010","10750,-14965,-70","1103","5","131017002","5","10","15","20","25","9","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1017003","1017003","205020045","1017","105002010","-1273,10456,-4267","1102","5","131017003","5","10","15","20","25","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1018001","1018001","205050008","1018","105002050","2180,5390,770","1104","5","131018001","5","10","15","20","25","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1018002","1018002","205050016","1018","105002050","13832,-9435,2397","1104","5","131018002","5","10","15","20","25","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1018003","1018003","205050025","1018","105002050","-12372,-12530,2507","1103","5","131018003","5","10","15","20","25","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1018004","1018004","205060002","1018","105002060","-15100,16750,-2840","1104","5","131018004","5","10","15","20","25","14","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1018005","1018005","205060006","1018","105002060","-19130,1160,-2180","1104","5","131018005","5","10","15","20","25","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1018006","1018006","205060013","1018","105002060","7807,12125,-2748","1103","5","131018006","5","10","15","20","25","9","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1018007","1018007","205060026","1018","105002060","12980,-2180,-2620","1102","5","131018007","5","10","15","20","25","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1018008","1018008","205070009","1018","105002070","7100,15420,6170","1104","5","131018008","5","10","15","20","25","16","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1018009","1018009","205070306","1018","105002070","16110,-350,7320","1103","5","131018009","5","10","15","20","25","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1018010","1018010","205070015","1018","105002070","-2170,290,4500","1102","5","131018010","5","10","15","20","25","10","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1018011","1018011","205070021","1018","105002070","-14470,-3630,6035","1102","5","131018011","5","10","15","20","25","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1019001","1019001","206010001","1019","106001010","-17850,5525,-1390","1104","5","131019001","6","12","18","24","30","11","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1019002","1019002","206010005","1019","106001010","-50,11030,-450","1104","5","131019002","6","12","18","24","30","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1019003","1019003","206010009","1019","106001010","17390,1010,2410","1103","5","131019003","6","12","18","24","30","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1019004","1019004","206010022","1019","106001010","16950,-7460,1840","1102","5","131019004","6","12","18","24","30","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1020001","1020001","206040004","1020","106002010","11245,2535,8570","1104","5","131020001","6","12","18","24","30","14","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1020002","1020002","206040010","1020","106002010","-3133,-20621,10270","1104","5","131020002","6","12","18","24","30","11","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1020003","1020003","206040013","1020","106002010","-9120,-1340,8645","1103","5","131020003","6","12","18","24","30","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1020004","1020004","206050003","1020","106002020","-6015,-6635,405","1104","5","131020004","6","12","18","24","30","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1020005","1020005","206050006","1020","106002020","-16426,14868,1178","1103","5","131020005","6","12","18","24","30","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1020006","1020006","206050011","1020","106002020","8133,12428,1043","1103","5","131020006","6","12","18","24","30","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1020007","1020007","206060002","1020","106002030","-16694,-11101,3635","1103","5","131020007","6","12","18","24","30","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1020008","1020008","206060009","1020","106002030","12330,-8505,3590","1103","5","131020008","6","12","18","24","30","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1020009","1020009","206060014","1020","106002030","6780,920,3180","1102","5","131020009","6","12","18","24","30","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"1020010","1020010","206060021","1020","106002030","17204,17513,3850","1102","5","131020010","6","12","18","24","30","9","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2001001","2001001","121010101","2001","200022010","-3835,-4505,106","1105","5","132001001","1","2","3","4","5","11","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2001002","2001002","121010102","2001","200022010","2785,3125,211","1105","5","132001002","1","2","3","4","5","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2001003","2001003","121010103","2001","200022010","12200,-7480,107","1104","5","132001003","1","2","3","4","5","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2001004","2001004","121010104","2001","200022010","4460,-13700,110","1103","5","132001004","1","2","3","4","5","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2001005","2001005","121010105","2001","200022010","-12340,-15710,110","1103","5","132001005","1","2","3","4","5","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2001006","2001006","121010106","2001","200022010","-7720,-6520,110","1102","5","132001006","1","2","3","4","5","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2001007","2001007","121010201","2001","200022010","-12338,5020,130","1101","5","132001007","1","1","2","2","3","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2002001","2002001","121011105","2002","200022020","-37430,-15120,900","1105","5","132002001","2","4","6","8","10","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2002002","2002002","121011106","2002","200022020","-18080,-8240,1900","1104","5","132002002","2","4","6","8","10","14","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2002003","2002003","121011107","2002","200022020","-8930,-11360,820","1103","5","132002003","2","4","6","8","10","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2002004","2002004","121011108","2002","200022020","-19470,-340,1960","1102","5","132002004","2","4","6","8","10","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2002005","2002005","121011202","2002","200022020","-740,210,1960","1101","5","132002005","1","2","3","4","5","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2002006","2002006","121012105","2002","200022021","-19113,5449,1419","1105","5","132002006","2","4","6","8","10","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2002007","2002007","121012106","2002","200022021","4797,9809,3749","1104","5","132002007","2","4","6","8","10","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2002008","2002008","121012107","2002","200022021","5087,-8111,599","1103","5","132002008","2","4","6","8","10","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2002009","2002009","121012108","2002","200022021","20747,8889,1909","1102","5","132002009","2","4","6","8","10","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2002010","2002010","121012202","2002","200022021","17537,-2431,1469","1101","5","132002010","1","2","3","4","5","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2003001","2003001","121013001","2003","200022030","-19430,-7920,3330","1105","5","132003001","3","6","9","12","15","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2003002","2003002","121013101","2003","200022030","-3294,11874,3040","1104","5","132003002","3","6","9","12","15","11","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2003003","2003003","121013201","2003","200022030","10612,13351,4210","1103","5","132003003","3","6","9","12","15","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2003004","2003004","121013301","2003","200022030","21170,-4082,4370","1103","5","132003004","3","6","9","12","15","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2003005","2003005","121013401","2003","200022030","-134,-7429,6570","1102","5","132003005","2","3","4","5","6","9","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2003006","2003006","121014001","2003","200022031","683,8935,3840","1105","5","132003006","3","6","9","12","15","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2003007","2003007","121014101","2003","200022031","-12516,-10014,3020","1104","5","132003007","3","6","9","12","15","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2003008","2003008","121014201","2003","200022031","14372,-5737,3160","1103","5","132003008","3","6","9","12","15","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2003009","2003009","121014301","2003","200022031","7009,-13000,2900","1102","5","132003009","2","3","4","5","6","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004001","2004001","121015001","2004","200022040","-13130,-9440,105","1105","5","132004001","4","8","12","16","20","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004002","2004002","121015101","2004","200022040","-13215,9664,105","1105","5","132004002","4","8","12","16","20","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004003","2004003","121015201","2004","200022040","10612,-23,1475","1104","5","132004003","4","8","12","16","20","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004004","2004004","121015301","2004","200022040","-9318,13171,-1085","1103","5","132004004","4","8","12","16","20","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004005","2004005","121015401","2004","200022040","-9333,-13242,-1055","1102","5","132004005","2","3","4","5","6","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004006","2004006","121016001","2004","200022041","-3865,-6565,255","1105","5","132004006","4","8","12","16","20","11","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004007","2004007","121016101","2004","200022041","-825,-17965,-1140","1105","5","132004007","4","8","12","16","20","12","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004008","2004008","121016201","2004","200022041","6036,-224,1320","1104","5","132004008","4","8","12","16","20","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004009","2004009","121016301","2004","200022041","-2517,10468,921","1103","5","132004009","4","8","12","16","20","14","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004010","2004010","121016401","2004","200022041","-15725,10334,561","1103","5","132004010","4","8","12","16","20","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004011","2004011","121016501","2004","200022041","-27695,4434,1181","1102","5","132004011","2","3","4","5","6","2","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004012","2004012","121017001","2004","200022042","-697,4722,-1435","1105","5","132004012","4","8","12","16","20","14","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004013","2004013","121017101","2004","200022042","29852,3575,-557","1104","5","132004013","4","8","12","16","20","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004014","2004014","121017201","2004","200022042","-8485,5398,-1410","1104","5","132004014","4","8","12","16","20","13","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004015","2004015","121017301","2004","200022042","11894,28758,-1630","1103","5","132004015","4","8","12","16","20","3","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004016","2004016","121017401","2004","200022042","-13335,18652,43","1103","5","132004016","4","8","12","16","20","9","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2004017","2004017","121017501","2004","200022042","19387,18009,-145","1102","5","132004017","2","3","4","5","6","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2005001","2005001","121018001","2005","200022050","-15968,-8629,1871","1105","5","132005001","4","8","12","16","20","14","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2005002","2005002","121018101","2005","200022050","-14736,9738,1651","1105","5","132005002","4","8","12","16","20","15","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2005003","2005003","121018201","2005","200022050","9287,-12892,1941","1104","5","132005003","4","8","12","16","20","5","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
"2005004","2005004","121018301","2005","200022050","-5134,-23800,1321","1103","5","132005004","4","8","12","16","20","1","1","3","10","1","3","10","1","3","10","1","3","10","1","3","10"
