"Name","Id","EventId","GachaType","NameId","BuyItemId","BuyItemValue","MoneyId","MoneyValue","BuyItemId_Many","BuyItemValue_Many","MoneyValue_Many","GroupId","GroupId_UIList","GetValue","CountType","Count","Time","DayMaxValue","MileageValue","MileageValue_Many","EventMileageValue","EventMileageValue_Many","EventMileageCost","EventMileageReward","EventGacha_DailyCount","Level_Limited","DirectionType","SubType","BG_OnOff","BG_PointGetGrade","BG_PointGetOnce","BG_PointResetType","BG_PointResetGrade","BG_PointChangeCount","BG_SummonCountMax","BG_GroupId","BG_PointPlusCount","BG_DirectionType","BG_TitleId","BG_NameId","BG_ToolTipId","EventContentsId","PetId","EndTime","Fixed_OnOff","StartDate","EndDate","LimitType","CountValue","BpType","Description","BuyItemId_100","Gacha_stop_Item","Gacha_stop_Grade","EventRateUP","ResultGradeOnOff","ResultGradeMin","ResultGradeMax"
"10029","10029","0","212","1046717","0","0","0","0","0","0","0","1200007","0","1","0","0","0","999999999","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","3","2500009","1046717","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10033","10033","5003","503","0","0","0","12","100000","0","10","1000000","1400022","27000022","1","3","1","0","999999999","0","0","1","11","300","1400023","110","0","6","0","0","0","0","0","0","0","0","0","0","6","2500009","0","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10035","10035","5004","504","0","0","0","12","100000","0","10","1000000","1400020","27000020","1","3","1","0","999999999","0","0","1","11","300","1400021","110","0","6","0","0","0","0","0","0","0","0","0","0","6","2500009","0","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10038","10038","0","6","1047000","602200604","1","4","120","602200604","10","1200","1600001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","1","0","1","3","1","1","4","1000","100","1600002","0","1","2500009","1047000","128","0","6501","23.10.04","1","2023-09-04 00:30:00","2023-10-04 00:00:00","0","0","0","0","602200604","1701200065","0","0","1","2","5"
"10039","10039","0","7","2550857","602200607","1","4","120","602200607","10","1200","7000001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","3","0","1","3","1","1","4","1000","100","1500007","0","3","2500009","2550857","128","0","0","0","0","0","0","0","0","0","0","602200607","0","0","0","1","2","5"
"10040","10040","0","8","2550858","602200608","1","4","120","602200608","10","1200","8000001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","3","0","1","3","1","1","4","1000","100","1500008","0","3","2500009","2550858","128","0","0","0","0","0","0","0","0","0","0","602200608","0","0","0","1","2","5"
"10041","10041","0","9","2610016","602200609","1","4","120","602200609","10","1200","9000001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","4","0","1","3","1","1","4","1000","100","9000002","0","4","2500009","2610016","128","0","0","0","0","0","0","0","0","1","2610027","602200609","0","0","0","1","2","5"
"10042","10042","0","10","2610017","602200610","1","4","120","602200610","10","1200","9100001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","4","0","1","3","1","1","4","1000","100","9100002","0","4","2500009","2610017","128","0","0","0","0","0","0","0","0","1","2610028","602200610","0","0","0","1","2","5"
"10043","10043","0","11","2610018","602200611","1","4","120","602200611","10","1200","9200001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","4","0","1","3","1","1","4","1000","100","9200002","0","4","2500009","2610018","128","0","0","0","0","0","0","0","0","1","2610029","602200611","0","0","0","1","2","4"
"10044","10044","0","12","2610026","602200612","1","4","120","602200612","10","1200","9300001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","4","0","1","3","1","1","4","1000","100","9300002","0","4","2500009","2610026","128","0","0","0","0","0","0","0","0","1","2610030","602200612","0","0","0","1","2","5"
"10045","10045","0","13","1152237","602200613","1","4","120","602200613","10","1200","9400001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","1","0","1","3","1","1","4","1000","100","9600001","0","4","2500025","1046062","161","0","6401","23.11.28","1","2023-04-14 4:30:00","2023-11-28 00:00:00","0","0","2","0","602200613","1701200064","0","2730007","1","2","5"
"10046","10046","0","14","11082678","602200614","1","4","120","602200614","10","1200","9500001","0","1","0","0","0","999999999","240","2400","0","0","0","0","0","0","3","0","1","3","1","1","4","1000","100","1500009","0","3","2500009","11082678","128","0","0","0","0","0","0","0","0","0","0","602200614","0","0","0","1","2","5"
