"Name","DropPositionId","DropPositionGroupId","Position"
"121","121","5","(X=-1144,Y=617,Z=0)"
"122","122","5","(X=409,Y=1233,Z=0)"
"123","123","5","(X=-409,Y=-1233,Z=0)"
"124","124","5","(X=1233,Y=-409,Z=0)"
"125","125","5","(X=-1233,Y=409,Z=0)"
"126","126","5","(X=-35,Y=1299,Z=0)"
"127","127","5","(X=35,Y=-1299,Z=0)"
"128","128","5","(X=1299,Y=35,Z=0)"
"129","129","5","(X=-1299,Y=-35,Z=0)"
"130","130","5","(X=-807,Y=-1018,Z=0)"
"131","131","5","(X=-1018,Y=807,Z=0)"
"132","132","5","(X=1018,Y=-807,Z=0)"
"133","133","5","(X=807,Y=1018,Z=0)"
"134","134","5","(X=-971,Y=-862,Z=0)"
"135","135","5","(X=-862,Y=971,Z=0)"
"136","136","5","(X=862,Y=-971,Z=0)"
"137","137","5","(X=971,Y=862,Z=0)"
"138","138","5","(X=-681,Y=1106,Z=0)"
"139","139","5","(X=681,Y=-1106,Z=0)"
"140","140","5","(X=1106,Y=681,Z=0)"
"141","141","5","(X=-1106,Y=-681,Z=0)"
"142","142","5","(X=735,Y=-109,Z=0)"
"143","143","5","(X=-735,Y=109,Z=0)"
"144","144","5","(X=-109,Y=-735,Z=0)"
"145","145","5","(X=109,Y=735,Z=0)"
"146","146","5","(X=582,Y=-461,Z=0)"
"147","147","5","(X=-582,Y=461,Z=0)"
"148","148","5","(X=-461,Y=-582,Z=0)"
"149","149","5","(X=461,Y=582,Z=0)"
"150","150","5","(X=691,Y=272,Z=0)"
"151","151","5","(X=-691,Y=-272,Z=0)"
"152","152","5","(X=272,Y=-691,Z=0)"
"153","153","5","(X=-272,Y=691,Z=0)"
"154","154","6","(X=520,Y=12,Z=0)"
"155","155","6","(X=-520,Y=-12,Z=0)"
"156","156","6","(X=-249,Y=-457,Z=0)"
"157","157","6","(X=249,Y=457,Z=0)"
"158","158","6","(X=270,Y=-444,Z=0)"
"159","159","6","(X=-270,Y=444,Z=0)"
"160","160","7","(X=-25,Y=-646,Z=0)"
"161","161","7","(X=25,Y=646,Z=0)"
"162","162","7","(X=547,Y=-344,Z=0)"
"163","163","7","(X=-547,Y=344,Z=0)"
"164","164","7","(X=572,Y=300,Z=0)"
"165","165","7","(X=-572,Y=-300,Z=0)"
"166","166","8","(X=-145,Y=-897,Z=0)"
"167","167","8","(X=145,Y=897,Z=0)"
"168","168","8","(X=705,Y=-572,Z=0)"
"169","169","8","(X=-705,Y=572,Z=0)"
"170","170","8","(X=850,Y=323,Z=0)"
"171","171","8","(X=-850,Y=-323,Z=0)"
"172","172","9","(X=735,Y=-109,Z=0)"
"173","173","9","(X=-735,Y=109,Z=0)"
"174","174","9","(X=-461,Y=-582,Z=0)"
"175","175","9","(X=461,Y=582,Z=0)"
"176","176","9","(X=272,Y=-691,Z=0)"
"177","177","9","(X=-272,Y=691,Z=0)"
"178","178","10","(X=0,Y=1080,Z=0)"
"179","179","10","(X=0,Y=-1080,Z=0)"
"180","180","10","(X=935,Y=539,Z=0)"
"181","181","10","(X=-935,Y=-539,Z=0)"
"182","182","10","(X=-369,Y=1014,Z=0)"
"183","183","10","(X=369,Y=-1014,Z=0)"
"184","184","10","(X=369,Y=1014,Z=0)"
"185","185","10","(X=-369,Y=-1014,Z=0)"
"186","186","10","(X=1063,Y=-187,Z=0)"
"187","187","10","(X=-1063,Y=187,Z=0)"
"188","188","10","(X=1063,Y=187,Z=0)"
"189","189","10","(X=-1063,Y=-187,Z=0)"
"190","190","10","(X=-935,Y=539,Z=0)"
"191","191","10","(X=935,Y=-539,Z=0)"
"192","192","10","(X=-694,Y=-827,Z=0)"
"193","193","10","(X=694,Y=827,Z=0)"
"194","194","10","(X=-694,Y=827,Z=0)"
"195","195","10","(X=694,Y=-827,Z=0)"
"196","196","11","(X=520,Y=12,Z=0)"
"197","197","11","(X=-520,Y=-12,Z=0)"
"198","198","11","(X=12,Y=-520,Z=0)"
"199","199","11","(X=-12,Y=520,Z=0)"
"200","200","11","(X=457,Y=-249,Z=0)"
"201","201","11","(X=-457,Y=249,Z=0)"
"202","202","11","(X=-249,Y=-457,Z=0)"
"203","203","11","(X=249,Y=457,Z=0)"
"204","204","11","(X=444,Y=270,Z=0)"
"205","205","11","(X=-444,Y=-270,Z=0)"
"206","206","11","(X=270,Y=-444,Z=0)"
"207","207","11","(X=-270,Y=444,Z=0)"
"208","208","11","(X=0,Y=987,Z=0)"
"209","209","11","(X=0,Y=-987,Z=0)"
"210","210","11","(X=987,Y=0,Z=0)"
"211","211","11","(X=-987,Y=0,Z=0)"
"212","212","11","(X=-492,Y=854,Z=0)"
"213","213","11","(X=492,Y=-854,Z=0)"
"214","214","11","(X=854,Y=492,Z=0)"
"215","215","11","(X=-854,Y=-492,Z=0)"
"216","216","11","(X=-337,Y=927,Z=0)"
"217","217","11","(X=337,Y=-927,Z=0)"
"218","218","11","(X=927,Y=337,Z=0)"
"219","219","11","(X=-927,Y=-337,Z=0)"
"220","220","11","(X=337,Y=927,Z=0)"
"221","221","11","(X=-337,Y=-927,Z=0)"
"222","222","11","(X=927,Y=-337,Z=0)"
"223","223","11","(X=-927,Y=337,Z=0)"
"224","224","11","(X=170,Y=971,Z=0)"
"225","225","11","(X=-170,Y=-971,Z=0)"
"226","226","11","(X=971,Y=-170,Z=0)"
"227","227","11","(X=-971,Y=170,Z=0)"
"228","228","11","(X=-170,Y=971,Z=0)"
"229","229","11","(X=170,Y=-971,Z=0)"
"230","230","11","(X=971,Y=170,Z=0)"
"231","231","11","(X=-971,Y=-170,Z=0)"
"232","232","11","(X=-492,Y=-854,Z=0)"
"233","233","11","(X=-854,Y=492,Z=0)"
"234","234","11","(X=854,Y=-492,Z=0)"
"235","235","11","(X=492,Y=854,Z=0)"
"236","236","11","(X=-634,Y=-756,Z=0)"
"237","237","11","(X=-756,Y=634,Z=0)"
"238","238","11","(X=756,Y=-634,Z=0)"
"239","239","11","(X=634,Y=756,Z=0)"
"240","240","11","(X=-634,Y=756,Z=0)"
"241","241","11","(X=634,Y=-756,Z=0)"
"242","242","11","(X=756,Y=634,Z=0)"
"243","243","11","(X=-756,Y=-634,Z=0)"
"244","244","11","(X=732,Y=-108,Z=0)"
"245","245","11","(X=-732,Y=108,Z=0)"
"246","246","11","(X=-108,Y=-732,Z=0)"
"247","247","11","(X=108,Y=732,Z=0)"
"248","248","11","(X=580,Y=-459,Z=0)"
"249","249","11","(X=-580,Y=459,Z=0)"
"250","250","11","(X=-459,Y=-580,Z=0)"
"251","251","11","(X=459,Y=580,Z=0)"
"252","252","11","(X=688,Y=271,Z=0)"
"253","253","11","(X=-688,Y=-271,Z=0)"
"254","254","11","(X=271,Y=-688,Z=0)"
"255","255","11","(X=-271,Y=688,Z=0)"
"256","256","12","(X=0,Y=0,Z=0)"
"257","257","12","(X=299,Y=0,Z=0)"
"258","258","12","(X=-299,Y=0,Z=0)"
"259","259","12","(X=0,Y=299,Z=0)"
"260","260","12","(X=0,Y=-299,Z=0)"
"261","261","12","(X=212,Y=212,Z=0)"
"262","262","12","(X=-212,Y=-212,Z=0)"
"263","263","12","(X=-212,Y=212,Z=0)"
"264","264","12","(X=212,Y=-212,Z=0)"
"265","265","12","(X=519,Y=-299,Z=0)"
"266","266","12","(X=-519,Y=299,Z=0)"
"267","267","12","(X=299,Y=519,Z=0)"
"268","268","12","(X=-299,Y=-519,Z=0)"
"269","269","12","(X=579,Y=155,Z=0)"
"270","270","12","(X=-579,Y=-155,Z=0)"
"271","271","12","(X=-155,Y=579,Z=0)"
"272","272","12","(X=155,Y=-579,Z=0)"
"273","273","12","(X=482,Y=-129,Z=0)"
"274","274","12","(X=-482,Y=129,Z=0)"
"275","275","12","(X=129,Y=482,Z=0)"
"276","276","12","(X=-129,Y=-482,Z=0)"
"277","277","12","(X=433,Y=250,Z=0)"
"278","278","12","(X=-433,Y=-250,Z=0)"
"279","279","12","(X=-250,Y=433,Z=0)"
"280","280","12","(X=250,Y=-433,Z=0)"
"281","281","13","(X=0.000000,Y=1080.000000,Z=0.000000)"
"282","282","13","(X=0.000000,Y=-1080.000000,Z=0.000000)"
"283","283","13","(X=935.000000,Y=539.000000,Z=0.000000)"
"284","284","13","(X=-935.000000,Y=-539.000000,Z=0.000000)"
"285","285","13","(X=369.000000,Y=-1014.000000,Z=0.000000)"
"286","286","13","(X=-369.000000,Y=1014.000000,Z=0.000000)"
"287","287","13","(X=369.000000,Y=1014.000000,Z=0.000000)"
"288","288","13","(X=-369.000000,Y=-1014.000000,Z=0.000000)"
"289","289","13","(X=664.375000,Y=-116.875000,Z=0.000000)"
"290","290","13","(X=-664.375000,Y=116.875000,Z=0.000000)"
"291","291","13","(X=1063.000000,Y=187.000000,Z=0.000000)"
"292","292","13","(X=-1063.000000,Y=-187.000000,Z=0.000000)"
"293","293","13","(X=-935.000000,Y=539.000000,Z=0.000000)"
"294","294","13","(X=935.000000,Y=-539.000000,Z=0.000000)"
"295","295","13","(X=-694.000000,Y=-827.000000,Z=0.000000)"
"296","296","13","(X=694.000000,Y=827.000000,Z=0.000000)"
"297","297","13","(X=-694.000000,Y=827.000000,Z=0.000000)"
"298","298","13","(X=694.000000,Y=-827.000000,Z=0.000000)"
"299","299","13","(X=0.000000,Y=539.999939,Z=0.000000)"
"300","300","13","(X=0.000000,Y=-539.999939,Z=0.000000)"
"301","301","13","(X=-347.000122,Y=-413.500092,Z=0.000000)"
"302","302","13","(X=347.000122,Y=413.500092,Z=0.000000)"
"303","303","13","(X=-347.000214,Y=413.500183,Z=0.000000)"
"304","304","13","(X=347.000214,Y=-413.500183,Z=0.000000)"
"305","305","13","(X=-1064.375000,Y=116.875000,Z=0.000000)"
"306","306","13","(X=1014.375000,Y=-116.875000,Z=0.000000)"
"307","307","144","(X=1148,Y=26,Z=0)"
"308","308","144","(X=-1148,Y=-26,Z=0)"
"309","309","144","(X=26,Y=-1148,Z=0)"
"310","310","144","(X=-26,Y=1148,Z=0)"
"311","311","144","(X=1009,Y=-550,Z=0)"
"312","312","144","(X=-1009,Y=550,Z=0)"
"313","313","144","(X=-550,Y=-1009,Z=0)"
"314","314","144","(X=550,Y=1009,Z=0)"
"315","315","144","(X=980,Y=596,Z=0)"
"316","316","144","(X=-980,Y=-596,Z=0)"
"317","317","144","(X=596,Y=-980,Z=0)"
"318","318","144","(X=-596,Y=980,Z=0)"
"319","319","144","(X=0,Y=2388,Z=0)"
"320","320","144","(X=0,Y=-2388,Z=0)"
"321","321","144","(X=2388,Y=0,Z=0)"
"322","322","144","(X=-2388,Y=0,Z=0)"
"323","323","144","(X=-1192,Y=2067,Z=0)"
"324","324","144","(X=1192,Y=-2067,Z=0)"
"325","325","144","(X=2067,Y=1192,Z=0)"
"326","326","144","(X=-2067,Y=-1192,Z=0)"
"327","327","144","(X=-816,Y=2242,Z=0)"
"328","328","144","(X=816,Y=-2242,Z=0)"
"329","329","144","(X=2242,Y=816,Z=0)"
"330","330","144","(X=-2242,Y=-816,Z=0)"
"331","331","144","(X=816,Y=2242,Z=0)"
"332","332","144","(X=-816,Y=-2242,Z=0)"
"333","333","144","(X=2242,Y=-816,Z=0)"
"334","334","144","(X=-2242,Y=816,Z=0)"
"335","335","144","(X=413,Y=2350,Z=0)"
"336","336","144","(X=-413,Y=-2350,Z=0)"
"337","337","144","(X=2350,Y=-413,Z=0)"
"338","338","144","(X=-2350,Y=413,Z=0)"
"339","339","144","(X=-413,Y=2350,Z=0)"
"340","340","144","(X=413,Y=-2350,Z=0)"
"341","341","144","(X=2350,Y=413,Z=0)"
"342","342","144","(X=-2350,Y=-413,Z=0)"
"343","343","144","(X=-1192,Y=-2067,Z=0)"
"344","344","144","(X=-2067,Y=1192,Z=0)"
"345","345","144","(X=2067,Y=-1192,Z=0)"
"346","346","144","(X=1192,Y=2067,Z=0)"
"347","347","144","(X=-1534,Y=-1829,Z=0)"
"348","348","144","(X=-1829,Y=1534,Z=0)"
"349","349","144","(X=1829,Y=-1534,Z=0)"
"350","350","144","(X=1534,Y=1829,Z=0)"
"351","351","144","(X=-1534,Y=1829,Z=0)"
"352","352","144","(X=1534,Y=-1829,Z=0)"
"353","353","144","(X=1829,Y=1534,Z=0)"
"354","354","144","(X=-1829,Y=-1534,Z=0)"
"355","355","144","(X=-372,Y=3287,Z=0)"
"356","356","144","(X=372,Y=-3287,Z=0)"
"357","357","144","(X=3287,Y=372,Z=0)"
"358","358","144","(X=-3287,Y=-372,Z=0)"
"359","359","144","(X=-1968,Y=2657,Z=0)"
"360","360","144","(X=1968,Y=-2657,Z=0)"
"361","361","144","(X=2657,Y=1968,Z=0)"
"362","362","144","(X=-2657,Y=-1968,Z=0)"
"363","363","144","(X=-1476,Y=2959,Z=0)"
"364","364","144","(X=1476,Y=-2959,Z=0)"
"365","365","144","(X=2959,Y=1476,Z=0)"
"366","366","144","(X=-2959,Y=-1476,Z=0)"
"367","367","144","(X=768,Y=3217,Z=0)"
"368","368","144","(X=-768,Y=-3217,Z=0)"
"369","369","144","(X=3217,Y=-768,Z=0)"
"370","370","144","(X=-3217,Y=768,Z=0)"
"371","371","144","(X=197,Y=3300,Z=0)"
"372","372","144","(X=-197,Y=-3300,Z=0)"
"373","373","144","(X=3300,Y=-197,Z=0)"
"374","374","144","(X=-3300,Y=197,Z=0)"
"375","375","144","(X=-939,Y=3172,Z=0)"
"376","376","144","(X=939,Y=-3172,Z=0)"
"377","377","144","(X=3172,Y=939,Z=0)"
"378","378","144","(X=-3172,Y=-939,Z=0)"
"379","379","144","(X=-1316,Y=-3033,Z=0)"
"380","380","144","(X=-3033,Y=1316,Z=0)"
"381","381","144","(X=3033,Y=-1316,Z=0)"
"382","382","144","(X=1316,Y=3033,Z=0)"
"383","383","144","(X=-1824,Y=-2759,Z=0)"
"384","384","144","(X=-2759,Y=1824,Z=0)"
"385","385","144","(X=2759,Y=-1824,Z=0)"
"386","386","144","(X=1824,Y=2759,Z=0)"
"387","387","144","(X=-2399,Y=2275,Z=0)"
"388","388","144","(X=2399,Y=-2275,Z=0)"
"389","389","144","(X=2275,Y=2399,Z=0)"
"390","390","144","(X=-2275,Y=-2399,Z=0)"
"391","391","144","(X=1619,Y=228,Z=0)"
"392","392","144","(X=-1619,Y=-228,Z=0)"
"393","393","144","(X=228,Y=-1619,Z=0)"
"394","394","144","(X=-228,Y=1619,Z=0)"
"395","395","144","(X=1517,Y=-608,Z=0)"
"396","396","144","(X=-1517,Y=608,Z=0)"
"397","397","144","(X=-608,Y=-1517,Z=0)"
"398","398","144","(X=608,Y=1517,Z=0)"
"399","399","144","(X=1288,Y=1009,Z=0)"
"400","400","144","(X=-1288,Y=-1009,Z=0)"
"401","401","144","(X=1009,Y=-1288,Z=0)"
"402","402","144","(X=-1009,Y=1288,Z=0)"
"403","403","144","(X=416,Y=2836,Z=0)"
"404","404","144","(X=-416,Y=-2836,Z=0)"
"405","405","144","(X=2836,Y=-416,Z=0)"
"406","406","144","(X=-2836,Y=416,Z=0)"
"407","407","144","(X=-1054,Y=2664,Z=0)"
"408","408","144","(X=1054,Y=-2664,Z=0)"
"409","409","144","(X=2664,Y=1054,Z=0)"
"410","410","144","(X=-2664,Y=-1054,Z=0)"
"411","411","144","(X=-575,Y=2805,Z=0)"
"412","412","144","(X=575,Y=-2805,Z=0)"
"413","413","144","(X=2805,Y=575,Z=0)"
"414","414","144","(X=-2805,Y=-575,Z=0)"
"415","415","144","(X=1361,Y=2523,Z=0)"
"416","416","144","(X=-1361,Y=-2523,Z=0)"
"417","417","144","(X=2523,Y=-1361,Z=0)"
"418","418","144","(X=-2523,Y=1361,Z=0)"
"419","419","144","(X=902,Y=2719,Z=0)"
"420","420","144","(X=-902,Y=-2719,Z=0)"
"421","421","144","(X=2719,Y=-902,Z=0)"
"422","422","144","(X=-2719,Y=902,Z=0)"
"423","423","144","(X=-77,Y=2865,Z=0)"
"424","424","144","(X=77,Y=-2865,Z=0)"
"425","425","144","(X=2865,Y=77,Z=0)"
"426","426","144","(X=-2865,Y=-77,Z=0)"
"427","427","144","(X=-1780,Y=-2245,Z=0)"
"428","428","144","(X=-2245,Y=1780,Z=0)"
"429","429","144","(X=2245,Y=-1780,Z=0)"
"430","430","144","(X=1780,Y=2245,Z=0)"
"431","431","144","(X=-2141,Y=-1901,Z=0)"
"432","432","144","(X=-1901,Y=2141,Z=0)"
"433","433","144","(X=1901,Y=-2141,Z=0)"
"434","434","144","(X=2141,Y=1901,Z=0)"
"435","435","144","(X=-1502,Y=2439,Z=0)"
"436","436","144","(X=1502,Y=-2439,Z=0)"
"437","437","144","(X=2439,Y=1502,Z=0)"
"438","438","144","(X=-2439,Y=-1502,Z=0)"
"439","439","144","(X=1910,Y=-283,Z=0)"
"440","440","144","(X=-1910,Y=283,Z=0)"
"441","441","144","(X=-283,Y=-1910,Z=0)"
"442","442","144","(X=283,Y=1910,Z=0)"
"443","443","144","(X=1513,Y=-1198,Z=0)"
"444","444","144","(X=-1513,Y=1198,Z=0)"
"445","445","144","(X=-1198,Y=-1513,Z=0)"
"446","446","144","(X=1198,Y=1513,Z=0)"
"447","447","144","(X=1796,Y=707,Z=0)"
"448","448","144","(X=-1796,Y=-707,Z=0)"
"449","449","144","(X=707,Y=-1796,Z=0)"
"450","450","144","(X=-707,Y=1796,Z=0)"
"451","451","145","(X=0,Y=0,Z=0)"
"452","452","145","(X=520,Y=12,Z=0)"
"453","453","145","(X=-520,Y=-12,Z=0)"
"454","454","145","(X=12,Y=-520,Z=0)"
"455","455","145","(X=-12,Y=520,Z=0)"
"456","456","145","(X=457,Y=-249,Z=0)"
"457","457","145","(X=-457,Y=249,Z=0)"
"458","458","145","(X=-249,Y=-457,Z=0)"
"459","459","145","(X=249,Y=457,Z=0)"
"460","460","145","(X=444,Y=270,Z=0)"
"461","461","145","(X=-444,Y=-270,Z=0)"
"462","462","145","(X=270,Y=-444,Z=0)"
"463","463","145","(X=-270,Y=444,Z=0)"
"464","464","145","(X=0,Y=1080,Z=0)"
"465","465","145","(X=0,Y=-1080,Z=0)"
"466","466","145","(X=1080,Y=0,Z=0)"
"467","467","145","(X=-1080,Y=0,Z=0)"
"468","468","145","(X=-539,Y=935,Z=0)"
"469","469","145","(X=539,Y=-935,Z=0)"
"470","470","145","(X=935,Y=539,Z=0)"
"471","471","145","(X=-935,Y=-539,Z=0)"
"472","472","145","(X=-369,Y=1014,Z=0)"
"473","473","145","(X=369,Y=-1014,Z=0)"
"474","474","145","(X=1014,Y=369,Z=0)"
"475","475","145","(X=-1014,Y=-369,Z=0)"
"476","476","145","(X=369,Y=1014,Z=0)"
"477","477","145","(X=-369,Y=-1014,Z=0)"
"478","478","145","(X=1014,Y=-369,Z=0)"
"479","479","145","(X=-1014,Y=369,Z=0)"
"480","480","145","(X=187,Y=1063,Z=0)"
"481","481","145","(X=-187,Y=-1063,Z=0)"
"482","482","145","(X=1063,Y=-187,Z=0)"
"483","483","145","(X=-1063,Y=187,Z=0)"
"484","484","145","(X=-187,Y=1063,Z=0)"
"485","485","145","(X=187,Y=-1063,Z=0)"
"486","486","145","(X=1063,Y=187,Z=0)"
"487","487","145","(X=-1063,Y=-187,Z=0)"
"488","488","145","(X=-539,Y=-935,Z=0)"
"489","489","145","(X=-935,Y=539,Z=0)"
"490","490","145","(X=935,Y=-539,Z=0)"
"491","491","145","(X=539,Y=935,Z=0)"
"492","492","145","(X=-694,Y=-827,Z=0)"
"493","493","145","(X=-827,Y=694,Z=0)"
"494","494","145","(X=827,Y=-694,Z=0)"
"495","495","145","(X=694,Y=827,Z=0)"
"496","496","145","(X=-694,Y=827,Z=0)"
"497","497","145","(X=694,Y=-827,Z=0)"
"498","498","145","(X=827,Y=694,Z=0)"
"499","499","145","(X=-827,Y=-694,Z=0)"
"500","500","145","(X=-166,Y=1463,Z=0)"
"501","501","145","(X=166,Y=-1463,Z=0)"
"502","502","145","(X=1463,Y=166,Z=0)"
"503","503","145","(X=-1463,Y=-166,Z=0)"
"504","504","145","(X=-876,Y=1183,Z=0)"
"505","505","145","(X=876,Y=-1183,Z=0)"
"506","506","145","(X=1183,Y=876,Z=0)"
"507","507","145","(X=-1183,Y=-876,Z=0)"
"508","508","145","(X=-657,Y=1317,Z=0)"
"509","509","145","(X=657,Y=-1317,Z=0)"
"510","510","145","(X=1317,Y=657,Z=0)"
"511","511","145","(X=-1317,Y=-657,Z=0)"
"512","512","145","(X=342,Y=1432,Z=0)"
"513","513","145","(X=-342,Y=-1432,Z=0)"
"514","514","145","(X=1432,Y=-342,Z=0)"
"515","515","145","(X=-1432,Y=342,Z=0)"
"516","516","145","(X=88,Y=1469,Z=0)"
"517","517","145","(X=-88,Y=-1469,Z=0)"
"518","518","145","(X=1469,Y=-88,Z=0)"
"519","519","145","(X=-1469,Y=88,Z=0)"
"520","520","145","(X=-418,Y=1412,Z=0)"
"521","521","145","(X=418,Y=-1412,Z=0)"
"522","522","145","(X=1412,Y=418,Z=0)"
"523","523","145","(X=-1412,Y=-418,Z=0)"
"524","524","145","(X=-586,Y=-1350,Z=0)"
"525","525","145","(X=-1350,Y=586,Z=0)"
"526","526","145","(X=1350,Y=-586,Z=0)"
"527","527","145","(X=586,Y=1350,Z=0)"
"528","528","145","(X=-812,Y=-1228,Z=0)"
"529","529","145","(X=-1228,Y=812,Z=0)"
"530","530","145","(X=1228,Y=-812,Z=0)"
"531","531","145","(X=812,Y=1228,Z=0)"
"532","532","145","(X=-1068,Y=1013,Z=0)"
"533","533","145","(X=1068,Y=-1013,Z=0)"
"534","534","145","(X=1013,Y=1068,Z=0)"
"535","535","145","(X=-1013,Y=-1068,Z=0)"
"536","536","145","(X=900,Y=127,Z=0)"
