"Name","TrainingStatusID","PhaseGroupId","ClassId","StatusId","TrainingGroupID","OrderNum","OpenConditionLevel","TrainingMaxLevel"
"20407","20407","407","2","28","2004","7","125","10"
"20408","20408","408","2","29","2004","8","125","10"
"20501","20501","501","2","40","2005","1","130","10"
"20502","20502","502","2","42","2005","2","130","10"
"20503","20503","503","2","41","2005","3","135","10"
"20504","20504","504","2","43","2005","4","135","10"
"20505","20505","505","2","89","2005","5","140","10"
"20506","20506","506","2","82","2005","6","140","10"
"20507","20507","507","2","84","2005","7","145","10"
"20508","20508","508","2","91","2005","8","145","10"
"20601","20601","601","2","119","2006","1","150","10"
"20602","20602","602","2","50","2006","2","150","10"
"20603","20603","603","2","52","2006","3","155","10"
"20604","20604","604","2","48","2006","4","155","10"
"20605","20605","605","2","120","2006","5","160","10"
"20606","20606","606","2","51","2006","6","160","10"
"20607","20607","607","2","53","2006","7","165","10"
"20608","20608","608","2","49","2006","8","165","10"
"20701","20701","701","2","44","2007","1","170","10"
"20702","20702","702","2","45","2007","2","170","10"
"20703","20703","703","2","32","2007","3","174","10"
"20704","20704","704","2","33","2007","4","174","10"
"20705","20705","705","2","34","2007","5","178","10"
"20706","20706","706","2","35","2007","6","178","10"
"20707","20707","707","2","38","2007","7","182","10"
"20708","20708","708","2","39","2007","8","182","10"
"20801","20801","801","2","1","2008","1","186","10"
"20802","20802","802","2","6","2008","2","186","10"
"20803","20803","803","2","20","2008","3","190","10"
"20804","20804","804","2","22","2008","4","190","10"
"20805","20805","805","2","24","2008","5","194","10"
"20806","20806","806","2","26","2008","6","194","10"
"20807","20807","807","2","28","2008","7","198","10"
"20808","20808","808","2","29","2008","8","198","10"
"30101","30101","101","3","40","3001","1","70","10"
"30102","30102","102","3","42","3001","2","70","10"
"30103","30103","103","3","41","3001","3","70","10"
"30104","30104","104","3","43","3001","4","70","10"
"30105","30105","105","3","89","3001","5","75","10"
"30106","30106","106","3","82","3001","6","75","10"
"30107","30107","107","3","84","3001","7","75","10"
"30108","30108","108","3","93","3001","8","75","10"
"30201","30201","201","3","119","3002","1","80","10"
"30202","30202","202","3","50","3002","2","80","10"
"30203","30203","203","3","52","3002","3","80","10"
"30204","30204","204","3","48","3002","4","80","10"
"30205","30205","205","3","120","3002","5","85","10"
"30206","30206","206","3","51","3002","6","85","10"
"30207","30207","207","3","53","3002","7","85","10"
"30208","30208","208","3","49","3002","8","85","10"
"30301","30301","301","3","44","3003","1","90","10"
"30302","30302","302","3","45","3003","2","90","10"
"30303","30303","303","3","32","3003","3","95","10"
"30304","30304","304","3","33","3003","4","95","10"
"30305","30305","305","3","34","3003","5","100","10"
"30306","30306","306","3","35","3003","6","100","10"
"30307","30307","307","3","38","3003","7","105","10"
"30308","30308","308","3","39","3003","8","105","10"
"30401","30401","401","3","1","3004","1","110","10"
"30402","30402","402","3","6","3004","2","110","10"
"30403","30403","403","3","20","3004","3","115","10"
"30404","30404","404","3","22","3004","4","115","10"
"30405","30405","405","3","24","3004","5","120","10"
"30406","30406","406","3","26","3004","6","120","10"
"30407","30407","407","3","28","3004","7","125","10"
"30408","30408","408","3","29","3004","8","125","10"
"30501","30501","501","3","40","3005","1","130","10"
"30502","30502","502","3","42","3005","2","130","10"
"30503","30503","503","3","41","3005","3","135","10"
"30504","30504","504","3","43","3005","4","135","10"
"30505","30505","505","3","89","3005","5","140","10"
"30506","30506","506","3","82","3005","6","140","10"
"30507","30507","507","3","84","3005","7","145","10"
"30508","30508","508","3","91","3005","8","145","10"
"30601","30601","601","3","119","3006","1","150","10"
"30602","30602","602","3","50","3006","2","150","10"
"30603","30603","603","3","52","3006","3","155","10"
"30604","30604","604","3","48","3006","4","155","10"
"30605","30605","605","3","120","3006","5","160","10"
"30606","30606","606","3","51","3006","6","160","10"
"30607","30607","607","3","53","3006","7","165","10"
"30608","30608","608","3","49","3006","8","165","10"
"30701","30701","701","3","44","3007","1","170","10"
"30702","30702","702","3","45","3007","2","170","10"
"30703","30703","703","3","32","3007","3","174","10"
"30704","30704","704","3","33","3007","4","174","10"
"30705","30705","705","3","34","3007","5","178","10"
"30706","30706","706","3","35","3007","6","178","10"
"30707","30707","707","3","38","3007","7","182","10"
"30708","30708","708","3","39","3007","8","182","10"
"30801","30801","801","3","1","3008","1","186","10"
"30802","30802","802","3","6","3008","2","186","10"
"30803","30803","803","3","20","3008","3","190","10"
"30804","30804","804","3","22","3008","4","190","10"
"30805","30805","805","3","24","3008","5","194","10"
"30806","30806","806","3","26","3008","6","194","10"
"30807","30807","807","3","28","3008","7","198","10"
"30808","30808","808","3","29","3008","8","198","10"
"40101","40101","101","4","40","4001","1","70","10"
"40102","40102","102","4","42","4001","2","70","10"
"40103","40103","103","4","41","4001","3","70","10"
"40104","40104","104","4","43","4001","4","70","10"
"40105","40105","105","4","89","4001","5","75","10"
"40106","40106","106","4","82","4001","6","75","10"
"40107","40107","107","4","84","4001","7","75","10"
"40108","40108","108","4","93","4001","8","75","10"
"40201","40201","201","4","119","4002","1","80","10"
"40202","40202","202","4","50","4002","2","80","10"
"40203","40203","203","4","52","4002","3","80","10"
"40204","40204","204","4","48","4002","4","80","10"
"40205","40205","205","4","120","4002","5","85","10"
"40206","40206","206","4","51","4002","6","85","10"
"40207","40207","207","4","53","4002","7","85","10"
"40208","40208","208","4","49","4002","8","85","10"
"40301","40301","301","4","44","4003","1","90","10"
"40302","40302","302","4","45","4003","2","90","10"
"40303","40303","303","4","32","4003","3","95","10"
"40304","40304","304","4","33","4003","4","95","10"
"40305","40305","305","4","34","4003","5","100","10"
"40306","40306","306","4","35","4003","6","100","10"
"40307","40307","307","4","38","4003","7","105","10"
"40308","40308","308","4","39","4003","8","105","10"
"40401","40401","401","4","1","4004","1","110","10"
"40402","40402","402","4","6","4004","2","110","10"
"40403","40403","403","4","20","4004","3","115","10"
"40404","40404","404","4","22","4004","4","115","10"
"40405","40405","405","4","24","4004","5","120","10"
"40406","40406","406","4","26","4004","6","120","10"
"40407","40407","407","4","28","4004","7","125","10"
"40408","40408","408","4","29","4004","8","125","10"
"40501","40501","501","4","40","4005","1","130","10"
"40502","40502","502","4","42","4005","2","130","10"
"40503","40503","503","4","41","4005","3","135","10"
"40504","40504","504","4","43","4005","4","135","10"
"40505","40505","505","4","89","4005","5","140","10"
"40506","40506","506","4","82","4005","6","140","10"
"40507","40507","507","4","84","4005","7","145","10"
"40508","40508","508","4","91","4005","8","145","10"
"40601","40601","601","4","119","4006","1","150","10"
"40602","40602","602","4","50","4006","2","150","10"
"40603","40603","603","4","52","4006","3","155","10"
"40604","40604","604","4","48","4006","4","155","10"
"40605","40605","605","4","120","4006","5","160","10"
"40606","40606","606","4","51","4006","6","160","10"
"40607","40607","607","4","53","4006","7","165","10"
"40608","40608","608","4","49","4006","8","165","10"
"40701","40701","701","4","44","4007","1","170","10"
"40702","40702","702","4","45","4007","2","170","10"
"40703","40703","703","4","32","4007","3","174","10"
"40704","40704","704","4","33","4007","4","174","10"
"40705","40705","705","4","34","4007","5","178","10"
"40706","40706","706","4","35","4007","6","178","10"
"40707","40707","707","4","38","4007","7","182","10"
"40708","40708","708","4","39","4007","8","182","10"
"40801","40801","801","4","1","4008","1","186","10"
"40802","40802","802","4","6","4008","2","186","10"
"40803","40803","803","4","20","4008","3","190","10"
"40804","40804","804","4","22","4008","4","190","10"
"40805","40805","805","4","24","4008","5","194","10"
"40806","40806","806","4","26","4008","6","194","10"
"40807","40807","807","4","28","4008","7","198","10"
"40808","40808","808","4","29","4008","8","198","10"
"50101","50101","101","5","40","5001","1","70","10"
"50102","50102","102","5","42","5001","2","70","10"
"50103","50103","103","5","41","5001","3","70","10"
"50104","50104","104","5","43","5001","4","70","10"
"50105","50105","105","5","89","5001","5","75","10"
"50106","50106","106","5","82","5001","6","75","10"
"50107","50107","107","5","84","5001","7","75","10"
"50108","50108","108","5","93","5001","8","75","10"
"50201","50201","201","5","119","5002","1","80","10"
"50202","50202","202","5","50","5002","2","80","10"
"50203","50203","203","5","52","5002","3","80","10"
"50204","50204","204","5","48","5002","4","80","10"
"50205","50205","205","5","120","5002","5","85","10"
"50206","50206","206","5","51","5002","6","85","10"
"50207","50207","207","5","53","5002","7","85","10"
"50208","50208","208","5","49","5002","8","85","10"
"50301","50301","301","5","44","5003","1","90","10"
"50302","50302","302","5","45","5003","2","90","10"
"50303","50303","303","5","32","5003","3","95","10"
"50304","50304","304","5","33","5003","4","95","10"
"50305","50305","305","5","34","5003","5","100","10"
"50306","50306","306","5","35","5003","6","100","10"
"50307","50307","307","5","38","5003","7","105","10"
"50308","50308","308","5","39","5003","8","105","10"
"50401","50401","401","5","1","5004","1","110","10"
"50402","50402","402","5","6","5004","2","110","10"
"50403","50403","403","5","20","5004","3","115","10"
"50404","50404","404","5","22","5004","4","115","10"
"50405","50405","405","5","24","5004","5","120","10"
"50406","50406","406","5","26","5004","6","120","10"
"50407","50407","407","5","28","5004","7","125","10"
"50408","50408","408","5","29","5004","8","125","10"
"50501","50501","501","5","40","5005","1","130","10"
"50502","50502","502","5","42","5005","2","130","10"
"50503","50503","503","5","41","5005","3","135","10"
"50504","50504","504","5","43","5005","4","135","10"
"50505","50505","505","5","89","5005","5","140","10"
"50506","50506","506","5","82","5005","6","140","10"
"50507","50507","507","5","84","5005","7","145","10"
"50508","50508","508","5","91","5005","8","145","10"
"50601","50601","601","5","119","5006","1","150","10"
"50602","50602","602","5","50","5006","2","150","10"
"50603","50603","603","5","52","5006","3","155","10"
"50604","50604","604","5","48","5006","4","155","10"
"50605","50605","605","5","120","5006","5","160","10"
"50606","50606","606","5","51","5006","6","160","10"
"50607","50607","607","5","53","5006","7","165","10"
"50608","50608","608","5","49","5006","8","165","10"
"50701","50701","701","5","44","5007","1","170","10"
"50702","50702","702","5","45","5007","2","170","10"
"50703","50703","703","5","32","5007","3","174","10"
"50704","50704","704","5","33","5007","4","174","10"
"50705","50705","705","5","34","5007","5","178","10"
"50706","50706","706","5","35","5007","6","178","10"
"50707","50707","707","5","38","5007","7","182","10"
"50708","50708","708","5","39","5007","8","182","10"
"50801","50801","801","5","1","5008","1","186","10"
"50802","50802","802","5","6","5008","2","186","10"
"50803","50803","803","5","20","5008","3","190","10"
"50804","50804","804","5","22","5008","4","190","10"
"50805","50805","805","5","24","5008","5","194","10"
"50806","50806","806","5","26","5008","6","194","10"
"50807","50807","807","5","28","5008","7","198","10"
"50808","50808","808","5","29","5008","8","198","10"
"60101","60101","101","6","40","6001","1","70","10"
"60102","60102","102","6","42","6001","2","70","10"
"60103","60103","103","6","41","6001","3","70","10"
"60104","60104","104","6","43","6001","4","70","10"
"60105","60105","105","6","89","6001","5","75","10"
"60106","60106","106","6","82","6001","6","75","10"
"60107","60107","107","6","84","6001","7","75","10"
"60108","60108","108","6","93","6001","8","75","10"
"60201","60201","201","6","119","6002","1","80","10"
"60202","60202","202","6","50","6002","2","80","10"
"60203","60203","203","6","52","6002","3","80","10"
"60204","60204","204","6","48","6002","4","80","10"
"60205","60205","205","6","120","6002","5","85","10"
"60206","60206","206","6","51","6002","6","85","10"
"60207","60207","207","6","53","6002","7","85","10"
"60208","60208","208","6","49","6002","8","85","10"
"60301","60301","301","6","44","6003","1","90","10"
"60302","60302","302","6","45","6003","2","90","10"
"60303","60303","303","6","32","6003","3","95","10"
"60304","60304","304","6","33","6003","4","95","10"
"60305","60305","305","6","34","6003","5","100","10"
"60306","60306","306","6","35","6003","6","100","10"
"60307","60307","307","6","38","6003","7","105","10"
"60308","60308","308","6","39","6003","8","105","10"
"60401","60401","401","6","1","6004","1","110","10"
"60402","60402","402","6","6","6004","2","110","10"
"60403","60403","403","6","20","6004","3","115","10"
"60404","60404","404","6","22","6004","4","115","10"
"60405","60405","405","6","24","6004","5","120","10"
"60406","60406","406","6","26","6004","6","120","10"
"60407","60407","407","6","28","6004","7","125","10"
"60408","60408","408","6","29","6004","8","125","10"
"60501","60501","501","6","40","6005","1","130","10"
"60502","60502","502","6","42","6005","2","130","10"
"60503","60503","503","6","41","6005","3","135","10"
"60504","60504","504","6","43","6005","4","135","10"
"60505","60505","505","6","89","6005","5","140","10"
"60506","60506","506","6","82","6005","6","140","10"
"60507","60507","507","6","84","6005","7","145","10"
"60508","60508","508","6","91","6005","8","145","10"
"60601","60601","601","6","119","6006","1","150","10"
"60602","60602","602","6","50","6006","2","150","10"
"60603","60603","603","6","52","6006","3","155","10"
"60604","60604","604","6","48","6006","4","155","10"
"60605","60605","605","6","120","6006","5","160","10"
"60606","60606","606","6","51","6006","6","160","10"
"60607","60607","607","6","53","6006","7","165","10"
"60608","60608","608","6","49","6006","8","165","10"
"60701","60701","701","6","44","6007","1","170","10"
"60702","60702","702","6","45","6007","2","170","10"
"60703","60703","703","6","32","6007","3","174","10"
"60704","60704","704","6","33","6007","4","174","10"
"60705","60705","705","6","34","6007","5","178","10"
"60706","60706","706","6","35","6007","6","178","10"
"60707","60707","707","6","38","6007","7","182","10"
"60708","60708","708","6","39","6007","8","182","10"
"60801","60801","801","6","1","6008","1","186","10"
"60802","60802","802","6","6","6008","2","186","10"
"60803","60803","803","6","20","6008","3","190","10"
"60804","60804","804","6","22","6008","4","190","10"
"60805","60805","805","6","24","6008","5","194","10"
"60806","60806","806","6","26","6008","6","194","10"
"60807","60807","807","6","28","6008","7","198","10"
"60808","60808","808","6","29","6008","8","198","10"
