"Name","Id","Parameter","OptionType","OptionValue"
"135","135","WriteDelay_F","float","0.03"
"136","136","GoolgleAcoountLink_STR","string","https://auth.mir4.co.kr/__/auth/handler"
"137","137","ChattingPositionInfo_StageType_STR","string","1,11,12,13,104"
"138","138","Trade_SearchSmelting_Min_INT","int","0"
"139","139","Trade_SearchSmelting_Max_INT","int","12"
"140","140","GameKeyOpenQuest","int","100000100"
"141","141","ProfileImageLevel_INT","int","40"
"142","142","ShowdownRequstDistance_INT","int","15"
"143","143","WarPartyIcon_F","float","1"
"144","144","WarFriendIcon_F","float","0.7"
"145","145","WarEnemyIcon_F","float","0.7"
"146","146","WarNeutralityIcon_F","float","0.7"
"147","147","WarOther_F","float","0.7"
"148","148","PkDropObjectDeleteTime_INT","int","300"
"149","149","OnClickGameStart_Timeout_F","float","60"
"150","150","AutoBattlePartyRange_F","float","2000"
"151","151","HeartBeatCountForReconnect_INT","int","10"
"152","152","Individual_Storage_ContentsAlram_INT","int","2070003"
"153","153","PKAlarm_CoolTimeSec_Int","int","30"
"154","154","ITEM_OPTION_Grade_A_INT","int","2"
"155","155","UsePacketEncrypt","int","1"
"156","156","ItemAutoSmeltingGrade_INT","int","2,3"
"157","157","ItemAutoSmeltingDefaultValue_INT","int","4"
"158","158","Server_Visit_Alarm_Start_INT","int","300"
"159","159","Server_Visit_Alarm_Cycle_INT","int","60"
"160","160","Server_Visit_Alarm_Message_INT","int","2100045"
"161","161","Server_Visit_End_Message_INT","int","2100046"
"162","162","PetLvUpBroadeCastInfo_INT","int","1065513"
"163","163","GUILD_WAR_SIEGE_BattleEnd_UITimeSec","int","60"
"164","164","PathPCAHideMat","string","MaterialInstanceConstant'/Game/Characters/Material/PCA_FADE_ins_00.PCA_FADE_ins_00'"
"165","165","PetShowDistance_INT","int","1000"
"166","166","ServerVisit_Entrance_Delay_Time","float","7"
"167","167","ServerVisit_Guild_Max_ListCount","int","50"
"168","168","SeverVisitSearchDelay_INT","int","3"
"169","169","GoolgleAcoountLinkGlobal_STR","string","https://auth.mir4global.com/__/auth/handler"
"170","170","CharInfo_EquipSlotOrder_STR","string","1,9,5,6,7,8,2,3,4,10"
"171","171","Quick_EquipSlotOrder_STR","string","1,9,5,2,6,3,7,4,8,10"
"172","172","Jewel_SlotClose_int","int","0"
"173","173","GlobalMaxNickNameLenth_INT","int","12"
"174","174","GlobalMinClanNameLenth_INT","int","2"
"175","175","GlobalMaxClanNameLenth_INT","int","12"
"176","176","MinClanNameLenth_INT","int","2"
"177","177","MaxClanNameLenth_INT","int","8"
"178","178","GlobalMinNickNameLenth_INT","int","2"
"179","179","ItemAutoOptionGradeDefaultCount_A_INT","int","2"
"180","180","ItemAutoOptionGradeDefaultCount_S_INT","int","1"
"181","181","ItemAutoOptionGradeDefaultCount_SS_INT","int","1"
"182","182","ItemAutoOptionMaxRepeatCount_INT","int","999"
"183","183","ITEM_OPTION_SPECIAL_OPEN","int","1"
"184","184","Guild_Searching_Delay_Time_float","float","15"
"185","185","PartyInviteChatCount","int","100"
"186","186","PartyInviteBtnCoolTime","int","10"
"187","187","GlobalMinClanAliasLenth_INT","int","2"
"188","188","GlobalMaxClanAliasLenth_INT","int","12"
"189","189","MinClanAliasLenth_INT","int","2"
"190","190","MaxClanAliasLenth_INT","int","6"
"191","191","HudSizeX","int","1920"
"192","192","HudSizeY","int","1080"
"193","193","PingColor_100","string","00FF00"
"194","194","PingColor_200","string","FFBC00"
"195","195","PingColor_Bad","string","FF0000"
"196","196","PingColor_Etc","string","7E7E7E"
"197","197","PingColor_Maintenance","string","FF0000"
"198","198","DungeonTicketAlarmCount_INT","int","5"
"199","199","Use_Global_RegExr","int","1"
"200","200","SteamAccountOpen","int","1"
"201","201","ItemCollection_Favorites_MaxCount","int","30"
"202","202","eventUpdateTime_INT","int","600"
"203","203","EnableGreatBuilding_OnOff","int","1"
"204","204","Platform_Google_GuestHidde_INT","int","0"
"205","205","Platform_iOS_GuestHidde_INT","int","0"
"206","206","Platform_xsolla_GuestHidde_INT","int","0"
"207","207","Platform_Steam_GuestHidde_INT","int","0"
"208","208","Guild_Development_Apply_INT","int","1"
"209","209","Guild_Attack_Alliance_Apply_INT","int","1"
"210","210","AdUnitID_AOS","string","ca-app-pub-5765830604075669/1397122474"
"211","211","AdUnitID_iOS","string","ca-app-pub-5765830604075669/8908780986"
"212","212","CheckMacro_Detection_Logout_INT","int","1"
"213","213","GuestAccount_InGame_Not_Access_INT","int","1"
"214","214","PK_Mode_Change_Stage_Type_STR","string","103, 104"
"215","215","PK_Mode_Change_Condition_STR","string","3, 4, 10, 11"
"216","216","PK_Mode_Change_Result_INT","int","1"
"217","217","Collect_Packet_Time_F","float","0.5"
"218","218","Dungeon_Auto_Extend_Time_F","float","60"
"219","219","XdracoStorageRefreshTime_F","float","0.5"
"220","220","NFT_LoadNFTButton_OnOff_INT","int","1"
"221","221","WarpRetryDelay","float","5"
"222","222","Sever_Visit_M_103_Move_INT","int","4800"
"223","223","Sever_Visit_M_104_Move_INT","int","4900"
"224","224","Capcha_OnOff","int","1"
"225","225","PK_Mode_Change_Result_Server_Visitor_INT","int","8"
"226","226","Conquer_Server_Search_Time_Float","float","7"
"227","227","Conquer_Server_Alarm_Start","int","300"
"228","228","Conquer_Server_Alarm_Cycle","int","60"
"229","229","Conquer_Server_Alarm_Message","int","2100160"
"230","230","Conquer_Server_End_Message","int","2100161"
"231","231","UseBlockChain_WIN64","int","1"
"232","232","UseBlockChain_AOS","int","1"
"233","233","UseBlockChain_IOS","int","0"
"234","234","UseBlockChain_STEAM","int","0"
"235","235","ShowObjectDist_F","float","3000"
"236","236","Server_Change_UMG_BlockScreen_Time_Float","float","10"
"237","237","ASSASSIN_By_Language","int","2100203"
"238","238","ASSASSIN_Mode_Change_Result_INT","int","1"
"239","239","Quick_EquipSlotOrder_STR2","string","11,12,13,14,15"
"240","240","Server_Combined_Alram","int","0"
"241","241","UseNFTServer_WIN64","int","0"
"242","242","UseNFTServer_AOS","int","0"
"243","243","UseNFTServer_IOS","int","0"
"244","244","UseNFTServer_STEAM","int","0"
"245","245","RepeatQuest_Favorites_MaxCount","int","10"
"246","246","ASSASSIN_Hidden_VEHICLE_RIDE_Id_INT","int","100"
"247","247","ChattingPositionInfo_Not_Use_Start_Range_INT","int","300000"
"248","248","ChattingPositionInfo_Not_Use_End_Range_INT","int","399999"
"249","249","Emperor_Vehicle_Ride_Id","int","2015"
"250","250","ITEM_SPECIAL_EXCHANGE_TOTAL_MENU_CONENTSId_INT","int","6600"
"251","251","ChatFavorites_INT","int","10"
"252","252","ITEM_SPECIAL_EXCHANGE_PACKET_SUCCESS_INT","int","10"
"253","253","TOTAL_MENU_Not_Use_StageType_STR","string","103, 104"
"254","254","TOTAL_MENU_Not_Use_Id_STR","string","19"
"255","255","G_HudSkillSetExtend_ContentsOpen_SkillDeck","int","1501"
"256","256","G_HudSkillSetExtend_ContentsOpen_SkillSlot","int","106"
"257","257","AutoReturnSleepMode_F","float","30"
"258","258","StartSleepModeTime3_F","float","300"
"259","259","MapmarkCount_INT","int","10"
"260","260","REFINE_MOVIE_FADE_IN_VALUE","float","0.5"
"261","261","REFINE_MOVIE_FADE_OUT_VALUE","float","0"
"262","262","MapmarkCount_INT","int","10"
"263","263","POTENTIALLvUpBroadeCastInfo_INT","int","2618035"
"264","264","GuildAllianceChattingMaxCount_INT","int","100"
"265","265","AltarReport_RefreshDelay_INT","int","3"
"269","269","PushOnOffdelay","int","30"
