"Name","ListGroupId","ItemId","Value","ItemRate"
"10049","40000003","(1701200050,1701200050,1701200050,1701200050,1701200050,1701200050)","1","43478"
"10050","40000003","(1701200052,1701200052,1701200052,1701200052,1701200052,1701200052)","1","43478"
"10051","40000003","(1701200054,1701200054,1701200054,1701200054,1701200054,1701200054)","1","43478"
"10052","40000003","(1701200055,1701200055,1701200055,1701200055,1701200055,1701200055)","1","43478"
"10053","40000003","(1701200056,1701200056,1701200056,1701200056,1701200056,1701200056)","1","43478"
"10054","40000003","(1701200058,1701200058,1701200058,1701200058,1701200058,1701200058)","1","43478"
"10055","40000003","(1701200060,1701200060,1701200060,1701200060,1701200060,1701200060)","1","43478"
"10056","40000003","(1701200062,1701200062,1701200062,1701200062,1701200062,1701200062)","1","43478"
"10057","40000003","(1701200065,1701200065,1701200065,1701200065,1701200065,1701200065)","1","43478"
"10058","50000001","(1201200201,1201200201,1201200201,1201200201,1201200201,1201200201)","1","1000000"
"10059","50000002","(1201201301,1201202301,1201203301,1201204301,1201205301,1201206301)","1","93750"
"10060","50000002","(1201201302,1201202302,1201203302,1201204302,1201205302,1201206302)","1","93750"
"10061","50000002","(1201201303,1201202303,1201203303,1201204303,1201205303,1201206303)","1","93750"
"10062","50000002","(1201201304,1201202304,1201203304,1201204308,1201205304,1201206304)","1","93750"
"10063","50000002","(1201201305,1201202305,1201203305,1201204306,1201205305,1201206305)","1","93750"
"10064","50000002","(1201201306,1201202306,1201203306,1201204307,1201205306,1201206306)","1","93750"
"10065","50000002","(1201201307,1201202307,1201203307,1201204311,1201205307,1201206307)","1","93750"
"10066","50000002","(1201201308,1201202308,1201203308,1201204309,1201205308,1201206308)","1","93750"
"10067","50000002","(1201201309,1201202309,1201203309,1201204305,1201205309,1201206309)","1","62500"
"10068","50000002","(1201201310,1201202310,1201203310,1201204310,1201205310,1201206310)","1","62500"
"10069","50000002","(1201201311,1201202311,1201203311,1201204312,1201205311,1201206311)","1","62500"
"10070","50000002","(1201201312,1201202312,1201203312,1201204304,1201205312,1201206312)","1","31250"
"10071","50000002","(1201201313,1201202313,1201203313,1201204313,1201205313,1201206313)","1","31250"
"10072","50000003","(1201201401,1201202401,1201203401,1201204401,1201205401,1201206401)","1","93750"
"10073","50000003","(1201201402,1201202402,1201203402,1201204402,1201205402,1201206402)","1","93750"
"10074","50000003","(1201201403,1201202403,1201203403,1201204403,1201205403,1201206403)","1","93750"
"10075","50000003","(1201201404,1201202404,1201203404,1201204408,1201205404,1201206404)","1","93750"
"10076","50000003","(1201201405,1201202405,1201203405,1201204406,1201205405,1201206405)","1","93750"
"10077","50000003","(1201201406,1201202406,1201203406,1201204407,1201205406,1201206406)","1","93750"
"10078","50000003","(1201201407,1201202407,1201203407,1201204411,1201205407,1201206407)","1","93750"
"10079","50000003","(1201201408,1201202408,1201203408,1201204409,1201205408,1201206408)","1","93750"
"10080","50000003","(1201201409,1201202409,1201203409,1201204405,1201205409,1201206409)","1","62500"
"10081","50000003","(1201201410,1201202410,1201203410,1201204410,1201205410,1201206410)","1","62500"
"10082","50000003","(1201201411,1201202411,1201203411,1201204412,1201205411,1201206411)","1","62500"
"10083","50000003","(1201201412,1201202412,1201203412,1201204404,1201205412,1201206412)","1","31250"
"10084","50000003","(1201201413,1201202413,1201203413,1201204413,1201205413,1201206413)","1","31250"
"10085","60000001","(903200001,903200001,903200001,903200001,903200001,903200001)","1","166667"
"10086","60000001","(904200001,904200001,904200001,904200001,904200001,904200001)","1","166668"
"10087","60000001","(905200001,905200001,905200001,905200001,905200001,905200001)","1","166667"
"10088","60000001","(906200001,906200001,906200001,906200001,906200001,906200001)","1","166666"
"10089","60000001","(907200001,907200001,907200001,907200001,907200001,907200001)","1","166666"
"10090","60000001","(908200001,908200001,908200001,908200001,908200001,908200001)","1","166666"
"10091","60000002","(903200002,903200002,903200002,903200002,903200002,903200002)","1","166667"
"10092","60000002","(904200002,904200002,904200002,904200002,904200002,904200002)","1","166668"
"10093","60000002","(905200002,905200002,905200002,905200002,905200002,905200002)","1","166667"
"10094","60000002","(906200002,906200002,906200002,906200002,906200002,906200002)","1","166666"
"10095","60000002","(907200002,907200002,907200002,907200002,907200002,907200002)","1","166666"
"10096","60000002","(908200002,908200002,908200002,908200002,908200002,908200002)","1","166666"
"10097","60000003","(903200003,903200003,903200003,903200003,903200003,903200003)","1","166667"
"10098","60000003","(904200003,904200003,904200003,904200003,904200003,904200003)","1","166668"
"10099","60000003","(905200003,905200003,905200003,905200003,905200003,905200003)","1","166667"
"10100","60000003","(906200003,906200003,906200003,906200003,906200003,906200003)","1","166666"
"10101","60000003","(907200003,907200003,907200003,907200003,907200003,907200003)","1","166666"
"10102","60000003","(908200003,908200003,908200003,908200003,908200003,908200003)","1","166666"
"10103","11000001","(903200001,903200001,903200001,903200001,903200001,903200001)","1","166667"
"10104","11000001","(904200001,904200001,904200001,904200001,904200001,904200001)","1","166668"
"10105","11000001","(905200001,905200001,905200001,905200001,905200001,905200001)","1","166667"
"10106","11000001","(906200001,906200001,906200001,906200001,906200001,906200001)","1","166666"
"10107","11000001","(907200001,907200001,907200001,907200001,907200001,907200001)","1","166666"
"10108","11000001","(908200001,908200001,908200001,908200001,908200001,908200001)","1","166666"
"10109","11000002","(903200002,903200002,903200002,903200002,903200002,903200002)","1","166667"
"10110","11000002","(904200002,904200002,904200002,904200002,904200002,904200002)","1","166668"
"10111","11000002","(905200002,905200002,905200002,905200002,905200002,905200002)","1","166667"
"10112","11000002","(906200002,906200002,906200002,906200002,906200002,906200002)","1","166666"
"10113","11000002","(907200002,907200002,907200002,907200002,907200002,907200002)","1","166666"
"10114","11000002","(908200002,908200002,908200002,908200002,908200002,908200002)","1","166666"
"10115","11000003","(903200003,903200003,903200003,903200003,903200003,903200003)","1","166667"
"10116","11000003","(904200003,904200003,904200003,904200003,904200003,904200003)","1","166668"
"10117","11000003","(905200003,905200003,905200003,905200003,905200003,905200003)","1","166667"
"10118","11000003","(906200003,906200003,906200003,906200003,906200003,906200003)","1","166666"
"10119","11000003","(907200003,907200003,907200003,907200003,907200003,907200003)","1","166666"
"10120","11000003","(908200003,908200003,908200003,908200003,908200003,908200003)","1","166666"
"10121","11100001","(903200001,903200001,903200001,903200001,903200001,903200001)","1","166667"
"10122","11100001","(904200001,904200001,904200001,904200001,904200001,904200001)","1","166668"
"10123","11100001","(905200001,905200001,905200001,905200001,905200001,905200001)","1","166667"
"10124","11100001","(906200001,906200001,906200001,906200001,906200001,906200001)","1","166666"
"10125","11100001","(907200001,907200001,907200001,907200001,907200001,907200001)","1","166666"
"10126","11100001","(908200001,908200001,908200001,908200001,908200001,908200001)","1","166666"
"10127","11100002","(903200002,903200002,903200002,903200002,903200002,903200002)","1","166667"
"10128","11100002","(904200002,904200002,904200002,904200002,904200002,904200002)","1","166668"
"10129","11100002","(905200002,905200002,905200002,905200002,905200002,905200002)","1","166667"
"10130","11100002","(906200002,906200002,906200002,906200002,906200002,906200002)","1","166666"
"10131","11100002","(907200002,907200002,907200002,907200002,907200002,907200002)","1","166666"
"10132","11100002","(908200002,908200002,908200002,908200002,908200002,908200002)","1","166666"
"10133","11100003","(903200003,903200003,903200003,903200003,903200003,903200003)","1","166667"
"10134","11100003","(904200003,904200003,904200003,904200003,904200003,904200003)","1","166668"
"10135","11100003","(905200003,905200003,905200003,905200003,905200003,905200003)","1","166667"
"10136","11100003","(906200003,906200003,906200003,906200003,906200003,906200003)","1","166666"
"10137","11100003","(907200003,907200003,907200003,907200003,907200003,907200003)","1","166666"
"10138","11100003","(908200003,908200003,908200003,908200003,908200003,908200003)","1","166666"
"10139","11200001","(903200001,903200001,903200001,903200001,903200001,903200001)","1","166667"
"10140","11200001","(904200001,904200001,904200001,904200001,904200001,904200001)","1","166668"
"10141","11200001","(905200001,905200001,905200001,905200001,905200001,905200001)","1","166667"
"10142","11200001","(906200001,906200001,906200001,906200001,906200001,906200001)","1","166666"
"10143","11200001","(907200001,907200001,907200001,907200001,907200001,907200001)","1","166666"
"10144","11200001","(908200001,908200001,908200001,908200001,908200001,908200001)","1","166666"
"10145","11200002","(903200002,903200002,903200002,903200002,903200002,903200002)","1","166667"
"10146","11200002","(904200002,904200002,904200002,904200002,904200002,904200002)","1","166668"
"10147","11200002","(905200002,905200002,905200002,905200002,905200002,905200002)","1","166667"
"10148","11200002","(906200002,906200002,906200002,906200002,906200002,906200002)","1","166666"
"10149","11200002","(907200002,907200002,907200002,907200002,907200002,907200002)","1","166666"
"10150","11200002","(908200002,908200002,908200002,908200002,908200002,908200002)","1","166666"
"10151","11200003","(903200003,903200003,903200003,903200003,903200003,903200003)","1","166667"
"10152","11200003","(904200003,904200003,904200003,904200003,904200003,904200003)","1","166668"
"10153","11200003","(905200003,905200003,905200003,905200003,905200003,905200003)","1","166667"
"10154","11200003","(906200003,906200003,906200003,906200003,906200003,906200003)","1","166666"
"10155","11200003","(907200003,907200003,907200003,907200003,907200003,907200003)","1","166666"
"10156","11200003","(908200003,908200003,908200003,908200003,908200003,908200003)","1","166666"
"10157","12000001","(1701200001,1701200001,1701200001,1701200001,1701200001,1701200001)","1","83334"
"10158","12000001","(1701200002,1701200002,1701200002,1701200002,1701200002,1701200002)","1","83334"
"10159","12000001","(1701200003,1701200003,1701200003,1701200003,1701200003,1701200003)","1","83334"
"10160","12000001","(1701200005,1701200005,1701200005,1701200005,1701200005,1701200005)","1","83334"
"10161","12000001","(1701200006,1701200006,1701200006,1701200006,1701200006,1701200006)","1","83333"
"10162","12000001","(1701200008,1701200008,1701200008,1701200008,1701200008,1701200008)","1","83333"
"10163","12000001","(1701200010,1701200010,1701200010,1701200010,1701200010,1701200010)","1","83333"
"10164","12000001","(1701200011,1701200011,1701200011,1701200011,1701200011,1701200011)","1","83333"
"10165","12000001","(1701200014,1701200014,1701200014,1701200014,1701200014,1701200014)","1","83333"
"10166","12000001","(1701200016,1701200016,1701200016,1701200016,1701200016,1701200016)","1","83333"
"10167","12000001","(1701200018,1701200018,1701200018,1701200018,1701200018,1701200018)","1","83333"
"10168","12000001","(1701200023,1701200023,1701200023,1701200023,1701200023,1701200023)","1","83333"
"10169","12000002","(1701200004,1701200004,1701200004,1701200004,1701200004,1701200004)","1","76924"
"10170","12000002","(1701200007,1701200007,1701200007,1701200007,1701200007,1701200007)","1","76923"
"10171","12000002","(1701200009,1701200009,1701200009,1701200009,1701200009,1701200009)","1","76923"
"10172","12000002","(1701200012,1701200012,1701200012,1701200012,1701200012,1701200012)","1","76923"
"10173","12000002","(1701200013,1701200013,1701200013,1701200013,1701200013,1701200013)","1","76923"
"10174","12000002","(1701200015,1701200015,1701200015,1701200015,1701200015,1701200015)","1","76923"
"10175","12000002","(1701200019,1701200019,1701200019,1701200019,1701200019,1701200019)","1","76923"
"10176","12000002","(1701200020,1701200020,1701200020,1701200020,1701200020,1701200020)","1","76923"
"10177","12000002","(1701200022,1701200022,1701200022,1701200022,1701200022,1701200022)","1","76923"
"10178","12000002","(1701200025,1701200025,1701200025,1701200025,1701200025,1701200025)","1","76923"
"10179","12000002","(1701200030,1701200030,1701200030,1701200030,1701200030,1701200030)","1","76923"
"10180","12000002","(1701200032,1701200032,1701200032,1701200032,1701200032,1701200032)","1","76923"
"10181","12000002","(1701200033,1701200033,1701200033,1701200033,1701200033,1701200033)","1","76923"
"10182","12000003","(1701200021,1701200021,1701200021,1701200021,1701200021,1701200021)","1","43479"
"10183","12000003","(1701200026,1701200026,1701200026,1701200026,1701200026,1701200026)","1","43479"
"10184","12000003","(1701200027,1701200027,1701200027,1701200027,1701200027,1701200027)","1","43479"
"10185","12000003","(1701200028,1701200028,1701200028,1701200028,1701200028,1701200028)","1","43479"
"10186","12000003","(1701200029,1701200029,1701200029,1701200029,1701200029,1701200029)","1","43479"
"10187","12000003","(1701200034,1701200034,1701200034,1701200034,1701200034,1701200034)","1","43479"
"10188","12000003","(1701200035,1701200035,1701200035,1701200035,1701200035,1701200035)","1","43478"
"10189","12000003","(1701200037,1701200037,1701200037,1701200037,1701200037,1701200037)","1","43478"
"10190","12000003","(1701200038,1701200038,1701200038,1701200038,1701200038,1701200038)","1","43478"
"10191","12000003","(1701200039,1701200039,1701200039,1701200039,1701200039,1701200039)","1","43478"
"10192","12000003","(1701200044,1701200044,1701200044,1701200044,1701200044,1701200044)","1","43478"
"10193","12000003","(1701200045,1701200045,1701200045,1701200045,1701200045,1701200045)","1","43478"
"10194","12000003","(1701200047,1701200047,1701200047,1701200047,1701200047,1701200047)","1","43478"
"10195","12000003","(1701200048,1701200048,1701200048,1701200048,1701200048,1701200048)","1","43478"
"10196","12000003","(1701200050,1701200050,1701200050,1701200050,1701200050,1701200050)","1","43478"
"10197","12000003","(1701200052,1701200052,1701200052,1701200052,1701200052,1701200052)","1","43478"
"10198","12000003","(1701200054,1701200054,1701200054,1701200054,1701200054,1701200054)","1","43478"
"10199","12000003","(1701200055,1701200055,1701200055,1701200055,1701200055,1701200055)","1","43478"
"10200","12000003","(1701200056,1701200056,1701200056,1701200056,1701200056,1701200056)","1","43478"
"10201","12000003","(1701200058,1701200058,1701200058,1701200058,1701200058,1701200058)","1","43478"
"10202","12000003","(1701200060,1701200060,1701200060,1701200060,1701200060,1701200060)","1","43478"
"10203","12000003","(1701200062,1701200062,1701200062,1701200062,1701200062,1701200062)","1","43478"
"10204","12000003","(1701200065,1701200065,1701200065,1701200065,1701200065,1701200065)","1","43478"
"10205","12100001","(1701200001,1701200001,1701200001,1701200001,1701200001,1701200001)","1","83334"
"10206","12100001","(1701200002,1701200002,1701200002,1701200002,1701200002,1701200002)","1","83334"
"10207","12100001","(1701200003,1701200003,1701200003,1701200003,1701200003,1701200003)","1","83334"
"10208","12100001","(1701200005,1701200005,1701200005,1701200005,1701200005,1701200005)","1","83334"
"10209","12100001","(1701200006,1701200006,1701200006,1701200006,1701200006,1701200006)","1","83333"
"10210","12100001","(1701200008,1701200008,1701200008,1701200008,1701200008,1701200008)","1","83333"
"10211","12100001","(1701200010,1701200010,1701200010,1701200010,1701200010,1701200010)","1","83333"
"10212","12100001","(1701200011,1701200011,1701200011,1701200011,1701200011,1701200011)","1","83333"
"10213","12100001","(1701200014,1701200014,1701200014,1701200014,1701200014,1701200014)","1","83333"
"10214","12100001","(1701200016,1701200016,1701200016,1701200016,1701200016,1701200016)","1","83333"
"10215","12100001","(1701200018,1701200018,1701200018,1701200018,1701200018,1701200018)","1","83333"
"10216","12100001","(1701200023,1701200023,1701200023,1701200023,1701200023,1701200023)","1","83333"
"10217","12100002","(1701200004,1701200004,1701200004,1701200004,1701200004,1701200004)","1","76924"
"10218","12100002","(1701200007,1701200007,1701200007,1701200007,1701200007,1701200007)","1","76923"
"10219","12100002","(1701200009,1701200009,1701200009,1701200009,1701200009,1701200009)","1","76923"
"10220","12100002","(1701200012,1701200012,1701200012,1701200012,1701200012,1701200012)","1","76923"
"10221","12100002","(1701200013,1701200013,1701200013,1701200013,1701200013,1701200013)","1","76923"
"10222","12100002","(1701200015,1701200015,1701200015,1701200015,1701200015,1701200015)","1","76923"
"10223","12100002","(1701200019,1701200019,1701200019,1701200019,1701200019,1701200019)","1","76923"
"10224","12100002","(1701200020,1701200020,1701200020,1701200020,1701200020,1701200020)","1","76923"
"10225","12100002","(1701200022,1701200022,1701200022,1701200022,1701200022,1701200022)","1","76923"
"10226","12100002","(1701200025,1701200025,1701200025,1701200025,1701200025,1701200025)","1","76923"
"10227","12100002","(1701200030,1701200030,1701200030,1701200030,1701200030,1701200030)","1","76923"
"10228","12100002","(1701200032,1701200032,1701200032,1701200032,1701200032,1701200032)","1","76923"
"10229","12100002","(1701200033,1701200033,1701200033,1701200033,1701200033,1701200033)","1","76923"
"10230","12100003","(1701200021,1701200021,1701200021,1701200021,1701200021,1701200021)","1","43479"
"10231","12100003","(1701200026,1701200026,1701200026,1701200026,1701200026,1701200026)","1","43479"
"10232","12100003","(1701200027,1701200027,1701200027,1701200027,1701200027,1701200027)","1","43479"
"10233","12100003","(1701200028,1701200028,1701200028,1701200028,1701200028,1701200028)","1","43479"
"10234","12100003","(1701200029,1701200029,1701200029,1701200029,1701200029,1701200029)","1","43479"
"10235","12100003","(1701200034,1701200034,1701200034,1701200034,1701200034,1701200034)","1","43479"
"10236","12100003","(1701200035,1701200035,1701200035,1701200035,1701200035,1701200035)","1","43478"
"10237","12100003","(1701200037,1701200037,1701200037,1701200037,1701200037,1701200037)","1","43478"
"10238","12100003","(1701200038,1701200038,1701200038,1701200038,1701200038,1701200038)","1","43478"
"10239","12100003","(1701200039,1701200039,1701200039,1701200039,1701200039,1701200039)","1","43478"
"10240","12100003","(1701200044,1701200044,1701200044,1701200044,1701200044,1701200044)","1","43478"
"10241","12100003","(1701200045,1701200045,1701200045,1701200045,1701200045,1701200045)","1","43478"
"10242","12100003","(1701200047,1701200047,1701200047,1701200047,1701200047,1701200047)","1","43478"
"10243","12100003","(1701200048,1701200048,1701200048,1701200048,1701200048,1701200048)","1","43478"
"10244","12100003","(1701200050,1701200050,1701200050,1701200050,1701200050,1701200050)","1","43478"
"10245","12100003","(1701200052,1701200052,1701200052,1701200052,1701200052,1701200052)","1","43478"
"10246","12100003","(1701200054,1701200054,1701200054,1701200054,1701200054,1701200054)","1","43478"
"10247","12100003","(1701200055,1701200055,1701200055,1701200055,1701200055,1701200055)","1","43478"
"10248","12100003","(1701200056,1701200056,1701200056,1701200056,1701200056,1701200056)","1","43478"
"10249","12100003","(1701200058,1701200058,1701200058,1701200058,1701200058,1701200058)","1","43478"
"10250","12100003","(1701200060,1701200060,1701200060,1701200060,1701200060,1701200060)","1","43478"
"10251","12100003","(1701200062,1701200062,1701200062,1701200062,1701200062,1701200062)","1","43478"
"10252","12100003","(1701200065,1701200065,1701200065,1701200065,1701200065,1701200065)","1","43478"
"10253","12200001","(1701200001,1701200001,1701200001,1701200001,1701200001,1701200001)","1","83334"
"10254","12200001","(1701200002,1701200002,1701200002,1701200002,1701200002,1701200002)","1","83334"
"10255","12200001","(1701200003,1701200003,1701200003,1701200003,1701200003,1701200003)","1","83334"
"10256","12200001","(1701200005,1701200005,1701200005,1701200005,1701200005,1701200005)","1","83334"
"10257","12200001","(1701200006,1701200006,1701200006,1701200006,1701200006,1701200006)","1","83333"
"10258","12200001","(1701200008,1701200008,1701200008,1701200008,1701200008,1701200008)","1","83333"
"10259","12200001","(1701200010,1701200010,1701200010,1701200010,1701200010,1701200010)","1","83333"
"10260","12200001","(1701200011,1701200011,1701200011,1701200011,1701200011,1701200011)","1","83333"
"10261","12200001","(1701200014,1701200014,1701200014,1701200014,1701200014,1701200014)","1","83333"
"10262","12200001","(1701200016,1701200016,1701200016,1701200016,1701200016,1701200016)","1","83333"
"10263","12200001","(1701200018,1701200018,1701200018,1701200018,1701200018,1701200018)","1","83333"
"10264","12200001","(1701200023,1701200023,1701200023,1701200023,1701200023,1701200023)","1","83333"
"10265","12200002","(1701200004,1701200004,1701200004,1701200004,1701200004,1701200004)","1","76924"
"10266","12200002","(1701200007,1701200007,1701200007,1701200007,1701200007,1701200007)","1","76923"
"10267","12200002","(1701200009,1701200009,1701200009,1701200009,1701200009,1701200009)","1","76923"
"10268","12200002","(1701200012,1701200012,1701200012,1701200012,1701200012,1701200012)","1","76923"
"10269","12200002","(1701200013,1701200013,1701200013,1701200013,1701200013,1701200013)","1","76923"
"10270","12200002","(1701200015,1701200015,1701200015,1701200015,1701200015,1701200015)","1","76923"
"10271","12200002","(1701200019,1701200019,1701200019,1701200019,1701200019,1701200019)","1","76923"
"10272","12200002","(1701200020,1701200020,1701200020,1701200020,1701200020,1701200020)","1","76923"
"10273","12200002","(1701200022,1701200022,1701200022,1701200022,1701200022,1701200022)","1","76923"
"10274","12200002","(1701200025,1701200025,1701200025,1701200025,1701200025,1701200025)","1","76923"
"10275","12200002","(1701200030,1701200030,1701200030,1701200030,1701200030,1701200030)","1","76923"
"10276","12200002","(1701200032,1701200032,1701200032,1701200032,1701200032,1701200032)","1","76923"
"10277","12200002","(1701200033,1701200033,1701200033,1701200033,1701200033,1701200033)","1","76923"
"10278","12200003","(1701200021,1701200021,1701200021,1701200021,1701200021,1701200021)","1","43479"
"10279","12200003","(1701200026,1701200026,1701200026,1701200026,1701200026,1701200026)","1","43479"
"10280","12200003","(1701200027,1701200027,1701200027,1701200027,1701200027,1701200027)","1","43479"
"10281","12200003","(1701200028,1701200028,1701200028,1701200028,1701200028,1701200028)","1","43479"
"10282","12200003","(1701200029,1701200029,1701200029,1701200029,1701200029,1701200029)","1","43479"
"10283","12200003","(1701200034,1701200034,1701200034,1701200034,1701200034,1701200034)","1","43479"
"10284","12200003","(1701200035,1701200035,1701200035,1701200035,1701200035,1701200035)","1","43478"
"10285","12200003","(1701200037,1701200037,1701200037,1701200037,1701200037,1701200037)","1","43478"
"10286","12200003","(1701200038,1701200038,1701200038,1701200038,1701200038,1701200038)","1","43478"
"10287","12200003","(1701200039,1701200039,1701200039,1701200039,1701200039,1701200039)","1","43478"
"10288","12200003","(1701200044,1701200044,1701200044,1701200044,1701200044,1701200044)","1","43478"
"10289","12200003","(1701200045,1701200045,1701200045,1701200045,1701200045,1701200045)","1","43478"
"10290","12200003","(1701200047,1701200047,1701200047,1701200047,1701200047,1701200047)","1","43478"
"10291","12200003","(1701200048,1701200048,1701200048,1701200048,1701200048,1701200048)","1","43478"
"10292","12200003","(1701200050,1701200050,1701200050,1701200050,1701200050,1701200050)","1","43478"
"10293","12200003","(1701200052,1701200052,1701200052,1701200052,1701200052,1701200052)","1","43478"
"10294","12200003","(1701200054,1701200054,1701200054,1701200054,1701200054,1701200054)","1","43478"
"10295","12200003","(1701200055,1701200055,1701200055,1701200055,1701200055,1701200055)","1","43478"
"10296","12200003","(1701200056,1701200056,1701200056,1701200056,1701200056,1701200056)","1","43478"
"10297","12200003","(1701200058,1701200058,1701200058,1701200058,1701200058,1701200058)","1","43478"
"10298","12200003","(1701200060,1701200060,1701200060,1701200060,1701200060,1701200060)","1","43478"
"10299","12200003","(1701200062,1701200062,1701200062,1701200062,1701200062,1701200062)","1","43478"
"10300","12200003","(1701200065,1701200065,1701200065,1701200065,1701200065,1701200065)","1","43478"
"10301","13000001","(1201200201,1201200201,1201200201,1201200201,1201200201,1201200201)","1","1000000"
"10302","13000002","(1201201301,1201202301,1201203301,1201204301,1201205301,1201206301)","1","93750"
"10303","13000002","(1201201302,1201202302,1201203302,1201204302,1201205302,1201206302)","1","93750"
"10304","13000002","(1201201303,1201202303,1201203303,1201204303,1201205303,1201206303)","1","93750"
"10305","13000002","(1201201304,1201202304,1201203304,1201204308,1201205304,1201206304)","1","93750"
"10306","13000002","(1201201305,1201202305,1201203305,1201204306,1201205305,1201206305)","1","93750"
"10307","13000002","(1201201306,1201202306,1201203306,1201204307,1201205306,1201206306)","1","93750"
"10308","13000002","(1201201307,1201202307,1201203307,1201204311,1201205307,1201206307)","1","93750"
"10309","13000002","(1201201308,1201202308,1201203308,1201204309,1201205308,1201206308)","1","93750"
"10310","13000002","(1201201309,1201202309,1201203309,1201204305,1201205309,1201206309)","1","62500"
"10311","13000002","(1201201310,1201202310,1201203310,1201204310,1201205310,1201206310)","1","62500"
"10312","13000002","(1201201311,1201202311,1201203311,1201204312,1201205311,1201206311)","1","62500"
"10313","13000002","(1201201312,1201202312,1201203312,1201204304,1201205312,1201206312)","1","31250"
