"Name","MagicOrbOptionId","OptionGrade","AttributeType","OptionValue01","OptionValue02","OptionValue03","OptionValue04","OptionValue05","OptionValue06","OptionValue07","OptionValue08","OptionValue09","OptionValue10","OptionValue11","OptionValue12"
"1107","1107","0","32","78","104","182","208","234","312","338","364","442","468","494","572"
"1108","1108","0","34","104","138","242","276","310","414","448","482","586","620","654","758"
"1109","1109","0","20","82","109","191","218","245","327","354","381","463","490","517","599"
"1110","1110","0","28","43","57","100","114","128","171","185","199","242","256","270","313"
"1111","1111","0","51","54","72","126","144","162","216","234","252","306","324","342","396"
"1112","1112","0","38","54","72","126","144","162","216","234","252","306","324","342","396"
"1113","1113","0","47","66","88","154","176","198","264","286","308","374","396","418","484"
"1114","1114","0","30","53","70","123","140","157","210","227","244","297","314","331","384"
"1115","1115","0","46","66","88","154","176","198","264","286","308","374","396","418","484"
"1116","1116","0","47","66","88","154","176","198","264","286","308","374","396","418","484"
"2001","2001","0","97","96","128","224","256","288","384","416","448","544","576","608","704"
"2002","2002","0","52","19","25","44","50","56","75","81","87","106","112","118","137"
"2003","2003","0","89","192","256","448","512","576","768","832","896","1088","1152","1216","1408"
"2004","2004","0","53","19","25","44","50","56","75","81","87","106","112","118","137"
"2005","2005","0","51","19","25","44","50","56","75","81","87","106","112","118","137"
"2006","2006","0","93","288","384","672","768","864","1152","1248","1344","1632","1728","1824","2112"
"2007","2007","0","91","288","384","672","768","864","1152","1248","1344","1632","1728","1824","2112"
"2008","2008","0","91","288","384","672","768","864","1152","1248","1344","1632","1728","1824","2112"
"2009","2009","0","43","19","25","44","50","56","75","81","87","106","112","118","137"
"2010","2010","0","41","19","25","44","50","56","75","81","87","106","112","118","137"
"2011","2011","0","97","96","128","224","256","288","384","416","448","544","576","608","704"
"2012","2012","0","93","304","405","709","810","911","1215","1316","1417","1721","1822","1923","2227"
"2013","2013","0","82","243","324","567","648","729","972","1053","1134","1377","1458","1539","1782"
"2014","2014","0","84","507","676","1183","1352","1521","2028","2197","2366","2873","3042","3211","3718"
"2015","2015","0","88","203","270","473","540","607","810","877","944","1147","1214","1281","1484"
"2016","2016","0","82","243","324","567","648","729","972","1053","1134","1377","1458","1539","1782"
"2017","2017","0","38","20","26","46","52","58","78","84","90","110","116","122","142"
"2018","2018","0","50","20","26","46","52","58","78","84","90","110","116","122","142"
"2019","2019","0","22","30","40","70","80","90","120","130","140","170","180","190","220"
"2020","2020","0","148","60","80","140","160","180","240","260","280","340","360","380","440"
"2021","2021","0","36","20","26","46","52","58","78","84","90","110","116","122","142"
"2022","2022","0","49","20","26","46","52","58","78","84","90","110","116","122","142"
"2023","2023","0","6","121","161","282","322","362","483","523","563","684","724","764","885"
"2024","2024","0","22","37","49","86","98","110","147","159","171","208","220","232","269"
"2025","2025","0","119","24","32","56","64","72","96","104","112","136","144","152","176"
"2026","2026","0","36","24","32","56","64","72","96","104","112","136","144","152","176"
"2027","2027","0","26","37","49","86","98","110","147","159","171","208","220","232","269"
"2101","2101","0","22","78","104","182","208","234","312","338","364","442","468","494","572"
"2102","2102","0","50","52","69","121","138","155","207","224","241","293","310","327","379"
"2103","2103","0","51","52","69","121","138","155","207","224","241","293","310","327","379"
"2104","2104","0","31","41","54","95","108","121","162","175","188","229","242","255","296"
"2105","2105","0","52","52","69","121","138","155","207","224","241","293","310","327","379"
"2106","2106","0","53","52","69","121","138","155","207","224","241","293","310","327","379"
"2107","2107","0","33","78","104","182","208","234","312","338","364","442","468","494","572"
"2108","2108","0","35","104","138","242","276","310","414","448","482","586","620","654","758"
"2109","2109","0","22","82","109","191","218","245","327","354","381","463","490","517","599"
"2110","2110","0","38","54","72","126","144","162","216","234","252","306","324","342","396"
"2111","2111","0","120","54","72","126","144","162","216","234","252","306","324","342","396"
"2112","2112","0","50","54","72","126","144","162","216","234","252","306","324","342","396"
"2113","2113","0","29","53","70","123","140","157","210","227","244","297","314","331","384"
"2114","2114","0","32","99","132","231","264","297","396","429","462","561","594","627","726"
"2115","2115","0","44","66","88","154","176","198","264","286","308","374","396","418","484"
"2116","2116","0","45","66","88","154","176","198","264","286","308","374","396","418","484"
"10001","10001","1","1","295","393","688","786","884","1179","1277","1375","1670","1768","1866","2161"
"10002","10002","2","1","358","477","835","954","1073","1431","1550","1669","2027","2146","2265","2623"
"10003","10003","3","1","421","561","982","1122","1262","1683","1823","1963","2384","2524","2664","3085"
"10004","10004","4","1","506","674","1180","1348","1516","2022","2190","2358","2864","3032","3200","3706"
"10005","10005","1","6","70","93","163","186","209","279","302","325","395","418","441","511"
"10006","10006","2","6","86","114","200","228","256","342","370","398","484","512","540","626"
"10007","10007","3","6","101","134","235","268","301","402","435","468","569","602","635","736"
"10008","10008","4","6","121","161","282","322","362","483","523","563","684","724","764","885"
"10009","10009","1","24","17","22","39","44","49","66","71","76","93","98","103","120"
"10010","10010","2","24","21","28","49","56","63","84","91","98","119","126","133","154"
"10011","10011","3","24","25","33","58","66","74","99","107","115","140","148","156","181"
"10012","10012","4","24","30","40","70","80","90","120","130","140","170","180","190","220"
"10013","10013","1","26","17","22","39","44","49","66","71","76","93","98","103","120"
"10014","10014","2","26","21","28","49","56","63","84","91","98","119","126","133","154"
"10015","10015","3","26","25","33","58","66","74","99","107","115","140","148","156","181"
"10016","10016","4","26","30","40","70","80","90","120","130","140","170","180","190","220"
"10017","10017","1","32","17","22","39","44","49","66","71","76","93","98","103","120"
"10018","10018","2","32","21","28","49","56","63","84","91","98","119","126","133","154"
"10019","10019","3","32","25","33","58","66","74","99","107","115","140","148","156","181"
"10020","10020","4","32","30","40","70","80","90","120","130","140","170","180","190","220"
"10021","10021","1","33","17","22","39","44","49","66","71","76","93","98","103","120"
"10022","10022","2","33","21","28","49","56","63","84","91","98","119","126","133","154"
"10023","10023","3","33","25","33","58","66","74","99","107","115","140","148","156","181"
"10024","10024","4","33","30","40","70","80","90","120","130","140","170","180","190","220"
"10025","10025","1","34","23","30","53","60","67","90","97","104","127","134","141","164"
"10026","10026","2","34","28","37","65","74","83","111","120","129","157","166","175","203"
"10027","10027","3","34","33","44","77","88","99","132","143","154","187","198","209","242"
"10028","10028","4","34","40","53","93","106","119","159","172","185","225","238","251","291"
"10029","10029","1","35","23","30","53","60","67","90","97","104","127","134","141","164"
"10030","10030","2","35","28","37","65","74","83","111","120","129","157","166","175","203"
"10031","10031","3","35","33","44","77","88","99","132","143","154","187","198","209","242"
"10032","10032","4","35","40","53","93","106","119","159","172","185","225","238","251","291"
"10033","10033","1","38","11","14","25","28","31","42","45","48","59","62","65","76"
"10034","10034","2","38","14","18","32","36","40","54","58","62","76","80","84","98"
"10035","10035","3","38","16","21","37","42","47","63","68","73","89","94","99","115"
"10036","10036","4","38","20","26","46","52","58","78","84","90","110","116","122","142"
"10037","10037","1","39","11","14","25","28","31","42","45","48","59","62","65","76"
"10038","10038","2","39","14","18","32","36","40","54","58","62","76","80","84","98"
"10039","10039","3","39","16","21","37","42","47","63","68","73","89","94","99","115"
"10040","10040","4","39","20","26","46","52","58","78","84","90","110","116","122","142"
"10041","10041","1","40","11","14","25","28","31","42","45","48","59","62","65","76"
"10042","10042","2","40","14","18","32","36","40","54","58","62","76","80","84","98"
"10043","10043","3","40","16","21","37","42","47","63","68","73","89","94","99","115"
"10044","10044","4","40","20","26","46","52","58","78","84","90","110","116","122","142"
"10045","10045","1","41","11","14","25","28","31","42","45","48","59","62","65","76"
"10046","10046","2","41","14","18","32","36","40","54","58","62","76","80","84","98"
"10047","10047","3","41","16","21","37","42","47","63","68","73","89","94","99","115"
"10048","10048","4","41","20","26","46","52","58","78","84","90","110","116","122","142"
"10049","10049","1","42","11","14","25","28","31","42","45","48","59","62","65","76"
"10050","10050","2","42","14","18","32","36","40","54","58","62","76","80","84","98"
"10051","10051","3","42","16","21","37","42","47","63","68","73","89","94","99","115"
"10052","10052","4","42","20","26","46","52","58","78","84","90","110","116","122","142"
"10053","10053","1","43","11","14","25","28","31","42","45","48","59","62","65","76"
"10054","10054","2","43","14","18","32","36","40","54","58","62","76","80","84","98"
"10055","10055","3","43","16","21","37","42","47","63","68","73","89","94","99","115"
"10056","10056","4","43","20","26","46","52","58","78","84","90","110","116","122","142"
"10057","10057","1","44","11","14","25","28","31","42","45","48","59","62","65","76"
"10058","10058","2","44","14","18","32","36","40","54","58","62","76","80","84","98"
"10059","10059","3","44","16","21","37","42","47","63","68","73","89","94","99","115"
"10060","10060","4","44","20","26","46","52","58","78","84","90","110","116","122","142"
"10061","10061","1","45","11","14","25","28","31","42","45","48","59","62","65","76"
"10062","10062","2","45","14","18","32","36","40","54","58","62","76","80","84","98"
"10063","10063","3","45","16","21","37","42","47","63","68","73","89","94","99","115"
"10064","10064","4","45","20","26","46","52","58","78","84","90","110","116","122","142"
"10065","10065","1","48","11","14","25","28","31","42","45","48","59","62","65","76"
"10066","10066","2","48","14","18","32","36","40","54","58","62","76","80","84","98"
"10067","10067","3","48","16","21","37","42","47","63","68","73","89","94","99","115"
"10068","10068","4","48","20","26","46","52","58","78","84","90","110","116","122","142"
"10069","10069","1","49","11","14","25","28","31","42","45","48","59","62","65","76"
"10070","10070","2","49","14","18","32","36","40","54","58","62","76","80","84","98"
"10071","10071","3","49","16","21","37","42","47","63","68","73","89","94","99","115"
"10072","10072","4","49","20","26","46","52","58","78","84","90","110","116","122","142"
"10073","10073","1","50","11","14","25","28","31","42","45","48","59","62","65","76"
"10074","10074","2","50","14","18","32","36","40","54","58","62","76","80","84","98"
"10075","10075","3","50","16","21","37","42","47","63","68","73","89","94","99","115"
"10076","10076","4","50","20","26","46","52","58","78","84","90","110","116","122","142"
"10077","10077","1","51","11","14","25","28","31","42","45","48","59","62","65","76"
"10078","10078","2","51","14","18","32","36","40","54","58","62","76","80","84","98"
"10079","10079","3","51","16","21","37","42","47","63","68","73","89","94","99","115"
"10080","10080","4","51","20","26","46","52","58","78","84","90","110","116","122","142"
"10081","10081","1","52","11","14","25","28","31","42","45","48","59","62","65","76"
"10082","10082","2","52","14","18","32","36","40","54","58","62","76","80","84","98"
"10083","10083","3","52","16","21","37","42","47","63","68","73","89","94","99","115"
"10084","10084","4","52","20","26","46","52","58","78","84","90","110","116","122","142"
"10085","10085","1","53","11","14","25","28","31","42","45","48","59","62","65","76"
"10086","10086","2","53","14","18","32","36","40","54","58","62","76","80","84","98"
"10087","10087","3","53","16","21","37","42","47","63","68","73","89","94","99","115"
"10088","10088","4","53","20","26","46","52","58","78","84","90","110","116","122","142"
"10089","10089","1","119","11","14","25","28","31","42","45","48","59","62","65","76"
"10090","10090","2","119","14","18","32","36","40","54","58","62","76","80","84","98"
"10091","10091","3","119","16","21","37","42","47","63","68","73","89","94","99","115"
"10092","10092","4","119","20","26","46","52","58","78","84","90","110","116","122","142"
"10093","10093","1","120","11","14","25","28","31","42","45","48","59","62","65","76"
"10094","10094","2","120","14","18","32","36","40","54","58","62","76","80","84","98"
"10095","10095","3","120","16","21","37","42","47","63","68","73","89","94","99","115"
"10096","10096","4","120","20","26","46","52","58","78","84","90","110","116","122","142"
"11001","11001","1","1","295","393","688","786","884","1179","1277","1375","1670","1768","1866","2161"
"11002","11002","2","1","358","477","835","954","1073","1431","1550","1669","2027","2146","2265","2623"
"11003","11003","3","1","421","561","982","1122","1262","1683","1823","1963","2384","2524","2664","3085"
"11004","11004","4","1","506","674","1180","1348","1516","2022","2190","2358","2864","3032","3200","3706"
"11005","11005","1","6","70","93","163","186","209","279","302","325","395","418","441","511"
"11006","11006","2","6","86","114","200","228","256","342","370","398","484","512","540","626"
"11007","11007","3","6","101","134","235","268","301","402","435","468","569","602","635","736"
"11008","11008","4","6","121","161","282","322","362","483","523","563","684","724","764","885"
"11009","11009","1","24","17","22","39","44","49","66","71","76","93","98","103","120"
"11010","11010","2","24","21","28","49","56","63","84","91","98","119","126","133","154"
"11011","11011","3","24","25","33","58","66","74","99","107","115","140","148","156","181"
"11012","11012","4","24","30","40","70","80","90","120","130","140","170","180","190","220"
"11013","11013","1","26","17","22","39","44","49","66","71","76","93","98","103","120"
"11014","11014","2","26","21","28","49","56","63","84","91","98","119","126","133","154"
"11015","11015","3","26","25","33","58","66","74","99","107","115","140","148","156","181"
"11016","11016","4","26","30","40","70","80","90","120","130","140","170","180","190","220"
"11017","11017","1","32","17","22","39","44","49","66","71","76","93","98","103","120"
"11018","11018","2","32","21","28","49","56","63","84","91","98","119","126","133","154"
"11019","11019","3","32","25","33","58","66","74","99","107","115","140","148","156","181"
"11020","11020","4","32","30","40","70","80","90","120","130","140","170","180","190","220"
"11021","11021","1","33","17","22","39","44","49","66","71","76","93","98","103","120"
"11022","11022","2","33","21","28","49","56","63","84","91","98","119","126","133","154"
"11023","11023","3","33","25","33","58","66","74","99","107","115","140","148","156","181"
"11024","11024","4","33","30","40","70","80","90","120","130","140","170","180","190","220"
"11025","11025","1","34","23","30","53","60","67","90","97","104","127","134","141","164"
"11026","11026","2","34","28","37","65","74","83","111","120","129","157","166","175","203"
"11027","11027","3","34","33","44","77","88","99","132","143","154","187","198","209","242"
"11028","11028","4","34","40","53","93","106","119","159","172","185","225","238","251","291"
"11029","11029","1","35","23","30","53","60","67","90","97","104","127","134","141","164"
"11030","11030","2","35","28","37","65","74","83","111","120","129","157","166","175","203"
"11031","11031","3","35","33","44","77","88","99","132","143","154","187","198","209","242"
"11032","11032","4","35","40","53","93","106","119","159","172","185","225","238","251","291"
"11033","11033","1","38","11","14","25","28","31","42","45","48","59","62","65","76"
"11034","11034","2","38","14","18","32","36","40","54","58","62","76","80","84","98"
"11035","11035","3","38","16","21","37","42","47","63","68","73","89","94","99","115"
"11036","11036","4","38","20","26","46","52","58","78","84","90","110","116","122","142"
"11037","11037","1","39","11","14","25","28","31","42","45","48","59","62","65","76"
"11038","11038","2","39","14","18","32","36","40","54","58","62","76","80","84","98"
"11039","11039","3","39","16","21","37","42","47","63","68","73","89","94","99","115"
"11040","11040","4","39","20","26","46","52","58","78","84","90","110","116","122","142"
"11041","11041","1","40","11","14","25","28","31","42","45","48","59","62","65","76"
"11042","11042","2","40","14","18","32","36","40","54","58","62","76","80","84","98"
"11043","11043","3","40","16","21","37","42","47","63","68","73","89","94","99","115"
"11044","11044","4","40","20","26","46","52","58","78","84","90","110","116","122","142"
"11045","11045","1","41","11","14","25","28","31","42","45","48","59","62","65","76"
"11046","11046","2","41","14","18","32","36","40","54","58","62","76","80","84","98"
"11047","11047","3","41","16","21","37","42","47","63","68","73","89","94","99","115"
"11048","11048","4","41","20","26","46","52","58","78","84","90","110","116","122","142"
"11049","11049","1","42","11","14","25","28","31","42","45","48","59","62","65","76"
"11050","11050","2","42","14","18","32","36","40","54","58","62","76","80","84","98"
"11051","11051","3","42","16","21","37","42","47","63","68","73","89","94","99","115"
"11052","11052","4","42","20","26","46","52","58","78","84","90","110","116","122","142"
"11053","11053","1","43","11","14","25","28","31","42","45","48","59","62","65","76"
"11054","11054","2","43","14","18","32","36","40","54","58","62","76","80","84","98"
"11055","11055","3","43","16","21","37","42","47","63","68","73","89","94","99","115"
"11056","11056","4","43","20","26","46","52","58","78","84","90","110","116","122","142"
"11057","11057","1","44","11","14","25","28","31","42","45","48","59","62","65","76"
"11058","11058","2","44","14","18","32","36","40","54","58","62","76","80","84","98"
"11059","11059","3","44","16","21","37","42","47","63","68","73","89","94","99","115"
"11060","11060","4","44","20","26","46","52","58","78","84","90","110","116","122","142"
"11061","11061","1","45","11","14","25","28","31","42","45","48","59","62","65","76"
"11062","11062","2","45","14","18","32","36","40","54","58","62","76","80","84","98"
"11063","11063","3","45","16","21","37","42","47","63","68","73","89","94","99","115"
"11064","11064","4","45","20","26","46","52","58","78","84","90","110","116","122","142"
"11065","11065","1","48","11","14","25","28","31","42","45","48","59","62","65","76"
"11066","11066","2","48","14","18","32","36","40","54","58","62","76","80","84","98"
"11067","11067","3","48","16","21","37","42","47","63","68","73","89","94","99","115"
"11068","11068","4","48","20","26","46","52","58","78","84","90","110","116","122","142"
"11069","11069","1","49","11","14","25","28","31","42","45","48","59","62","65","76"
"11070","11070","2","49","14","18","32","36","40","54","58","62","76","80","84","98"
"11071","11071","3","49","16","21","37","42","47","63","68","73","89","94","99","115"
"11072","11072","4","49","20","26","46","52","58","78","84","90","110","116","122","142"
"11073","11073","1","50","11","14","25","28","31","42","45","48","59","62","65","76"
"11074","11074","2","50","14","18","32","36","40","54","58","62","76","80","84","98"
"11075","11075","3","50","16","21","37","42","47","63","68","73","89","94","99","115"
"11076","11076","4","50","20","26","46","52","58","78","84","90","110","116","122","142"
"11077","11077","1","51","11","14","25","28","31","42","45","48","59","62","65","76"
"11078","11078","2","51","14","18","32","36","40","54","58","62","76","80","84","98"
"11079","11079","3","51","16","21","37","42","47","63","68","73","89","94","99","115"
"11080","11080","4","51","20","26","46","52","58","78","84","90","110","116","122","142"
"11081","11081","1","52","11","14","25","28","31","42","45","48","59","62","65","76"
"11082","11082","2","52","14","18","32","36","40","54","58","62","76","80","84","98"
"11083","11083","3","52","16","21","37","42","47","63","68","73","89","94","99","115"
"11084","11084","4","52","20","26","46","52","58","78","84","90","110","116","122","142"
"11085","11085","1","53","11","14","25","28","31","42","45","48","59","62","65","76"
"11086","11086","2","53","14","18","32","36","40","54","58","62","76","80","84","98"
"11087","11087","3","53","16","21","37","42","47","63","68","73","89","94","99","115"
"11088","11088","4","53","20","26","46","52","58","78","84","90","110","116","122","142"
"11089","11089","1","119","11","14","25","28","31","42","45","48","59","62","65","76"
"11090","11090","2","119","14","18","32","36","40","54","58","62","76","80","84","98"
"11091","11091","3","119","16","21","37","42","47","63","68","73","89","94","99","115"
"11092","11092","4","119","20","26","46","52","58","78","84","90","110","116","122","142"
"11093","11093","1","120","11","14","25","28","31","42","45","48","59","62","65","76"
"11094","11094","2","120","14","18","32","36","40","54","58","62","76","80","84","98"
"11095","11095","3","120","16","21","37","42","47","63","68","73","89","94","99","115"
"11096","11096","4","120","20","26","46","52","58","78","84","90","110","116","122","142"
"12001","12001","1","1","689","918","1607","1836","2065","2754","2983","3212","3901","4130","4359","5048"
"12002","12002","2","1","836","1114","1950","2228","2506","3342","3620","3898","4734","5012","5290","6126"
"12003","12003","3","1","984","1312","2296","2624","2952","3936","4264","4592","5576","5904","6232","7216"
"12004","12004","4","1","1181","1574","2755","3148","3541","4722","5115","5508","6689","7082","7475","8656"
"12005","12005","1","6","165","220","385","440","495","660","715","770","935","990","1045","1210"
"12006","12006","2","6","200","266","466","532","598","798","864","930","1130","1196","1262","1462"
"12007","12007","3","6","236","314","550","628","706","942","1020","1098","1334","1412","1490","1726"
"12008","12008","4","6","283","377","660","754","848","1131","1225","1319","1602","1696","1790","2073"
"12009","12009","1","24","41","54","95","108","121","162","175","188","229","242","255","296"
"12010","12010","2","24","50","66","116","132","148","198","214","230","280","296","312","362"
"12011","12011","3","24","59","78","137","156","175","234","253","272","331","350","369","428"
"12012","12012","4","24","70","93","163","186","209","279","302","325","395","418","441","511"
"12013","12013","1","26","41","54","95","108","121","162","175","188","229","242","255","296"
"12014","12014","2","26","50","66","116","132","148","198","214","230","280","296","312","362"
"12015","12015","3","26","59","78","137","156","175","234","253","272","331","350","369","428"
"12016","12016","4","26","70","93","163","186","209","279","302","325","395","418","441","511"
"12017","12017","1","32","41","54","95","108","121","162","175","188","229","242","255","296"
"12018","12018","2","32","50","66","116","132","148","198","214","230","280","296","312","362"
"12019","12019","3","32","59","78","137","156","175","234","253","272","331","350","369","428"
"12020","12020","4","32","70","93","163","186","209","279","302","325","395","418","441","511"
"12021","12021","1","33","41","54","95","108","121","162","175","188","229","242","255","296"
"12022","12022","2","33","50","66","116","132","148","198","214","230","280","296","312","362"
"12023","12023","3","33","59","78","137","156","175","234","253","272","331","350","369","428"
"12024","12024","4","33","70","93","163","186","209","279","302","325","395","418","441","511"
"12025","12025","1","34","55","73","128","146","164","219","237","255","310","328","346","401"
"12026","12026","2","34","66","88","154","176","198","264","286","308","374","396","418","484"
"12027","12027","3","34","78","104","182","208","234","312","338","364","442","468","494","572"
"12028","12028","4","34","94","125","219","250","281","375","406","437","531","562","593","687"
"12029","12029","1","35","55","73","128","146","164","219","237","255","310","328","346","401"
"12030","12030","2","35","66","88","154","176","198","264","286","308","374","396","418","484"
"12031","12031","3","35","78","104","182","208","234","312","338","364","442","468","494","572"
"12032","12032","4","35","94","125","219","250","281","375","406","437","531","562","593","687"
"12033","12033","1","38","27","36","63","72","81","108","117","126","153","162","171","198"
"12034","12034","2","38","33","44","77","88","99","132","143","154","187","198","209","242"
"12035","12035","3","38","39","52","91","104","117","156","169","182","221","234","247","286"
"12036","12036","4","38","47","62","109","124","139","186","201","216","263","278","293","340"
"12037","12037","1","39","27","36","63","72","81","108","117","126","153","162","171","198"
"12038","12038","2","39","33","44","77","88","99","132","143","154","187","198","209","242"
"12039","12039","3","39","39","52","91","104","117","156","169","182","221","234","247","286"
"12040","12040","4","39","47","62","109","124","139","186","201","216","263","278","293","340"
"12041","12041","1","40","27","36","63","72","81","108","117","126","153","162","171","198"
"12042","12042","2","40","33","44","77","88","99","132","143","154","187","198","209","242"
"12043","12043","3","40","39","52","91","104","117","156","169","182","221","234","247","286"
"12044","12044","4","40","47","62","109","124","139","186","201","216","263","278","293","340"
"12045","12045","1","41","27","36","63","72","81","108","117","126","153","162","171","198"
"12046","12046","2","41","33","44","77","88","99","132","143","154","187","198","209","242"
"12047","12047","3","41","39","52","91","104","117","156","169","182","221","234","247","286"
"12048","12048","4","41","47","62","109","124","139","186","201","216","263","278","293","340"
"12049","12049","1","42","27","36","63","72","81","108","117","126","153","162","171","198"
"12050","12050","2","42","33","44","77","88","99","132","143","154","187","198","209","242"
"12051","12051","3","42","39","52","91","104","117","156","169","182","221","234","247","286"
"12052","12052","4","42","47","62","109","124","139","186","201","216","263","278","293","340"
"12053","12053","1","43","27","36","63","72","81","108","117","126","153","162","171","198"
"12054","12054","2","43","33","44","77","88","99","132","143","154","187","198","209","242"
"12055","12055","3","43","39","52","91","104","117","156","169","182","221","234","247","286"
"12056","12056","4","43","47","62","109","124","139","186","201","216","263","278","293","340"
"12057","12057","1","44","27","36","63","72","81","108","117","126","153","162","171","198"
"12058","12058","2","44","33","44","77","88","99","132","143","154","187","198","209","242"
"12059","12059","3","44","39","52","91","104","117","156","169","182","221","234","247","286"
"12060","12060","4","44","47","62","109","124","139","186","201","216","263","278","293","340"
"12061","12061","1","45","27","36","63","72","81","108","117","126","153","162","171","198"
"12062","12062","2","45","33","44","77","88","99","132","143","154","187","198","209","242"
"12063","12063","3","45","39","52","91","104","117","156","169","182","221","234","247","286"
"12064","12064","4","45","47","62","109","124","139","186","201","216","263","278","293","340"
"12065","12065","1","48","27","36","63","72","81","108","117","126","153","162","171","198"
"12066","12066","2","48","33","44","77","88","99","132","143","154","187","198","209","242"
"12067","12067","3","48","39","52","91","104","117","156","169","182","221","234","247","286"
"12068","12068","4","48","47","62","109","124","139","186","201","216","263","278","293","340"
"12069","12069","1","49","27","36","63","72","81","108","117","126","153","162","171","198"
"12070","12070","2","49","33","44","77","88","99","132","143","154","187","198","209","242"
"12071","12071","3","49","39","52","91","104","117","156","169","182","221","234","247","286"
"12072","12072","4","49","47","62","109","124","139","186","201","216","263","278","293","340"
"12073","12073","1","50","27","36","63","72","81","108","117","126","153","162","171","198"
"12074","12074","2","50","33","44","77","88","99","132","143","154","187","198","209","242"
"12075","12075","3","50","39","52","91","104","117","156","169","182","221","234","247","286"
"12076","12076","4","50","47","62","109","124","139","186","201","216","263","278","293","340"
"12077","12077","1","51","27","36","63","72","81","108","117","126","153","162","171","198"
"12078","12078","2","51","33","44","77","88","99","132","143","154","187","198","209","242"
"12079","12079","3","51","39","52","91","104","117","156","169","182","221","234","247","286"
"12080","12080","4","51","47","62","109","124","139","186","201","216","263","278","293","340"
"12081","12081","1","52","27","36","63","72","81","108","117","126","153","162","171","198"
"12082","12082","2","52","33","44","77","88","99","132","143","154","187","198","209","242"
"12083","12083","3","52","39","52","91","104","117","156","169","182","221","234","247","286"
"12084","12084","4","52","47","62","109","124","139","186","201","216","263","278","293","340"
"12085","12085","1","53","27","36","63","72","81","108","117","126","153","162","171","198"
"12086","12086","2","53","33","44","77","88","99","132","143","154","187","198","209","242"
"12087","12087","3","53","39","52","91","104","117","156","169","182","221","234","247","286"
"12088","12088","4","53","47","62","109","124","139","186","201","216","263","278","293","340"
"12089","12089","1","119","27","36","63","72","81","108","117","126","153","162","171","198"
"12090","12090","2","119","33","44","77","88","99","132","143","154","187","198","209","242"
"12091","12091","3","119","39","52","91","104","117","156","169","182","221","234","247","286"
"12092","12092","4","119","47","62","109","124","139","186","201","216","263","278","293","340"
"12093","12093","1","120","27","36","63","72","81","108","117","126","153","162","171","198"
"12094","12094","2","120","33","44","77","88","99","132","143","154","187","198","209","242"
"12095","12095","3","120","39","52","91","104","117","156","169","182","221","234","247","286"
"12096","12096","4","120","47","62","109","124","139","186","201","216","263","278","293","340"
"13001","13001","1","1","689","918","1607","1836","2065","2754","2983","3212","3901","4130","4359","5048"
"13002","13002","2","1","836","1114","1950","2228","2506","3342","3620","3898","4734","5012","5290","6126"
