"Name","ForceLevelID","ForcePanelID","ForcePanelLevel","ForceReward_Attribute01Type","ForceReward_Attribute01Value","ForceReward_Attribute02Type","ForceReward_Attribute02Value","ForceReward_Attribute03Type","ForceReward_Attribute03Value","ForceReward_Attribute04Type","ForceReward_Attribute04Value","ForceReflowTimeMinute","HardTraining_NeedLevel","HardTraining_NeedCostId","HardTraining_NeedCostCount","HardTraining_NeedUseId01","HardTraining_NeedItem01Count","HardTraining_NeedUseId02","HardTraining_NeedItem02Count","HardTraining_NeedUseId03","HardTraining_NeedItem03Count","HardTraining_NeedUseId04","HardTraining_NeedItem04Count","HardTraining_Time","HardTraining_Pass_NeedUseId","HardTraining_Pass_NeedItem_UseTime","HardTraining_Succecs_ForceLevel"
"1001018","1001018","1001","18","20","153","40","170","24","204","26","204","780","119","2","9000000","701000105","96","701000205","96","701000305","48","701000405","32","0","0","30","1001019"
"1001019","1001019","1001","19","20","162","40","180","24","216","26","216","840","122","2","10000000","701000105","108","701000205","108","701000305","54","701000405","36","0","0","30","1001020"
"1001020","1001020","1001","20","20","171","40","190","24","228","26","228","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1002001","1002001","1002","1","28","0","29","0","30","0","42","0","3","0","2","20000","701000102","10","701000202","10","701000302","5","701000402","2","0","0","30","1002002"
"1002002","1002002","1002","2","28","8","29","8","30","16","42","16","3","0","2","50000","701000102","30","701000202","30","701000302","15","701000402","6","0","0","30","1002003"
"1002003","1002003","1002","3","28","16","29","16","30","32","42","32","5","0","2","80000","701000103","10","701000203","10","701000303","5","701000403","3","0","0","30","1002004"
"1002004","1002004","1002","4","28","24","29","24","30","48","42","48","10","0","2","120000","701000103","30","701000203","30","701000303","10","701000403","6","0","0","30","1002005"
"1002005","1002005","1002","5","28","32","29","32","30","64","42","64","30","0","2","200000","701000103","50","701000203","50","701000303","20","701000403","9","0","0","30","1002006"
"1002006","1002006","1002","6","28","40","29","40","30","80","42","80","60","0","2","600000","701000104","6","701000204","6","701000304","3","701000404","2","0","0","30","1002007"
"1002007","1002007","1002","7","28","48","29","48","30","96","42","96","120","0","2","1200000","701000104","12","701000204","12","701000304","6","701000404","3","0","0","30","1002008"
"1002008","1002008","1002","8","28","56","29","56","30","112","42","112","180","0","2","1800000","701000104","20","701000204","20","701000304","10","701000404","5","0","0","30","1002009"
"1002009","1002009","1002","9","28","64","29","64","30","128","42","128","240","0","2","2800000","701000104","40","701000204","40","701000304","20","701000404","10","0","0","30","1002010"
"1002010","1002010","1002","10","28","72","29","72","30","144","42","144","300","96","2","3500000","701000104","80","701000204","80","701000304","40","701000404","20","0","0","30","1002011"
"1002011","1002011","1002","11","28","80","29","80","30","160","42","160","360","99","2","4000000","701000105","12","701000205","12","701000305","6","701000405","4","0","0","30","1002012"
"1002012","1002012","1002","12","28","88","29","88","30","176","42","176","420","102","2","4500000","701000105","24","701000205","24","701000305","12","701000405","8","0","0","30","1002013"
"1002013","1002013","1002","13","28","96","29","96","30","192","42","192","480","105","2","5000000","701000105","36","701000205","36","701000305","18","701000405","12","0","0","30","1002014"
"1002014","1002014","1002","14","28","104","29","104","30","208","42","208","540","108","2","5500000","701000105","48","701000205","48","701000305","24","701000405","16","0","0","30","1002015"
"1002015","1002015","1002","15","28","112","29","112","30","224","42","224","600","111","2","6000000","701000105","60","701000205","60","701000305","30","701000405","20","0","0","30","1002016"
"1002016","1002016","1002","16","28","120","29","120","30","240","42","240","660","114","2","7000000","701000105","72","701000205","72","701000305","36","701000405","24","0","0","30","1002017"
"1002017","1002017","1002","17","28","128","29","128","30","256","42","256","720","117","2","8000000","701000105","84","701000205","84","701000305","42","701000405","28","0","0","30","1002018"
"1002018","1002018","1002","18","28","136","29","136","30","272","42","272","780","120","2","9000000","701000105","96","701000205","96","701000305","48","701000405","32","0","0","30","1002019"
"1002019","1002019","1002","19","28","144","29","144","30","288","42","288","840","123","2","10000000","701000105","108","701000205","108","701000305","54","701000405","36","0","0","30","1002020"
"1002020","1002020","1002","20","28","152","29","152","30","304","42","304","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1003001","1003001","1003","1","20","0","1","0","6","0","31","0","3","0","2","20000","701000102","10","701000202","10","701000302","5","701000402","2","0","0","30","1003002"
"1003002","1003002","1003","2","20","9","1","200","6","50","31","16","3","0","2","50000","701000102","30","701000202","30","701000302","15","701000402","6","0","0","30","1003003"
"1003003","1003003","1003","3","20","18","1","400","6","100","31","32","5","0","2","80000","701000103","10","701000203","10","701000303","5","701000403","3","0","0","30","1003004"
"1003004","1003004","1003","4","20","27","1","600","6","150","31","48","10","0","2","120000","701000103","30","701000203","30","701000303","10","701000403","6","0","0","30","1003005"
"1003005","1003005","1003","5","20","36","1","800","6","200","31","64","30","0","2","200000","701000103","50","701000203","50","701000303","20","701000403","9","0","0","30","1003006"
"1003006","1003006","1003","6","20","45","1","1000","6","250","31","80","60","0","2","600000","701000104","6","701000204","6","701000304","3","701000404","2","0","0","30","1003007"
"1003007","1003007","1003","7","20","54","1","1200","6","300","31","96","120","0","2","1200000","701000104","12","701000204","12","701000304","6","701000404","3","0","0","30","1003008"
"1003008","1003008","1003","8","20","63","1","1400","6","350","31","112","180","0","2","1800000","701000104","20","701000204","20","701000304","10","701000404","5","0","0","30","1003009"
"1003009","1003009","1003","9","20","72","1","1600","6","400","31","128","240","0","2","2800000","701000104","40","701000204","40","701000304","20","701000404","10","0","0","30","1003010"
"1003010","1003010","1003","10","20","81","1","1800","6","450","31","144","300","97","2","3500000","701000104","80","701000204","80","701000304","40","701000404","20","0","0","30","1003011"
"1003011","1003011","1003","11","20","90","1","2000","6","500","31","160","360","100","2","4000000","701000105","12","701000205","12","701000305","6","701000405","4","0","0","30","1003012"
"1003012","1003012","1003","12","20","99","1","2200","6","550","31","176","420","103","2","4500000","701000105","24","701000205","24","701000305","12","701000405","8","0","0","30","1003013"
"1003013","1003013","1003","13","20","108","1","2400","6","600","31","192","480","106","2","5000000","701000105","36","701000205","36","701000305","18","701000405","12","0","0","30","1003014"
"1003014","1003014","1003","14","20","117","1","2600","6","650","31","208","540","109","2","5500000","701000105","48","701000205","48","701000305","24","701000405","16","0","0","30","1003015"
"1003015","1003015","1003","15","20","126","1","2800","6","700","31","224","600","112","2","6000000","701000105","60","701000205","60","701000305","30","701000405","20","0","0","30","1003016"
"1003016","1003016","1003","16","20","135","1","3000","6","750","31","240","660","115","2","7000000","701000105","72","701000205","72","701000305","36","701000405","24","0","0","30","1003017"
"1003017","1003017","1003","17","20","144","1","3200","6","800","31","256","720","118","2","8000000","701000105","84","701000205","84","701000305","42","701000405","28","0","0","30","1003018"
"1003018","1003018","1003","18","20","153","1","3400","6","850","31","272","780","121","2","9000000","701000105","96","701000205","96","701000305","48","701000405","32","0","0","30","1003019"
"1003019","1003019","1003","19","20","162","1","3600","6","900","31","288","840","124","2","10000000","701000105","108","701000205","108","701000305","54","701000405","36","0","0","30","1003020"
"1003020","1003020","1003","20","20","171","1","3800","6","950","31","304","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1004001","1004001","1004","1","48","0","49","0","50","0","51","0","3","88","2","600000","701000104","6","701000204","6","701000304","3","701000404","2","0","0","30","1004002"
"1004002","1004002","1004","2","48","10","49","10","50","10","51","10","3","91","2","1200000","701000104","12","701000204","12","701000304","6","701000404","3","0","0","30","1004003"
"1004003","1004003","1004","3","48","20","49","20","50","20","51","20","5","94","2","1800000","701000104","20","701000204","20","701000304","10","701000404","5","0","0","30","1004004"
"1004004","1004004","1004","4","48","30","49","30","50","30","51","30","10","97","2","2800000","701000104","40","701000204","40","701000304","20","701000404","10","0","0","30","1004005"
"1004005","1004005","1004","5","48","40","49","40","50","40","51","40","30","100","2","3500000","701000104","80","701000204","80","701000304","40","701000404","20","0","0","30","1004006"
"1004006","1004006","1004","6","48","50","49","50","50","50","51","50","60","103","2","4000000","701000105","12","701000205","12","701000305","6","701000405","4","0","0","30","1004007"
"1004007","1004007","1004","7","48","60","49","60","50","60","51","60","120","106","2","4500000","701000105","24","701000205","24","701000305","12","701000405","8","0","0","30","1004008"
"1004008","1004008","1004","8","48","70","49","70","50","70","51","70","180","109","2","5000000","701000105","36","701000205","36","701000305","18","701000405","12","0","0","30","1004009"
"1004009","1004009","1004","9","48","80","49","80","50","80","51","80","240","112","2","5500000","701000105","48","701000205","48","701000305","24","701000405","16","0","0","30","1004010"
"1004010","1004010","1004","10","48","90","49","90","50","90","51","90","300","115","2","6000000","701000105","60","701000205","60","701000305","30","701000405","20","0","0","30","1004011"
"1004011","1004011","1004","11","48","100","49","100","50","100","51","100","360","118","2","7000000","701000105","72","701000205","72","701000305","36","701000405","24","0","0","30","1004012"
"1004012","1004012","1004","12","48","110","49","110","50","110","51","110","420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1005001","1005001","1005","1","52","0","53","0","119","0","120","0","3","90","2","600000","701000104","6","701000204","6","701000304","3","701000404","2","0","0","30","1005002"
"1005002","1005002","1005","2","52","10","53","10","119","10","120","10","3","93","2","1200000","701000104","12","701000204","12","701000304","6","701000404","3","0","0","30","1005003"
"1005003","1005003","1005","3","52","20","53","20","119","20","120","20","5","96","2","1800000","701000104","20","701000204","20","701000304","10","701000404","5","0","0","30","1005004"
"1005004","1005004","1005","4","52","30","53","30","119","30","120","30","10","99","2","2800000","701000104","40","701000204","40","701000304","20","701000404","10","0","0","30","1005005"
"1005005","1005005","1005","5","52","40","53","40","119","40","120","40","30","102","2","3500000","701000104","80","701000204","80","701000304","40","701000404","20","0","0","30","1005006"
"1005006","1005006","1005","6","52","50","53","50","119","50","120","50","60","105","2","4000000","701000105","12","701000205","12","701000305","6","701000405","4","0","0","30","1005007"
"1005007","1005007","1005","7","52","60","53","60","119","60","120","60","120","108","2","4500000","701000105","24","701000205","24","701000305","12","701000405","8","0","0","30","1005008"
"1005008","1005008","1005","8","52","70","53","70","119","70","120","70","180","111","2","5000000","701000105","36","701000205","36","701000305","18","701000405","12","0","0","30","1005009"
"1005009","1005009","1005","9","52","80","53","80","119","80","120","80","240","114","2","5500000","701000105","48","701000205","48","701000305","24","701000405","16","0","0","30","1005010"
"1005010","1005010","1005","10","52","90","53","90","119","90","120","90","300","117","2","6000000","701000105","60","701000205","60","701000305","30","701000405","20","0","0","30","1005011"
"1005011","1005011","1005","11","52","100","53","100","119","100","120","100","360","120","2","7000000","701000105","72","701000205","72","701000305","36","701000405","24","0","0","30","1005012"
"1005012","1005012","1005","12","52","110","53","110","119","110","120","110","420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1006001","1006001","1006","1","32","0","33","0","44","0","45","0","3","92","2","600000","701000104","6","701000204","6","701000304","3","701000404","2","0","0","30","1006002"
"1006002","1006002","1006","2","32","40","33","40","44","15","45","15","3","95","2","1200000","701000104","12","701000204","12","701000304","6","701000404","3","0","0","30","1006003"
"1006003","1006003","1006","3","32","80","33","80","44","30","45","30","5","98","2","1800000","701000104","20","701000204","20","701000304","10","701000404","5","0","0","30","1006004"
"1006004","1006004","1006","4","32","120","33","120","44","45","45","45","10","101","2","2800000","701000104","40","701000204","40","701000304","20","701000404","10","0","0","30","1006005"
"1006005","1006005","1006","5","32","160","33","160","44","60","45","60","30","104","2","3500000","701000104","80","701000204","80","701000304","40","701000404","20","0","0","30","1006006"
"1006006","1006006","1006","6","32","200","33","200","44","75","45","75","60","107","2","4000000","701000105","12","701000205","12","701000305","6","701000405","4","0","0","30","1006007"
"1006007","1006007","1006","7","32","240","33","240","44","90","45","90","120","110","2","4500000","701000105","24","701000205","24","701000305","12","701000405","8","0","0","30","1006008"
"1006008","1006008","1006","8","32","280","33","280","44","105","45","105","180","113","2","5000000","701000105","36","701000205","36","701000305","18","701000405","12","0","0","30","1006009"
"1006009","1006009","1006","9","32","320","33","320","44","120","45","120","240","116","2","5500000","701000105","48","701000205","48","701000305","24","701000405","16","0","0","30","1006010"
"1006010","1006010","1006","10","32","360","33","360","44","135","45","135","300","119","2","6000000","701000105","60","701000205","60","701000305","30","701000405","20","0","0","30","1006011"
"1006011","1006011","1006","11","32","400","33","400","44","150","45","150","360","122","2","7000000","701000105","72","701000205","72","701000305","36","701000405","24","0","0","30","1006012"
"1006012","1006012","1006","12","32","440","33","440","44","165","45","165","420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2001001","2001001","2001","1","22","0","40","0","24","0","26","0","3","0","2","20000","701000102","10","701000202","10","701000302","5","701000402","2","0","0","30","2001002"
"2001002","2001002","2001","2","22","9","40","10","24","12","26","12","3","0","2","50000","701000102","30","701000202","30","701000302","15","701000402","6","0","0","30","2001003"
"2001003","2001003","2001","3","22","18","40","20","24","24","26","24","5","0","2","80000","701000103","10","701000203","10","701000303","5","701000403","3","0","0","30","2001004"
"2001004","2001004","2001","4","22","27","40","30","24","36","26","36","10","0","2","120000","701000103","30","701000203","30","701000303","10","701000403","6","0","0","30","2001005"
"2001005","2001005","2001","5","22","36","40","40","24","48","26","48","30","0","2","200000","701000103","50","701000203","50","701000303","20","701000403","9","0","0","30","2001006"
"2001006","2001006","2001","6","22","45","40","50","24","60","26","60","60","0","2","600000","701000104","6","701000204","6","701000304","3","701000404","2","0","0","30","2001007"
"2001007","2001007","2001","7","22","54","40","60","24","72","26","72","120","0","2","1200000","701000104","12","701000204","12","701000304","6","701000404","3","0","0","30","2001008"
"2001008","2001008","2001","8","22","63","40","70","24","84","26","84","180","0","2","1800000","701000104","20","701000204","20","701000304","10","701000404","5","0","0","30","2001009"
"2001009","2001009","2001","9","22","72","40","80","24","96","26","96","240","0","2","2800000","701000104","40","701000204","40","701000304","20","701000404","10","0","0","30","2001010"
"2001010","2001010","2001","10","22","81","40","90","24","108","26","108","300","95","2","3500000","701000104","80","701000204","80","701000304","40","701000404","20","0","0","30","2001011"
"2001011","2001011","2001","11","22","90","40","100","24","120","26","120","360","98","2","4000000","701000105","12","701000205","12","701000305","6","701000405","4","0","0","30","2001012"
"2001012","2001012","2001","12","22","99","40","110","24","132","26","132","420","101","2","4500000","701000105","24","701000205","24","701000305","12","701000405","8","0","0","30","2001013"
"2001013","2001013","2001","13","22","108","40","120","24","144","26","144","480","104","2","5000000","701000105","36","701000205","36","701000305","18","701000405","12","0","0","30","2001014"
"2001014","2001014","2001","14","22","117","40","130","24","156","26","156","540","107","2","5500000","701000105","48","701000205","48","701000305","24","701000405","16","0","0","30","2001015"
"2001015","2001015","2001","15","22","126","40","140","24","168","26","168","600","110","2","6000000","701000105","60","701000205","60","701000305","30","701000405","20","0","0","30","2001016"
"2001016","2001016","2001","16","22","135","40","150","24","180","26","180","660","113","2","7000000","701000105","72","701000205","72","701000305","36","701000405","24","0","0","30","2001017"
"2001017","2001017","2001","17","22","144","40","160","24","192","26","192","720","116","2","8000000","701000105","84","701000205","84","701000305","42","701000405","28","0","0","30","2001018"
"2001018","2001018","2001","18","22","153","40","170","24","204","26","204","780","119","2","9000000","701000105","96","701000205","96","701000305","48","701000405","32","0","0","30","2001019"
"2001019","2001019","2001","19","22","162","40","180","24","216","26","216","840","122","2","10000000","701000105","108","701000205","108","701000305","54","701000405","36","0","0","30","2001020"
"2001020","2001020","2001","20","22","171","40","190","24","228","26","228","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2002001","2002001","2002","1","28","0","29","0","30","0","42","0","3","0","2","20000","701000102","10","701000202","10","701000302","5","701000402","2","0","0","30","2002002"
"2002002","2002002","2002","2","28","8","29","8","30","16","42","16","3","0","2","50000","701000102","30","701000202","30","701000302","15","701000402","6","0","0","30","2002003"
"2002003","2002003","2002","3","28","16","29","16","30","32","42","32","5","0","2","80000","701000103","10","701000203","10","701000303","5","701000403","3","0","0","30","2002004"
"2002004","2002004","2002","4","28","24","29","24","30","48","42","48","10","0","2","120000","701000103","30","701000203","30","701000303","10","701000403","6","0","0","30","2002005"
"2002005","2002005","2002","5","28","32","29","32","30","64","42","64","30","0","2","200000","701000103","50","701000203","50","701000303","20","701000403","9","0","0","30","2002006"
"2002006","2002006","2002","6","28","40","29","40","30","80","42","80","60","0","2","600000","701000104","6","701000204","6","701000304","3","701000404","2","0","0","30","2002007"
"2002007","2002007","2002","7","28","48","29","48","30","96","42","96","120","0","2","1200000","701000104","12","701000204","12","701000304","6","701000404","3","0","0","30","2002008"
"2002008","2002008","2002","8","28","56","29","56","30","112","42","112","180","0","2","1800000","701000104","20","701000204","20","701000304","10","701000404","5","0","0","30","2002009"
"2002009","2002009","2002","9","28","64","29","64","30","128","42","128","240","0","2","2800000","701000104","40","701000204","40","701000304","20","701000404","10","0","0","30","2002010"
"2002010","2002010","2002","10","28","72","29","72","30","144","42","144","300","96","2","3500000","701000104","80","701000204","80","701000304","40","701000404","20","0","0","30","2002011"
"2002011","2002011","2002","11","28","80","29","80","30","160","42","160","360","99","2","4000000","701000105","12","701000205","12","701000305","6","701000405","4","0","0","30","2002012"
"2002012","2002012","2002","12","28","88","29","88","30","176","42","176","420","102","2","4500000","701000105","24","701000205","24","701000305","12","701000405","8","0","0","30","2002013"
"2002013","2002013","2002","13","28","96","29","96","30","192","42","192","480","105","2","5000000","701000105","36","701000205","36","701000305","18","701000405","12","0","0","30","2002014"
"2002014","2002014","2002","14","28","104","29","104","30","208","42","208","540","108","2","5500000","701000105","48","701000205","48","701000305","24","701000405","16","0","0","30","2002015"
"2002015","2002015","2002","15","28","112","29","112","30","224","42","224","600","111","2","6000000","701000105","60","701000205","60","701000305","30","701000405","20","0","0","30","2002016"
"2002016","2002016","2002","16","28","120","29","120","30","240","42","240","660","114","2","7000000","701000105","72","701000205","72","701000305","36","701000405","24","0","0","30","2002017"
"2002017","2002017","2002","17","28","128","29","128","30","256","42","256","720","117","2","8000000","701000105","84","701000205","84","701000305","42","701000405","28","0","0","30","2002018"
"2002018","2002018","2002","18","28","136","29","136","30","272","42","272","780","120","2","9000000","701000105","96","701000205","96","701000305","48","701000405","32","0","0","30","2002019"
"2002019","2002019","2002","19","28","144","29","144","30","288","42","288","840","123","2","10000000","701000105","108","701000205","108","701000305","54","701000405","36","0","0","30","2002020"
"2002020","2002020","2002","20","28","152","29","152","30","304","42","304","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2003001","2003001","2003","1","22","0","1","0","6","0","31","0","3","0","2","20000","701000102","10","701000202","10","701000302","5","701000402","2","0","0","30","2003002"
"2003002","2003002","2003","2","22","9","1","200","6","50","31","16","3","0","2","50000","701000102","30","701000202","30","701000302","15","701000402","6","0","0","30","2003003"
"2003003","2003003","2003","3","22","18","1","400","6","100","31","32","5","0","2","80000","701000103","10","701000203","10","701000303","5","701000403","3","0","0","30","2003004"
"2003004","2003004","2003","4","22","27","1","600","6","150","31","48","10","0","2","120000","701000103","30","701000203","30","701000303","10","701000403","6","0","0","30","2003005"
"2003005","2003005","2003","5","22","36","1","800","6","200","31","64","30","0","2","200000","701000103","50","701000203","50","701000303","20","701000403","9","0","0","30","2003006"
"2003006","2003006","2003","6","22","45","1","1000","6","250","31","80","60","0","2","600000","701000104","6","701000204","6","701000304","3","701000404","2","0","0","30","2003007"
"2003007","2003007","2003","7","22","54","1","1200","6","300","31","96","120","0","2","1200000","701000104","12","701000204","12","701000304","6","701000404","3","0","0","30","2003008"
"2003008","2003008","2003","8","22","63","1","1400","6","350","31","112","180","0","2","1800000","701000104","20","701000204","20","701000304","10","701000404","5","0","0","30","2003009"
"2003009","2003009","2003","9","22","72","1","1600","6","400","31","128","240","0","2","2800000","701000104","40","701000204","40","701000304","20","701000404","10","0","0","30","2003010"
"2003010","2003010","2003","10","22","81","1","1800","6","450","31","144","300","97","2","3500000","701000104","80","701000204","80","701000304","40","701000404","20","0","0","30","2003011"
"2003011","2003011","2003","11","22","90","1","2000","6","500","31","160","360","100","2","4000000","701000105","12","701000205","12","701000305","6","701000405","4","0","0","30","2003012"
"2003012","2003012","2003","12","22","99","1","2200","6","550","31","176","420","103","2","4500000","701000105","24","701000205","24","701000305","12","701000405","8","0","0","30","2003013"
"2003013","2003013","2003","13","22","108","1","2400","6","600","31","192","480","106","2","5000000","701000105","36","701000205","36","701000305","18","701000405","12","0","0","30","2003014"
"2003014","2003014","2003","14","22","117","1","2600","6","650","31","208","540","109","2","5500000","701000105","48","701000205","48","701000305","24","701000405","16","0","0","30","2003015"
"2003015","2003015","2003","15","22","126","1","2800","6","700","31","224","600","112","2","6000000","701000105","60","701000205","60","701000305","30","701000405","20","0","0","30","2003016"
"2003016","2003016","2003","16","22","135","1","3000","6","750","31","240","660","115","2","7000000","701000105","72","701000205","72","701000305","36","701000405","24","0","0","30","2003017"
"2003017","2003017","2003","17","22","144","1","3200","6","800","31","256","720","118","2","8000000","701000105","84","701000205","84","701000305","42","701000405","28","0","0","30","2003018"
"2003018","2003018","2003","18","22","153","1","3400","6","850","31","272","780","121","2","9000000","701000105","96","701000205","96","701000305","48","701000405","32","0","0","30","2003019"
"2003019","2003019","2003","19","22","162","1","3600","6","900","31","288","840","124","2","10000000","701000105","108","701000205","108","701000305","54","701000405","36","0","0","30","2003020"
"2003020","2003020","2003","20","22","171","1","3800","6","950","31","304","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2004001","2004001","2004","1","48","0","49","0","50","0","51","0","3","88","2","600000","701000104","6","701000204","6","701000304","3","701000404","2","0","0","30","2004002"
"2004002","2004002","2004","2","48","10","49","10","50","10","51","10","3","91","2","1200000","701000104","12","701000204","12","701000304","6","701000404","3","0","0","30","2004003"
"2004003","2004003","2004","3","48","20","49","20","50","20","51","20","5","94","2","1800000","701000104","20","701000204","20","701000304","10","701000404","5","0","0","30","2004004"
"2004004","2004004","2004","4","48","30","49","30","50","30","51","30","10","97","2","2800000","701000104","40","701000204","40","701000304","20","701000404","10","0","0","30","2004005"
"2004005","2004005","2004","5","48","40","49","40","50","40","51","40","30","100","2","3500000","701000104","80","701000204","80","701000304","40","701000404","20","0","0","30","2004006"
"2004006","2004006","2004","6","48","50","49","50","50","50","51","50","60","103","2","4000000","701000105","12","701000205","12","701000305","6","701000405","4","0","0","30","2004007"
"2004007","2004007","2004","7","48","60","49","60","50","60","51","60","120","106","2","4500000","701000105","24","701000205","24","701000305","12","701000405","8","0","0","30","2004008"
"2004008","2004008","2004","8","48","70","49","70","50","70","51","70","180","109","2","5000000","701000105","36","701000205","36","701000305","18","701000405","12","0","0","30","2004009"
"2004009","2004009","2004","9","48","80","49","80","50","80","51","80","240","112","2","5500000","701000105","48","701000205","48","701000305","24","701000405","16","0","0","30","2004010"
"2004010","2004010","2004","10","48","90","49","90","50","90","51","90","300","115","2","6000000","701000105","60","701000205","60","701000305","30","701000405","20","0","0","30","2004011"
"2004011","2004011","2004","11","48","100","49","100","50","100","51","100","360","118","2","7000000","701000105","72","701000205","72","701000305","36","701000405","24","0","0","30","2004012"
"2004012","2004012","2004","12","48","110","49","110","50","110","51","110","420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2005001","2005001","2005","1","52","0","53","0","119","0","120","0","3","90","2","600000","701000104","6","701000204","6","701000304","3","701000404","2","0","0","30","2005002"
"2005002","2005002","2005","2","52","10","53","10","119","10","120","10","3","93","2","1200000","701000104","12","701000204","12","701000304","6","701000404","3","0","0","30","2005003"
"2005003","2005003","2005","3","52","20","53","20","119","20","120","20","5","96","2","1800000","701000104","20","701000204","20","701000304","10","701000404","5","0","0","30","2005004"
"2005004","2005004","2005","4","52","30","53","30","119","30","120","30","10","99","2","2800000","701000104","40","701000204","40","701000304","20","701000404","10","0","0","30","2005005"
"2005005","2005005","2005","5","52","40","53","40","119","40","120","40","30","102","2","3500000","701000104","80","701000204","80","701000304","40","701000404","20","0","0","30","2005006"
"2005006","2005006","2005","6","52","50","53","50","119","50","120","50","60","105","2","4000000","701000105","12","701000205","12","701000305","6","701000405","4","0","0","30","2005007"
"2005007","2005007","2005","7","52","60","53","60","119","60","120","60","120","108","2","4500000","701000105","24","701000205","24","701000305","12","701000405","8","0","0","30","2005008"
"2005008","2005008","2005","8","52","70","53","70","119","70","120","70","180","111","2","5000000","701000105","36","701000205","36","701000305","18","701000405","12","0","0","30","2005009"
"2005009","2005009","2005","9","52","80","53","80","119","80","120","80","240","114","2","5500000","701000105","48","701000205","48","701000305","24","701000405","16","0","0","30","2005010"
"2005010","2005010","2005","10","52","90","53","90","119","90","120","90","300","117","2","6000000","701000105","60","701000205","60","701000305","30","701000405","20","0","0","30","2005011"
