"Name","MagicSquareStageId","MagicSquareId","Number","StageId","StageInfo","StageRatio_1","StageRatio_2","StageRatio_3","Color","PositionLocation"
"201300125","201300125","101","22","201300125","1122025","0","1","0","CF2024","(1101125,1101225,1101325,1101425)"
"201300126","201300126","101","0","201300126","1122026","0","0","0","0","(1101126,1101226,1101326,1101426)"
"201300127","201300127","101","23","201300127","1122027","0","1","0","CF2024","(1101127,1101227,1101327,1101427)"
"201300128","201300128","101","24","201300128","1122028","0","1","0","CF2024","(1101128,1101228,1101328,1101428)"
"201300129","201300129","101","25","201300129","1122029","0","1","0","CF2024","(1101129,1101229,1101329,1101429)"
"201300130","201300130","101","26","201300130","1122030","0","1","0","CF2024","(1101130,1101230,1101330,1101430)"
"201300131","201300131","101","0","201300131","1122031","0","0","0","0","(1101131,1101231,1101331,1101431)"
"201300132","201300132","101","21","201300132","1122032","0","1","0","CF2024","(1101132,1101232,1101332,1101432)"
"201300133","201300133","101","5","201300133","1122033","0","2","0","47CF4D","(1101133,1101233,1101333,1101433)"
"201300134","201300134","101","6","201300134","1122033","0","2","0","47CF4D","(1101134,1101234,1101334,1101434)"
"201300135","201300135","101","10","201300135","1122034","0","2","0","47CF4D","(1101135,1101235,1101335,1101435)"
"201300136","201300136","101","11","201300136","1122034","0","2","0","47CF4D","(1101136,1101236,1101336,1101436)"
"201300201","201300201","102","1","201300201","1122001","1","1","0","CF2024","(1102101,1102201,1102301,1102401)"
"201300202","201300202","102","12","201300202","1122002","0","2","0","47CF4D","(1102102,1102202,1102302,1102402)"
"201300203","201300203","102","13","201300203","1122003","0","2","0","47CF4D","(1102103,1102203,1102303,1102403)"
"201300204","201300204","102","14","201300204","1122004","0","2","0","47CF4D","(1102104,1102204,1102304,1102404)"
"201300205","201300205","102","0","201300205","1122005","0","0","0","0","(1102105,1102205,1102305,1102405)"
"201300206","201300206","102","0","201300206","1122006","0","0","0","0","(1102106,1102206,1102306,1102406)"
"201300207","201300207","102","0","201300207","1122007","0","0","0","0","(1102107,1102207,1102307,1102407)"
"201300208","201300208","102","2","201300208","1122008","0","2","0","47CF4D","(1102108,1102208,1102308,1102408)"
"201300209","201300209","102","3","201300209","1122009","0","2","0","47CF4D","(1102109,1102209,1102309,1102409)"
"201300210","201300210","102","4","201300210","1122010","0","2","0","47CF4D","(1102110,1102210,1102310,1102410)"
"201300211","201300211","102","7","201300211","1122011","0","2","0","47CF4D","(1102111,1102211,1102311,1102411)"
"201300212","201300212","102","8","201300212","1122012","0","2","0","47CF4D","(1102112,1102212,1102312,1102412)"
"201300213","201300213","102","9","201300213","1122013","0","2","0","47CF4D","(1102113,1102213,1102313,1102413)"
"201300214","201300214","102","0","201300214","1122014","0","0","0","0","(1102114,1102214,1102314,1102414)"
"201300215","201300215","102","0","201300215","1122015","0","0","0","0","(1102115,1102215,1102315,1102415)"
"201300216","201300216","102","18","201300216","1122016","0","2","0","47CF4D","(1102116,1102216,1102316,1102416)"
"201300217","201300217","102","0","201300217","1122017","0","0","0","0","(1102117,1102217,1102317,1102417)"
"201300218","201300218","102","0","201300218","1122018","0","0","0","0","(1102118,1102218,1102318,1102418)"
"201300219","201300219","102","19","201300219","1122019","0","2","0","47CF4D","(1102119,1102219,1102319,1102419)"
"201300220","201300220","102","0","201300220","1122020","0","0","0","0","(1102120,1102220,1102320,1102420)"
"201300221","201300221","102","20","201300221","1122021","0","2","0","47CF4D","(1102121,1102221,1102321,1102421)"
"201300222","201300222","102","17","201300222","1122022","0","2","0","47CF4D","(1102122,1102222,1102322,1102422)"
"201300223","201300223","102","16","201300223","1122023","0","2","0","47CF4D","(1102123,1102223,1102323,1102423)"
"201300224","201300224","102","15","201300224","1122024","0","2","0","47CF4D","(1102124,1102224,1102324,1102424)"
"201300225","201300225","102","22","201300225","1122025","0","1","0","CF2024","(1102125,1102225,1102325,1102425)"
"201300226","201300226","102","0","201300226","1122026","0","0","0","0","(1102126,1102226,1102326,1102426)"
"201300227","201300227","102","23","201300227","1122027","0","1","0","CF2024","(1102127,1102227,1102327,1102427)"
"201300228","201300228","102","24","201300228","1122028","0","1","0","CF2024","(1102128,1102228,1102328,1102428)"
"201300229","201300229","102","25","201300229","1122029","0","1","0","CF2024","(1102129,1102229,1102329,1102429)"
"201300230","201300230","102","26","201300230","1122030","0","1","0","CF2024","(1102130,1102230,1102330,1102430)"
"201300231","201300231","102","0","201300231","1122031","0","0","0","0","(1102131,1102231,1102331,1102431)"
"201300232","201300232","102","21","201300232","1122032","0","1","0","CF2024","(1102132,1102232,1102332,1102432)"
"201300233","201300233","102","5","201300233","1122033","0","2","0","47CF4D","(1102133,1102233,1102333,1102433)"
"201300234","201300234","102","6","201300234","1122033","0","2","0","47CF4D","(1102134,1102234,1102334,1102434)"
"201300235","201300235","102","10","201300235","1122034","0","2","0","47CF4D","(1102135,1102235,1102335,1102435)"
"201300236","201300236","102","11","201300236","1122034","0","2","0","47CF4D","(1102136,1102236,1102336,1102436)"
"201300301","201300301","103","1","201300301","1122001","1","1","0","CF2024","(1103101,1103201,1103301,1103401)"
"201300302","201300302","103","12","201300302","1122002","0","2","0","47CF4D","(1103102,1103202,1103302,1103402)"
"201300303","201300303","103","13","201300303","1122003","0","2","0","47CF4D","(1103103,1103203,1103303,1103403)"
"201300304","201300304","103","14","201300304","1122004","0","2","0","47CF4D","(1103104,1103204,1103304,1103404)"
"201300305","201300305","103","0","201300305","1122005","0","0","0","0","(1103105,1103205,1103305,1103405)"
"201300306","201300306","103","0","201300306","1122006","0","0","0","0","(1103106,1103206,1103306,1103406)"
"201300307","201300307","103","0","201300307","1122007","0","0","0","0","(1103107,1103207,1103307,1103407)"
"201300308","201300308","103","2","201300308","1122008","0","2","0","47CF4D","(1103108,1103208,1103308,1103408)"
"201300309","201300309","103","3","201300309","1122009","0","2","0","47CF4D","(1103109,1103209,1103309,1103409)"
"201300310","201300310","103","4","201300310","1122010","0","2","0","47CF4D","(1103110,1103210,1103310,1103410)"
"201300311","201300311","103","7","201300311","1122011","0","2","0","47CF4D","(1103111,1103211,1103311,1103411)"
"201300312","201300312","103","8","201300312","1122012","0","2","0","47CF4D","(1103112,1103212,1103312,1103412)"
"201300313","201300313","103","9","201300313","1122013","0","2","0","47CF4D","(1103113,1103213,1103313,1103413)"
"201300314","201300314","103","0","201300314","1122014","0","0","0","0","(1103114,1103214,1103314,1103414)"
"201300315","201300315","103","0","201300315","1122015","0","0","0","0","(1103115,1103215,1103315,1103415)"
"201300316","201300316","103","18","201300316","1122016","0","2","0","47CF4D","(1103116,1103216,1103316,1103416)"
"201300317","201300317","103","0","201300317","1122017","0","0","0","0","(1103117,1103217,1103317,1103417)"
"201300318","201300318","103","0","201300318","1122018","0","0","0","0","(1103118,1103218,1103318,1103418)"
"201300319","201300319","103","19","201300319","1122019","0","2","0","47CF4D","(1103119,1103219,1103319,1103419)"
"201300320","201300320","103","0","201300320","1122020","0","0","0","0","(1103120,1103220,1103320,1103420)"
"201300321","201300321","103","20","201300321","1122021","0","2","0","47CF4D","(1103121,1103221,1103321,1103421)"
"201300322","201300322","103","17","201300322","1122022","0","2","0","47CF4D","(1103122,1103222,1103322,1103422)"
"201300323","201300323","103","16","201300323","1122023","0","2","0","47CF4D","(1103123,1103223,1103323,1103423)"
"201300324","201300324","103","15","201300324","1122024","0","2","0","47CF4D","(1103124,1103224,1103324,1103424)"
"201300325","201300325","103","22","201300325","1122025","0","1","0","CF2024","(1103125,1103225,1103325,1103425)"
"201300326","201300326","103","0","201300326","1122026","0","0","0","0","(1103126,1103226,1103326,1103426)"
"201300327","201300327","103","23","201300327","1122027","0","1","0","CF2024","(1103127,1103227,1103327,1103427)"
"201300328","201300328","103","24","201300328","1122028","0","1","0","CF2024","(1103128,1103228,1103328,1103428)"
"201300329","201300329","103","25","201300329","1122029","0","1","0","CF2024","(1103129,1103229,1103329,1103429)"
"201300330","201300330","103","26","201300330","1122030","0","1","0","CF2024","(1103130,1103230,1103330,1103430)"
"201300331","201300331","103","0","201300331","1122031","0","0","0","0","(1103131,1103231,1103331,1103431)"
"201300332","201300332","103","21","201300332","1122032","0","1","0","CF2024","(1103132,1103232,1103332,1103432)"
"201300333","201300333","103","5","201300333","1122033","0","2","0","47CF4D","(1103133,1103233,1103333,1103433)"
"201300334","201300334","103","6","201300334","1122033","0","2","0","47CF4D","(1103134,1103234,1103334,1103434)"
"201300335","201300335","103","10","201300335","1122034","0","2","0","47CF4D","(1103135,1103235,1103335,1103435)"
"201300336","201300336","103","11","201300336","1122034","0","2","0","47CF4D","(1103136,1103236,1103336,1103436)"
"201300401","201300401","104","1","201300401","1122001","1","1","0","CF2024","(1104101,1104201,1104301,1104401)"
"201300402","201300402","104","12","201300402","1122002","0","2","0","47CF4D","(1104102,1104202,1104302,1104402)"
"201300403","201300403","104","13","201300403","1122003","0","2","0","47CF4D","(1104103,1104203,1104303,1104403)"
"201300404","201300404","104","14","201300404","1122004","0","2","0","47CF4D","(1104104,1104204,1104304,1104404)"
"201300405","201300405","104","0","201300405","1122005","0","0","0","0","(1104105,1104205,1104305,1104405)"
"201300406","201300406","104","0","201300406","1122006","0","0","0","0","(1104106,1104206,1104306,1104406)"
"201300407","201300407","104","0","201300407","1122007","0","0","0","0","(1104107,1104207,1104307,1104407)"
"201300408","201300408","104","2","201300408","1122008","0","2","0","47CF4D","(1104108,1104208,1104308,1104408)"
"201300409","201300409","104","3","201300409","1122009","0","2","0","47CF4D","(1104109,1104209,1104309,1104409)"
"201300410","201300410","104","4","201300410","1122010","0","2","0","47CF4D","(1104110,1104210,1104310,1104410)"
"201300411","201300411","104","7","201300411","1122011","0","2","0","47CF4D","(1104111,1104211,1104311,1104411)"
"201300412","201300412","104","8","201300412","1122012","0","2","0","47CF4D","(1104112,1104212,1104312,1104412)"
"201300413","201300413","104","9","201300413","1122013","0","2","0","47CF4D","(1104113,1104213,1104313,1104413)"
"201300414","201300414","104","0","201300414","1122014","0","0","0","0","(1104114,1104214,1104314,1104414)"
"201300415","201300415","104","0","201300415","1122015","0","0","0","0","(1104115,1104215,1104315,1104415)"
"201300416","201300416","104","18","201300416","1122016","0","2","0","47CF4D","(1104116,1104216,1104316,1104416)"
"201300417","201300417","104","0","201300417","1122017","0","0","0","0","(1104117,1104217,1104317,1104417)"
"201300418","201300418","104","0","201300418","1122018","0","0","0","0","(1104118,1104218,1104318,1104418)"
"201300419","201300419","104","19","201300419","1122019","0","2","0","47CF4D","(1104119,1104219,1104319,1104419)"
"201300420","201300420","104","0","201300420","1122020","0","0","0","0","(1104120,1104220,1104320,1104420)"
"201300421","201300421","104","20","201300421","1122021","0","2","0","47CF4D","(1104121,1104221,1104321,1104421)"
"201300422","201300422","104","17","201300422","1122022","0","2","0","47CF4D","(1104122,1104222,1104322,1104422)"
"201300423","201300423","104","16","201300423","1122023","0","2","0","47CF4D","(1104123,1104223,1104323,1104423)"
"201300424","201300424","104","15","201300424","1122024","0","2","0","47CF4D","(1104124,1104224,1104324,1104424)"
"201300425","201300425","104","22","201300425","1122025","0","1","0","CF2024","(1104125,1104225,1104325,1104425)"
"201300426","201300426","104","0","201300426","1122026","0","0","0","0","(1104126,1104226,1104326,1104426)"
"201300427","201300427","104","23","201300427","1122027","0","1","0","CF2024","(1104127,1104227,1104327,1104427)"
"201300428","201300428","104","24","201300428","1122028","0","1","0","CF2024","(1104128,1104228,1104328,1104428)"
"201300429","201300429","104","25","201300429","1122029","0","1","0","CF2024","(1104129,1104229,1104329,1104429)"
"201300430","201300430","104","26","201300430","1122030","0","1","0","CF2024","(1104130,1104230,1104330,1104430)"
"201300431","201300431","104","0","201300431","1122031","0","0","0","0","(1104131,1104231,1104331,1104431)"
"201300432","201300432","104","21","201300432","1122032","0","1","0","CF2024","(1104132,1104232,1104332,1104432)"
"201300433","201300433","104","5","201300433","1122033","0","2","0","47CF4D","(1104133,1104233,1104333,1104433)"
"201300434","201300434","104","6","201300434","1122033","0","2","0","47CF4D","(1104134,1104234,1104334,1104434)"
"201300435","201300435","104","10","201300435","1122034","0","2","0","47CF4D","(1104135,1104235,1104335,1104435)"
"201300436","201300436","104","11","201300436","1122034","0","2","0","47CF4D","(1104136,1104236,1104336,1104436)"
"201300501","201300501","105","1","201300501","1122001","1","1","0","CF2024","(1105101,1105201,1105301,1105401)"
"201300502","201300502","105","12","201300502","1122002","0","2","0","47CF4D","(1105102,1105202,1105302,1105402)"
"201300503","201300503","105","13","201300503","1122003","0","2","0","47CF4D","(1105103,1105203,1105303,1105403)"
"201300504","201300504","105","14","201300504","1122004","0","2","0","47CF4D","(1105104,1105204,1105304,1105404)"
"201300505","201300505","105","0","201300505","1122005","0","0","0","0","(1105105,1105205,1105305,1105405)"
"201300506","201300506","105","0","201300506","1122006","0","0","0","0","(1105106,1105206,1105306,1105406)"
"201300507","201300507","105","0","201300507","1122007","0","0","0","0","(1105107,1105207,1105307,1105407)"
"201300508","201300508","105","2","201300508","1122008","0","2","0","47CF4D","(1105108,1105208,1105308,1105408)"
"201300509","201300509","105","3","201300509","1122009","0","2","0","47CF4D","(1105109,1105209,1105309,1105409)"
"201300510","201300510","105","4","201300510","1122010","0","2","0","47CF4D","(1105110,1105210,1105310,1105410)"
"201300511","201300511","105","7","201300511","1122011","0","2","0","47CF4D","(1105111,1105211,1105311,1105411)"
"201300512","201300512","105","8","201300512","1122012","0","2","0","47CF4D","(1105112,1105212,1105312,1105412)"
"201300513","201300513","105","9","201300513","1122013","0","2","0","47CF4D","(1105113,1105213,1105313,1105413)"
"201300514","201300514","105","0","201300514","1122014","0","0","0","0","(1105114,1105214,1105314,1105414)"
"201300515","201300515","105","0","201300515","1122015","0","0","0","0","(1105115,1105215,1105315,1105415)"
"201300516","201300516","105","18","201300516","1122016","0","2","0","47CF4D","(1105116,1105216,1105316,1105416)"
"201300517","201300517","105","0","201300517","1122017","0","0","0","0","(1105117,1105217,1105317,1105417)"
"201300518","201300518","105","0","201300518","1122018","0","0","0","0","(1105118,1105218,1105318,1105418)"
"201300519","201300519","105","19","201300519","1122019","0","2","0","47CF4D","(1105119,1105219,1105319,1105419)"
"201300520","201300520","105","0","201300520","1122020","0","0","0","0","(1105120,1105220,1105320,1105420)"
"201300521","201300521","105","20","201300521","1122021","0","2","0","47CF4D","(1105121,1105221,1105321,1105421)"
"201300522","201300522","105","17","201300522","1122022","0","2","0","47CF4D","(1105122,1105222,1105322,1105422)"
"201300523","201300523","105","16","201300523","1122023","0","2","0","47CF4D","(1105123,1105223,1105323,1105423)"
"201300524","201300524","105","15","201300524","1122024","0","2","0","47CF4D","(1105124,1105224,1105324,1105424)"
"201300525","201300525","105","22","201300525","1122025","0","1","0","CF2024","(1105125,1105225,1105325,1105425)"
"201300526","201300526","105","0","201300526","1122026","0","0","0","0","(1105126,1105226,1105326,1105426)"
"201300527","201300527","105","23","201300527","1122027","0","1","0","CF2024","(1105127,1105227,1105327,1105427)"
"201300528","201300528","105","24","201300528","1122028","0","1","0","CF2024","(1105128,1105228,1105328,1105428)"
"201300529","201300529","105","25","201300529","1122029","0","1","0","CF2024","(1105129,1105229,1105329,1105429)"
"201300530","201300530","105","26","201300530","1122030","0","1","0","CF2024","(1105130,1105230,1105330,1105430)"
"201300531","201300531","105","0","201300531","1122031","0","0","0","0","(1105131,1105231,1105331,1105431)"
"201300532","201300532","105","21","201300532","1122032","0","1","0","CF2024","(1105132,1105232,1105332,1105432)"
"201300533","201300533","105","5","201300533","1122033","0","2","0","47CF4D","(1105133,1105233,1105333,1105433)"
"201300534","201300534","105","6","201300534","1122033","0","2","0","47CF4D","(1105134,1105234,1105334,1105434)"
"201300535","201300535","105","10","201300535","1122034","0","2","0","47CF4D","(1105135,1105235,1105335,1105435)"
"201300536","201300536","105","11","201300536","1122034","0","2","0","47CF4D","(1105136,1105236,1105336,1105436)"
"201300601","201300601","106","1","201300601","1122001","1","1","0","CF2024","(1106101,1106201,1106301,1106401)"
"201300602","201300602","106","12","201300602","1122002","0","2","0","47CF4D","(1106102,1106202,1106302,1106402)"
"201300603","201300603","106","13","201300603","1122003","0","2","0","47CF4D","(1106103,1106203,1106303,1106403)"
"201300604","201300604","106","14","201300604","1122004","0","2","0","47CF4D","(1106104,1106204,1106304,1106404)"
"201300605","201300605","106","18","201300605","1122005","0","2","0","47CF4D","(1106105,1106205,1106305,1106405)"
"201300606","201300606","106","0","201300606","1122006","0","0","0","47CF4D","(1106106,1106206,1106306,1106406)"
"201300607","201300607","106","0","201300607","1122007","0","0","0","47CF4D","(1106107,1106207,1106307,1106407)"
"201300608","201300608","106","2","201300608","1122008","0","2","0","47CF4D","(1106108,1106208,1106308,1106408)"
"201300609","201300609","106","3","201300609","1122009","0","2","0","47CF4D","(1106109,1106209,1106309,1106409)"
"201300610","201300610","106","4","201300610","1122010","0","2","0","47CF4D","(1106110,1106210,1106310,1106410)"
"201300611","201300611","106","7","201300611","1122011","0","2","0","47CF4D","(1106111,1106211,1106311,1106411)"
"201300612","201300612","106","8","201300612","1122012","0","2","0","47CF4D","(1106112,1106212,1106312,1106412)"
"201300613","201300613","106","9","201300613","1122013","0","2","0","47CF4D","(1106113,1106213,1106313,1106413)"
"201300614","201300614","106","0","201300614","1122014","0","0","0","0","(1106114,1106214,1106314,1106414)"
"201300615","201300615","106","0","201300615","1122015","0","0","0","0","(1106115,1106215,1106315,1106415)"
"201300616","201300616","106","19","201300616","1122016","0","2","0","47CF4D","(1106116,1106216,1106316,1106416)"
"201300617","201300617","106","0","201300617","1122017","0","0","0","0","(1106117,1106217,1106317,1106417)"
"201300618","201300618","106","0","201300618","1122018","0","0","0","0","(1106118,1106218,1106318,1106418)"
"201300619","201300619","106","20","201300619","1122019","0","2","0","47CF4D","(1106119,1106219,1106319,1106419)"
"201300620","201300620","106","0","201300620","1122020","0","0","0","0","(1106120,1106220,1106320,1106420)"
"201300621","201300621","106","21","201300621","1122021","0","2","0","47CF4D","(1106121,1106221,1106321,1106421)"
"201300622","201300622","106","17","201300622","1122022","0","2","0","47CF4D","(1106122,1106222,1106322,1106422)"
"201300623","201300623","106","16","201300623","1122023","0","2","0","47CF4D","(1106123,1106223,1106323,1106423)"
"201300624","201300624","106","15","201300624","1122024","0","2","0","47CF4D","(1106124,1106224,1106324,1106424)"
"201300625","201300625","106","23","201300625","1122025","0","1","0","CF2024","(1106125,1106225,1106325,1106425)"
"201300626","201300626","106","0","201300626","1122026","0","0","0","0","(1106126,1106226,1106326,1106426)"
"201300627","201300627","106","24","201300627","1122027","0","1","0","CF2024","(1106127,1106227,1106327,1106427)"
"201300628","201300628","106","25","201300628","1122028","0","1","0","CF2024","(1106128,1106228,1106328,1106428)"
"201300629","201300629","106","26","201300629","1122029","0","1","0","CF2024","(1106129,1106229,1106329,1106429)"
"201300630","201300630","106","27","201300630","1122030","0","1","0","CF2024","(1106130,1106230,1106330,1106430)"
"201300631","201300631","106","0","201300631","1122031","0","0","0","0","(1106131,1106231,1106331,1106431)"
"201300632","201300632","106","22","201300632","1122032","0","1","0","CF2024","(1106132,1106232,1106332,1106432)"
"201300633","201300633","106","5","201300633","1122033","0","2","0","47CF4D","(1106133,1106233,1106333,1106433)"
"201300634","201300634","106","6","201300634","1122033","0","2","0","47CF4D","(1106134,1106234,1106334,1106434)"
"201300635","201300635","106","10","201300635","1122034","0","2","0","47CF4D","(1106135,1106235,1106335,1106435)"
"201300636","201300636","106","11","201300636","1122034","0","2","0","47CF4D","(1106136,1106236,1106336,1106436)"
"201300701","201300701","107","1","201300701","1122001","1","1","0","CF2024","(1107101,1107201,1107301,1107401)"
"201300702","201300702","107","12","201300702","1122002","0","2","0","47CF4D","(1107102,1107202,1107302,1107402)"
"201300703","201300703","107","13","201300703","1122003","0","2","0","47CF4D","(1107103,1107203,1107303,1107403)"
"201300704","201300704","107","14","201300704","1122004","0","2","0","47CF4D","(1107104,1107204,1107304,1107404)"
"201300705","201300705","107","18","201300705","1122005","0","2","0","47CF4D","(1107105,1107205,1107305,1107405)"
"201300706","201300706","107","0","201300706","1122006","0","0","0","47CF4D","(1107106,1107206,1107306,1107406)"
"201300707","201300707","107","0","201300707","1122007","0","0","0","47CF4D","(1107107,1107207,1107307,1107407)"
"201300708","201300708","107","2","201300708","1122008","0","2","0","47CF4D","(1107108,1107208,1107308,1107408)"
"201300709","201300709","107","3","201300709","1122009","0","2","0","47CF4D","(1107109,1107209,1107309,1107409)"
"201300710","201300710","107","4","201300710","1122010","0","2","0","47CF4D","(1107110,1107210,1107310,1107410)"
"201300711","201300711","107","7","201300711","1122011","0","2","0","47CF4D","(1107111,1107211,1107311,1107411)"
"201300712","201300712","107","8","201300712","1122012","0","2","0","47CF4D","(1107112,1107212,1107312,1107412)"
"201300713","201300713","107","9","201300713","1122013","0","2","0","47CF4D","(1107113,1107213,1107313,1107413)"
"201300714","201300714","107","0","201300714","1122014","0","0","0","0","(1107114,1107214,1107314,1107414)"
"201300715","201300715","107","0","201300715","1122015","0","0","0","0","(1107115,1107215,1107315,1107415)"
"201300716","201300716","107","19","201300716","1122016","0","2","0","47CF4D","(1107116,1107216,1107316,1107416)"
"201300717","201300717","107","0","201300717","1122017","0","0","0","0","(1107117,1107217,1107317,1107417)"
"201300718","201300718","107","0","201300718","1122018","0","0","0","0","(1107118,1107218,1107318,1107418)"
"201300719","201300719","107","20","201300719","1122019","0","2","0","47CF4D","(1107119,1107219,1107319,1107419)"
"201300720","201300720","107","0","201300720","1122020","0","0","0","0","(1107120,1107220,1107320,1107420)"
"201300721","201300721","107","21","201300721","1122021","0","2","0","47CF4D","(1107121,1107221,1107321,1107421)"
"201300722","201300722","107","17","201300722","1122022","0","2","0","47CF4D","(1107122,1107222,1107322,1107422)"
"201300723","201300723","107","16","201300723","1122023","0","2","0","47CF4D","(1107123,1107223,1107323,1107423)"
"201300724","201300724","107","15","201300724","1122024","0","2","0","47CF4D","(1107124,1107224,1107324,1107424)"
"201300725","201300725","107","23","201300725","1122025","0","1","0","CF2024","(1107125,1107225,1107325,1107425)"
"201300726","201300726","107","0","201300726","1122026","0","0","0","0","(1107126,1107226,1107326,1107426)"
"201300727","201300727","107","24","201300727","1122027","0","1","0","CF2024","(1107127,1107227,1107327,1107427)"
"201300728","201300728","107","25","201300728","1122028","0","1","0","CF2024","(1107128,1107228,1107328,1107428)"
"201300729","201300729","107","26","201300729","1122029","0","1","0","CF2024","(1107129,1107229,1107329,1107429)"
"201300730","201300730","107","27","201300730","1122030","0","1","0","CF2024","(1107130,1107230,1107330,1107430)"
"201300731","201300731","107","0","201300731","1122031","0","0","0","0","(1107131,1107231,1107331,1107431)"
"201300732","201300732","107","22","201300732","1122032","0","1","0","CF2024","(1107132,1107232,1107332,1107432)"
"201300733","201300733","107","5","201300733","1122033","0","2","0","47CF4D","(1107133,1107233,1107333,1107433)"
"201300734","201300734","107","6","201300734","1122033","0","2","0","47CF4D","(1107134,1107234,1107334,1107434)"
"201300735","201300735","107","10","201300735","1122034","0","2","0","47CF4D","(1107135,1107235,1107335,1107435)"
"201300736","201300736","107","11","201300736","1122034","0","2","0","47CF4D","(1107136,1107236,1107336,1107436)"
"201300801","201300801","108","1","201300801","1122001","1","1","0","CF2024","(1108101,1108201,1108301,1108401)"
"201300802","201300802","108","12","201300802","1122002","0","2","0","47CF4D","(1108102,1108202,1108302,1108402)"
"201300803","201300803","108","13","201300803","1122003","0","2","0","47CF4D","(1108103,1108203,1108303,1108403)"
"201300804","201300804","108","14","201300804","1122004","0","2","0","47CF4D","(1108104,1108204,1108304,1108404)"
"201300805","201300805","108","18","201300805","1122005","0","2","0","47CF4D","(1108105,1108205,1108305,1108405)"
"201300806","201300806","108","0","201300806","1122006","0","0","0","47CF4D","(1108106,1108206,1108306,1108406)"
"201300807","201300807","108","0","201300807","1122007","0","0","0","47CF4D","(1108107,1108207,1108307,1108407)"
"201300808","201300808","108","2","201300808","1122008","0","2","0","47CF4D","(1108108,1108208,1108308,1108408)"
"201300809","201300809","108","3","201300809","1122009","0","2","0","47CF4D","(1108109,1108209,1108309,1108409)"
"201300810","201300810","108","4","201300810","1122010","0","2","0","47CF4D","(1108110,1108210,1108310,1108410)"
"201300811","201300811","108","7","201300811","1122011","0","2","0","47CF4D","(1108111,1108211,1108311,1108411)"
"201300812","201300812","108","8","201300812","1122012","0","2","0","47CF4D","(1108112,1108212,1108312,1108412)"
"201300813","201300813","108","9","201300813","1122013","0","2","0","47CF4D","(1108113,1108213,1108313,1108413)"
"201300814","201300814","108","0","201300814","1122014","0","0","0","0","(1108114,1108214,1108314,1108414)"
"201300815","201300815","108","0","201300815","1122015","0","0","0","0","(1108115,1108215,1108315,1108415)"
"201300816","201300816","108","19","201300816","1122016","0","2","0","47CF4D","(1108116,1108216,1108316,1108416)"
"201300817","201300817","108","0","201300817","1122017","0","0","0","0","(1108117,1108217,1108317,1108417)"
"201300818","201300818","108","0","201300818","1122018","0","0","0","0","(1108118,1108218,1108318,1108418)"
"201300819","201300819","108","20","201300819","1122019","0","2","0","47CF4D","(1108119,1108219,1108319,1108419)"
"201300820","201300820","108","0","201300820","1122020","0","0","0","0","(1108120,1108220,1108320,1108420)"
