"Name","ObjectId","ObjectGatherType","ObjectType","ObjectNameSid","CastingDesc","ChattingStringId","ChattingStringId2","IsBossDropRewardBox","ResourceId","ObjectScale","ObjectNameOnOff","ObjectLifeTime","CollectActivationType","CollectActivationValue","AlwaysVisible","AlwaysVisibleOff","CollectActivationString","CollectQualificationType","CollectQualificationValue","CollectMethod","InteractionRange","ProgressRangeInteraction","ProgressRange","BroadcastingSize","CollectCountMin","CollectCountMax","CastingTime","CollectIcon","FixedDropItemId","IconCoordinate","DecalScale","CollectAniType","EffectScale","ObjectLoopFxId","ObjectGenFxId","ObjectAniOnOff","ABPLink","ObjectDisappearTime","DropItemId","MonGenType","MonsterID","SpawnCount","SpawnRange","MonGenValue","LinkOccupationId","GetWayType","GenMessageStringTemplateIdTitle","GenMessageStringTemplateIdContent","QuestDropId","ObjectGrade","ObjectRadius","BuffId","BuffOverLap","MiniMapList_Show","ServerLogEventType"
"100002001","100002001","0","0","2105002","2210004","0","0","0","40001","1","0","0","(1)","(100007900)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400010","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"101001001","101001001","0","0","2105005","2210005","0","0","0","40010","1","0","0","(1)","(101004700)","0","0","0","0","0","1","500","250","250","2","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400008","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"101001002","101001002","0","0","2105006","2210006","0","0","0","40001","1","0","0","(1)","(101003270)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400010","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"101001003","101001003","0","0","2105007","2210007","0","0","0","40014","1.5","0","0","(1)","(101001000)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400015","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104001001","104001001","0","0","2105013","2210012","0","0","0","40018","1","0","0","(1)","(101103500)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400001","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104002001","104002001","0","0","2160003","2210002","0","0","0","40018","1","0","0","(1)","(101101800)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400001","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104002002","104002002","0","0","2105015","2210014","0","0","0","40019","0.7","0","0","(1)","(101106500)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400007","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104002006","104002006","0","0","2100009","2210016","0","0","0","40022","1","0","0","(1)","(101106300)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400029","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004015","104004015","0","0","2105018","2210017","0","0","0","40022","1","0","0","(1)","(101103400)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004016","104004016","0","0","2105018","2210017","0","0","0","40022","1","0","0","(1)","(101103450)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004020","104004020","0","0","2105020","2210012","0","0","0","40029","1","0","0","(1)","(0)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","0","0","0","400016","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104003003","104003003","0","0","2100009","2210013","0","0","0","40019","1","0","0","(1)","(102004900)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400007","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004003","104004003","0","0","2160003","2210002","0","0","0","40022","1","0","0","(1)","(102000800)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400031","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004004","104004004","0","0","2160003","2210002","0","0","0","40022","1","0","0","(1)","(102000700)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400032","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004008","104004008","0","0","2160003","2210002","0","0","0","40022","1","0","0","(1)","(102001600)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400036","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004009","104004009","0","0","2105019","2210018","0","0","0","40022","1","0","0","(1)","(102007400)","0","0","0","0","0","1","350","250","250","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400029","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004013","104004013","0","0","2105016","2210019","0","0","0","40022","1","0","0","(1)","(102003900)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400029","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004014","104004014","0","0","2105017","2210020","0","0","0","40045","1","0","0","(1)","(102005800)","0","0","0","0","0","1","350","175","175","0","1","1","3","1000002","0","(x=0, y=0, z=140)","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004017","104004017","0","0","2105019","2210018","0","0","0","40022","1","0","0","(1)","(102006750)","0","0","0","0","0","1","350","250","250","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400029","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004022","104004022","0","0","2105021","2210021","0","0","0","50083","1.3","0","0","(1)","(102003400)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400037","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"104004023","104004023","5","0","12","2200005","0","0","0","40110","1","0","0","(1)","(102010280)","0","0","0","0","0","1","350","175","175","0","1","1","10","1000002","0","(x=0, y=0, z=140)","1","2","1","1080001","0","0","0","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001001","105001001","0","0","2105022","2210022","0","0","0","40035","1","0","0","(1)","(102103800)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400022","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001002","105001002","0","0","2105027","2210023","0","0","0","40022","1","0","0","(1)","(102102300)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001003","105001003","0","0","2100038","2210002","0","0","0","40018","1","0","0","(1)","(102102600)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","0","0","0","400001","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001004","105001004","0","0","2100038","2210002","0","0","0","40018","1","0","0","(1)","(102102700)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","0","0","0","400001","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001005","105001005","0","0","2105030","2210024","0","0","0","40022","1","0","0","(1)","(102104300)","0","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001006","105001006","0","0","2105023","2210023","0","0","0","40022","1","0","0","(1)","(102104060)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001007","105001007","0","0","2105024","2210012","0","0","0","40018","1","0","0","(1)","(102104150)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","0","0","0","400001","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001008","105001008","0","0","2100016","2210002","0","0","0","40018","1","0","0","(1)","(102101010)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400001","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001009","105001009","0","0","2105026","2210023","0","0","0","40022","1","0","0","(1)","(102100950)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001010","105001010","0","0","2105027","2210023","0","0","0","30063","1","0","0","(1)","(102101300)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=90)","1","1","1","1080001","0","0","400044","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001011","105001011","0","0","2105028","2210025","0","0","0","40022","1","0","0","(1)","(102101200)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"105001012","105001012","0","0","2100038","2210002","0","0","0","40018","1","0","0","(1)","(102101010)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400001","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"106001001","106001001","0","0","2105030","2210024","0","0","0","40097","1","0","0","(1)","(103000300)","0","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400082","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"106001002","106001002","0","0","2105031","2210026","0","0","0","40002","1","0","0","(1)","(103001400)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400041","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"106001008","106001008","0","0","2105032","2210027","0","0","0","40033","1","0","0","(1)","(103004300)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400020","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"106001004","106001004","0","0","2105033","2210028","0","0","0","40022","1","0","0","(1)","(103004400)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"106001005","106001005","0","0","2105034","2210029","0","0","0","40082","1","0","0","(1)","(103007200)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400051","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"106001006","106001006","0","0","2105034","2210029","0","0","0","40082","1","0","0","(1)","(103007300)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400051","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"106001007","106001007","0","0","2105035","2210030","0","0","0","40082","1","0","0","(1)","(103008150)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400051","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"106001010","106001010","0","0","2110009","2200013","0","0","0","40022","1","0","0","(1)","(103001870)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000003","0","(x=0, y=0, z=140)","1","3","1","220610","0","0","400000","0","113000","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"108001001","108001001","0","0","2100048","2210015","0","0","0","40059","1.5","0","0","(1)","(0)","1","0","0","0","0","1","350","200","200","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","0","0","0","400053","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"108001002","108001002","0","0","2100048","2210015","0","0","0","40059","1.5","0","0","(1)","(104101700)","1","0","0","0","0","1","350","200","200","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400053","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"108001003","108001003","0","0","2100048","2210015","0","0","0","40059","1.5","0","0","(1)","(104102200)","1","0","0","0","0","1","350","200","200","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400053","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"108001004","108001004","0","0","2100048","2210015","0","0","0","40059","1.5","0","0","(1)","(104102500)","1","0","0","0","0","1","350","200","200","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400053","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"108001005","108001005","0","0","2100047","2210031","0","0","0","40060","1.5","0","0","(0)","(0)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400054","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"108001006","108001006","0","0","2100048","2210015","0","0","0","40059","1.5","0","0","(1)","(0)","1","0","0","0","0","1","350","200","200","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","0","0","0","400053","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"108001007","108001007","0","0","2100048","2210015","0","0","0","40059","1.5","0","0","(1)","(104107800)","1","0","0","0","0","1","350","200","200","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400053","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"108001008","108001008","0","0","2100046","2210032","0","0","0","40061","1","0","0","(1)","(104108900)","1","0","0","0","0","1","350","250","250","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400055","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"108001009","108001009","0","0","2100048","2210015","0","0","0","40059","1.5","0","0","(1)","(104106505)","1","0","0","0","0","1","350","200","200","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400053","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002001","109002001","0","0","2105039","2210033","0","0","0","40037","2","0","0","(1)","(104200200)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400024","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002002","109002002","0","0","2100052","2210034","0","0","0","40022","1","0","0","(1)","(104200400)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002003","109002003","0","0","2100051","2210035","0","0","0","40022","1","0","0","(1)","(104203300)","1","0","0","0","0","1","350","175","175","0","1","3","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002004","109002004","0","0","2105041","2210036","0","0","0","40052","1","0","0","(1)","(104204800)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400050","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002005","109002005","0","0","2105049","2210015","0","0","0","40022","1","0","0","(1)","(104206080)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002006","109002006","0","0","2100050","2210037","0","0","0","40051","1","0","0","(1)","(104206600)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400048","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002007","109002007","0","0","2105043","2200009","0","0","0","40018","1","0","0","(1)","(104206800)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","2","1","1080001","0","0","400001","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002008","109002008","0","0","2100049","2210002","0","0","0","40018","1","0","0","(1)","(104207800)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400001","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002009","109002009","0","0","2100015","2210038","0","0","0","40054","1","0","0","(1)","(104208100)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400052","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002010","109002010","0","0","2100015","2210038","0","0","0","40054","1","0","0","(1)","(104208200)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400052","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002011","109002011","0","0","2105046","2210039","0","0","0","40053","1","0","0","(1)","(104208400)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400051","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002012","109002012","0","0","2100052","2210034","0","0","0","40022","1.2","0","0","(1)","(104200500)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002013","109002013","0","0","2100064","2210040","0","0","0","40018","1","0","0","(1)","(104204000)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400001","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002014","109002014","0","0","2105049","2210015","0","0","0","40022","1","0","0","(1)","(104206100)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002015","109002015","0","0","2100015","2210038","0","0","0","40053","1","0","0","(1)","(104208150)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400051","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"109002016","109002016","0","0","2100015","2210038","0","0","0","40053","1","0","0","(1)","(104208200)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400051","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"110001001","110001001","0","0","2105050","2210041","0","0","0","40037","1.8","0","0","(1)","(105100400)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400024","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"110001002","110001002","0","0","2105051","2210042","0","0","0","40069","0.8","0","0","(1)","(105101480)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"110001003","110001003","0","0","2105052","2210043","0","0","0","40007","1","0","0","(1)","(105101600)","0","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","2","1","1080001","0","0","0","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"110001007","110001007","0","0","2105053","2210023","0","0","0","40022","1","0","0","(1)","(105103550)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","0","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"110001004","110001004","0","0","2105054","2210027","0","0","0","40033","1.2","0","0","(1)","(105103600)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400020","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"110001005","110001005","0","0","2100068","2210044","0","0","0","40067","1","0","0","(1)","(105104600)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"110001006","110001006","0","0","2105056","2210045","0","0","0","40051","1","0","0","(1)","(105105140)","1","0","0","0","0","1","350","175","175","0","1","1","3","1000001","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400048","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"111001001","111001001","0","0","2100058","2210094","0","0","0","40065","1","0","0","(1)","(105201200)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"111001002","111001002","0","0","2105067","2210047","0","0","0","40066","0.8","0","0","(1)","(105204800)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"111001003","111001003","0","0","2105068","2210047","0","0","0","40066","0.8","0","0","(1)","(105204850)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"111001004","111001004","0","0","2105057","2210047","0","0","0","40066","1","0","0","(1)","(105202900)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","1080001","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
"111001005","111001005","0","0","2100060","2210047","0","0","0","40066","0.9","0","0","(1)","(0)","1","0","0","0","0","1","500","250","250","0","1","1","3","1000051","0","(x=0, y=0, z=140)","1","1","1","0","0","0","400000","0","0","0","0","0","0","0","0","1","0","0","(0)","0","0","0","0","0","0"
