"Name","RewardBoxGroupID","IsPossibleDuplicate","RewardBoxTotalCount","BoxDropChance_A","BoxDropChance_B","BoxDropCount_Max_A","BoxDropCount_Max_B","ObjectId_A","ObjectId_B","ObjectId_C","DropPositionGroupId_A","DropPositionGroupId_B","DropPositionGroupId_C"
"1050304","1050304","1","1","100000","0","1","0","(311052143)","(0)","(0)","5","0","0"
"1050305","1050305","1","1","100000","0","1","0","(311052153)","(0)","(0)","5","0","0"
"1050501","1050501","1","2","100000","100000","1","1","(311052213)","(311052214)","(0)","5","3","0"
"1050502","1050502","1","2","100000","100000","1","1","(311052223)","(311052224)","(0)","5","3","0"
"1050503","1050503","1","2","100000","100000","1","1","(311052233)","(311052234)","(0)","5","3","0"
"1051001","1051001","1","3","100000","100000","2","1","(311052313)","(311052314)","(0)","5","3","0"
"1051002","1051002","1","3","100000","100000","2","1","(311052323)","(311052324)","(0)","5","3","0"
"1051003","1051003","1","3","100000","100000","2","1","(311052333)","(311052334)","(0)","5","3","0"
"1060301","1060301","1","1","100000","0","1","0","(311062113)","(0)","(0)","5","0","0"
"1060302","1060302","1","1","100000","0","1","0","(311062123)","(0)","(0)","5","0","0"
"1060303","1060303","1","1","100000","0","1","0","(311062133)","(0)","(0)","5","0","0"
"1060304","1060304","1","1","100000","0","1","0","(311062143)","(0)","(0)","5","0","0"
"1060305","1060305","1","1","100000","0","1","0","(311062153)","(0)","(0)","5","0","0"
"1060501","1060501","1","2","100000","100000","1","1","(311062213)","(311062214)","(0)","5","3","0"
"1060502","1060502","1","2","100000","100000","1","1","(311062223)","(311062224)","(0)","5","3","0"
"1060503","1060503","1","2","100000","100000","1","1","(311062233)","(311062234)","(0)","5","3","0"
"1061001","1061001","1","3","100000","100000","2","1","(311062313)","(311062314)","(0)","5","3","0"
"1061002","1061002","1","3","100000","100000","2","1","(311062323)","(311062324)","(0)","5","3","0"
"1061003","1061003","1","3","100000","100000","2","1","(311062333)","(311062334)","(0)","5","3","0"
"2010000","2010000","0","0","0","0","0","0","(0)","(0)","(0)","0","0","0"
"2010101","2010101","1","3","100000","100000","2","1","(350201802)","(350201803)","(0)","5","3","0"
"2010201","2010201","1","2","100000","100000","1","1","(350201805)","(350201806)","(0)","5","3","0"
"2010301","2010301","1","1","100000","0","1","0","(350201808)","(0)","(0)","5","0","0"
"2020101","2020101","1","3","100000","100000","2","1","(350202802)","(350202803)","(0)","5","3","0"
"2020201","2020201","1","2","100000","100000","1","1","(350202805)","(350202806)","(0)","5","3","0"
"2020301","2020301","1","1","100000","0","1","0","(350202808)","(0)","(0)","5","0","0"
"2030101","2030101","1","3","100000","100000","2","1","(350203802)","(350203803)","(0)","5","3","0"
"2030201","2030201","1","2","100000","100000","1","1","(350203805)","(350203806)","(0)","5","3","0"
"2030301","2030301","1","1","100000","0","1","0","(350203808)","(0)","(0)","5","0","0"
"2040101","2040101","1","3","100000","100000","2","1","(350204802)","(350204803)","(0)","5","3","0"
"2040201","2040201","1","2","100000","100000","1","1","(350204805)","(350204806)","(0)","5","3","0"
"2040301","2040301","1","1","100000","0","1","0","(350204808)","(0)","(0)","5","0","0"
"2050101","2050101","1","3","100000","100000","2","1","(350205802)","(350205803)","(0)","5","3","0"
"2050201","2050201","1","2","100000","100000","1","1","(350205805)","(350205806)","(0)","5","3","0"
"2050301","2050301","1","1","100000","0","1","0","(350205808)","(0)","(0)","5","0","0"
"2060101","2060101","1","3","100000","100000","2","1","(350206802)","(350206803)","(0)","5","3","0"
"2060201","2060201","1","2","100000","100000","1","1","(350206805)","(350206806)","(0)","5","3","0"
"2060301","2060301","1","1","100000","0","1","0","(350206808)","(0)","(0)","5","0","0"
