"Name","AiId","AiIndex","Phase","CheckValue_1","CheckValue_2","AiActionValue1_1","AiActionValue1_2","AiActionValue1_3","AiActionValue1_4","AiActionValue2_1","AiActionValue2_2","AiActionValue2_3","AiActionValue2_4","AiActionValue3_1","AiActionValue3_2","AiActionValue3_3","AiActionValue3_4","AiActionValue4_1","AiActionValue4_2","AiActionValue4_3","AiActionValue4_4","AniStance","AniSection","NextActionID","NextDelay","GotoEvent","EventTimer","TimerNum","StateFSM","CheckType_1","CheckTarget_1","CheckType_2","CheckTarget_2","AiActionType_1","AiActionType_2","AiActionType_3","AiActionType_4"
"14","14","1016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","15","1017","0","0","0","6","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","21","0","0","0"
"16","16","1018","0","0","0","9","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","21","0","0","0"
"17","17","1019","0","0","0","12","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","21","0","0","0"
"18","18","1020","0","0","0","4","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","21","0","0","0"
"19","19","1020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","20","1020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","21","1021","0","0","0","7","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","21","0","0","0"
"22","22","1021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","23","1021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","24","1022","0","0","0","10","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","21","0","0","0"
"25","25","1022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","26","1022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","27","10","0","99","0","28","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","6","0","0","0"
"28","28","10","0","28","0","112056","0","0","0","28","0","0","0","29","90000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","8","17","6","0"
"29","29","10","0","29","0","29","0","0","0","28","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","17","6","0","0"
"101","101","10001","0","70","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","3","1","0","0"
"102","102","10001","0","40","0","2","0","0","0","7","0","0","0","2029001","2029002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","3","1","5","0"
"103","103","10001","0","103","0","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","3","1","0","0"
"111","111","110","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","0","0","0","0"
"112","112","110","0","112","0","0","0","0","0","111","0","0","0","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","17","17","0"
"113","113","110","0","60","0","1","0","0","0","202000040","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","3","25","0","0"
"115","115","110","0","40","0","2","0","0","0","202000050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","3","25","0","0"
"116","116","110","0","30","0","10259960","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","1","0","0","0"
"117","117","110","0","100","0","118","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","6","0","0","0"
"118","118","110","0","118","0","110100206","3","10000","5000","119","5000","0","0","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","11","6","17","0"
"119","119","110","0","119","0","118","5000","0","0","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","6","17","0","0"
"141","141","141","0","101","0","142","7000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","6","0","0","0"
"142","142","141","0","142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","7","0","0","0"
"151","151","150","0","0","0","152","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","6","0","0","0"
"152","152","150","0","152","0","153","5000","0","0","152","0","0","0","4000","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","6","17","21","0"
"153","153","150","0","153","0","152","5000","0","0","153","0","0","0","4001","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","6","17","21","0"
"161","161","160","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","0","0","0","0"
"162","162","160","0","112","0","0","0","0","0","111","0","0","0","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","17","17","0"
"163","163","160","0","0","0","110100210","1","10000","0","110100211","1","10000","0","0","0","0","0","164","3000","0","0","0","0","0","0","0","0","0","0","3","2","0","0","11","11","0","6"
"164","164","160","0","164","0","110100210","1","10000","0","110100211","1","10000","0","164","0","0","0","165","3000","0","0","0","0","0","0","0","0","0","0","2","2","0","0","11","11","17","6"
"165","165","160","0","165","0","110100210","1","10000","0","110100211","1","10000","0","165","0","0","0","164","3000","0","0","0","0","0","0","0","0","0","0","2","2","0","0","11","11","17","6"
"300","300","300","0","0","0","100020","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","21","0","0","0"
"301","301","300","0","50","0","1042402","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"302","302","300","0","30","0","1042402","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"303","303","300","0","10","0","1042402","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"310","310","310","0","50","0","1042405","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"311","311","310","0","30","0","1042405","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"312","312","310","0","10","0","1042405","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"320","320","320","0","0","0","321","0","3","0","322","0","0","0","323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","12","12","12","0"
"321","321","320","0","50","0","1042403","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"322","322","320","0","30","0","1042403","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"323","323","320","0","10","0","1042403","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"330","330","330","0","0","0","331","0","3","0","332","0","0","0","333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","12","12","12","0"
"331","331","330","0","50","0","1042404","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"332","332","330","0","30","0","1042404","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"333","333","330","0","10","0","1042404","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"340","340","340","0","0","0","341","0","3","0","342","0","0","0","343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","12","12","12","0"
"341","341","340","0","50","0","1042425","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"342","342","340","0","30","0","1042425","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"343","343","340","0","10","0","1042425","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"350","350","350","0","0","0","351","0","3","0","352","0","0","0","353","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","12","12","12","0"
"351","351","350","0","50","0","1042426","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"352","352","350","0","30","0","1042426","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"353","353","350","0","10","0","1042426","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"400","400","400","0","0","0","401","177000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","6","0","0","0"
"401","401","400","0","401","0","1","0","0","0","101","3600000","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","10","4","0","0"
"404","404","400","0","50","0","1042406","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"405","405","400","0","30","0","1042406","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"406","406","400","0","10","0","1042406","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"500","500","500","0","0","0","501","131000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","6","0","0","0"
"501","501","500","0","501","0","1","0","0","0","101","3600000","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","10","4","0","0"
"504","504","500","0","50","0","1042407","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"505","505","500","0","30","0","1042407","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"506","506","500","0","10","0","1042407","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"600","600","600","0","0","0","601","127000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","6","0","0","0"
"601","601","600","0","601","0","1","0","0","0","101","3600000","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","10","4","0","0"
"604","604","600","0","50","0","1042408","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"605","605","600","0","30","0","1042408","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"606","606","600","0","10","0","1042408","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"700","700","700","0","0","0","701","177000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","6","0","0","0"
"701","701","700","0","701","0","1","0","0","0","101","3600000","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","10","4","0","0"
"704","704","700","0","50","0","1042409","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"705","705","700","0","30","0","1042409","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"706","706","700","0","10","0","1042409","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"800","800","800","0","0","0","801","599000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","6","0","0","0"
"801","801","800","0","801","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","7","0","0","0"
"900","900","900","0","0","0","901","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","6","0","0","0"
"901","901","900","0","901","0","100013","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","21","0","0","0"
"902","902","900","0","50","0","1042421","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"903","903","900","0","30","0","1042421","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"904","904","900","0","10","0","1042421","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"910","910","910","0","0","0","911","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","6","0","0","0"
"911","911","910","0","911","0","100014","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","21","0","0","0"
"912","912","910","0","50","0","1042422","1042410","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"913","913","910","0","30","0","1042422","1042411","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"914","914","910","0","10","0","1042422","1042412","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","5","0","0","0"
"1010","1010","1010","0","0","100006300","100002004","1","5000","500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","5","1","11","0","0","0"
"1020","1020","1020","0","0","102105940","104003034","1","1500","500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","5","1","11","0","0","0"
"1101","1101","1100","0","100","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0"
"1102","1102","1100","0","1102","0","0","0","0","0","1102","0","0","0","1101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","17","17","0"
"1200","1200","1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1201","1201","1200","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","0","0","0","0"
"1202","1202","1200","0","1202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0"
"1203","1203","1200","0","1203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0"
"1211","1211","1200","0","101","0","10225050","0","0","0","1298","1200000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","6","0","0"
"1221","1221","1200","0","70","0","1009511","0","0","0","1210201","1210401","0","0","0","0","0","0","0","0","0","0","없음","0","0","0","0","0","0","0","1","2","0","0","8","5","0","0"
"1222","1222","1200","0","90","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","없음","0","0","0","0","0","0","0","1","2","0","0","3","0","0","0"
"1223","1223","1200","0","50","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","없음","0","0","0","0","0","0","0","1","2","0","0","3","0","0","0"
"1224","1224","1200","0","40","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","없음","0","0","0","0","0","0","0","1","2","0","0","3","0","0","0"
"1298","1298","1200","0","1298","0","1210201","1210202","0","0","2000002","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","5","8","3","0"
"1299","1299","1200","0","0","0","2000002","0","0","0","1009511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","9","9","0","0"
"1301","1301","1301","0","90","0","1","0","0","0","1","0","0","0","2029004","2029005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","3","1","5","0"
"1302","1302","1301","0","60","0","2","0","0","0","3","0","0","0","2029006","2029007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","3","1","5","0"
"1303","1303","1301","0","30","0","3","0","0","0","6","0","0","0","2029008","2029009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","3","1","5","0"
"1304","1304","1301","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0"
"1305","1305","1301","0","1305","0","0","0","0","0","1305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","17","0","0"
"1401","1401","1400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0"
"1402","1402","1400","0","1402","0","0","0","0","0","1403","1000","0","0","1402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6","17","0"
"1403","1403","1400","0","1403","0","0","0","0","0","1403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","17","0","0"
"1500","1500","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1501","1501","1500","0","100","0","1502","30000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","6","0","0","0"
"1502","1502","1500","0","1502","0","3","0","0","0","1503","100","0","0","1502","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","14","6","17","0"
"1503","1503","1500","0","1503","0","1502","30000","0","0","1503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","6","17","0","0"
"1504","1504","1500","0","0","0","1505","600000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6","0","0","0"
"1505","1505","1500","0","1505","0","220015","0","0","0","1506","1500","0","0","1505","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","8","6","17","0"
"1506","1506","1500","0","1506","0","0","0","0","0","1505","1500","0","0","1506","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","6","17","0"
"1507","1507","1500","0","80","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1508","1508","1500","0","60","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1509","1509","1500","0","40","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1510","1510","1500","0","20","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1511","1511","1500","0","90","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1512","1512","1500","0","85","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1513","1513","1500","0","75","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1514","1514","1500","0","70","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1515","1515","1500","0","65","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1516","1516","1500","0","55","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1517","1517","1500","0","50","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1518","1518","1500","0","45","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1519","1519","1500","0","35","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1570","1570","1500","0","30","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1571","1571","1500","0","25","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1572","1572","1500","0","15","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1573","1573","1500","0","10","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1574","1574","1500","0","5","0","110032209","1","10000","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","11","0","0","0"
"1520","1520","1520","0","0","0","220001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","8","0","0","0"
"1521","1521","1520","0","0","0","110032210","1","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","11","0","0","0"
"1530","1530","1530","0","0","0","220003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","8","0","0","0"
"1531","1531","1530","0","0","0","110032211","1","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","11","0","0","0"
"1540","1540","1540","0","0","0","1541","0","0","0","220007","0","0","0","220008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","6","8","8","0"
"1541","1541","1540","0","1541","0","110032212","1","10000","0","1542","2000","0","0","1541","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","11","6","17","0"
"1542","1542","1540","0","1542","0","1541","0","0","0","1542","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","6","17","0","0"
"1543","1543","1540","0","0","0","110032214","1","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","11","0","0","0"
"1550","1550","1550","0","0","0","1551","0","0","0","1554","0","0","0","1210201","1220083","12000","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","6","6","5","0"
"1551","1551","1550","0","1551","0","1552","0","0","0","220011","0","0","0","220012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","6","8","8","0"
