"Name","RowId","Class","Grade","Tier","MainType","SubType","SmeltingType","SmeltingCount","Attribute1Value","Attribute2Value","Attribute3Value","Attribute4Value","Attribute5Value","Attribute6Value"
"11441005","11441005","0","1","1","4","4","1","5","5","5","10","10","0","0"
"11441006","11441006","0","1","1","4","4","1","6","6","6","13","13","0","0"
"11441007","11441007","0","1","1","4","4","1","7","7","7","16","16","0","0"
"11441008","11441008","0","1","1","4","4","1","8","8","8","19","19","0","0"
"11441009","11441009","0","1","1","4","4","1","9","9","9","22","22","0","0"
"11441010","11441010","0","1","1","4","4","1","10","10","10","25","25","0","0"
"11441011","11441011","0","1","1","4","4","1","11","11","11","28","28","0","0"
"11441012","11441012","0","1","1","4","4","1","12","12","12","31","31","0","0"
"121211001","121211001","1","2","1","2","1","1","1","15","1","2","0","0","0"
"121211002","121211002","1","2","1","2","1","1","2","30","2","4","0","0","0"
"121211003","121211003","1","2","1","2","1","1","3","45","3","6","0","0","0"
"121211004","121211004","1","2","1","2","1","1","4","60","4","8","0","0","0"
"121211005","121211005","1","2","1","2","1","1","5","75","5","10","0","0","0"
"121211006","121211006","1","2","1","2","1","1","6","94","6","13","0","0","0"
"121211007","121211007","1","2","1","2","1","1","7","113","7","16","0","0","0"
"121211008","121211008","1","2","1","2","1","1","8","132","8","19","0","0","0"
"121211009","121211009","1","2","1","2","1","1","9","151","9","22","0","0","0"
"121211010","121211010","1","2","1","2","1","1","10","170","10","25","0","0","0"
"121211011","121211011","1","2","1","2","1","1","11","189","11","28","0","0","0"
"121211012","121211012","1","2","1","2","1","1","12","208","12","31","0","0","0"
"121311001","121311001","1","2","1","3","1","1","1","3","3","2","2","0","0"
"121311002","121311002","1","2","1","3","1","1","2","6","6","4","4","0","0"
"121311003","121311003","1","2","1","3","1","1","3","9","9","6","6","0","0"
"121311004","121311004","1","2","1","3","1","1","4","12","12","8","8","0","0"
"121311005","121311005","1","2","1","3","1","1","5","15","15","10","10","0","0"
"121311006","121311006","1","2","1","3","1","1","6","19","19","13","13","0","0"
"121311007","121311007","1","2","1","3","1","1","7","23","23","16","16","0","0"
"121311008","121311008","1","2","1","3","1","1","8","27","27","19","19","0","0"
"121311009","121311009","1","2","1","3","1","1","9","31","31","22","22","0","0"
"121311010","121311010","1","2","1","3","1","1","10","35","35","25","25","0","0"
"121311011","121311011","1","2","1","3","1","1","11","39","39","28","28","0","0"
"121311012","121311012","1","2","1","3","1","1","12","43","43","31","31","0","0"
"121321001","121321001","1","2","1","3","2","1","1","120","2","1","1","0","0"
"121321002","121321002","1","2","1","3","2","1","2","240","4","2","2","0","0"
"121321003","121321003","1","2","1","3","2","1","3","360","6","3","3","0","0"
"121321004","121321004","1","2","1","3","2","1","4","480","8","4","4","0","0"
"121321005","121321005","1","2","1","3","2","1","5","600","10","5","5","0","0"
"121321006","121321006","1","2","1","3","2","1","6","750","13","6","6","0","0"
"121321007","121321007","1","2","1","3","2","1","7","900","16","7","7","0","0"
"121321008","121321008","1","2","1","3","2","1","8","1050","19","8","8","0","0"
"121321009","121321009","1","2","1","3","2","1","9","1200","22","9","9","0","0"
"121321010","121321010","1","2","1","3","2","1","10","1350","25","10","10","0","0"
"121321011","121321011","1","2","1","3","2","1","11","1500","28","11","11","0","0"
"121321012","121321012","1","2","1","3","2","1","12","1650","31","12","12","0","0"
"121331001","121331001","1","2","1","3","3","1","1","60","1","2","1","0","0"
"121331002","121331002","1","2","1","3","3","1","2","120","2","4","2","0","0"
"121331003","121331003","1","2","1","3","3","1","3","180","3","6","3","0","0"
"121331004","121331004","1","2","1","3","3","1","4","240","4","8","4","0","0"
"121331005","121331005","1","2","1","3","3","1","5","300","5","10","5","0","0"
"121331006","121331006","1","2","1","3","3","1","6","375","6","13","6","0","0"
"121331007","121331007","1","2","1","3","3","1","7","450","7","16","7","0","0"
"121331008","121331008","1","2","1","3","3","1","8","525","8","19","8","0","0"
"121331009","121331009","1","2","1","3","3","1","9","600","9","22","9","0","0"
"121331010","121331010","1","2","1","3","3","1","10","675","10","25","10","0","0"
"121331011","121331011","1","2","1","3","3","1","11","750","11","28","11","0","0"
"121331012","121331012","1","2","1","3","3","1","12","825","12","31","12","0","0"
"121341001","121341001","1","2","1","3","4","1","1","60","2","1","1","0","0"
"121341002","121341002","1","2","1","3","4","1","2","120","4","2","2","0","0"
"121341003","121341003","1","2","1","3","4","1","3","180","6","3","3","0","0"
"121341004","121341004","1","2","1","3","4","1","4","240","8","4","4","0","0"
"121341005","121341005","1","2","1","3","4","1","5","300","10","5","5","0","0"
"121341006","121341006","1","2","1","3","4","1","6","375","13","6","6","0","0"
"121341007","121341007","1","2","1","3","4","1","7","450","16","7","7","0","0"
"121341008","121341008","1","2","1","3","4","1","8","525","19","8","8","0","0"
"121341009","121341009","1","2","1","3","4","1","9","600","22","9","9","0","0"
"121341010","121341010","1","2","1","3","4","1","10","675","25","10","10","0","0"
"121341011","121341011","1","2","1","3","4","1","11","750","28","11","11","0","0"
"121341012","121341012","1","2","1","3","4","1","12","825","31","12","12","0","0"
"21411001","21411001","0","2","1","4","1","1","1","24","8","2","2","0","0"
"21411002","21411002","0","2","1","4","1","1","2","48","16","4","4","0","0"
"21411003","21411003","0","2","1","4","1","1","3","72","24","6","6","0","0"
"21411004","21411004","0","2","1","4","1","1","4","96","32","8","8","0","0"
"21411005","21411005","0","2","1","4","1","1","5","120","40","10","10","0","0"
"21411006","21411006","0","2","1","4","1","1","6","150","50","13","13","0","0"
"21411007","21411007","0","2","1","4","1","1","7","180","60","16","16","0","0"
"21411008","21411008","0","2","1","4","1","1","8","210","70","19","19","0","0"
"21411009","21411009","0","2","1","4","1","1","9","240","80","22","22","0","0"
"21411010","21411010","0","2","1","4","1","1","10","270","90","25","25","0","0"
"21411011","21411011","0","2","1","4","1","1","11","300","100","28","28","0","0"
"21411012","21411012","0","2","1","4","1","1","12","330","110","31","31","0","0"
"21421001","21421001","0","2","1","4","2","1","1","24","8","3","2","0","0"
"21421002","21421002","0","2","1","4","2","1","2","48","16","6","4","0","0"
"21421003","21421003","0","2","1","4","2","1","3","72","24","9","6","0","0"
"21421004","21421004","0","2","1","4","2","1","4","96","32","12","8","0","0"
"21421005","21421005","0","2","1","4","2","1","5","120","40","15","10","0","0"
"21421006","21421006","0","2","1","4","2","1","6","150","50","19","13","0","0"
"21421007","21421007","0","2","1","4","2","1","7","180","60","23","16","0","0"
"21421008","21421008","0","2","1","4","2","1","8","210","70","27","19","0","0"
"21421009","21421009","0","2","1","4","2","1","9","240","80","31","22","0","0"
"21421010","21421010","0","2","1","4","2","1","10","270","90","35","25","0","0"
"21421011","21421011","0","2","1","4","2","1","11","300","100","39","28","0","0"
"21421012","21421012","0","2","1","4","2","1","12","330","110","43","31","0","0"
"21431001","21431001","0","2","1","4","3","1","1","8","8","2","1","0","0"
"21431002","21431002","0","2","1","4","3","1","2","16","16","4","2","0","0"
"21431003","21431003","0","2","1","4","3","1","3","24","24","6","3","0","0"
"21431004","21431004","0","2","1","4","3","1","4","32","32","8","4","0","0"
"21431005","21431005","0","2","1","4","3","1","5","40","40","10","5","0","0"
"21431006","21431006","0","2","1","4","3","1","6","50","50","13","6","0","0"
"21431007","21431007","0","2","1","4","3","1","7","60","60","16","7","0","0"
"21431008","21431008","0","2","1","4","3","1","8","70","70","19","8","0","0"
"21431009","21431009","0","2","1","4","3","1","9","80","80","22","9","0","0"
"21431010","21431010","0","2","1","4","3","1","10","90","90","25","10","0","0"
"21431011","21431011","0","2","1","4","3","1","11","100","100","28","11","0","0"
"21431012","21431012","0","2","1","4","3","1","12","110","110","31","12","0","0"
"21441001","21441001","0","2","1","4","4","1","1","1","1","2","2","0","0"
"21441002","21441002","0","2","1","4","4","1","2","2","2","4","4","0","0"
"21441003","21441003","0","2","1","4","4","1","3","3","3","6","6","0","0"
"21441004","21441004","0","2","1","4","4","1","4","4","4","8","8","0","0"
"21441005","21441005","0","2","1","4","4","1","5","5","5","10","10","0","0"
"21441006","21441006","0","2","1","4","4","1","6","6","6","13","13","0","0"
"21441007","21441007","0","2","1","4","4","1","7","7","7","16","16","0","0"
"21441008","21441008","0","2","1","4","4","1","8","8","8","19","19","0","0"
"21441009","21441009","0","2","1","4","4","1","9","9","9","22","22","0","0"
"21441010","21441010","0","2","1","4","4","1","10","10","10","25","25","0","0"
"21441011","21441011","0","2","1","4","4","1","11","11","11","28","28","0","0"
"21441012","21441012","0","2","1","4","4","1","12","12","12","31","31","0","0"
"122211001","122211001","1","2","2","2","1","1","1","17","2","3","0","0","0"
"122211002","122211002","1","2","2","2","1","1","2","34","4","6","0","0","0"
"122211003","122211003","1","2","2","2","1","1","3","51","6","9","0","0","0"
"122211004","122211004","1","2","2","2","1","1","4","68","8","12","0","0","0"
"122211005","122211005","1","2","2","2","1","1","5","85","10","15","0","0","0"
"122211006","122211006","1","2","2","2","1","1","6","106","13","19","0","0","0"
"122211007","122211007","1","2","2","2","1","1","7","127","16","23","0","0","0"
"122211008","122211008","1","2","2","2","1","1","8","148","19","27","0","0","0"
"122211009","122211009","1","2","2","2","1","1","9","169","22","31","0","0","0"
"122211010","122211010","1","2","2","2","1","1","10","190","25","35","0","0","0"
"122211011","122211011","1","2","2","2","1","1","11","211","28","39","0","0","0"
"122211012","122211012","1","2","2","2","1","1","12","232","31","43","0","0","0"
"122311001","122311001","1","2","2","3","1","1","1","4","4","3","4","0","0"
"122311002","122311002","1","2","2","3","1","1","2","8","8","6","8","0","0"
"122311003","122311003","1","2","2","3","1","1","3","12","12","9","12","0","0"
"122311004","122311004","1","2","2","3","1","1","4","16","16","12","16","0","0"
"122311005","122311005","1","2","2","3","1","1","5","20","20","15","20","0","0"
"122311006","122311006","1","2","2","3","1","1","6","25","25","19","25","0","0"
"122311007","122311007","1","2","2","3","1","1","7","30","30","23","30","0","0"
"122311008","122311008","1","2","2","3","1","1","8","35","35","27","35","0","0"
"122311009","122311009","1","2","2","3","1","1","9","40","40","31","40","0","0"
"122311010","122311010","1","2","2","3","1","1","10","45","45","35","45","0","0"
"122311011","122311011","1","2","2","3","1","1","11","50","50","39","50","0","0"
"122311012","122311012","1","2","2","3","1","1","12","55","55","43","55","0","0"
"122321001","122321001","1","2","2","3","2","1","1","143","2","2","2","0","0"
"122321002","122321002","1","2","2","3","2","1","2","286","4","4","4","0","0"
"122321003","122321003","1","2","2","3","2","1","3","429","6","6","6","0","0"
"122321004","122321004","1","2","2","3","2","1","4","572","8","8","8","0","0"
"122321005","122321005","1","2","2","3","2","1","5","715","10","10","10","0","0"
"122321006","122321006","1","2","2","3","2","1","6","894","13","13","13","0","0"
"122321007","122321007","1","2","2","3","2","1","7","1073","16","16","16","0","0"
"122321008","122321008","1","2","2","3","2","1","8","1252","19","19","19","0","0"
"122321009","122321009","1","2","2","3","2","1","9","1431","22","22","22","0","0"
"122321010","122321010","1","2","2","3","2","1","10","1610","25","25","25","0","0"
"122321011","122321011","1","2","2","3","2","1","11","1789","28","28","28","0","0"
"122321012","122321012","1","2","2","3","2","1","12","1968","31","31","31","0","0"
"122331001","122331001","1","2","2","3","3","1","1","72","2","3","2","0","0"
"122331002","122331002","1","2","2","3","3","1","2","144","4","6","4","0","0"
"122331003","122331003","1","2","2","3","3","1","3","216","6","9","6","0","0"
"122331004","122331004","1","2","2","3","3","1","4","288","8","12","8","0","0"
"122331005","122331005","1","2","2","3","3","1","5","360","10","15","10","0","0"
"122331006","122331006","1","2","2","3","3","1","6","450","13","19","13","0","0"
"122331007","122331007","1","2","2","3","3","1","7","540","16","23","16","0","0"
"122331008","122331008","1","2","2","3","3","1","8","630","19","27","19","0","0"
"122331009","122331009","1","2","2","3","3","1","9","720","22","31","22","0","0"
"122331010","122331010","1","2","2","3","3","1","10","810","25","35","25","0","0"
"122331011","122331011","1","2","2","3","3","1","11","900","28","39","28","0","0"
"122331012","122331012","1","2","2","3","3","1","12","990","31","43","31","0","0"
"122341001","122341001","1","2","2","3","4","1","1","72","2","2","2","0","0"
"122341002","122341002","1","2","2","3","4","1","2","144","4","4","4","0","0"
"122341003","122341003","1","2","2","3","4","1","3","216","6","6","6","0","0"
"122341004","122341004","1","2","2","3","4","1","4","288","8","8","8","0","0"
"122341005","122341005","1","2","2","3","4","1","5","360","10","10","10","0","0"
"122341006","122341006","1","2","2","3","4","1","6","450","13","13","13","0","0"
"122341007","122341007","1","2","2","3","4","1","7","540","16","16","16","0","0"
"122341008","122341008","1","2","2","3","4","1","8","630","19","19","19","0","0"
"122341009","122341009","1","2","2","3","4","1","9","720","22","22","22","0","0"
"122341010","122341010","1","2","2","3","4","1","10","810","25","25","25","0","0"
"122341011","122341011","1","2","2","3","4","1","11","900","28","28","28","0","0"
"122341012","122341012","1","2","2","3","4","1","12","990","31","31","31","0","0"
"22411001","22411001","0","2","2","4","1","1","1","28","8","3","3","0","0"
"22411002","22411002","0","2","2","4","1","1","2","56","16","6","6","0","0"
"22411003","22411003","0","2","2","4","1","1","3","84","24","9","9","0","0"
"22411004","22411004","0","2","2","4","1","1","4","112","32","12","12","0","0"
"22411005","22411005","0","2","2","4","1","1","5","140","40","15","15","0","0"
"22411006","22411006","0","2","2","4","1","1","6","175","50","19","19","0","0"
"22411007","22411007","0","2","2","4","1","1","7","210","60","23","23","0","0"
"22411008","22411008","0","2","2","4","1","1","8","245","70","27","27","0","0"
"22411009","22411009","0","2","2","4","1","1","9","280","80","31","31","0","0"
"22411010","22411010","0","2","2","4","1","1","10","315","90","35","35","0","0"
"22411011","22411011","0","2","2","4","1","1","11","350","100","39","39","0","0"
"22411012","22411012","0","2","2","4","1","1","12","385","110","43","43","0","0"
"22421001","22421001","0","2","2","4","2","1","1","28","8","4","4","0","0"
"22421002","22421002","0","2","2","4","2","1","2","56","16","8","8","0","0"
"22421003","22421003","0","2","2","4","2","1","3","84","24","12","12","0","0"
"22421004","22421004","0","2","2","4","2","1","4","112","32","16","16","0","0"
"22421005","22421005","0","2","2","4","2","1","5","140","40","20","20","0","0"
"22421006","22421006","0","2","2","4","2","1","6","175","50","25","25","0","0"
"22421007","22421007","0","2","2","4","2","1","7","210","60","30","30","0","0"
"22421008","22421008","0","2","2","4","2","1","8","245","70","35","35","0","0"
"22421009","22421009","0","2","2","4","2","1","9","280","80","40","40","0","0"
"22421010","22421010","0","2","2","4","2","1","10","315","90","45","45","0","0"
"22421011","22421011","0","2","2","4","2","1","11","350","100","50","50","0","0"
"22421012","22421012","0","2","2","4","2","1","12","385","110","55","55","0","0"
"22431001","22431001","0","2","2","4","3","1","1","8","8","3","2","0","0"
"22431002","22431002","0","2","2","4","3","1","2","16","16","6","4","0","0"
"22431003","22431003","0","2","2","4","3","1","3","24","24","9","6","0","0"
"22431004","22431004","0","2","2","4","3","1","4","32","32","12","8","0","0"
"22431005","22431005","0","2","2","4","3","1","5","40","40","15","10","0","0"
"22431006","22431006","0","2","2","4","3","1","6","50","50","19","13","0","0"
"22431007","22431007","0","2","2","4","3","1","7","60","60","23","16","0","0"
"22431008","22431008","0","2","2","4","3","1","8","70","70","27","19","0","0"
"22431009","22431009","0","2","2","4","3","1","9","80","80","31","22","0","0"
"22431010","22431010","0","2","2","4","3","1","10","90","90","35","25","0","0"
"22431011","22431011","0","2","2","4","3","1","11","100","100","39","28","0","0"
"22431012","22431012","0","2","2","4","3","1","12","110","110","43","31","0","0"
"22441001","22441001","0","2","2","4","4","1","1","2","2","3","3","0","0"
"22441002","22441002","0","2","2","4","4","1","2","4","4","6","6","0","0"
"22441003","22441003","0","2","2","4","4","1","3","6","6","9","9","0","0"
"22441004","22441004","0","2","2","4","4","1","4","8","8","12","12","0","0"
"22441005","22441005","0","2","2","4","4","1","5","10","10","15","15","0","0"
"22441006","22441006","0","2","2","4","4","1","6","13","13","19","19","0","0"
"22441007","22441007","0","2","2","4","4","1","7","16","16","23","23","0","0"
"22441008","22441008","0","2","2","4","4","1","8","19","19","27","27","0","0"
"22441009","22441009","0","2","2","4","4","1","9","22","22","31","31","0","0"
"22441010","22441010","0","2","2","4","4","1","10","25","25","35","35","0","0"
"22441011","22441011","0","2","2","4","4","1","11","28","28","39","39","0","0"
"22441012","22441012","0","2","2","4","4","1","12","31","31","43","43","0","0"
"123211001","123211001","1","2","3","2","1","1","1","19","2","4","0","0","0"
"123211002","123211002","1","2","3","2","1","1","2","38","4","8","0","0","0"
"123211003","123211003","1","2","3","2","1","1","3","57","6","12","0","0","0"
"123211004","123211004","1","2","3","2","1","1","4","76","8","16","0","0","0"
"123211005","123211005","1","2","3","2","1","1","5","95","10","20","0","0","0"
"123211006","123211006","1","2","3","2","1","1","6","119","13","25","0","0","0"
"123211007","123211007","1","2","3","2","1","1","7","143","16","30","0","0","0"
"123211008","123211008","1","2","3","2","1","1","8","167","19","35","0","0","0"
"123211009","123211009","1","2","3","2","1","1","9","191","22","40","0","0","0"
"123211010","123211010","1","2","3","2","1","1","10","215","25","45","0","0","0"
"123211011","123211011","1","2","3","2","1","1","11","239","28","50","0","0","0"
"123211012","123211012","1","2","3","2","1","1","12","263","31","55","0","0","0"
"123311001","123311001","1","2","3","3","1","1","1","5","5","5","6","0","0"
"123311002","123311002","1","2","3","3","1","1","2","10","10","10","12","0","0"
"123311003","123311003","1","2","3","3","1","1","3","15","15","15","18","0","0"
"123311004","123311004","1","2","3","3","1","1","4","20","20","20","24","0","0"
"123311005","123311005","1","2","3","3","1","1","5","25","25","25","30","0","0"
"123311006","123311006","1","2","3","3","1","1","6","31","31","31","38","0","0"
"123311007","123311007","1","2","3","3","1","1","7","37","37","37","46","0","0"
"123311008","123311008","1","2","3","3","1","1","8","43","43","43","54","0","0"
"123311009","123311009","1","2","3","3","1","1","9","49","49","49","62","0","0"
"123311010","123311010","1","2","3","3","1","1","10","55","55","55","70","0","0"
"123311011","123311011","1","2","3","3","1","1","11","61","61","61","78","0","0"
"123311012","123311012","1","2","3","3","1","1","12","67","67","67","86","0","0"
"123321001","123321001","1","2","3","3","2","1","1","167","3","2","2","0","0"
"123321002","123321002","1","2","3","3","2","1","2","334","6","4","4","0","0"
"123321003","123321003","1","2","3","3","2","1","3","501","9","6","6","0","0"
"123321004","123321004","1","2","3","3","2","1","4","668","12","8","8","0","0"
"123321005","123321005","1","2","3","3","2","1","5","835","15","10","10","0","0"
"123321006","123321006","1","2","3","3","2","1","6","1044","19","13","13","0","0"
"123321007","123321007","1","2","3","3","2","1","7","1253","23","16","16","0","0"
"123321008","123321008","1","2","3","3","2","1","8","1462","27","19","19","0","0"
"123321009","123321009","1","2","3","3","2","1","9","1671","31","22","22","0","0"
"123321010","123321010","1","2","3","3","2","1","10","1880","35","25","25","0","0"
"123321011","123321011","1","2","3","3","2","1","11","2089","39","28","28","0","0"
"123321012","123321012","1","2","3","3","2","1","12","2298","43","31","31","0","0"
"123331001","123331001","1","2","3","3","3","1","1","83","2","5","2","0","0"
"123331002","123331002","1","2","3","3","3","1","2","166","4","10","4","0","0"
"123331003","123331003","1","2","3","3","3","1","3","249","6","15","6","0","0"
"123331004","123331004","1","2","3","3","3","1","4","332","8","20","8","0","0"
"123331005","123331005","1","2","3","3","3","1","5","415","10","25","10","0","0"
"123331006","123331006","1","2","3","3","3","1","6","519","13","31","13","0","0"
"123331007","123331007","1","2","3","3","3","1","7","623","16","37","16","0","0"
"123331008","123331008","1","2","3","3","3","1","8","727","19","43","19","0","0"
"123331009","123331009","1","2","3","3","3","1","9","831","22","49","22","0","0"
"123331010","123331010","1","2","3","3","3","1","10","935","25","55","25","0","0"
"123331011","123331011","1","2","3","3","3","1","11","1039","28","61","28","0","0"
"123331012","123331012","1","2","3","3","3","1","12","1143","31","67","31","0","0"
"123341001","123341001","1","2","3","3","4","1","1","83","3","2","2","0","0"
"123341002","123341002","1","2","3","3","4","1","2","166","6","4","4","0","0"
"123341003","123341003","1","2","3","3","4","1","3","249","9","6","6","0","0"
"123341004","123341004","1","2","3","3","4","1","4","332","12","8","8","0","0"
"123341005","123341005","1","2","3","3","4","1","5","415","15","10","10","0","0"
"123341006","123341006","1","2","3","3","4","1","6","519","19","13","13","0","0"
"123341007","123341007","1","2","3","3","4","1","7","623","23","16","16","0","0"
"123341008","123341008","1","2","3","3","4","1","8","727","27","19","19","0","0"
"123341009","123341009","1","2","3","3","4","1","9","831","31","22","22","0","0"
"123341010","123341010","1","2","3","3","4","1","10","935","35","25","25","0","0"
"123341011","123341011","1","2","3","3","4","1","11","1039","39","28","28","0","0"
