"Name","BuffId","ActEffect","BuffEffect","EffectSocket","EffectSocket_Type","ExtinctionEffect","ExtinctionEffectSocket","BuffEffectScale","EffectHeight","BuffName","BuffExplain","Icon","Icon_Big","ShowDamageFont","PetBuff_IconId","PetId","BuffUseType","ApplyType","BuffTarget","UpdateRule","KeepType_Die","KeepType_StageOut","KeepType_LogOut","BuffArmorType","Buffprobability","BuffOverlap","OverLapCallGroupID","BuffAttackID","TimeType","BuffType","IsHideRemainTime","BuffTime","LevelUpBuffTime","BuffIndexType_1","BuffIndex_1","BuffValue_1","LevelUpBuffValue_1","BuffValueEx_1","BuffIndexType_2","BuffIndex_2","BuffValue_2","LevelUpBuffValue_2","BuffValueEx_2","BuffIndexType_3","BuffIndex_3","BuffValue_3","LevelUpBuffValue_3","BuffValueEx_3","MaterialPath","Emissive_Dcolor","Fresnel_Exponenth","Fresnel_BaseReflect","PassiveID","detachBuffID","AppearBuff","CalculateType_1","CalculateType_2","CalculateType_3","ShowDamageLog"
"14","14","2010014","0","Root","1","0","0","1","0","330106","340047","341012","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2026","2000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"15","15","2010014","0","Root","1","0","0","1","0","330047","340047","341012","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2025","1800","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"16","16","2010014","0","Root","1","0","0","1","0","330047","340047","341012","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2025","4500","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"21","21","2050106","0","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2021","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"22","22","2050106","0","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2021","2000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"23","23","2050106","0","Root","1","0","0","1","0","330105","340105","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2022","1250","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"24","24","2050106","0","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2021","8000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"25","25","2050106","0","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2021","16000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"26","26","2050106","0","Root","1","0","0","1","0","330107","340107","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2022","1650","0","0","2","2026","1650","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"27","27","2050106","0","Root","1","0","0","1","0","330107","340107","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2022","2500","0","0","2","2026","2500","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"28","28","2050106","0","Root","1","0","0","1","0","330107","340107","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2022","3250","0","0","2","2026","3250","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"29","29","2050106","0","Root","1","0","0","1","0","330107","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2022","2500","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"30","30","2050106","0","Root","1","0","0","1","0","330107","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2022","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"31","31","0","2050134","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","2","0","5","0","2","2021","200","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"32","32","0","2050134","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","2","0","5","0","2","2021","450","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"33","33","0","2050134","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","2","0","5","0","2","2021","750","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"34","34","0","2050134","Root","1","0","0","1","0","330105","340105","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","2","0","5","0","2","2022","250","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"35","35","0","2050134","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","2","0","5","0","2","2021","2250","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"36","36","0","2050134","Root","1","0","0","1","0","330001","340001","341010","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","2","0","5","0","2","2021","3500","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"41","41","2010014","0","Root","1","0","0","1","0","330047","340047","341012","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2025","300","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"42","42","2010014","0","Root","1","0","0","1","0","330047","340047","341012","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2025","700","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"43","43","2010014","0","Root","1","0","0","1","0","330047","340047","341012","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2025","1500","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"44","44","2010014","0","Root","1","0","0","1","0","330106","340047","341012","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2026","2250","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"45","45","2010014","0","Root","1","0","0","1","0","330047","340047","341012","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2025","3250","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"46","46","2010014","0","Root","1","0","0","1","0","330047","340047","341012","0","0","(0,0)","0","2","0","1","0","0","1","0","0","1000","0","0","0","0","0","0","1","0","2","2025","7200","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"51","51","0","0","0","0","0","0","1","0","330048","340048","120081","0","1","(0,0)","0","1","0","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","82","200","0","0","1","84","500","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"52","52","0","0","0","0","0","0","1","0","330048","340048","120081","0","1","(0,0)","0","1","0","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","82","400","0","0","1","84","1000","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"53","53","0","0","0","0","0","0","1","0","330048","340048","120081","0","1","(0,0)","0","1","0","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","82","600","0","0","1","84","1500","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"54","54","0","0","0","0","0","0","1","0","330048","340048","120081","0","1","(0,0)","0","1","0","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","82","1000","0","0","1","84","3000","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"55","55","0","0","0","0","0","0","1","0","330046","340046","360001","0","1","(0,0)","0","1","0","1","0","0","1","0","0","1000","0","0","0","0","1","0","0","0","1","71","100","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"56","56","0","0","0","0","0","0","1","0","330046","340046","360001","0","1","(0,0)","0","1","0","1","0","0","1","0","0","1000","0","0","0","0","1","0","0","0","1","71","300","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"57","57","0","0","0","0","0","0","1","0","330046","340046","360001","0","1","(0,0)","0","1","0","1","0","0","1","0","0","1000","0","0","0","0","1","0","0","0","1","71","500","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"58","58","0","0","0","0","0","0","1","0","330046","340046","360001","0","1","(0,0)","0","1","0","1","0","0","1","0","0","1000","0","0","0","0","1","0","0","0","1","71","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"61","61","0","0","Root","1","0","0","1","0","330049","340116","341013","341013","1","(0,0)","0","1","0","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","21","500","0","0","1","23","500","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"62","62","0","0","0","0","0","0","1","0","330049","340117","341015","341015","1","(0,0)","0","1","0","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","82","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"63","63","0","0","0","0","0","0","1","0","330049","340118","120081","120081","1","(0,0)","0","1","0","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","84","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"64","64","0","0","0","0","0","0","1","0","330049","340119","120065","120065","1","(0,0)","0","1","0","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","66","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"65","65","2050122","0","Root","1","0","0","1","0","330050","340120","120081","120081","1","(0,0)","0","1","0","1","0","1","1","0","0","1000","0","0","0","0","1","0","86400","0","1","84","500","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"66","66","2050104","0","Buff_Mid","2","0","0","1","0","2600020","2610020","341015","0","1","(0,0)","0","1","0","1","0","0","1","0","0","1000","0","0","0","0","1","0","0","0","1","25","500","0","0","1","27","500","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"67","67","2050104","0","Buff_Mid","2","0","0","1","0","2600020","2610027","341015","0","1","(0,0)","0","1","0","1","0","0","1","0","0","1000","0","0","0","0","1","0","0","0","1","25","-500","0","0","1","27","-500","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"68","68","2070009","0","Root","1","0","0","1","0","330105","340105","341010","0","0","(0,0)","0","0","2","1","0","0","0","0","0","1000","0","0","0","0","0","0","0","0","2","2022","15","15","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"69","69","2070011","0","Root","1","0","0","1","0","330105","340105","341010","0","0","(0,0)","0","0","2","1","0","0","0","0","0","1000","0","0","0","0","0","0","0","0","2","2022","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"70","70","2070009","0","Root","1","0","0","1","0","330105","340105","341010","0","0","(0,0)","0","0","2","1","0","0","0","0","0","1000","0","0","0","0","0","0","0","0","2","2022","1","1","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"101","101","0","0","0","0","0","0","1","0","330009","340009","341012","0","0","(0,0)","0","1","0","0","0","1","1","0","0","1000","0","0","0","0","2","0","30","0","2","2026","350","0","1","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"201","201","0","0","0","0","0","0","1","0","330100","340100","341012","0","0","(0,0)","0","1","2","0","0","0","1","0","0","1000","0","0","0","0","1","0","0","0","1","74","100","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"202","202","0","0","0","0","0","0","1","0","330100","340100","341012","0","0","(0,0)","0","1","2","0","0","0","1","0","0","1000","0","0","0","0","1","0","0","0","1","74","200","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"203","203","0","0","0","0","0","0","1","0","330100","340100","341012","0","0","(0,0)","0","1","2","0","0","0","1","0","0","1000","0","0","0","0","1","0","0","0","1","74","300","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"204","204","0","0","0","0","0","0","1","0","330100","340100","341012","0","0","(0,0)","0","1","2","0","0","0","1","0","0","1000","0","0","0","0","1","0","0","0","1","74","400","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"205","205","0","0","0","0","0","0","1","0","330100","340100","341012","0","0","(0,0)","0","1","2","0","0","0","1","0","0","1000","0","0","0","0","1","0","0","0","1","74","500","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"301","301","0","0","0","0","0","0","1","0","2602002","2612002","341021","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","28","50","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"302","302","0","0","0","0","0","0","1","0","2602002","2612002","341021","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","28","40","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"303","303","0","0","0","0","0","0","1","0","2602002","2612002","341021","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","28","30","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"304","304","0","0","0","0","0","0","1","0","2602002","2612002","341021","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","28","20","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"305","305","0","0","0","0","0","0","1","0","2602002","2612002","341021","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","28","15","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"306","306","0","0","0","0","0","0","1","0","2602002","2612002","341021","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","28","12","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"307","307","0","0","0","0","0","0","1","0","2602002","2612002","341021","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","28","9","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"308","308","0","0","0","0","0","0","1","0","2602002","2612002","341021","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","28","6","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"309","309","0","0","0","0","0","0","1","0","2602002","2612002","341021","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","28","3","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"311","311","0","0","0","0","0","0","1","0","2602002","2612003","341023","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","32","50","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"312","312","0","0","0","0","0","0","1","0","2602002","2612003","341023","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","32","40","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"313","313","0","0","0","0","0","0","1","0","2602002","2612003","341023","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","32","30","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"314","314","0","0","0","0","0","0","1","0","2602002","2612003","341023","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","32","20","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"315","315","0","0","0","0","0","0","1","0","2602002","2612003","341023","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","32","15","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"316","316","0","0","0","0","0","0","1","0","2602002","2612003","341023","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","32","12","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"317","317","0","0","0","0","0","0","1","0","2602002","2612003","341023","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","32","9","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"318","318","0","0","0","0","0","0","1","0","2602002","2612003","341023","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","32","6","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"319","319","0","0","0","0","0","0","1","0","2602002","2612003","341023","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","32","3","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"351","351","0","0","0","0","0","0","1","0","2602003","2612004","341024","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","29","50","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"352","352","0","0","0","0","0","0","1","0","2602003","2612004","341024","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","29","40","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"353","353","0","0","0","0","0","0","1","0","2602003","2612004","341024","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","29","30","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"354","354","0","0","0","0","0","0","1","0","2602003","2612004","341024","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","29","20","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"355","355","0","0","0","0","0","0","1","0","2602003","2612004","341024","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","29","15","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"356","356","0","0","0","0","0","0","1","0","2602003","2612004","341024","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","29","12","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"357","357","0","0","0","0","0","0","1","0","2602003","2612004","341024","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","29","9","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"358","358","0","0","0","0","0","0","1","0","2602003","2612004","341024","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","29","6","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"359","359","0","0","0","0","0","0","1","0","2602003","2612004","341024","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","29","3","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"361","361","0","0","0","0","0","0","1","0","2602003","2612005","341017","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","33","50","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"362","362","0","0","0","0","0","0","1","0","2602003","2612005","341017","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","33","40","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"363","363","0","0","0","0","0","0","1","0","2602003","2612005","341017","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","33","30","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
"364","364","0","0","0","0","0","0","1","0","2602003","2612005","341017","0","0","(0,0)","0","0","2","1","0","1","1","0","0","1000","0","0","0","0","1","0","0","0","1","33","20","0","0","0","0","0","0","0","0","0","0","0","0","0","(0,0,0)","0","0","(0)","(0)","0","0","0","0","0"
