"Name","RowId","ClassId","Level","ReqExp","MaxHP","MaxMana","PhysicalAttack","MagicAttack","Physicaldefense","Magicdefense","Accuracy","Dodge","Critical","AvoidCritical","CriticalOutcome","AtkBossDamage","DefBossDamage","AtkPVPDamage","ReducePhysicalDef","ReduceMagicDef","Luck","ManaCost","MeditationMaxSpirit","ActingPointMax","ProperPassivePoint","BlackIronMax","SkillStoneMax","MaxDurabilityDmg","RecommendCombatpoint"
"1024","1024","1","24","81700","9520","830","234","0","115","115","92","92","0","0","0","104","104","23","0","0","0","817","5000000","30","9","5000000","6500","2593","13320"
"1025","1025","1","25","116010","9760","840","242","0","120","120","96","96","0","0","0","108","108","24","0","0","0","843","5000000","30","10","5000000","7000","2731","14303"
"1026","1026","1","26","129840","10000","850","250","0","125","125","100","100","0","0","0","113","113","25","0","0","0","866","5000000","30","11","5000000","7500","2872","14648"
"1027","1027","1","27","145210","10240","860","258","0","130","130","104","104","0","0","0","117","117","26","0","0","0","887","5000000","30","12","5000000","8000","3016","16536"
"1028","1028","1","28","162290","10480","870","266","0","135","135","108","108","0","0","0","122","122","27","0","0","0","908","5000000","30","13","5000000","8500","3162","16795"
"1029","1029","1","29","181250","10720","880","274","0","140","140","112","112","0","0","0","126","126","28","0","0","0","930","5000000","30","14","5000000","9000","3312","17080"
"1030","1030","1","30","202270","10960","890","282","0","145","145","116","116","0","0","0","131","131","29","0","0","0","951","5000000","30","15","5000000","9500","3465","22331"
"1031","1031","1","31","225570","11200","900","290","0","150","150","120","120","0","0","0","135","135","30","0","0","0","972","5000000","30","16","5000000","10000","3621","22948"
"1032","1032","1","32","251380","11440","910","298","0","155","155","124","124","0","0","0","140","140","31","0","0","0","994","5000000","30","17","5000000","11000","3779","23260"
"1033","1033","1","33","279940","11680","920","306","0","160","160","128","128","0","0","0","144","144","32","0","0","0","1015","5000000","30","18","5000000","12000","3941","23546"
"1034","1034","1","34","311520","11920","930","314","0","165","165","132","132","0","0","0","149","149","33","0","0","0","1036","5000000","30","19","5000000","13000","4105","23937"
"1035","1035","1","35","346410","12160","940","322","0","170","170","136","136","0","0","0","153","153","34","0","0","0","1058","5000000","30","20","5000000","14000","4273","28936"
"1036","1036","1","36","384930","12400","950","330","0","175","175","140","140","0","0","0","158","158","35","0","0","0","1079","5000000","30","21","5000000","15000","4443","29351"
"1037","1037","1","37","427430","12640","960","338","0","180","180","144","144","0","0","0","162","162","36","0","0","0","1100","5000000","30","22","5000000","16000","4616","29825"
"1038","1038","1","38","474280","12880","970","346","0","185","185","148","148","0","0","0","167","167","37","0","0","0","1122","5000000","30","23","5000000","17000","4792","30219"
"1039","1039","1","39","525880","13120","980","354","0","190","190","152","152","0","0","0","171","171","38","0","0","0","1143","5000000","30","24","5000000","18000","4971","30587"
"1040","1040","1","40","2160320","13360","990","362","0","195","195","156","156","0","0","0","176","176","39","0","0","0","1164","5000000","30","26","5000000","19000","5153","32741"
"1041","1041","1","41","2391910","13600","1000","370","0","200","200","160","160","0","0","0","180","180","40","0","0","0","1186","5000000","30","28","5000000","20000","5338","34942"
"1042","1042","1","42","2646410","13840","1010","378","0","205","205","164","164","0","0","0","185","185","41","0","0","0","1207","5000000","30","30","5000000","22000","5526","35350"
"1043","1043","1","43","2925870","14080","1020","386","0","210","210","168","168","0","0","0","189","189","42","0","0","0","1228","5000000","30","32","5000000","24000","5717","36479"
"1044","1044","1","44","3232500","14320","1030","394","0","215","215","172","172","0","0","0","194","194","43","0","0","0","1250","5000000","30","34","5000000","26000","5910","36807"
"1045","1045","1","45","3568680","14560","1040","402","0","220","220","176","176","0","0","0","198","198","44","0","0","0","1271","5000000","30","36","5000000","28000","6107","39863"
"1046","1046","1","46","3936970","14800","1050","410","0","225","225","180","180","0","0","0","203","203","45","0","0","0","1292","5000000","30","38","5000000","30000","6306","40184"
"1047","1047","1","47","4340120","15040","1060","418","0","230","230","184","184","0","0","0","207","207","46","0","0","0","1314","5000000","30","40","5000000","32000","6508","41312"
"1048","1048","1","48","4781080","15280","1070","426","0","235","235","188","188","0","0","0","212","212","47","0","0","0","1335","5000000","30","42","5000000","34000","6713","41639"
"1049","1049","1","49","5263010","15520","1080","434","0","240","240","192","192","0","0","0","216","216","48","0","0","0","1356","5000000","30","44","5000000","36000","6921","41994"
"1050","1050","1","50","5789310","15760","1090","442","0","245","245","196","196","0","0","0","221","221","49","0","0","0","1378","5000000","30","46","5000000","38000","7132","44115"
"1051","1051","1","51","6363610","16000","1100","450","0","250","250","200","200","0","0","0","225","225","50","0","0","0","1399","5000000","30","48","5000000","40000","7345","45144"
"1052","1052","1","52","6989790","16240","1110","458","0","255","255","204","204","0","0","0","230","230","51","0","0","0","1420","5000000","30","50","5000000","45000","7562","45660"
"1053","1053","1","53","7671990","16480","1120","466","0","260","260","208","208","0","0","0","234","234","52","0","0","0","1442","5000000","30","52","5000000","50000","7781","46262"
"1054","1054","1","54","8414640","16720","1130","474","0","265","265","212","212","0","0","0","239","239","53","0","0","0","1463","5000000","30","54","5000000","55000","8003","46628"
"1055","1055","1","55","10905370","16960","1140","482","0","270","270","216","216","0","0","0","243","243","54","0","0","0","1484","5000000","30","56","5000000","60000","8228","49447"
"1056","1056","1","56","11943560","17200","1150","490","0","275","275","220","220","0","0","0","248","248","55","0","0","0","1506","5000000","30","58","5000000","65000","8456","49991"
"1057","1057","1","57","13071030","17440","1160","498","0","280","280","224","224","0","0","0","252","252","56","0","0","0","1527","5000000","30","60","5000000","70000","8687","50297"
"1058","1058","1","58","14294480","17680","1170","506","0","285","285","228","228","0","0","0","257","257","57","0","0","0","1548","5000000","30","62","5000000","75000","8920","50508"
"1059","1059","1","59","15621010","17920","1180","514","0","290","290","232","232","0","0","0","261","261","58","0","0","0","1570","5000000","30","64","5000000","80000","9156","50807"
"1060","1060","1","60","17058140","18160","1190","522","0","295","295","236","236","0","0","0","266","266","59","0","0","0","1591","5000000","30","67","5000000","85000","9395","51784"
"1061","1061","1","61","18613840","18400","1200","530","0","300","300","240","240","0","0","0","270","270","60","0","0","0","1612","5000000","30","70","5000000","90000","9637","52029"
"1062","1062","1","62","20296530","18640","1210","538","0","305","305","244","244","0","0","0","275","275","61","0","0","0","1634","5000000","30","73","5000000","95000","9882","52314"
"1063","1063","1","63","22115100","18880","1220","546","0","310","310","248","248","0","0","0","279","279","62","0","0","0","1655","5000000","30","76","5000000","100000","10129","52911"
"1064","1064","1","64","24078920","19120","1230","554","0","315","315","252","252","0","0","0","284","284","63","0","0","0","1676","5000000","30","79","5000000","110000","10380","53306"
"1065","1065","1","65","26197860","19360","1240","562","0","320","320","256","256","0","0","0","288","288","64","0","0","0","1698","5000000","30","82","5000000","120000","10633","54434"
"1066","1066","1","66","28482310","19600","1250","570","0","325","325","260","260","0","0","0","293","293","65","0","0","0","1719","5000000","30","85","5000000","130000","10889","54724"
"1067","1067","1","67","30943180","19840","1260","578","0","330","330","264","264","0","0","0","297","297","66","0","0","0","1740","5000000","30","88","5000000","140000","11147","55087"
"1068","1068","1","68","33591920","20080","1270","586","0","335","335","268","268","0","0","0","302","302","67","0","0","0","1762","5000000","30","91","5000000","150000","11409","55400"
"1069","1069","1","69","36440510","20320","1280","594","0","340","340","272","272","0","0","0","306","306","68","0","0","0","1783","5000000","30","94","5000000","160000","11673","55740"
"1070","1070","1","70","156111140","20560","1290","602","0","345","345","276","276","0","0","0","311","311","69","0","0","0","1804","5000000","30","97","5000000","170000","11940","58843"
"1071","1071","1","71","169099590","20800","1300","610","0","350","350","280","280","0","0","0","315","315","70","0","0","0","1826","5000000","30","100","5000000","180000","12210","59121"
"1072","1072","1","72","183033400","21040","1310","618","0","355","355","284","284","0","0","0","320","320","71","0","0","0","1847","5000000","30","103","5000000","190000","12482","59414"
"1073","1073","1","73","197968930","21280","1320","626","0","360","360","288","288","0","0","0","324","324","72","0","0","0","1868","5000000","30","106","5000000","200000","12757","59666"
"1074","1074","1","74","213964820","21520","1330","634","0","365","365","292","292","0","0","0","329","329","73","0","0","0","1890","5000000","30","109","5000000","210000","13035","59924"
"1075","1075","1","75","231082010","21760","1340","642","0","370","370","296","296","0","0","0","333","333","74","0","0","0","1911","5000000","30","112","5000000","220000","13316","60555"
"1076","1076","1","76","249383710","22000","1350","650","0","375","375","300","300","0","0","0","338","338","75","0","0","0","1932","5000000","30","115","5000000","230000","13600","60840"
"1077","1077","1","77","268935390","22240","1360","658","0","380","380","304","304","0","0","0","342","342","76","0","0","0","1954","5000000","30","118","5000000","240000","13886","61153"
"1078","1078","1","78","289804780","22480","1370","666","0","385","385","308","308","0","0","0","347","347","77","0","0","0","1975","5000000","30","121","5000000","250000","14175","61415"
"1079","1079","1","79","312061790","22720","1380","674","0","390","390","312","312","0","0","0","351","351","78","0","0","0","1996","5000000","30","124","5000000","260000","14466","61752"
"1080","1080","1","80","630364820","22960","1390","682","0","395","395","316","316","0","0","0","356","356","79","0","0","0","2018","5000000","30","127","5000000","270000","14740","63639"
"1081","1081","1","81","642972120","23200","1400","690","0","400","400","320","320","0","0","0","360","360","80","0","0","0","2039","5000000","30","130","5000000","280000","15015","64747"
"1082","1082","1","82","655831560","23440","1410","698","0","405","405","324","324","0","0","0","365","365","81","0","0","0","2060","5000000","30","133","5000000","290000","15292","64979"
"1083","1083","1","83","668948190","23680","1420","706","0","410","410","328","328","0","0","0","369","369","82","0","0","0","2082","5000000","30","136","5000000","300000","15571","65257"
"1084","1084","1","84","682327150","23920","1430","714","0","415","415","332","332","0","0","0","374","374","83","0","0","0","2103","5000000","30","139","5000000","320000","15852","65550"
"1085","1085","1","85","695973690","24160","1440","722","0","420","420","336","336","0","0","0","378","378","84","0","0","0","2124","5000000","30","142","5000000","340000","16135","65801"
"1086","1086","1","86","709893160","24400","1450","730","0","425","425","340","340","0","0","0","383","383","85","0","0","0","2146","5000000","30","145","5000000","360000","16420","67185"
"1087","1087","1","87","724091020","24640","1460","738","0","430","430","344","344","0","0","0","387","387","86","0","0","0","2167","5000000","30","148","5000000","380000","16707","67776"
"1088","1088","1","88","738572840","24880","1470","746","0","435","435","348","348","0","0","0","392","392","87","0","0","0","2188","5000000","30","151","5000000","400000","16995","68039"
"1089","1089","1","89","753344300","25120","1480","754","0","440","440","352","352","0","0","0","396","396","88","0","0","0","2210","5000000","30","154","5000000","420000","17286","68374"
"1090","1090","1","90","1521755490","25360","1490","762","0","445","445","356","356","0","0","0","401","401","89","0","0","0","2231","5000000","30","157","5000000","440000","17578","70261"
"1091","1091","1","91","1552190600","25600","1500","770","0","450","450","360","360","0","0","0","405","405","90","0","0","0","2252","5000000","30","160","5000000","460000","17872","71458"
"1092","1092","1","92","1583234410","25840","1510","778","0","455","455","364","364","0","0","0","410","410","91","0","0","0","2274","5000000","30","163","5000000","480000","18168","71766"
"1093","1093","1","93","1614899100","26080","1520","786","0","460","460","368","368","0","0","0","414","414","92","0","0","0","2295","5000000","30","166","5000000","500000","18465","72138"
"1094","1094","1","94","1647197080","26320","1530","794","0","465","465","372","372","0","0","0","419","419","93","0","0","0","2316","5000000","30","169","5000000","520000","18764","72365"
"1095","1095","1","95","1680141020","26560","1540","802","0","470","470","376","376","0","0","0","423","423","94","0","0","0","2338","5000000","30","172","5000000","540000","19066","73382"
"1096","1096","1","96","1713743840","26800","1550","810","0","475","475","380","380","0","0","0","428","428","95","0","0","0","2359","5000000","30","175","5000000","560000","19368","74950"
"1097","1097","1","97","1748018720","27040","1560","818","0","480","480","384","384","0","0","0","432","432","96","0","0","0","2380","5000000","30","178","5000000","580000","19673","75153"
"1098","1098","1","98","1782979090","27280","1570","826","0","485","485","388","388","0","0","0","437","437","97","0","0","0","2402","5000000","30","181","5000000","600000","19980","75379"
"1099","1099","1","99","1818638670","27520","1580","834","0","490","490","392","392","0","0","0","441","441","98","0","0","0","2423","5000000","30","184","5000000","620000","20288","76042"
"1100","1100","1","100","2036875310","27760","1590","842","0","495","495","396","396","0","0","0","446","446","99","0","0","0","2444","5000000","30","187","5000000","640000","20597","82789"
"1101","1101","1","101","2057244060","28000","1600","850","0","500","500","400","400","0","0","0","450","450","100","0","0","0","2466","5000000","30","190","5000000","660000","20909","84212"
"1102","1102","1","102","2077816500","28240","1610","858","0","505","505","404","404","0","0","0","455","455","101","0","0","0","2487","5000000","30","193","5000000","680000","21222","84438"
"1103","1103","1","103","2098594670","28480","1620","866","0","510","510","408","408","0","0","0","459","459","102","0","0","0","2508","5000000","30","196","5000000","700000","21537","84810"
"1104","1104","1","104","2119580620","28720","1630","874","0","515","515","412","412","0","0","0","464","464","103","0","0","0","2530","5000000","30","199","5000000","720000","21853","84597"
"1105","1105","1","105","2140776430","28960","1640","882","0","520","520","416","416","0","0","0","468","468","104","0","0","0","2551","5000000","30","202","5000000","740000","22172","86225"
"1106","1106","1","106","2162184190","29200","1650","890","0","525","525","420","420","0","0","0","473","473","105","0","0","0","2572","5000000","30","205","5000000","760000","22492","87541"
"1107","1107","1","107","2183806030","29440","1660","898","0","530","530","424","424","0","0","0","477","477","106","0","0","0","2594","5000000","30","208","5000000","780000","22813","87744"
"1108","1108","1","108","2205644090","29680","1670","906","0","535","535","428","428","0","0","0","482","482","107","0","0","0","2615","5000000","30","211","5000000","800000","23136","88139"
"1109","1109","1","109","2227700530","29920","1680","914","0","540","540","432","432","0","0","0","486","486","108","0","0","0","2636","5000000","30","214","5000000","820000","23461","88437"
"1110","1110","1","110","2472747590","30160","1690","922","0","545","545","436","436","0","0","0","491","491","109","0","0","0","2658","5000000","30","217","5000000","840000","23787","89426"
"1111","1111","1","111","4945495180","30400","1700","930","0","550","550","440","440","0","0","0","495","495","110","0","0","0","2679","5000000","30","220","5000000","860000","24115","90004"
"1112","1112","1","112","5093860040","30640","1710","938","0","555","555","444","444","0","0","0","500","500","111","0","0","0","2700","5000000","30","223","5000000","880000","24445","90229"
"1113","1113","1","113","5246675840","30880","1720","946","0","560","560","448","448","0","0","0","504","504","112","0","0","0","2722","5000000","30","226","5000000","900000","24776","90432"
"1114","1114","1","114","5404076120","31120","1730","954","0","565","565","452","452","0","0","0","509","509","113","0","0","0","2743","5000000","30","229","5000000","920000","25109","90828"
"1115","1115","1","115","5566198400","31360","1740","962","0","570","570","456","456","0","0","0","513","513","114","0","0","0","2764","5000000","30","232","5000000","940000","25443","91846"
"1116","1116","1","116","5733184350","31600","1750","970","0","575","575","460","460","0","0","0","518","518","115","0","0","0","2786","5000000","30","235","5000000","960000","25779","92072"
"1117","1117","1","117","5905179880","31840","1760","978","0","580","580","464","464","0","0","0","522","522","116","0","0","0","2807","5000000","30","238","5000000","980000","26116","92444"
"1118","1118","1","118","6082335280","32080","1770","986","0","585","585","468","468","0","0","0","527","527","117","0","0","0","2828","5000000","30","241","5000000","1000000","26455","92671"
"1119","1119","1","119","6264805340","32320","1780","994","0","590","590","472","472","0","0","0","531","531","118","0","0","0","2850","5000000","30","244","5000000","1050000","26795","92968"
"1120","1120","1","120","7079230030","32560","1790","1002","0","595","595","476","476","0","0","0","536","536","119","0","0","0","2871","5000000","30","247","5000000","1100000","27137","95378"
"1121","1121","1","121","7291606930","32800","1800","1010","0","600","600","480","480","0","0","0","540","540","120","0","0","0","2892","5000000","30","250","5000000","1150000","27481","95508"
"1122","1122","1","122","7510355140","33040","1810","1018","0","605","605","484","484","0","0","0","545","545","121","0","0","0","2914","5000000","30","253","5000000","1200000","27826","95734"
"1123","1123","1","123","7735665790","33280","1820","1026","0","610","610","488","488","0","0","0","549","549","122","0","0","0","2935","5000000","30","256","5000000","1250000","28172","96106"
"1124","1124","1","124","7967735760","33520","1830","1034","0","615","615","492","492","0","0","0","554","554","123","0","0","0","2956","5000000","30","259","5000000","1300000","28520","96333"
"1125","1125","1","125","8206767830","33760","1840","1042","0","620","620","496","496","0","0","0","558","558","124","0","0","0","2978","5000000","30","262","5000000","1350000","28870","97350"
"1126","1126","1","126","8452970860","34000","1850","1050","0","625","625","500","500","0","0","0","563","563","125","0","0","0","2999","5000000","30","265","5000000","1400000","29221","98023"
"1127","1127","1","127","8706559990","34240","1860","1058","0","630","630","504","504","0","0","0","567","567","126","0","0","0","3020","5000000","30","268","5000000","1450000","29573","98226"
"1128","1128","1","128","8967756790","34480","1870","1066","0","635","635","508","508","0","0","0","572","572","127","0","0","0","3042","5000000","30","271","5000000","1500000","29927","98453"
"1129","1129","1","129","9236789490","34720","1880","1074","0","640","640","512","512","0","0","0","576","576","128","0","0","0","3063","5000000","30","274","5000000","1550000","30282","98920"
"1130","1130","1","130","10437572120","34960","1890","1082","0","645","645","516","516","0","0","0","581","581","129","0","0","0","3084","5000000","30","277","5000000","1600000","30639","100725"
"1131","1131","1","131","25050173090","35200","1900","1090","0","650","650","520","520","0","0","0","585","585","130","0","0","0","3106","5000000","30","280","5000000","1650000","30997","100946"
"1132","1132","1","132","26302681740","35440","1910","1098","0","655","655","524","524","0","0","0","590","590","131","0","0","0","3127","5000000","30","283","5000000","1700000","31356","101342"
"1133","1133","1","133","27617815830","35680","1920","1106","0","660","660","528","528","0","0","0","594","594","132","0","0","0","3148","5000000","30","286","5000000","1750000","31717","101545"
"1134","1134","1","134","28998706620","35920","1930","1114","0","665","665","532","532","0","0","0","599","599","133","0","0","0","3170","5000000","30","289","5000000","1800000","32080","101771"
"1135","1135","1","135","30448641950","36160","1940","1122","0","670","670","536","536","0","0","0","603","603","134","0","0","0","3191","5000000","30","292","5000000","1850000","32444","102143"
"1136","1136","1","136","31971074050","36400","1950","1130","0","675","675","540","540","0","0","0","608","608","135","0","0","0","3212","5000000","30","295","5000000","1900000","32809","103143"
"1137","1137","1","137","33569627750","36640","1960","1138","0","680","680","544","544","0","0","0","612","612","136","0","0","0","3234","5000000","30","298","5000000","1950000","33175","103346"
"1138","1138","1","138","35248109140","36880","1970","1146","0","685","685","548","548","0","0","0","617","617","137","0","0","0","3255","5000000","30","301","5000000","2000000","33543","103742"
"1139","1139","1","139","37010514600","37120","1980","1154","0","690","690","552","552","0","0","0","621","621","138","0","0","0","3276","5000000","30","304","5000000","2050000","33912","104039"
"1140","1140","1","140","42562091790","37360","1990","1162","0","695","695","556","556","0","0","0","626","626","139","0","0","0","3298","5000000","30","307","5000000","2100000","34283","106422"
"1141","1141","1","141","85124183580","37600","2000","1170","0","700","700","560","560","0","0","0","630","630","140","0","0","0","3319","5000000","30","310","5000000","2150000","34655","107721"
"1142","1142","1","142","89380392760","37840","2010","1178","0","705","705","564","564","0","0","0","635","635","141","0","0","0","3340","5000000","30","313","5000000","2200000","35028","108269"
"1143","1143","1","143","93849412400","38080","2020","1186","0","710","710","568","568","0","0","0","639","639","142","0","0","0","3362","5000000","30","316","5000000","2250000","35403","108884"
"1144","1144","1","144","98541883020","38320","2030","1194","0","715","715","572","572","0","0","0","644","644","143","0","0","0","3383","5000000","30","319","5000000","2300000","35779","109559"
"1145","1145","1","145","103468977170","38560","2040","1202","0","720","720","576","576","0","0","0","648","648","144","0","0","0","3404","5000000","30","322","5000000","2350000","36156","121370"
"1146","1146","1","146","108642426030","38800","2050","1210","0","725","725","580","580","0","0","0","653","653","145","0","0","0","3426","5000000","30","325","5000000","2400000","36535","123204"
"1147","1147","1","147","114074547330","39040","2060","1218","0","730","730","584","584","0","0","0","657","657","146","0","0","0","3447","5000000","30","328","5000000","2450000","36915","124039"
"1148","1148","1","148","119778274700","39280","2070","1226","0","735","735","588","588","0","0","0","662","662","147","0","0","0","3468","5000000","30","331","5000000","2500000","37297","126042"
"1149","1149","1","149","125767188440","39520","2080","1234","0","740","740","592","592","0","0","0","666","666","148","0","0","0","3490","5000000","30","334","5000000","2550000","37679","126984"
"1150","1150","1","150","144632266710","39760","2090","1242","0","745","745","596","596","0","0","0","671","671","149","0","0","0","3511","5000000","30","337","5000000","2600000","38063","127979"
"1151","1151","1","151","188021946720","40000","2100","1250","0","750","750","600","600","0","0","0","675","675","150","0","0","0","3532","5000000","30","340","5000000","2650000","38448","128973"
"1152","1152","1","152","197423044060","40240","2110","1258","0","755","755","604","604","0","0","0","680","680","151","0","0","0","3554","5000000","30","343","5000000","2700000","38835","129616"
"1153","1153","1","153","207294196260","40480","2120","1266","0","760","760","608","608","0","0","0","684","684","152","0","0","0","3575","5000000","30","346","5000000","2750000","39223","130338"
"1154","1154","1","154","217658906070","40720","2130","1274","0","765","765","612","612","0","0","0","689","689","153","0","0","0","3596","5000000","30","349","5000000","2800000","39612","131132"
"1155","1155","1","155","228541851370","40960","2140","1282","0","770","770","616","616","0","0","0","693","693","154","0","0","0","3618","5000000","30","352","5000000","2850000","40002","131987"
"1156","1156","1","156","239968943940","41200","2150","1290","0","775","775","620","620","0","0","0","698","698","155","0","0","0","3639","5000000","30","355","5000000","2900000","40394","132908"
"1157","1157","1","157","251967391140","41440","2160","1298","0","780","780","624","624","0","0","0","702","702","156","0","0","0","3660","5000000","30","358","5000000","2950000","40787","133889"
"1158","1158","1","158","264565760700","41680","2170","1306","0","785","785","628","628","0","0","0","707","707","157","0","0","0","3682","5000000","30","361","5000000","3000000","41181","134941"
"1159","1159","1","159","277794048740","41920","2180","1314","0","790","790","632","632","0","0","0","711","711","158","0","0","0","3703","5000000","30","364","5000000","3050000","41577","136049"
"1160","1160","1","160","319463156050","42160","2190","1322","0","795","795","636","636","0","0","0","716","716","159","0","0","0","3724","5000000","30","367","5000000","3100000","41974","146870"
"1161","1161","1","161","415302102870","42400","2200","1330","0","800","800","640","640","0","0","0","721","721","160","0","0","0","3746","5000000","30","370","5000000","3150000","42372","147777"
"1162","1162","1","162","436067208010","42640","2210","1338","0","805","805","644","644","0","0","0","726","726","161","0","0","0","3767","5000000","30","373","5000000","3200000","42771","148101"
"1163","1163","1","163","457870568410","42880","2220","1346","0","810","810","648","648","0","0","0","731","731","162","0","0","0","3788","5000000","30","376","5000000","3250000","43171","148465"
"1164","1164","1","164","480764096830","43120","2230","1354","0","815","815","652","652","0","0","0","736","736","163","0","0","0","3810","5000000","30","379","5000000","3300000","43573","148864"
"1165","1165","1","165","504802301670","43360","2240","1362","0","820","820","656","656","0","0","0","741","741","164","0","0","0","3831","5000000","30","382","5000000","3350000","43976","149294"
"1166","1166","1","166","530042416750","43600","2250","1370","0","825","825","660","660","0","0","0","746","746","165","0","0","0","3852","5000000","30","385","5000000","3400000","44380","149756"
"1167","1167","1","167","556544537590","43840","2260","1378","0","830","830","664","664","0","0","0","751","751","166","0","0","0","3874","5000000","30","388","5000000","3450000","44786","150250"
"1168","1168","1","168","584371764470","44080","2270","1386","0","835","835","668","668","0","0","0","756","756","167","0","0","0","3895","5000000","30","391","5000000","3500000","45193","150779"
"1169","1169","1","169","613590352690","44320","2280","1394","0","840","840","672","672","0","0","0","761","761","168","0","0","0","3916","5000000","30","394","5000000","3550000","45600","151335"
"1170","1170","1","170","705628905590","44560","2290","1402","0","845","845","676","676","0","0","0","766","766","169","0","0","0","3938","5000000","30","397","5000000","3600000","46010","151923"
"1171","1171","1","171","917317577270","44800","2300","1410","0","850","850","680","680","0","0","0","771","771","170","0","0","0","3959","5000000","30","400","5000000","3650000","46420","152753"
"1172","1172","1","172","1009049335000","45040","2310","1418","0","855","855","684","684","0","0","0","776","776","171","0","0","0","3980","5000000","30","403","5000000","3700000","46832","153527"
"1173","1173","1","173","1109954268500","45280","2320","1426","0","860","860","688","688","0","0","0","781","781","172","0","0","0","4002","5000000","30","406","5000000","3750000","47244","154398"
"1174","1174","1","174","1220949695350","45520","2330","1434","0","865","865","692","692","0","0","0","786","786","173","0","0","0","4023","5000000","30","409","5000000","3800000","47658","155352"
"1175","1175","1","175","1343044664890","45760","2340","1442","0","870","870","696","696","0","0","0","791","791","174","0","0","0","4044","5000000","30","412","5000000","3850000","48074","174140"
"1176","1176","1","176","1477349131380","46000","2350","1450","0","875","875","700","700","0","0","0","796","796","175","0","0","0","4066","5000000","30","415","5000000","3900000","48490","175246"
"1177","1177","1","177","1625084044520","46240","2360","1458","0","880","880","704","704","0","0","0","801","801","176","0","0","0","4087","5000000","30","418","5000000","3950000","48908","176427"
