"Name","BuildingStepId","GreatBuildingId","BuildingStep","BuildingCombat","AchievementIdCondition01","AchievementIdConditionString01","AchievementIdContentsId01","AchievementIdCondition02","AchievementIdConditionString02","AchievementIdContentsId02","AchievementIdCondition03","AchievementIdConditionString03","AchievementIdContentsId03","ManufactureType","ManufactureKind","ManufactureNum","BuildingIdCondition01","BuildingIdCondition02","BuildingIdCondition03","NeedType01","NeedID01","NeedUseID01","NeedCount01","NeedType02","NeedID02","NeedUseID02","NeedCount02","NeedType03","NeedID03","NeedUseID03","NeedCount03","NeedType04","NeedID04","NeedUseID04","NeedCount04","UpgradeTime","GuildHelpTime","ClassType","EffectType01","EffectValue01","EffectNum01","EffectString01","EffectIcon01","EffectType02","EffectValue02","EffectNum02","EffectString02","EffectIcon02","EffectType03","EffectValue03","EffectNum03","EffectString03","EffectIcon03","EffectType04","EffectValue04","EffectNum04","EffectString04","EffectIcon04"
"2000010","2000010","2000000","10","886","98002010","1415208","0","0","0","0","0","0","0","0","0","0","1000010","0","0","1","2","2","180000","1","11","11","36000","1","0","0","0","1","0","0","0","108000","60","0","5","(24)","(70)","(500009)","(120009)","5","(102)","(30000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000011","2000011","2000000","11","993","98002011","1415209","0","0","0","0","0","0","0","0","0","0","1000011","0","0","1","2","2","270000","1","11","11","54000","1","0","0","0","1","0","0","0","216000","60","0","5","(24)","(80)","(500009)","(120009)","5","(102)","(40000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000012","2000012","2000000","12","1107","98002012","1415210","0","0","0","0","0","0","0","0","0","0","1000012","0","0","1","2","2","360000","1","11","11","72000","1","0","0","0","1","0","0","0","432000","60","0","5","(24)","(80)","(500009)","(120009)","5","(102)","(40000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000013","2000013","2000000","13","1213","98002013","1415211","0","0","0","0","0","0","0","0","0","0","1000013","0","0","1","2","2","450000","1","11","11","90000","1","0","0","0","1","0","0","0","734400","60","0","5","(24)","(90)","(500009)","(120009)","5","(102)","(45000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000014","2000014","2000000","14","1313","98002014","1415212","0","0","0","0","0","0","0","0","0","0","1000014","0","0","1","2","2","540000","1","11","11","108000","1","0","0","0","1","0","0","0","1101600","60","0","5","(24)","(90)","(500009)","(120009)","5","(102)","(45000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000015","2000015","2000000","15","1415","98002015","1415213","0","0","0","0","0","0","0","0","0","0","1000015","0","0","1","2","2","660000","1","11","11","132000","1","0","0","0","1","0","0","0","1555200","60","0","5","(24)","(100)","(500009)","(120009)","5","(102)","(50000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000016","2000016","2000000","16","1626","98002016","1415250","0","98002017","1415251","0","0","0","0","0","0","0","1000016","0","0","1","2","2","975000","1","11","11","195000","1","0","0","0","1","0","0","0","1641600","60","0","5","(24)","(100)","(500009)","(120009)","5","(102)","(50000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000017","2000017","2000000","17","1846","98002018","1415252","0","98002019","1415253","0","0","0","0","0","0","0","1000017","0","0","1","2","2","1125000","1","11","11","225000","1","0","0","0","1","0","0","0","1728000","60","0","5","(24)","(110)","(500009)","(120009)","5","(102)","(55000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000018","2000018","2000000","18","2074","98002020","1415269","0","98002021","1415270","0","0","0","0","0","0","0","1000018","0","0","1","2","2","2250000","1","11","11","450000","1","0","0","0","1","0","0","0","1814400","60","0","5","(24)","(120)","(500009)","(120009)","5","(102)","(55000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000019","2000019","2000000","19","2309","98002023","1415272","0","98002024","1415273","0","98002022","1415271","0","0","0","0","1000019","0","0","1","2","2","3750000","1","11","11","750000","1","0","0","0","1","0","0","0","1900800","60","0","5","(24)","(130)","(500009)","(120009)","5","(102)","(60000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000020","2000020","2000000","20","2551","98002025","1415292","0","98002026","1415293","0","0","0","0","0","0","0","1000020","0","0","1","2","2","5625000","1","11","11","1125000","1","0","0","0","1","0","0","0","1987200","60","0","5","(24)","(140)","(500009)","(120009)","5","(102)","(60000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000021","2000021","2000000","21","2799","98002027","1415294","0","98002028","1415295","0","0","0","0","0","0","0","1000021","0","0","1","2","2","7500000","1","11","11","1500000","1","0","0","0","1","0","0","0","2073600","60","0","5","(24)","(150)","(500009)","(120009)","5","(102)","(65000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000022","2000022","2000000","22","3053","98002029","1415339","0","98002030","1415340","0","0","0","0","0","0","0","1000022","0","0","1","2","2","11250000","1","11","11","2250000","1","0","0","0","1","0","0","0","2160000","60","0","5","(24)","(160)","(500009)","(120009)","5","(102)","(65000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000023","2000023","2000000","23","3313","98002031","1415341","0","98002032","1415342","0","0","0","0","0","0","0","1000023","0","0","1","2","2","15000000","1","11","11","3000000","1","0","0","0","1","0","0","0","2246400","60","0","5","(24)","(170)","(500009)","(120009)","5","(102)","(70000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000024","2000024","2000000","24","3578","98002301","1416621","0","98002401","1416623","0","0","0","0","0","0","0","1000024","0","0","1","2","2","21000000","1","11","11","4200000","1","0","0","0","1","0","0","0","2332800","60","0","5","(24)","(180)","(500009)","(120009)","5","(102)","(70000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"2000025","2000025","2000000","25","4125","98002302","1416622","0","98002402","1416624","0","0","0","0","0","0","0","1000025","0","0","1","2","2","31500000","1","11","11","6300000","1","0","0","0","1","0","0","0","2419200","60","0","5","(24)","(190)","(500009)","(120009)","5","(102)","(75000000)","(500123)","(120083)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000001","3000001","3000000","1","63","98003101","1416098","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2500","1","0","0","0","1","0","0","0","1","0","0","0","3","60","0","5","(26)","(10)","(500010)","(120010)","0","(0)","(0)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000002","3000002","3000000","2","81","98003002","1416097","0","0","0","0","0","0","0","0","0","0","1000002","0","0","1","2","2","5000","1","0","0","0","1","0","0","0","1","0","0","0","3","60","0","5","(26)","(20)","(500010)","(120010)","5","(87)","(500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000003","3000003","3000000","3","101","98003103","1416098","0","0","0","0","0","0","0","0","0","0","1000003","0","0","1","2","2","7500","1","0","0","0","1","0","0","0","1","0","0","0","150","60","0","5","(26)","(30)","(500010)","(120010)","5","(87)","(500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000004","3000004","3000000","4","123","98003204","1415214","0","0","0","0","0","0","0","0","0","0","1000004","0","0","1","2","2","10000","1","11","11","2000","1","0","0","0","1","0","0","0","900","60","0","5","(26)","(40)","(500010)","(120010)","5","(87)","(1000)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000005","3000005","3000000","5","147","98003005","1416097","0","0","0","0","0","0","0","0","0","0","1000005","0","0","1","2","2","15000","1","11","11","3000","1","0","0","0","1","0","0","0","1800","60","0","5","(26)","(50)","(500010)","(120010)","5","(87)","(1000)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000006","3000006","3000000","6","173","98003206","1415215","0","0","0","0","0","0","0","0","0","0","1000006","0","0","1","2","2","20000","1","11","11","4000","1","0","0","0","1","0","0","0","5400","60","0","5","(26)","(50)","(500010)","(120010)","5","(87)","(1500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000007","3000007","3000000","7","201","98003007","1416097","0","0","0","0","0","0","0","0","0","0","1000007","0","0","1","2","2","30000","1","11","11","6000","1","0","0","0","1","0","0","0","10800","60","0","5","(26)","(60)","(500010)","(120010)","5","(87)","(1500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000008","3000008","3000000","8","231","98003208","1415216","0","0","0","0","0","0","0","0","0","0","1000008","0","0","1","2","2","40000","1","11","11","8000","1","0","0","0","1","0","0","0","18000","60","0","5","(26)","(60)","(500010)","(120010)","5","(87)","(2000)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000009","3000009","3000000","9","262","98003109","1416098","0","0","0","0","0","0","0","0","0","0","1000009","0","0","1","2","2","55000","1","11","11","11000","1","0","0","0","1","0","0","0","54000","60","0","5","(26)","(70)","(500010)","(120010)","5","(87)","(2000)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000010","3000010","3000000","10","296","98003210","1415217","0","0","0","0","0","0","0","0","0","0","1000010","0","0","1","2","2","75000","1","11","11","15000","1","0","0","0","1","0","0","0","108000","60","0","5","(26)","(70)","(500010)","(120010)","5","(87)","(2500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000011","3000011","3000000","11","331","98003211","1415218","0","0","0","0","0","0","0","0","0","0","1000011","0","0","1","2","2","112500","1","11","11","22500","1","0","0","0","1","0","0","0","216000","60","0","5","(26)","(80)","(500010)","(120010)","5","(87)","(2500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000012","3000012","3000000","12","369","98003212","1415219","0","0","0","0","0","0","0","0","0","0","1000012","0","0","1","2","2","150000","1","11","11","30000","1","0","0","0","1","0","0","0","432000","60","0","5","(26)","(80)","(500010)","(120010)","5","(87)","(7500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000013","3000013","3000000","13","405","98003213","1415220","0","0","0","0","0","0","0","0","0","0","1000013","0","0","1","2","2","187500","1","11","11","37500","1","0","0","0","1","0","0","0","734400","60","0","5","(26)","(90)","(500010)","(120010)","5","(87)","(8500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000014","3000014","3000000","14","438","98003214","1415221","0","0","0","0","0","0","0","0","0","0","1000014","0","0","1","2","2","225000","1","11","11","45000","1","0","0","0","1","0","0","0","1101600","60","0","5","(26)","(90)","(500010)","(120010)","5","(87)","(9500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000015","3000015","3000000","15","472","98003215","1415222","0","0","0","0","0","0","0","0","0","0","1000015","0","0","1","2","2","275000","1","11","11","55000","1","0","0","0","1","0","0","0","1555200","60","0","5","(26)","(100)","(500010)","(120010)","5","(87)","(10500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000016","3000016","3000000","16","542","98003216","1415254","0","98003016","1415112","0","0","0","0","0","0","0","1000016","0","0","1","2","2","975000","1","11","11","195000","1","0","0","0","1","0","0","0","1641600","60","0","5","(26)","(100)","(500010)","(120010)","5","(87)","(11500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000017","3000017","3000000","17","616","98003217","1415255","0","98003117","1415131","0","0","0","0","0","0","0","1000017","0","0","1","2","2","1125000","1","11","11","225000","1","0","0","0","1","0","0","0","1728000","60","0","5","(26)","(110)","(500010)","(120010)","5","(87)","(16500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000018","3000018","3000000","18","692","98003218","1415274","0","98003219","1415275","0","0","0","0","0","0","0","1000018","0","0","1","2","2","2250000","1","11","11","450000","1","0","0","0","1","0","0","0","1814400","60","0","5","(26)","(120)","(500010)","(120010)","5","(87)","(17500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000019","3000019","3000000","19","770","98003220","1415276","0","98003221","1415277","0","0","0","0","0","0","0","1000019","0","0","1","2","2","3750000","1","11","11","750000","1","0","0","0","1","0","0","0","1900800","60","0","5","(26)","(130)","(500010)","(120010)","5","(87)","(18500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000020","3000020","3000000","20","851","98003222","1415296","0","98003223","1415297","0","0","0","0","0","0","0","1000020","0","0","1","2","2","5625000","1","11","11","1125000","1","0","0","0","1","0","0","0","1987200","60","0","5","(26)","(140)","(500010)","(120010)","5","(87)","(19500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000021","3000021","3000000","21","933","98003224","1415298","0","98003225","1415299","0","0","0","0","0","0","0","1000021","0","0","1","2","2","7500000","1","11","11","1500000","1","0","0","0","1","0","0","0","2073600","60","0","5","(26)","(150)","(500010)","(120010)","5","(87)","(20500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
"3000022","3000022","3000000","22","1018","98003226","1415343","0","98003227","1415344","0","0","0","0","0","0","0","1000022","0","0","1","2","2","11250000","1","11","11","2250000","1","0","0","0","1","0","0","0","2160000","60","0","5","(26)","(160)","(500010)","(120010)","5","(87)","(21500)","(500129)","(120114)","0","(0)","(0)","(0)","(0)","0","(0)","(0)","(0)","(0)"
