"Name","ItemId","IsExpMat","GrowExp","GrowCostType","GrowCostCount","GrowRate_Normal","GrowRate_Success","GrowRate_GreatSuccess","GrowExpRatio_Normal","GrowExpRatio_Success","GrowExpRatio_GreatSuccess"
"230120108","230120108","0","0","0","0","0","0","0","0","0","0"
"230120109","230120109","0","0","0","0","0","0","0","0","0","0"
"230120110","230120110","0","0","0","0","0","0","0","0","0","0"
"230120111","230120111","0","0","0","0","0","0","0","0","0","0"
"230120112","230120112","0","0","0","0","0","0","0","0","0","0"
"230120113","230120113","0","0","0","0","0","0","0","0","0","0"
"230120114","230120114","0","0","0","0","0","0","0","0","0","0"
"230120115","230120115","0","0","0","0","0","0","0","0","0","0"
"230120116","230120116","0","0","0","0","0","0","0","0","0","0"
"1701200001","1701200001","0","0","0","0","0","0","0","0","0","0"
"1701200002","1701200002","0","0","0","0","0","0","0","0","0","0"
"1701200003","1701200003","0","0","0","0","0","0","0","0","0","0"
"1701200005","1701200005","0","0","0","0","0","0","0","0","0","0"
"1701200006","1701200006","0","0","0","0","0","0","0","0","0","0"
"1701200008","1701200008","0","0","0","0","0","0","0","0","0","0"
"1701200010","1701200010","0","0","0","0","0","0","0","0","0","0"
"1701200011","1701200011","0","0","0","0","0","0","0","0","0","0"
"1701200014","1701200014","0","0","0","0","0","0","0","0","0","0"
"1701200016","1701200016","0","0","0","0","0","0","0","0","0","0"
"1701200018","1701200018","0","0","0","0","0","0","0","0","0","0"
"1701200023","1701200023","0","0","0","0","0","0","0","0","0","0"
"1701200004","1701200004","0","0","0","0","0","0","0","0","0","0"
"1701200007","1701200007","0","0","0","0","0","0","0","0","0","0"
"1701200009","1701200009","0","0","0","0","0","0","0","0","0","0"
"1701200012","1701200012","0","0","0","0","0","0","0","0","0","0"
"1701200013","1701200013","0","0","0","0","0","0","0","0","0","0"
"1701200015","1701200015","0","0","0","0","0","0","0","0","0","0"
"1701200019","1701200019","0","0","0","0","0","0","0","0","0","0"
"1701200020","1701200020","0","0","0","0","0","0","0","0","0","0"
"1701200022","1701200022","0","0","0","0","0","0","0","0","0","0"
"1701200025","1701200025","0","0","0","0","0","0","0","0","0","0"
"1701200030","1701200030","0","0","0","0","0","0","0","0","0","0"
"1701200032","1701200032","0","0","0","0","0","0","0","0","0","0"
"1701200033","1701200033","0","0","0","0","0","0","0","0","0","0"
"1701200017","1701200017","0","0","0","0","0","0","0","0","0","0"
"1701200024","1701200024","0","0","0","0","0","0","0","0","0","0"
"1701200031","1701200031","0","0","0","0","0","0","0","0","0","0"
"1701200036","1701200036","0","0","0","0","0","0","0","0","0","0"
"1701200040","1701200040","0","0","0","0","0","0","0","0","0","0"
"1701200041","1701200041","0","0","0","0","0","0","0","0","0","0"
"1701200042","1701200042","0","0","0","0","0","0","0","0","0","0"
"1701200043","1701200043","0","0","0","0","0","0","0","0","0","0"
"1701200046","1701200046","0","0","0","0","0","0","0","0","0","0"
"1701200049","1701200049","0","0","0","0","0","0","0","0","0","0"
"1701200051","1701200051","0","0","0","0","0","0","0","0","0","0"
"1701200053","1701200053","0","0","0","0","0","0","0","0","0","0"
"1701200057","1701200057","0","0","0","0","0","0","0","0","0","0"
"1701200059","1701200059","0","0","0","0","0","0","0","0","0","0"
"1701200061","1701200061","0","0","0","0","0","0","0","0","0","0"
"1701200063","1701200063","0","0","0","0","0","0","0","0","0","0"
"1701200064","1701200064","0","0","0","0","0","0","0","0","0","0"
"1701200066","1701200066","0","0","0","0","0","0","0","0","0","0"
