"Name","RandomGetId","OpenEffect","ItemId","MainType","RewardProbability","RewardType","RewardId","RewardValue","xdracoProbability"
"734022","734022","0","558000","0","2500","1","(602200613,602200613,602200613,602200613,602200613,602200613)","10","0"
"734023","734023","0","558000","0","4000","1","(517200407,517200407,517200407,517200407,517200407,517200407)","10","0"
"734024","734024","0","558000","0","4000","1","(501200047,501200047,501200047,501200047,501200047,501200047)","10","0"
"734025","734025","0","558000","0","4000","1","(517200411,517200411,517200411,517200411,517200411,517200411)","10","0"
"734026","734026","0","558000","0","3000","1","(602202596,602202596,602202596,602202596,602202596,602202596)","1","0"
"734027","734027","0","558000","0","3000","1","(602202595,602202595,602202595,602202595,602202595,602202595)","3","0"
"734028","734028","0","558000","0","2999","1","(602202417,602202417,602202417,602202417,602202417,602202417)","5","0"
"734029","734029","0","558000","0","2999","1","(602202470,602202470,602202470,602202470,602202470,602202470)","5","0"
"734030","734030","0","558000","0","5000","1","(606201341,606201341,606201341,606201341,606201341,606201341)","3","0"
"734031","734031","0","558000","0","5000","1","(606201349,606201349,606201349,606201349,606201349,606201349)","3","0"
"734032","734032","0","558000","0","5000","1","(606201345,606201345,606201345,606201345,606201345,606201345)","3","0"
"734033","734033","0","558000","0","5000","1","(625200602,625200602,625200602,625200602,625200602,625200602)","5","0"
"735000","735000","0","559000","0","2","1","(404201017,404201017,404201017,404201017,404201017,404201017)","1","0"
"735001","735001","0","559000","0","50","1","(907200003,907200003,907200003,907200003,907200003,907200003)","1","0"
"735002","735002","0","559000","0","50","1","(906200003,906200003,906200003,906200003,906200003,906200003)","1","0"
"735003","735003","0","559000","0","50","1","(908200003,908200003,908200003,908200003,908200003,908200003)","1","0"
"735004","735004","0","559000","0","100","1","(903200003,903200003,903200003,903200003,903200003,903200003)","1","0"
"735005","735005","0","559000","0","100","1","(904200003,904200003,904200003,904200003,904200003,904200003)","1","0"
"735006","735006","0","559000","0","100","1","(905200003,905200003,905200003,905200003,905200003,905200003)","1","0"
"735007","735007","0","559000","0","100","1","(602200703,602200703,602200703,602200703,602200703,602200703)","1","0"
"735008","735008","0","559000","0","150","1","(907200002,907200002,907200002,907200002,907200002,907200002)","1","0"
"735009","735009","0","559000","0","150","1","(906200002,906200002,906200002,906200002,906200002,906200002)","1","0"
"735010","735010","0","559000","0","150","1","(908200002,908200002,908200002,908200002,908200002,908200002)","1","0"
"735011","735011","0","559000","0","50","1","(502920005,502920005,502920005,502920005,502920005,502920005)","1","0"
"735012","735012","0","559000","0","500","1","(502920004,502920004,502920004,502920004,502920004,502920004)","1","0"
"735013","735013","0","559000","0","50","1","(502920002,502920002,502920002,502920002,502920002,502920002)","1","0"
"735014","735014","0","559000","0","1500","1","(502920001,502920001,502920001,502920001,502920001,502920001)","3","0"
"735015","735015","0","559000","0","50","1","(525200003,525200003,525200003,525200003,525200003,525200003)","1","0"
"735016","735016","0","559000","0","1500","1","(525200002,525200002,525200002,525200002,525200002,525200002)","3","0"
"735017","735017","0","559000","0","3000","1","(525200001,525200001,525200001,525200001,525200001,525200001)","3","0"
"735018","735018","0","559000","0","100","1","(523200003,523200003,523200003,523200003,523200003,523200003)","1","0"
"735019","735019","0","559000","0","5000","1","(523200002,523200002,523200002,523200002,523200002,523200002)","3","0"
"735020","735020","0","559000","0","9000","1","(523200001,523200001,523200001,523200001,523200001,523200001)","3","0"
"735021","735021","0","559000","0","100","1","(508200007,508200007,508200007,508200007,508200007,508200007)","1","0"
"735022","735022","0","559000","0","5000","1","(508200006,508200006,508200006,508200006,508200006,508200006)","3","0"
"735023","735023","0","559000","0","9000","1","(508200005,508200005,508200005,508200005,508200005,508200005)","3","0"
"735024","735024","0","559000","0","500","1","(508200003,508200003,508200003,508200003,508200003,508200003)","2","0"
"735025","735025","0","559000","0","7000","1","(508200002,508200002,508200002,508200002,508200002,508200002)","5","0"
"735026","735026","0","559000","0","13000","1","(508200001,508200001,508200001,508200001,508200001,508200001)","5","0"
"735027","735027","0","559000","0","4000","1","(902200701,902200701,902200701,902200701,902200701,902200701)","10","0"
"735028","735028","0","559000","0","4000","1","(902200801,902200801,902200801,902200801,902200801,902200801)","10","0"
"735029","735029","0","559000","0","4000","1","(902200901,902200901,902200901,902200901,902200901,902200901)","10","0"
"735030","735030","0","559000","0","2825","1","(602202493,602202493,602202493,602202493,602202493,602202493)","1","0"
"735031","735031","0","559000","0","2825","1","(602202492,602202492,602202492,602202492,602202492,602202492)","3","0"
"735032","735032","0","559000","0","2999","1","(602202417,602202417,602202417,602202417,602202417,602202417)","5","0"
"735033","735033","0","559000","0","2999","1","(602202470,602202470,602202470,602202470,602202470,602202470)","5","0"
"735034","735034","0","559000","0","5000","1","(606201341,606201341,606201341,606201341,606201341,606201341)","3","0"
"735035","735035","0","559000","0","5000","1","(606201349,606201349,606201349,606201349,606201349,606201349)","3","0"
"735036","735036","0","559000","0","5000","1","(606201345,606201345,606201345,606201345,606201345,606201345)","3","0"
"735037","735037","0","559000","0","5000","1","(625200602,625200602,625200602,625200602,625200602,625200602)","5","0"
"736000","736000","0","560000","0","100000","1","(201201017,201202017,201203017,201204017,201205017,201206016)","1","0"
"737000","737000","0","561000","0","20000","1","(903200003,903200003,903200003,903200003,903200003,903200003)","1","0"
"737001","737001","0","561000","0","20000","1","(904200003,904200003,904200003,904200003,904200003,904200003)","1","0"
"737002","737002","0","561000","0","20000","1","(905200003,905200003,905200003,905200003,905200003,905200003)","1","0"
"737003","737003","0","561000","0","20000","1","(906200003,906200003,906200003,906200003,906200003,906200003)","1","0"
"737004","737004","0","561000","0","20000","1","(907200003,907200003,907200003,907200003,907200003,907200003)","1","0"
"738000","738000","0","562000","0","20000","1","(801200007,801200007,801200007,801200007,801200007,801200007)","1","0"
"738001","738001","0","562000","0","20000","1","(802200007,802200007,802200007,802200007,802200007,802200007)","1","0"
"738002","738002","0","562000","0","20000","1","(803200007,803200007,803200007,803200007,803200007,803200007)","1","0"
"738003","738003","0","562000","0","20000","1","(804200007,804200007,804200007,804200007,804200007,804200007)","1","0"
"738004","738004","0","562000","0","5000","1","(805200007,805200007,805200007,805200007,805200007,805200007)","1","0"
"738005","738005","0","562000","0","5000","1","(806200007,806200007,806200007,806200007,806200007,806200007)","1","0"
"738006","738006","0","562000","0","5000","1","(807200007,807200007,807200007,807200007,807200007,807200007)","1","0"
"738007","738007","0","562000","0","5000","1","(809200007,809200007,809200007,809200007,809200007,809200007)","1","0"
"739000","739000","0","563000","0","20000","1","(801200008,801200008,801200008,801200008,801200008,801200008)","1","0"
"739001","739001","0","563000","0","20000","1","(802200008,802200008,802200008,802200008,802200008,802200008)","1","0"
"739002","739002","0","563000","0","20000","1","(803200008,803200008,803200008,803200008,803200008,803200008)","1","0"
"739003","739003","0","563000","0","20000","1","(804200008,804200008,804200008,804200008,804200008,804200008)","1","0"
"739004","739004","0","563000","0","5000","1","(805200008,805200008,805200008,805200008,805200008,805200008)","1","0"
"739005","739005","0","563000","0","5000","1","(806200008,806200008,806200008,806200008,806200008,806200008)","1","0"
"739006","739006","0","563000","0","5000","1","(807200008,807200008,807200008,807200008,807200008,807200008)","1","0"
"739007","739007","0","563000","0","5000","1","(809200008,809200008,809200008,809200008,809200008,809200008)","1","0"
"740000","740000","0","564000","0","20000","1","(801200009,801200009,801200009,801200009,801200009,801200009)","1","0"
"740001","740001","0","564000","0","20000","1","(802200009,802200009,802200009,802200009,802200009,802200009)","1","0"
"740002","740002","0","564000","0","20000","1","(803200009,803200009,803200009,803200009,803200009,803200009)","1","0"
"740003","740003","0","564000","0","20000","1","(804200009,804200009,804200009,804200009,804200009,804200009)","1","0"
"740004","740004","0","564000","0","5000","1","(805200009,805200009,805200009,805200009,805200009,805200009)","1","0"
"740005","740005","0","564000","0","5000","1","(806200009,806200009,806200009,806200009,806200009,806200009)","1","0"
"740006","740006","0","564000","0","5000","1","(807200009,807200009,807200009,807200009,807200009,807200009)","1","0"
"740007","740007","0","564000","0","5000","1","(809200009,809200009,809200009,809200009,809200009,809200009)","1","0"
"741000","741000","0","565000","0","3334","1","(1702220032,1702220032,1702220032,1702220032,1702220032,1702220032)","1","0"
"741001","741001","0","565000","0","3334","1","(1702220033,1702220033,1702220033,1702220033,1702220033,1702220033)","1","0"
"741002","741002","0","565000","0","3334","1","(1702220034,1702220034,1702220034,1702220034,1702220034,1702220034)","1","0"
"741003","741003","0","565000","0","3334","1","(1702220035,1702220035,1702220035,1702220035,1702220035,1702220035)","1","0"
"741004","741004","0","565000","0","3334","1","(1702220036,1702220036,1702220036,1702220036,1702220036,1702220036)","1","0"
"741005","741005","0","565000","0","3334","1","(1702220037,1702220037,1702220037,1702220037,1702220037,1702220037)","1","0"
"741006","741006","0","565000","0","3334","1","(1702220038,1702220038,1702220038,1702220038,1702220038,1702220038)","1","0"
"741007","741007","0","565000","0","3334","1","(1702220039,1702220039,1702220039,1702220039,1702220039,1702220039)","1","0"
"741008","741008","0","565000","0","3334","1","(1702220040,1702220040,1702220040,1702220040,1702220040,1702220040)","1","0"
"741009","741009","0","565000","0","3334","1","(1702220041,1702220041,1702220041,1702220041,1702220041,1702220041)","1","0"
"741010","741010","0","565000","0","3333","1","(1702220042,1702220042,1702220042,1702220042,1702220042,1702220042)","1","0"
"741011","741011","0","565000","0","3333","1","(1702220043,1702220043,1702220043,1702220043,1702220043,1702220043)","1","0"
"741012","741012","0","565000","0","3333","1","(1702220044,1702220044,1702220044,1702220044,1702220044,1702220044)","1","0"
"741013","741013","0","565000","0","3333","1","(1702220045,1702220045,1702220045,1702220045,1702220045,1702220045)","1","0"
"741014","741014","0","565000","0","3333","1","(1702220046,1702220046,1702220046,1702220046,1702220046,1702220046)","1","0"
"741015","741015","0","565000","0","3333","1","(1702220047,1702220047,1702220047,1702220047,1702220047,1702220047)","1","0"
"741016","741016","0","565000","0","3333","1","(1702220048,1702220048,1702220048,1702220048,1702220048,1702220048)","1","0"
"741017","741017","0","565000","0","3333","1","(1702220049,1702220049,1702220049,1702220049,1702220049,1702220049)","1","0"
"741018","741018","0","565000","0","3333","1","(1702220050,1702220050,1702220050,1702220050,1702220050,1702220050)","1","0"
"741019","741019","0","565000","0","3333","1","(1702220051,1702220051,1702220051,1702220051,1702220051,1702220051)","1","0"
"741020","741020","0","565000","0","3333","1","(1702220052,1702220052,1702220052,1702220052,1702220052,1702220052)","1","0"
"741021","741021","0","565000","0","3333","1","(1702220053,1702220053,1702220053,1702220053,1702220053,1702220053)","1","0"
"741022","741022","0","565000","0","3333","1","(1702220054,1702220054,1702220054,1702220054,1702220054,1702220054)","1","0"
"741023","741023","0","565000","0","3333","1","(1702220055,1702220055,1702220055,1702220055,1702220055,1702220055)","1","0"
"741024","741024","0","565000","0","3333","1","(1702220056,1702220056,1702220056,1702220056,1702220056,1702220056)","1","0"
"741025","741025","0","565000","0","3333","1","(1702220057,1702220057,1702220057,1702220057,1702220057,1702220057)","1","0"
"741026","741026","0","565000","0","3333","1","(1702220126,1702220126,1702220126,1702220126,1702220126,1702220126)","1","0"
"741027","741027","0","565000","0","3333","1","(1702220151,1702220151,1702220151,1702220151,1702220151,1702220151)","1","0"
"741028","741028","0","565000","0","3333","1","(1702220152,1702220152,1702220152,1702220152,1702220152,1702220152)","1","0"
"741029","741029","0","565000","0","3333","1","(1702220159,1702220159,1702220159,1702220159,1702220159,1702220159)","1","0"
"742000","742000","0","566000","0","3334","1","(1702220063,1702220063,1702220063,1702220063,1702220063,1702220063)","1","0"
"742001","742001","0","566000","0","3334","1","(1702220064,1702220064,1702220064,1702220064,1702220064,1702220064)","1","0"
"742002","742002","0","566000","0","3334","1","(1702220065,1702220065,1702220065,1702220065,1702220065,1702220065)","1","0"
"742003","742003","0","566000","0","3334","1","(1702220066,1702220066,1702220066,1702220066,1702220066,1702220066)","1","0"
"742004","742004","0","566000","0","3334","1","(1702220067,1702220067,1702220067,1702220067,1702220067,1702220067)","1","0"
"742005","742005","0","566000","0","3334","1","(1702220068,1702220068,1702220068,1702220068,1702220068,1702220068)","1","0"
"742006","742006","0","566000","0","3334","1","(1702220069,1702220069,1702220069,1702220069,1702220069,1702220069)","1","0"
"742007","742007","0","566000","0","3334","1","(1702220070,1702220070,1702220070,1702220070,1702220070,1702220070)","1","0"
"742008","742008","0","566000","0","3334","1","(1702220071,1702220071,1702220071,1702220071,1702220071,1702220071)","1","0"
"742009","742009","0","566000","0","3334","1","(1702220072,1702220072,1702220072,1702220072,1702220072,1702220072)","1","0"
"742010","742010","0","566000","0","3333","1","(1702220073,1702220073,1702220073,1702220073,1702220073,1702220073)","1","0"
"742011","742011","0","566000","0","3333","1","(1702220074,1702220074,1702220074,1702220074,1702220074,1702220074)","1","0"
"742012","742012","0","566000","0","3333","1","(1702220075,1702220075,1702220075,1702220075,1702220075,1702220075)","1","0"
"742013","742013","0","566000","0","3333","1","(1702220076,1702220076,1702220076,1702220076,1702220076,1702220076)","1","0"
"742014","742014","0","566000","0","3333","1","(1702220077,1702220077,1702220077,1702220077,1702220077,1702220077)","1","0"
"742015","742015","0","566000","0","3333","1","(1702220078,1702220078,1702220078,1702220078,1702220078,1702220078)","1","0"
"742016","742016","0","566000","0","3333","1","(1702220079,1702220079,1702220079,1702220079,1702220079,1702220079)","1","0"
"742017","742017","0","566000","0","3333","1","(1702220080,1702220080,1702220080,1702220080,1702220080,1702220080)","1","0"
"742018","742018","0","566000","0","3333","1","(1702220081,1702220081,1702220081,1702220081,1702220081,1702220081)","1","0"
"742019","742019","0","566000","0","3333","1","(1702220082,1702220082,1702220082,1702220082,1702220082,1702220082)","1","0"
"742020","742020","0","566000","0","3333","1","(1702220083,1702220083,1702220083,1702220083,1702220083,1702220083)","1","0"
"742021","742021","0","566000","0","3333","1","(1702220084,1702220084,1702220084,1702220084,1702220084,1702220084)","1","0"
"742022","742022","0","566000","0","3333","1","(1702220085,1702220085,1702220085,1702220085,1702220085,1702220085)","1","0"
"742023","742023","0","566000","0","3333","1","(1702220086,1702220086,1702220086,1702220086,1702220086,1702220086)","1","0"
"742024","742024","0","566000","0","3333","1","(1702220087,1702220087,1702220087,1702220087,1702220087,1702220087)","1","0"
"742025","742025","0","566000","0","3333","1","(1702220088,1702220088,1702220088,1702220088,1702220088,1702220088)","1","0"
"742026","742026","0","566000","0","3333","1","(1702220127,1702220127,1702220127,1702220127,1702220127,1702220127)","1","0"
"742027","742027","0","566000","0","3333","1","(1702220153,1702220153,1702220153,1702220153,1702220153,1702220153)","1","0"
"742028","742028","0","566000","0","3333","1","(1702220154,1702220154,1702220154,1702220154,1702220154,1702220154)","1","0"
"742029","742029","0","566000","0","3333","1","(1702220160,1702220160,1702220160,1702220160,1702220160,1702220160)","1","0"
"743000","743000","0","567000","0","3334","1","(1702220094,1702220094,1702220094,1702220094,1702220094,1702220094)","1","0"
"743001","743001","0","567000","0","3334","1","(1702220095,1702220095,1702220095,1702220095,1702220095,1702220095)","1","0"
"743002","743002","0","567000","0","3334","1","(1702220096,1702220096,1702220096,1702220096,1702220096,1702220096)","1","0"
"743003","743003","0","567000","0","3334","1","(1702220097,1702220097,1702220097,1702220097,1702220097,1702220097)","1","0"
"743004","743004","0","567000","0","3334","1","(1702220098,1702220098,1702220098,1702220098,1702220098,1702220098)","1","0"
"743005","743005","0","567000","0","3334","1","(1702220099,1702220099,1702220099,1702220099,1702220099,1702220099)","1","0"
"743006","743006","0","567000","0","3334","1","(1702220100,1702220100,1702220100,1702220100,1702220100,1702220100)","1","0"
"743007","743007","0","567000","0","3334","1","(1702220101,1702220101,1702220101,1702220101,1702220101,1702220101)","1","0"
"743008","743008","0","567000","0","3334","1","(1702220102,1702220102,1702220102,1702220102,1702220102,1702220102)","1","0"
"743009","743009","0","567000","0","3334","1","(1702220103,1702220103,1702220103,1702220103,1702220103,1702220103)","1","0"
"743010","743010","0","567000","0","3333","1","(1702220104,1702220104,1702220104,1702220104,1702220104,1702220104)","1","0"
"743011","743011","0","567000","0","3333","1","(1702220105,1702220105,1702220105,1702220105,1702220105,1702220105)","1","0"
"743012","743012","0","567000","0","3333","1","(1702220106,1702220106,1702220106,1702220106,1702220106,1702220106)","1","0"
"743013","743013","0","567000","0","3333","1","(1702220107,1702220107,1702220107,1702220107,1702220107,1702220107)","1","0"
"743014","743014","0","567000","0","3333","1","(1702220108,1702220108,1702220108,1702220108,1702220108,1702220108)","1","0"
"743015","743015","0","567000","0","3333","1","(1702220109,1702220109,1702220109,1702220109,1702220109,1702220109)","1","0"
"743016","743016","0","567000","0","3333","1","(1702220110,1702220110,1702220110,1702220110,1702220110,1702220110)","1","0"
"743017","743017","0","567000","0","3333","1","(1702220111,1702220111,1702220111,1702220111,1702220111,1702220111)","1","0"
"743018","743018","0","567000","0","3333","1","(1702220112,1702220112,1702220112,1702220112,1702220112,1702220112)","1","0"
"743019","743019","0","567000","0","3333","1","(1702220113,1702220113,1702220113,1702220113,1702220113,1702220113)","1","0"
"743020","743020","0","567000","0","3333","1","(1702220114,1702220114,1702220114,1702220114,1702220114,1702220114)","1","0"
"743021","743021","0","567000","0","3333","1","(1702220115,1702220115,1702220115,1702220115,1702220115,1702220115)","1","0"
"743022","743022","0","567000","0","3333","1","(1702220116,1702220116,1702220116,1702220116,1702220116,1702220116)","1","0"
"743023","743023","0","567000","0","3333","1","(1702220117,1702220117,1702220117,1702220117,1702220117,1702220117)","1","0"
"743024","743024","0","567000","0","3333","1","(1702220118,1702220118,1702220118,1702220118,1702220118,1702220118)","1","0"
"743025","743025","0","567000","0","3333","1","(1702220119,1702220119,1702220119,1702220119,1702220119,1702220119)","1","0"
"743026","743026","0","567000","0","3333","1","(1702220128,1702220128,1702220128,1702220128,1702220128,1702220128)","1","0"
"743027","743027","0","567000","0","3333","1","(1702220155,1702220155,1702220155,1702220155,1702220155,1702220155)","1","0"
"743028","743028","0","567000","0","3333","1","(1702220156,1702220156,1702220156,1702220156,1702220156,1702220156)","1","0"
"743029","743029","0","567000","0","3333","1","(1702220161,1702220161,1702220161,1702220161,1702220161,1702220161)","1","0"
"744000","744000","0","568000","0","4000","1","(210210025,210210025,210210025,210210025,210210025,210210025)","1","0"
"744001","744001","0","568000","0","4000","1","(210210026,210210026,210210026,210210026,210210026,210210026)","1","0"
"744002","744002","0","568000","0","4000","1","(210210027,210210027,210210027,210210027,210210027,210210027)","1","0"
"744003","744003","0","568000","0","4000","1","(210210028,210210028,210210028,210210028,210210028,210210028)","1","0"
"744004","744004","0","568000","0","4000","1","(210210029,210210029,210210029,210210029,210210029,210210029)","1","0"
"744005","744005","0","568000","0","4000","1","(210210030,210210030,210210030,210210030,210210030,210210030)","1","0"
"744006","744006","0","568000","0","4000","1","(210210031,210210031,210210031,210210031,210210031,210210031)","1","0"
"744007","744007","0","568000","0","4000","1","(210210032,210210032,210210032,210210032,210210032,210210032)","1","0"
"744008","744008","0","568000","0","4000","1","(210210033,210210033,210210033,210210033,210210033,210210033)","1","0"
"744009","744009","0","568000","0","4000","1","(210210034,210210034,210210034,210210034,210210034,210210034)","1","0"
"744010","744010","0","568000","0","4000","1","(210210035,210210035,210210035,210210035,210210035,210210035)","1","0"
"744011","744011","0","568000","0","4000","1","(210210036,210210036,210210036,210210036,210210036,210210036)","1","0"
"744012","744012","0","568000","0","4000","1","(210210037,210210037,210210037,210210037,210210037,210210037)","1","0"
"744013","744013","0","568000","0","4000","1","(210210038,210210038,210210038,210210038,210210038,210210038)","1","0"
"744014","744014","0","568000","0","4000","1","(210210039,210210039,210210039,210210039,210210039,210210039)","1","0"
"744015","744015","0","568000","0","4000","1","(210210040,210210040,210210040,210210040,210210040,210210040)","1","0"
"744016","744016","0","568000","0","4000","1","(210210041,210210041,210210041,210210041,210210041,210210041)","1","0"
"744017","744017","0","568000","0","4000","1","(210210042,210210042,210210042,210210042,210210042,210210042)","1","0"
"744018","744018","0","568000","0","4000","1","(210210043,210210043,210210043,210210043,210210043,210210043)","1","0"
"744019","744019","0","568000","0","4000","1","(210210044,210210044,210210044,210210044,210210044,210210044)","1","0"
"744020","744020","0","568000","0","4000","1","(210210045,210210045,210210045,210210045,210210045,210210045)","1","0"
"744021","744021","0","568000","0","4000","1","(210210046,210210046,210210046,210210046,210210046,210210046)","1","0"
"744022","744022","0","568000","0","4000","1","(210210047,210210047,210210047,210210047,210210047,210210047)","1","0"
"744023","744023","0","568000","0","4000","1","(210210048,210210048,210210048,210210048,210210048,210210048)","1","0"
"744024","744024","0","568000","0","4000","1","(210210098,210210098,210210098,210210098,210210098,210210098)","1","0"
"745000","745000","0","569000","0","4000","1","(210210049,210210049,210210049,210210049,210210049,210210049)","1","0"
"745001","745001","0","569000","0","4000","1","(210210050,210210050,210210050,210210050,210210050,210210050)","1","0"
"745002","745002","0","569000","0","4000","1","(210210051,210210051,210210051,210210051,210210051,210210051)","1","0"
"745003","745003","0","569000","0","4000","1","(210210052,210210052,210210052,210210052,210210052,210210052)","1","0"
"745004","745004","0","569000","0","4000","1","(210210053,210210053,210210053,210210053,210210053,210210053)","1","0"
"745005","745005","0","569000","0","4000","1","(210210054,210210054,210210054,210210054,210210054,210210054)","1","0"
"745006","745006","0","569000","0","4000","1","(210210055,210210055,210210055,210210055,210210055,210210055)","1","0"
"745007","745007","0","569000","0","4000","1","(210210056,210210056,210210056,210210056,210210056,210210056)","1","0"
"745008","745008","0","569000","0","4000","1","(210210057,210210057,210210057,210210057,210210057,210210057)","1","0"
"745009","745009","0","569000","0","4000","1","(210210058,210210058,210210058,210210058,210210058,210210058)","1","0"
"745010","745010","0","569000","0","4000","1","(210210059,210210059,210210059,210210059,210210059,210210059)","1","0"
"745011","745011","0","569000","0","4000","1","(210210060,210210060,210210060,210210060,210210060,210210060)","1","0"
"745012","745012","0","569000","0","4000","1","(210210061,210210061,210210061,210210061,210210061,210210061)","1","0"
"745013","745013","0","569000","0","4000","1","(210210062,210210062,210210062,210210062,210210062,210210062)","1","0"
"745014","745014","0","569000","0","4000","1","(210210063,210210063,210210063,210210063,210210063,210210063)","1","0"
"745015","745015","0","569000","0","4000","1","(210210064,210210064,210210064,210210064,210210064,210210064)","1","0"
"745016","745016","0","569000","0","4000","1","(210210065,210210065,210210065,210210065,210210065,210210065)","1","0"
"745017","745017","0","569000","0","4000","1","(210210066,210210066,210210066,210210066,210210066,210210066)","1","0"
"745018","745018","0","569000","0","4000","1","(210210067,210210067,210210067,210210067,210210067,210210067)","1","0"
"745019","745019","0","569000","0","4000","1","(210210068,210210068,210210068,210210068,210210068,210210068)","1","0"
"745020","745020","0","569000","0","4000","1","(210210069,210210069,210210069,210210069,210210069,210210069)","1","0"
"745021","745021","0","569000","0","4000","1","(210210070,210210070,210210070,210210070,210210070,210210070)","1","0"
"745022","745022","0","569000","0","4000","1","(210210071,210210071,210210071,210210071,210210071,210210071)","1","0"
"745023","745023","0","569000","0","4000","1","(210210072,210210072,210210072,210210072,210210072,210210072)","1","0"
"745024","745024","0","569000","0","4000","1","(210210099,210210099,210210099,210210099,210210099,210210099)","1","0"
"747000","747000","0","571000","0","25000","1","(1810200002,1810200002,1810200002,1810200002,1810200002,1810200002)","1","0"
"747001","747001","0","571000","0","25000","1","(1810200006,1810200006,1810200006,1810200006,1810200006,1810200006)","1","0"
"747002","747002","0","571000","0","10000","1","(602200606,602200606,602200606,602200606,602200606,602200606)","10","0"
"747003","747003","0","571000","0","10000","1","(602200612,602200612,602200612,602200612,602200612,602200612)","10","0"
"747004","747004","0","571000","0","10000","1","(602200604,602200604,602200604,602200604,602200604,602200604)","10","0"
"747005","747005","0","571000","0","10000","1","(602200605,602200605,602200605,602200605,602200605,602200605)","10","0"
"747006","747006","0","571000","0","2000","1","(903200003,903200003,903200003,903200003,903200003,903200003)","1","0"
"747007","747007","0","571000","0","2000","1","(904200003,904200003,904200003,904200003,904200003,904200003)","1","0"
"747008","747008","0","571000","0","2000","1","(905200003,905200003,905200003,905200003,905200003,905200003)","1","0"
"747009","747009","0","571000","0","2000","1","(906200003,906200003,906200003,906200003,906200003,906200003)","1","0"
"747010","747010","0","571000","0","2000","1","(907200003,907200003,907200003,907200003,907200003,907200003)","1","0"
"748000","748000","0","572000","0","100000","1","(412201048,412201049,412201050,412201051,412201052,412201053)","1","0"
