"Name","ResourceID","MeshLink","ABPLink","BPLink","MonsterThumbnail","MarkerHeight"
"400722","400722","40072","200141","10000","0","0"
"400731","400731","40073","500158","0","0","0"
"400732","400732","40073","500158","50010","0","0"
"400733","400733","40073","500158","10000","0","0"
"400861","400861","40086","500198","0","0","0"
"400902","400902","40090","400072","10000","0","0"
"400903","400903","40090","400072","10000","0","0"
"401152","401152","40115","400091","30000","0","0"
"401162","401162","40116","400090","30000","0","0"
"401172","401172","40117","510003","50021","0","0"
"401173","401173","40117","510003","50021","0","0"
"401212","401212","40121","400092","10000","0","0"
"401213","401213","40121","400092","30002","0","0"
"401214","401214","40121","400092","10000","0","0"
"401242","401242","40124","400095","50019","0","-300"
"401252","401252","40125","400096","50020","0","-300"
"401261","401261","40126","400097","0","0","0"
"401281","401281","40128","500198","0","0","0"
"401291","401291","40129","500198","0","0","0"
"401301","401301","40130","500198","0","0","0"
"401311","401311","40131","500198","0","0","0"
"401322","401322","40132","400098","50024","0","0"
"401332","401332","40133","400099","50022","0","0"
"401342","401342","40134","400100","30002","0","0"
"401352","401352","40135","400095","50023","0","-300"
"401361","401361","40136","510009","0","0","0"
"401372","401372","40137","400108","50026","0","0"
"401382","401382","40138","400109","30000","0","0"
"401383","401383","40138","400120","30002","0","0"
"401411","401411","40141","400119","0","0","0"
"401542","401542","40154","510029","30002","0","0"
"401612","401612","40161","400126","50031","0","0"
"401622","401622","40162","400127","50032","0","0"
"401632","401632","40163","400128","50033","0","0"
"401652","401652","40165","400130","30002","0","0"
"401662","401662","40166","400130","30002","0","0"
"401672","401672","40167","400130","30002","0","0"
"401682","401682","40168","400130","30002","0","0"
"401692","401692","40169","400130","30002","0","0"
"401702","401702","40170","400136","50034","0","0"
"401712","401712","40171","400137","50035","0","0"
"401721","401721","40172","510081","0","0","0"
"450011","450011","45001","510044","0","0","0"
"450021","450021","45002","510044","0","0","0"
"450031","450031","45003","510044","0","0","0"
"450041","450041","45004","510044","0","0","0"
"500011","500011","50001","500016","0","3000015","-30"
"500021","500021","50002","500017","0","3000021","-20"
"500031","500031","50003","200082","0","0","0"
"500041","500041","50004","200094","0","3000094","0"
"500051","500051","50005","500023","0","3000003","0"
"500071","500071","50007","500024","0","0","0"
"500081","500081","50008","500065","0","3000026","0"
"500101","500101","50010","200082","0","0","0"
"500111","500111","50011","200094","0","3000027","0"
"500121","500121","50012","500054","0","3000028","0"
"500131","500131","50013","500021","0","3000104","0"
"500141","500141","50014","500022","0","3000086","0"
"500151","500151","50015","200080","0","0","0"
"500161","500161","50016","200081","0","3000092","0"
"500171","500171","50017","500020","0","0","0"
"500181","500181","50018","500025","0","0","0"
"500201","500201","50020","200106","0","3000060","0"
"500211","500211","50021","200078","0","3000061","0"
"500221","500221","50022","500036","0","3000062","0"
"500231","500231","50023","500035","0","3000063","0"
"500241","500241","50024","200079","0","3000065","0"
"500251","500251","50025","500014","0","3000005","-20"
"500261","500261","50026","500015","0","3000008","-30"
"500271","500271","50027","500004","0","3000023","-50"
"500281","500281","50028","500005","0","3000106","-70"
"500291","500291","50029","200087","0","3000047","0"
"500301","500301","50030","500001","0","0","0"
"500311","500311","50031","500006","0","3000051","-20"
"500321","500321","50032","500002","0","3000048","0"
"500331","500331","50033","200082","0","3000016","0"
"500332","500332","50033","500210","0","3000016","0"
"500341","500341","50034","200094","0","3000017","0"
"500351","500351","50035","500012","0","0","0"
"500352","500352","50035","500012","10000","0","0"
"500353","500353","50035","500012","50004","0","0"
"500361","500361","50036","500013","0","3000107","0"
"500371","500371","50037","500018","0","3000093","0"
"500372","500372","50037","500204","0","3000093","0"
"500381","500381","50038","500034","0","3000080","0"
"500382","500382","50038","500272","0","3000080","0"
"500391","500391","50039","200084","0","3000052","0"
"500401","500401","50040","200085","0","3000053","0"
"500411","500411","50041","200086","0","3000054","0"
"500421","500421","50042","200083","0","3000055","0"
"500431","500431","50043","200088","0","3000096","0"
"500441","500441","50044","500039","0","3000010","-20"
"500451","500451","50045","500040","0","3000011","0"
"500452","500452","50045","500040","30002","3000011","0"
"500461","500461","50046","500026","0","3000001","0"
"500471","500471","50047","500029","0","3000030","0"
"500481","500481","50048","500030","0","3000031","0"
"500491","500491","50049","500031","0","3000032","0"
"500501","500501","50050","500028","0","3000069","-80"
"500502","500502","50050","500270","0","3000069","-80"
"500511","500511","50051","500032","0","3000077","0"
"500512","500512","50051","500271","0","3000077","0"
"500521","500521","50052","200096","0","3000066","0"
"500531","500531","50053","200097","0","3000067","0"
"500541","500541","50054","200098","0","3000068","0"
"500551","500551","50055","200102","0","3000018","0"
"500561","500561","50056","500027","0","3000014","0"
"500571","500571","50057","500003","0","3000004","0"
"500581","500581","50058","500011","0","3000056","-10"
"500591","500591","50059","500019","0","3000103","-30"
"500601","500601","50060","500080","0","0","0"
"500602","500602","50060","500128","0","0","0"
"500603","500603","50060","500190","0","0","0"
"500604","500604","50060","500191","0","0","0"
"500605","500605","50060","500099","0","0","0"
"500606","500606","50060","500129","0","0","0"
"500607","500607","50060","500130","0","0","0"
"500608","500608","50060","500226","0","0","0"
"500609","500609","50060","510005","0","0","0"
"500610","500610","50060","510006","0","0","0"
"500611","500611","50060","510007","0","0","0"
"500612","500612","50060","510008","0","0","0"
"500613","500613","50060","510010","0","0","0"
"500614","500614","50060","400098","50024","0","0"
"500615","500615","50060","510011","0","0","0"
"500616","500616","50060","510012","0","0","0"
"500617","500617","50060","510013","0","0","0"
"500618","500618","50060","510014","0","0","0"
"500619","500619","50060","510017","0","0","0"
"500620","500620","50060","510018","0","0","0"
"500621","500621","50060","510027","0","0","0"
"500631","500631","50063","500067","0","0","0"
"500681","500681","50068","200082","0","0","0"
"500691","500691","50069","500178","0","0","0"
"500701","500701","50070","500007","0","0","0"
"500721","500721","50072","500053","0","3000089","0"
"500741","500741","50074","500048","0","3000007","-30"
"500751","500751","50075","500041","0","3000012","0"
"500761","500761","50076","500049","0","3000041","0"
"500771","500771","50077","200090","0","3000042","0"
"500781","500781","50078","200089","0","3000043","-70"
"500791","500791","50079","500050","0","3000033","-30"
"500801","500801","50080","500051","0","3000002","-30"
"500811","500811","50081","500052","0","3000049","-50"
"500821","500821","50082","200087","0","3000045","0"
"500831","500831","50083","500098","0","0","-50"
"500841","500841","50084","500100","0","0","0"
"500842","500842","50084","500100","10000","0","0"
"500851","500851","50085","500054","0","3000006","0"
"500861","500861","50086","200089","0","3000044","-70"
"500871","500871","50087","500014","0","3000046","-20"
"500881","500881","50088","500094","0","650003","0"
"500882","500882","50088","500094","30002","650003","0"
"500891","500891","50089","500179","0","0","0"
"500901","500901","50090","500180","0","0","0"
"500921","500921","50092","500037","0","3000019","0"
"500931","500931","50093","500038","0","3000020","0"
"500951","500951","50095","500009","0","0","0"
"500961","500961","50096","500008","0","3000029","-20"
"500971","500971","50097","500174","0","0","0"
"501021","501021","50102","500055","0","3000036","0"
"501041","501041","50104","500042","0","650008","0"
"501051","501051","50105","500043","0","0","0"
"501081","501081","50108","200094","0","0","0"
"501091","501091","50109","500026","0","3000098","0"
"501121","501121","50112","500026","0","3000001","0"
"501131","501131","50113","500074","0","0","0"
"501141","501141","50114","500075","0","0","0"
"501151","501151","50115","500122","0","0","0"
"501161","501161","50116","500081","0","0","0"
"501162","501162","50116","500081","50002","0","0"
"501163","501163","50116","500081","50014","0","0"
"501171","501171","50117","500079","0","0","-20"
"501181","501181","50118","500082","0","3000034","-30"
"501191","501191","50119","500083","0","3000035","-50"
"501202","501202","50120","500084","50003","0","0"
"501211","501211","50121","500123","0","0","0"
"501221","501221","50122","500124","0","0","0"
"501231","501231","50123","500085","0","3000109","0"
"501241","501241","50124","500093","0","3000064","0"
"501251","501251","50125","500101","0","3000075","0"
"501252","501252","50125","510002","0","3000075","0"
"501261","501261","50126","500102","0","3000097","0"
"501271","501271","50127","500104","0","3000058","-30"
"501281","501281","50128","500105","0","3000059","-40"
"501291","501291","50129","500106","0","3000073","-50"
"501301","501301","50130","500108","0","3000025","0"
"501302","501302","50130","500108","30002","3000025","0"
"501311","501311","50131","500109","0","3000070","0"
"501321","501321","50132","500110","0","3000071","0"
"501331","501331","50133","500111","0","3000072","0"
"501341","501341","50134","500116","0","3000050","-60"
"501351","501351","50135","500118","0","3000009","0"
"501361","501361","50136","500119","0","3000095","-50"
"501371","501371","50137","500120","0","3000013","-30"
"501381","501381","50138","500121","0","3000057","-20"
"501391","501391","50139","500125","0","3000022","-120"
"501401","501401","50140","500127","0","3000078","0"
"501411","501411","50141","500065","0","0","0"
"501421","501421","50142","500019","0","3000024","-30"
"501431","501431","50143","500136","0","3000101","0"
"501441","501441","50144","500137","0","3000102","0"
"501451","501451","50145","500138","0","0","0"
"501461","501461","50146","500139","0","3000090","-20"
"501471","501471","50147","500140","0","0","0"
"501481","501481","50148","500221","0","0","0"
"501491","501491","50149","500141","0","3000085","0"
"501501","501501","50150","500142","0","650005","50"
"501511","501511","50151","500154","0","0","0"
"501521","501521","50152","500143","0","3000037","0"
"501522","501522","50152","500157","0","3000037","0"
"501531","501531","50153","500144","0","3000038","0"
"501541","501541","50154","500145","0","3000039","0"
"501551","501551","50155","500146","0","3000040","0"
"501561","501561","50156","500147","0","3000091","0"
"501571","501571","50157","500148","0","0","0"
"501581","501581","50158","500149","0","0","0"
"501591","501591","50159","500150","0","0","0"
"501601","501601","50160","500151","0","3000082","0"
"501602","501602","50160","500151","50009","3000082","0"
"501603","501603","50160","500159","50009","3000082","0"
"501612","501612","50161","500161","50011","3000083","0"
"501613","501613","50161","500161","50013","3000083","0"
"501621","501621","50162","500162","0","0","0"
"501631","501631","50163","500163","0","0","0"
"501641","501641","50164","500164","0","3000079","0"
"501651","501651","50165","500165","0","0","0"
"501652","501652","50165","500168","0","0","0"
"501661","501661","50166","500166","0","0","0"
"501662","501662","50166","500169","0","0","0"
"501671","501671","50167","500167","0","0","0"
"501672","501672","50167","500170","0","0","0"
"501711","501711","50171","500171","0","0","0"
"501721","501721","50172","500151","0","3000082","0"
"501722","501722","50172","500151","50009","3000082","0"
"501723","501723","50172","500151","50009","3000082","0"
"501731","501731","50173","500173","0","3000105","0"
"501741","501741","50174","500177","0","3000081","0"
"501742","501742","50174","500177","50012","3000081","0"
"501743","501743","50174","500177","50012","3000081","0"
"501751","501751","50175","500181","0","3000100","-20"
"501761","501761","50176","500182","0","0","0"
"501771","501771","50177","500183","0","3000084","0"
"501781","501781","50178","500184","0","0","0"
"501791","501791","50179","500185","0","0","0"
"501801","501801","50180","500186","0","650004","0"
"501811","501811","50181","500187","0","0","0"
"501821","501821","50182","500188","0","3000088","0"
"501822","501822","50182","500225","0","3000088","0"
"501831","501831","50183","500189","0","0","0"
"501841","501841","50184","500192","0","0","-70"
"501851","501851","50185","500193","0","0","-40"
"501861","501861","50186","500194","0","0","-100"
"501862","501862","50186","500194","50015","0","-100"
"501871","501871","50187","500195","0","0","-60"
"501881","501881","50188","500196","0","0","0"
"501891","501891","50189","500197","0","0","-70"
"501911","501911","50191","500200","0","0","0"
"501912","501912","50191","500223","0","0","0"
"501913","501913","50191","500249","0","0","0"
"501914","501914","50191","500250","30002","0","0"
"501921","501921","50192","500201","0","0","0"
"501922","501922","50192","500202","0","0","0"
"501923","501923","50192","500203","0","0","0"
"501924","501924","50192","500297","0","0","0"
"501931","501931","50193","500205","0","0","0"
"501941","501941","50194","500206","0","0","-30"
"501981","501981","50198","500208","0","0","0"
"501991","501991","50199","500209","0","0","0"
"502001","502001","50200","500211","0","0","0"
"502002","502002","50200","500273","0","0","0"
"502011","502011","50201","500213","0","0","0"
"502021","502021","50202","500214","0","650012","0"
"502031","502031","50203","500144","0","3000038","0"
"502041","502041","50204","500215","0","0","0"
"502042","502042","50204","500215","10000","0","0"
"502051","502051","50205","500216","0","0","0"
"502061","502061","50206","500217","0","0","0"
"502072","502072","50207","500218","50018","0","0"
"502081","502081","50208","500219","0","0","0"
"502091","502091","50209","500220","0","0","0"
"502101","502101","50210","500222","0","0","0"
"502111","502111","50211","500222","0","0","0"
"502121","502121","50212","500197","0","0","0"
"502131","502131","50213","500227","0","0","0"
"502141","502141","50214","500229","0","0","1"
"502151","502151","50215","500230","0","0","0"
"502161","502161","50216","500231","0","0","0"
"502171","502171","50217","500232","0","0","1"
"502181","502181","50218","500186","0","0","0"
"502201","502201","50220","500234","0","0","0"
"502211","502211","50221","200080","0","0","0"
"502221","502221","50222","200081","0","0","0"
"502231","502231","50223","200078","0","0","0"
"502241","502241","50224","200106","0","0","0"
"502251","502251","50225","500037","0","0","0"
"502261","502261","50226","500038","0","0","0"
"502271","502271","50227","500141","0","0","0"
"502281","502281","50228","200228","0","0","0"
"502291","502291","50229","200229","0","0","0"
"502301","502301","50230","200230","0","0","0"
"502311","502311","50231","500021","0","0","0"
"502321","502321","50232","500173","0","0","0"
"502331","502331","50233","500235","0","0","0"
"502332","502332","50233","500236","0","0","0"
"502341","502341","50234","500019","0","0","0"
"502351","502351","50235","500237","0","0","0"
"502361","502361","50236","500238","0","0","0"
"502371","502371","50237","500015","0","0","0"
"502381","502381","50238","500239","0","0","0"
"502391","502391","50239","500240","0","0","0"
"502401","502401","50240","500241","0","0","0"
"502411","502411","50241","500242","0","0","0"
"502421","502421","50242","500243","0","0","0"
"502431","502431","50243","500244","0","0","0"
"502441","502441","50244","500245","0","0","0"
"502451","502451","50245","500246","0","0","0"
"502461","502461","50246","500247","0","0","0"
"502462","502462","50246","500247","50028","0","0"
"502471","502471","50247","500248","0","0","0"
"502481","502481","50248","500251","0","0","0"
"502491","502491","50249","500254","0","0","0"
"502501","502501","50250","500255","0","0","0"
"502511","502511","50251","510015","0","0","0"
"502512","502512","50251","510016","0","0","0"
"502521","502521","50252","500256","0","0","0"
"502531","502531","50253","500257","0","0","0"
"502541","502541","50254","500258","0","0","0"
"502551","502551","50255","500259","0","0","0"
"502561","502561","50256","500260","0","0","0"
"502571","502571","50257","500261","0","0","0"
"502581","502581","50258","510019","0","0","0"
"502582","502582","50258","510019","30002","0","0"
"502591","502591","50259","500262","0","0","0"
"502601","502601","50260","500165","0","0","0"
"502611","502611","50261","500166","0","0","0"
"502621","502621","50262","500023","0","0","0"
"502632","502632","50263","510024","30002","0","0"
"502641","502641","50264","500263","0","0","0"
"502651","502651","50265","500019","0","0","0"
"502661","502661","50266","500022","0","0","0"
"502671","502671","50267","500043","0","0","0"
"502681","502681","50268","500027","0","0","0"
"502691","502691","50269","500037","0","0","0"
"502702","502702","50270","400100","30002","0","0"
"502712","502712","50271","400100","30002","0","0"
"502722","502722","50272","400100","30002","0","0"
"502732","502732","50273","510025","50029","0","0"
"502742","502742","50274","510026","50030","0","0"
"502752","502752","50275","510024","30002","0","0"
"502761","502761","50276","500035","0","0","0"
"502771","502771","50277","200078","0","0","0"
"502781","502781","50278","500014","0","0","0"
"502791","502791","50279","500082","0","0","0"
"502801","502801","50280","500274","0","0","0"
"502811","502811","50281","500015","0","0","0"
"502821","502821","50282","500142","0","0","0"
"502831","502831","50283","500108","0","0","0"
"502841","502841","50284","500251","0","0","0"
"502851","502851","50285","500251","0","0","0"
"502861","502861","50286","500264","0","0","0"
"502871","502871","50287","500265","0","0","0"
"502881","502881","50288","500266","0","0","0"
"502891","502891","50289","500267","0","0","0"
"502901","502901","50290","500268","0","0","0"
"502911","502911","50291","500269","0","0","0"
"503152","503152","50315","510047","30002","0","0"
"401422","401422","40142","510063","30002","0","0"
"502921","502921","50292","500139","0","0","0"
"502931","502931","50293","500136","0","0","0"
"502941","502941","50294","500137","0","0","0"
"502951","502951","50295","500138","0","0","0"
"502961","502961","50296","510030","0","0","0"
"502971","502971","50297","510031","0","0","0"
"502981","502981","50298","510032","0","0","0"
"502991","502991","50299","510033","0","0","0"
"503001","503001","50300","510034","0","0","0"
"503011","503011","50301","510035","0","0","0"
"503021","503021","50302","510036","0","0","0"
"503031","503031","50303","510037","0","0","0"
"503042","503042","50304","510038","30002","0","0"
"503051","503051","50305","510039","0","0","0"
"503061","503061","50306","510040","0","0","0"
"503071","503071","50307","510041","0","0","0"
"503081","503081","50308","510042","0","0","0"
"503092","503092","50309","510043","30002","0","0"
"503111","503111","50311","500201","0","0","0"
"503112","503112","50311","500296","0","0","0"
"503122","503122","50312","500275","30002","0","0"
"503132","503132","50313","500276","50018","0","0"
"400911","400911","40091","510045","0","0","0"
"503141","503141","50314","510046","0","0","0"
"503161","503161","50316","510048","0","0","0"
"503171","503171","50317","510049","0","0","0"
"503181","503181","50318","510050","0","0","0"
"503191","503191","50319","510051","0","0","0"
"503201","503201","50320","510052","0","0","0"
"503211","503211","50321","510053","0","0","0"
"503221","503221","50322","510054","0","0","0"
"503431","503431","50343","500277","0","0","0"
"503241","503241","50324","510056","0","0","0"
"503271","503271","50327","500049","0","0","0"
"503281","503281","50328","200087","0","0","0"
"503291","503291","50329","500143","0","0","0"
"503321","503321","50332","510064","0","0","0"
"503331","503331","50333","510068","0","0","0"
"503341","503341","50334","500262","0","0","0"
"503351","503351","50335","510065","0","0","0"
"503361","503361","50336","510066","0","0","0"
"503371","503371","50337","510075","0","0","0"
"503381","503381","50338","510076","0","0","0"
"503392","503392","50339","510077","30002","0","0"
"503401","503401","50340","510080","0","0","0"
"503411","503411","50341","510078","0","0","0"
"503421","503421","50342","510079","0","0","0"
"503601","503601","50360","510062","0","0","0"
"900001","900001","50228","510021","0","0","0"
"900002","900002","50229","510022","0","0","0"
"900003","900003","50230","510023","0","0","0"
"900004","900004","50228","510028","0","0","0"
