"Name","CostumeItemId","NeedItem01Id","NeedItem01Count","NeedItem02Id","NeedItem02Count","NeedItem03Id","NeedItem03Count","NeedItem04Id","NeedItem04Count","NeedItem05Id","NeedItem05Count","NeedItem06Id","NeedItem06Count"
"20401","20401","110105001","2","110105002","2","110225001","5","110225002","5","110225003","5","110324004","1"
"20402","20402","110105001","6","110105002","6","110225001","15","110225002","15","110225003","15","110324004","3"
"20403","20403","110105001","12","110105002","12","110225001","30","110225002","30","110225003","30","110324004","6"
"20601","20601","110106001","2","110106002","2","110226001","5","110226002","5","110226003","5","110326006","1"
"20602","20602","110106001","6","110106002","6","110226001","15","110226002","15","110226003","15","110326006","3"
"20603","20603","110106001","12","110106002","12","110226001","30","110226002","30","110226003","30","110326006","6"
"30101","30101","110101001","0","110101002","0","110231001","0","110231002","0","110231003","0","110331001","0"
"30102","30102","110101001","6","110101002","6","110231001","15","110231002","15","110231003","15","110331001","3"
"30103","30103","110101001","12","110101002","12","110231001","30","110231002","30","110231003","30","110331001","6"
"30201","30201","110102001","2","110102002","2","110232001","5","110232002","5","110232003","5","110332002","1"
"30202","30202","110102001","6","110102002","6","110232001","15","110232002","15","110232003","15","110332002","3"
"30203","30203","110102001","12","110102002","12","110232001","30","110232002","30","110232003","30","110332002","6"
"30301","30301","110103001","2","110103002","2","110233001","5","110233002","5","110233003","5","110333003","1"
"30302","30302","110103001","6","110103002","6","110233001","15","110233002","15","110233003","15","110333003","3"
"30303","30303","110103001","12","110103002","12","110233001","30","110233002","30","110233003","30","110333003","6"
"30401","30401","110104001","2","110104002","2","110234001","5","110234002","5","110234003","5","110334004","1"
"30402","30402","110104001","6","110104002","6","110234001","5","110234002","5","110234003","15","110334004","3"
"30403","30403","110104001","12","110104002","12","110234001","5","110234002","5","110234003","30","110334004","6"
"30501","30501","110105001","2","110105002","2","110235001","5","110235002","5","110235003","5","110335005","1"
"30502","30502","110105001","6","110105002","6","110235001","15","110235002","15","110235003","15","110335005","3"
"30503","30503","110105001","12","110105002","12","110235001","30","110235002","30","110235003","30","110335005","6"
"30601","30601","110106001","2","110106002","2","110236001","5","110236002","5","110236003","5","110336006","1"
"30602","30602","110106001","6","110106002","6","110236001","15","110236002","15","110236003","15","110336006","3"
"30603","30603","110106001","12","110106002","12","110236001","30","110236002","30","110236003","30","110336006","6"
"40101","40101","110101001","0","110101002","0","110241001","0","110241002","0","110241003","0","110341001","0"
"40102","40102","110101001","6","110101002","6","110241001","15","110241002","15","110241003","15","110341001","3"
"40103","40103","110101001","12","110101002","12","110241001","30","110241002","30","110241003","30","110341001","6"
"40201","40201","110102001","2","110102002","2","110242001","5","110242002","5","110242003","5","110342002","1"
"40202","40202","110102001","6","110102002","6","110242001","15","110242002","15","110242003","15","110342002","3"
"40203","40203","110102001","12","110102002","12","110242001","30","110242002","30","110242003","30","110342002","6"
"40301","40301","110103001","2","110103002","2","110243001","5","110243002","5","110243003","5","110343003","1"
"40302","40302","110103001","6","110103002","6","110243001","15","110243002","15","110243003","15","110343003","3"
"40303","40303","110103001","12","110103002","12","110243001","30","110243002","30","110243003","30","110343003","6"
"40401","40401","110104001","2","110104002","2","110244001","5","110244002","5","110244003","5","110344004","1"
"40402","40402","110104001","6","110104002","6","110244001","15","110244002","15","110244003","15","110344004","3"
"40403","40403","110104001","12","110104002","12","110244001","30","110244002","30","110244003","30","110344004","6"
"40501","40501","110105001","2","110105002","2","110245001","5","110245002","5","110245003","5","110345005","1"
"40502","40502","110105001","6","110105002","6","110245001","15","110245002","15","110245003","15","110345005","3"
"40503","40503","110105001","12","110105002","12","110245001","30","110245002","30","110245003","30","110345005","6"
"40601","40601","110106001","2","110106002","2","110246001","5","110246002","5","110246003","5","110346006","1"
"40602","40602","110106001","6","110106002","6","110246001","15","110246002","15","110246003","15","110346006","3"
"40603","40603","110106001","12","110106002","12","110246001","30","110246002","30","110246003","30","110346006","6"
"50101","50101","110101001","0","110101002","0","110251001","0","110251002","0","110251003","0","110351001","0"
"50102","50102","110101001","6","110101002","6","110251001","15","110251002","15","110251003","15","110351001","3"
"50103","50103","110101001","12","110101002","12","110251001","30","110251002","30","110251003","30","110351001","6"
"50201","50201","110102001","2","110102002","2","110252001","5","110252002","5","110252003","5","110352002","1"
"50202","50202","110102001","6","110102002","6","110252001","15","110252002","15","110252003","15","110352002","3"
"50203","50203","110102001","12","110102002","12","110252001","30","110252002","30","110252003","30","110352002","6"
"50301","50301","110103001","2","110103002","2","110253001","5","110253002","5","110253003","5","110353003","1"
"50302","50302","110103001","6","110103002","6","110253001","15","110253002","15","110253003","15","110353003","3"
"50303","50303","110103001","12","110103002","12","110253001","30","110253002","30","110253003","30","110353003","6"
"50401","50401","110104001","2","110104002","2","110254001","5","110254002","5","110254003","5","110354004","1"
"50402","50402","110104001","6","110104002","6","110254001","15","110254002","15","110254003","15","110354004","3"
"50403","50403","110104001","12","110104002","12","110254001","30","110254002","30","110254003","30","110354004","6"
"50501","50501","110105001","2","110105002","2","110255001","5","110255002","5","110255003","5","110355005","1"
"50502","50502","110105001","6","110105002","6","110255001","15","110255002","15","110255003","15","110355005","3"
"50503","50503","110105001","12","110105002","12","110255001","30","110255002","30","110255003","30","110355005","6"
"50601","50601","110106001","2","110106002","2","110256001","5","110256002","5","110256003","5","110356006","1"
"50602","50602","110106001","6","110106002","6","110256001","15","110256002","15","110256003","15","110356006","3"
"50603","50603","110106001","12","110106002","12","110256001","30","110256002","30","110256003","30","110356006","6"
