"Name","세트 이름","아이템 목록"
"11","일반 정령보물(고급~희귀)","(1702220032,1702220033,1702220034,1702220035,1702220036,1702220037,1702220038,1702220039,1702220040,1702220041,1702220042,1702220043,1702220044,1702220045,1702220046,1702220047,1702220048,1702220049,1702220050,1702220051,1702220052,1702220053,1702220054,1702220055,1702220056,1702220057,1702220126,1702220151,1702220152,1702220159,1702200032,1702200033,1702200034,1702200035,1702200036,1702200037,1702200038,1702200039,1702200040,1702200041,1702200042,1702200043,1702200044,1702200045,1702200046,1702200047,1702200048,1702200049,1702200050,1702200051,1702200052,1702200053,1702200054,1702200055,1702200056,1702200057,1702200126,1702200151,1702200152,1702100157,1702200157,1702200159,1702220001,1702220002,1702220003,1702220004,1702220005,1702220006,1702220007,1702220008,1702220009,1702220010,1702220011,1702220012,1702220013,1702220014,1702220015,1702220016,1702220017,1702220018,1702220019,1702220020,1702220021,1702220022,1702220023,1702220024,1702220025,1702220026,1702220125,1702220149,1702220150,1702220158,1702200001,1702200002,1702200003,1702200004,1702200005,1702200006,1702200007,1702200008,1702200009,1702200010,1702200011,1702200012,1702200013,1702200014,1702200015,1702200016,1702200017,1702200018,1702200019,1702200020,1702200021,1702200022,1702200023,1702200024,1702200025,1702200026,1702200125,1702200149,1702200150,1702200158)"
"12","정령보물 2티어","(1702120063,1702120064,1702120065,1702120066,1702120067,1702120068,1702120069,1702120070,1702120071,1702120072,1702120073,1702120074,1702120075,1702120076,1702120077,1702120078,1702120079,1702120080,1702120081,1702120082,1702120083,1702120084,1702120085,1702120086,1702120087,1702120088,1702120127,1702120153,1702120154,1702120089,1702120090,1702120091,1702120092,1702120093,1702120129,1702120094,1702120095,1702120096,1702120097,1702120098,1702120099,1702120100,1702120101,1702120102,1702120103,1702120104,1702120105,1702120106,1702120107,1702120108,1702120109,1702120110,1702120111,1702120112,1702120113,1702120114,1702120115,1702120116,1702120117,1702120118,1702120119,1702120128,1702120155,1702120156,1702120120,1702120121,1702120122,1702120123,1702120124,1702120130,1702120137,1702120138,1702120139,1702120140,1702120141,1702120142,1702120143,1702120144,1702120145,1702120146,1702120147,1702120148,1702120160,1702120161)"
"13","용신기","(221200001,221200002,221200003,222200001,222200002,222200003,223200001,223200002,223200003,224200001,224200002,224200003,225200001,225200002,225200003)"
"14","무공서 - 전사","(1201201301,1201201302,1201201303,1201201304,1201201305,1201201306,1201201307,1201201308,1201201309,1201201310,1201201311,1201201312,1201201313,1201201314,1201201315,1201201316,1201201401,1201201402,1201201403,1201201404,1201201405,1201201406,1201201407,1201201408,1201201409,1201201410,1201201411,1201201412,1201201413,1201201414,1201201415,1201201416,1201201501,1201201502,1201201503,1201201504,1201201505,1201201506,1201201507,1201201508,1201201509,1201201510,1201201511,1201201512,1201201513,1201201514,1201201515,1201201516,1201200201,1201200201,1201200201,1201200201,1201200201)"
"15","무공서 - 술사","(1201202301,1201202302,1201202303,1201202304,1201202305,1201202306,1201202307,1201202308,1201202309,1201202310,1201202311,1201202312,1201202313,1201202314,1201202315,1201202316,1201202401,1201202402,1201202403,1201202404,1201202405,1201202406,1201202407,1201202408,1201202409,1201202410,1201202411,1201202412,1201202413,1201202414,1201202415,1201202416,1201202501,1201202502,1201202503,1201202504,1201202505,1201202506,1201202507,1201202508,1201202509,1201202510,1201202511,1201202512,1201202513,1201202514,1201202515,1201202516,1201200201,1201200201,1201200201,1201200201,1201200201)"
"16","무공서 - 도사","(1201203301,1201203302,1201203303,1201203304,1201203305,1201203306,1201203307,1201203308,1201203309,1201203310,1201203311,1201203312,1201203313,1201203314,1201203315,1201203316,1201203401,1201203402,1201203403,1201203404,1201203405,1201203406,1201203407,1201203408,1201203409,1201203410,1201203411,1201203412,1201203413,1201203414,1201203415,1201203416,1201203501,1201203502,1201203503,1201203504,1201203505,1201203506,1201203507,1201203508,1201203509,1201203510,1201203511,1201203512,1201203513,1201203514,1201203515,1201203516,1201200201,1201200201,1201200201,1201200201,1201200201)"
"17","무공서 - 석궁사","(1201204301,1201204302,1201204303,1201204304,1201204305,1201204306,1201204307,1201204308,1201204309,1201204310,1201204311,1201204312,1201204313,1201204401,1201204402,1201204403,1201204404,1201204405,1201204406,1201204407,1201204408,1201204409,1201204410,1201204411,1201204412,1201204413,1201204501,1201204502,1201204503,1201204504,1201204505,1201204506,1201204507,1201204508,1201204509,1201204510,1201204511,1201204512,1201204513,1201200201,1201200201,1201200201,1201200201,1201200201)"
"18","무공서 - 무사","(1201205301,1201205302,1201205303,1201205304,1201205305,1201205306,1201205307,1201205308,1201205309,1201205310,1201205311,1201205312,1201205313,1201205401,1201205402,1201205403,1201205404,1201205405,1201205406,1201205407,1201205408,1201205409,1201205410,1201205411,1201205412,1201205413,1201205501,1201205502,1201205503,1201205504,1201205505,1201205506,1201205507,1201205508,1201205509,1201205510,1201205511,1201205512,1201205513,1201200201,1201200201,1201200201,1201200201,1201200201)"
"19","무공서 - 흑도사","(1201206501,1201206502,1201206503,1201206504,1201206505,1201206506,1201206507,1201206508,1201206509,1201206510,1201206511,1201206512,1201206513,1201206401,1201206402,1201206403,1201206404,1201206405,1201206406,1201206407,1201206408,1201206409,1201206410,1201206411,1201206412,1201206413,1201206301,1201206302,1201206303,1201206304,1201206305,1201206306,1201206307,1201206308,1201206309,1201206310,1201206311,1201206312,1201206313,1201200201,1201200201,1201200201,1201200201,1201200201)"
"20","소환패","(1401200505,1401200510,1401200515,1401200520,1401200525,1401200530,1401200535,1401200540,1401200557,1401200561,1401200562,1810100008,1810200008,1810100004,1810200004,1301201497,1401200522,1401200523,1401200524,1401200527,1401200528,1401200529,1401200534,1401200539,1401200543,1401200532,1401200533,1401200549,1401200550,1401200551,1401200552,1401200553,1401200554,1401200555,1401200556,1401200559,1401200560,1401200563,1401200564,1401200565,1401200566,1401200567,1401200568,1401200569,1401200570,1401200571,1401200572,1401200573,1401200574,1810100007,1810200007,1810100003,1810200003,1401200512,1401200513,1401200514,1401200517,1401200518,1401200519,1401200538,1401200542,1401200558,1810100006,1810200006,1810100002,1810200002,1401200502,1401200503,1401200504,1401200507,1401200508,1401200509,1401200537,1401200541,1810100005,1810200005,1810100001,1810200001,1401200501,1401200506,1401200511,1401200516,1401200521,1401200526)"
"21","사령무구","(1303100065,1303100066,1303100067,1303100068,1303100069,1303100070,1303100071,1303100072,1303100073,1303100074,1303100075,1303100076,1303100077,1303100078,1303100079,1303100080,1303100081,1303100082,1303100083,1303100084,1303100085,1303100086,1303100087,1303100088,1303200065,1303200066,1303200067,1303200068,1303200069,1303200070,1303200071,1303200072,1303200073,1303200074,1303200075,1303200076,1303200077,1303200078,1303200079,1303200080,1303200081,1303200082,1303200083,1303200084,1303200085,1303200086,1303200087,1303200088)"
"22","보감무구","(1303100001,1303100002,1303100003,1303100004,1303100005,1303100006,1303100007,1303100008,1303100009,1303100010,1303100011,1303100012,1303100013,1303100014,1303100015,1303100016,1303100017,1303100018,1303100019,1303100020,1303100021,1303100022,1303100023,1303100024,1303100025,1303100026,1303100027,1303100028,1303100029,1303100030,1303100031,1303100032,1303100033,1303100034,1303100035,1303100036,1303100037,1303100038,1303100039,1303100040,1303100041,1303100042,1303100043,1303100044,1303100045,1303100046,1303100047,1303100048,1303100049,1303100050,1303100051,1303100052,1303100053,1303100054,1303100055,1303100056,1303100057,1303100058,1303100059,1303100060,1303100061,1303100062,1303100063,1303100064,1303200001,1303200002,1303200003,1303200004,1303200005,1303200006,1303200007,1303200008,1303200009,1303200010,1303200011,1303200012,1303200013,1303200014,1303200015,1303200016,1303200017,1303200018,1303200019,1303200020,1303200021,1303200022,1303200023,1303200024,1303200025,1303200026,1303200027,1303200028,1303200029,1303200030,1303200031,1303200032,1303200033,1303200034,1303200035,1303200036,1303200037,1303200038,1303200039,1303200040,1303200041,1303200042,1303200043,1303200044,1303200045,1303200046,1303200047,1303200048,1303200049,1303200050,1303200051,1303200052,1303200053,1303200054,1303200055,1303200056,1303200057,1303200058,1303200059,1303200060,1303200061,1303200062,1303200063,1303200064)"
"23","마물의 파편","(1302200001,1302200002,1302200003,1302200004,1302200005,1302200006,1302200007,1302200008,1302200009,1302200010,1302200011,1302200012,1302200013,1302200014,1302200015,1302200016,1302200017,1302200018,1302200019,1302200020,1302200021,1302200022,1302200023,1302200024,1302200025,1302200026,1302200027,1302200028,1302200029,1302200030,1302200031,1302200032,1302200033,1302200034,1302200035,1302200036,1302200037,1302200038,1302200039,1302200040,1302200041,1302200042,1302200043,1302200044,1302200045,1302200046,1302200047,1302200048,1302200049,1302200050,1302200051,1302200052,1302200053,1302200054,1302200055,1302200056,1302200057,1302200058,1302200059,1302200060,1302200061,1302200062,1302200063,1302200064)"
"24","봉인상자","(603200101,603200102,603200103,603200104,603200301,603200302,603200303,603200304,603200401,603200402,603200403,603200404,603200501,603200502,603200503,603200504,603200601,603200602,603200603,603200604)"
"25","가속권","(601200501,601200502,601200503,601200504,601200505,601200506,601200507,601200508,601200509,601200510,601200511,601200512,601200513)"
"26","회복약, 아공/초공전서","(606203001,621200001,622200001,604200304,604200305,604200101,604200102,604200103,604200104,605200101,605200102,605200103,605200104,604200101,604200101,604200101,604200101,604200101,604200101,604200101,604200101,604200101,604200102,604200102,604200102,604200102,604200102,604200102,604200102,604200102,604200102,604200103,604200103,604200103,604200103,604200103,604200103,604200103,604200103,604200103,604200104,604200104,604200104,604200104,604200104,604200104,604200104,604200104,604200104,604200304,604200304,604200304,604200304,604200304,604200304,604200304,604200304,604200304,604200305,604200305,604200305,604200305,604200305,604200305,604200305,604200305,604200305,605200101,605200101,605200101,605200101,605200101,605200101,605200101,605200101,605200101,605200102,605200102,605200102,605200102,605200102,605200102,605200102,605200102,605200102,605200103,605200103,605200103,605200103,605200103,605200103,605200103,605200103,605200103,605200104,605200104,605200104,605200104,605200104,605200104,605200104,605200104,605200104)"
"27","마령주 테스트용","(230120001,230120002,230120003,230120004,230120005,230120006,230120007,230120008,230120009,230120010,230120011,230120012,230120013,230120014,230120015,230120016,230120017,230120018,230120019,230120020,230120021,230120022,230120023,230120024,230120025,230120026,230120027,230120101,230120102,230120103,230120104,230120105,230120106,230120107,230120108,230120109,230120110,230120111,230120112,230120113,230120114,230120115,230120116,1707200001,1707200002,503320001,230110001,230110002,230110003,230110004,230110005,230110006,230110007,230110008,230110009,230110010,230110011,230110012,230110013,230110014,230110015,230110016,230110017,230110018,230110019,230110020,230110021,230110022,230110023,230110024,230110025,230110026,230110027,230110101,230110102,230110103,230110104,230110105,230110106,230110107,230110108,230110109,230110110,230110111,230110112,230110113,230110114,230110115,230110116)"
