"Name","ItemId","MagicOrbIcon","Option01","Option02","PetSkillId","PetSkillOpenLv","PassiveLv","PetSkillCombatPoint","RandomOptionGroup","RandomOption01OpenLv","RandomOption02OpenLv","RandomOption03OpenLv","RandomOption04OpenLv"
"230110110","230110110","5800110","1110","2110","49004","12","1","0","3","3","6","9","0"
"230110111","230110111","5800111","1111","2111","51004","12","1","0","3","3","6","9","0"
"230110112","230110112","5800112","1112","2112","53004","12","1","0","3","3","6","9","0"
"230110113","230110113","5800113","1113","2113","1004001","12","1","0","4","3","6","9","0"
"230110114","230110114","5800114","1114","2114","1005001","12","1","0","4","3","6","9","0"
"230110115","230110115","5800115","1115","2115","1006001","12","1","0","4","3","6","9","0"
"230110116","230110116","5800116","1116","2116","1007001","12","1","0","4","3","6","9","0"
"230120001","230120001","5800001","1001","2001","21003","12","1","0","1","3","6","9","0"
"230120002","230120002","5800002","1002","2002","26003","12","1","0","1","3","6","9","0"
"230120003","230120003","5800003","1003","2003","27003","12","1","0","1","3","6","9","0"
"230120004","230120004","5800004","1004","2004","28003","12","1","0","1","3","6","9","0"
"230120005","230120005","5800005","1005","2005","29003","12","1","0","1","3","6","9","0"
"230120006","230120006","5800006","1006","2006","34003","12","1","0","1","3","6","9","0"
"230120007","230120007","5800007","1007","2007","35003","12","1","0","1","3","6","9","0"
"230120008","230120008","5800008","1008","2008","37003","12","1","0","1","3","6","9","0"
"230120009","230120009","5800009","1009","2009","38003","12","1","0","1","3","6","9","0"
"230120010","230120010","5800010","1010","2010","39003","12","1","0","1","3","6","9","0"
"230120011","230120011","5800011","1011","2011","44003","12","1","0","1","3","6","9","0"
"230120012","230120012","5800012","1012","2012","45003","12","1","0","1","3","6","9","0"
"230120013","230120013","5800013","1013","2013","47003","12","1","0","1","3","6","9","0"
"230120014","230120014","5800014","1014","2014","48003","12","1","0","1","3","6","9","0"
"230120015","230120015","5800015","1015","2015","50003","12","1","0","1","3","6","9","0"
"230120016","230120016","5800016","1016","2016","52003","12","1","0","1","3","6","9","0"
"230120017","230120017","5800017","1017","2017","54003","12","1","0","1","3","6","9","0"
"230120018","230120018","5800018","1018","2018","55003","12","1","0","1","3","6","9","0"
"230120019","230120019","5800019","1019","2019","56003","12","1","0","1","3","6","9","0"
"230120020","230120020","5800020","1020","2020","58003","12","1","0","1","3","6","9","0"
"230120021","230120021","5800021","1021","2021","60003","12","1","0","1","3","6","9","0"
"230120022","230120022","5800022","1022","2022","62003","12","1","0","1","3","6","9","0"
"230120023","230120023","5800023","1023","2023","65003","12","1","0","1","3","6","9","0"
"230120024","230120024","5800024","1024","2024","1000001","12","1","0","2","3","6","9","0"
"230120025","230120025","5800025","1025","2025","1001001","12","1","0","2","3","6","9","0"
"230120026","230120026","5800026","1026","2026","1002001","12","1","0","2","3","6","9","0"
"230120027","230120027","5800027","1027","2027","1003001","12","1","0","2","3","6","9","0"
"230120101","230120101","5800101","1101","2101","17004","12","1","0","3","3","6","9","0"
"230120102","230120102","5800102","1102","2102","24004","12","1","0","3","3","6","9","0"
"230120103","230120103","5800103","1103","2103","31004","12","1","0","3","3","6","9","0"
"230120104","230120104","5800104","1104","2104","36004","12","1","0","3","3","6","9","0"
"230120105","230120105","5800105","1105","2105","40004","12","1","0","3","3","6","9","0"
"230120106","230120106","5800106","1106","2106","41004","12","1","0","3","3","6","9","0"
"230120107","230120107","5800107","1107","2107","42004","12","1","0","3","3","6","9","0"
"230120108","230120108","5800108","1108","2108","43004","12","1","0","3","3","6","9","0"
"230120109","230120109","5800109","1109","2109","46004","12","1","0","3","3","6","9","0"
"230120110","230120110","5800110","1110","2110","49004","12","1","0","3","3","6","9","0"
"230120111","230120111","5800111","1111","2111","51004","12","1","0","3","3","6","9","0"
"230120112","230120112","5800112","1112","2112","53004","12","1","0","3","3","6","9","0"
"230120113","230120113","5800113","1113","2113","1004001","12","1","0","4","3","6","9","0"
"230120114","230120114","5800114","1114","2114","1005001","12","1","0","4","3","6","9","0"
"230120115","230120115","5800115","1115","2115","1006001","12","1","0","4","3","6","9","0"
"230120116","230120116","5800116","1116","2116","1007001","12","1","0","4","3","6","9","0"
