"Name","RowId","ShopId","OpenOrder","Type","OpenTime","CloseTime","RefreshTime","RefreshPermission","RefreshMoneyType","RefreshMoneyChain","RefreshMoneyValue","RefreshMoneyIncrease","DisplayUi","GoodsSelect1","GoodsGroupId1","GoodsCount1","GoodsSelect2","GoodsGroupId2","GoodsCount2","GoodsSelect3","GoodsGroupId3","GoodsCount3","EventType","DominionId"
"58","58","5080","1","1","0","0","(0)","0","0","0","0","0","1","1","1","9","0","0","0","0","0","0","0","0"
"59","59","9027","1","1","0","0","(0)","0","0","0","0","0","1","1","1","11","0","0","0","0","0","0","1","0"
"60","60","5090","1","1","0","0","(0)","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0"
"61","61","9028","1","1","0","0","(0)","0","0","0","0","0","1","1","1","12","0","0","0","0","0","0","1","0"
"62","62","9029","1","1","0","0","(0)","0","0","0","0","0","1","1","1","9","0","0","0","0","0","0","1","0"
"63","63","9030","1","1","0","0","(0)","0","0","0","0","0","1","1","1","20","0","0","0","0","0","0","1","0"
"64","64","9031","1","1","0","0","(0)","0","0","0","0","0","1","1","1","20","0","0","0","0","0","0","1","0"
"65","65","9032","1","1","0","0","(0)","0","0","0","0","0","1","1","1","15","0","0","0","0","0","0","1","0"
"66","66","9033","1","1","0","0","(0)","0","0","0","0","0","1","1","1","12","0","0","0","0","0","0","1","0"
"67","67","9034","1","1","0","0","(0)","0","0","0","0","0","1","1","1","13","0","0","0","0","0","0","1","0"
"68","68","9035","1","1","0","0","(0)","0","0","0","0","0","1","1","1","18","0","0","0","0","0","0","1","0"
