"Name","TranID","TranceGroup","TranceStep","TranceEffectValue","ReqCostType1","ReqCostValue1","ReqCostType2","ReqCostValue2","ReqItemUseId","ReqItemValue","ChooseItemUseId","ChooseItemValue","ChooseItemAddRatioPer","TranceSuccessRatio","TranceDestroyRatio","TranceFailItemID1","TranceFailItemRatio1","TranceFailItemCntMin1","TranceFailItemCntMax1","TranceFailItemID2","TranceFailItemRatio2","TranceFailItemCntMin2","TranceFailItemCntMax2","TranceFailItemID3","TranceFailItemRatio3","TranceFailItemCntMin3","TranceFailItemCntMax3","TranceFailItemID4","TranceFailItemRatio4","TranceFailItemCntMin4","TranceFailItemCntMax4"
"27","27","509","6","9000","12","4000000","23","10","502700004","2","502800004","1","10000","5000","80000","901101005","100000","79","85","517200412","80000","8","10","517200413","30000","1","1","1301101707","80000","125","131"
"28","28","509","7","10500","12","4000000","23","10","502700004","2","502800004","1","10000","5000","85000","901101005","100000","114","134","517200412","80000","10","11","517200413","60000","1","1","1301101707","80000","246","266"
"29","29","417","1","1500","12","500000","23","1","502700003","1","502800003","1","10000","50000","20000","901101008","100000","4","6","517200411","60000","3","5","517200412","1000","1","1","1301101706","60000","3","5"
"30","30","417","2","3000","12","500000","23","1","502700003","1","502800003","1","10000","35000","35000","901101008","100000","7","9","517200411","60000","4","6","517200412","2000","1","1","1301101706","60000","7","9"
"31","31","417","3","4500","12","500000","23","1","502700003","1","502800003","1","10000","20000","50000","901101008","100000","11","13","517200411","60000","5","7","517200412","4000","1","1","1301101706","60000","15","17"
"32","32","417","4","6000","12","500000","23","1","502700003","1","502800003","1","10000","15000","65000","901101008","100000","15","21","517200411","60000","6","8","517200412","8000","1","1","1301101706","60000","29","35"
"33","33","417","5","7500","12","500000","23","1","502700003","1","502800003","1","10000","10000","80000","901101008","100000","24","30","517200411","60000","7","9","517200412","16000","1","1","1301101706","60000","61","67"
"34","34","417","6","9000","12","500000","23","1","502700003","1","502800003","1","10000","5000","80000","901101008","100000","38","44","517200411","60000","8","10","517200412","32000","1","1","1301101706","60000","125","131"
"35","35","417","7","10500","12","500000","23","1","502700003","1","502800003","1","10000","5000","85000","901101008","100000","52","72","517200411","60000","9","11","517200412","64000","1","1","1301101706","60000","246","266"
"36","36","517","1","1500","12","2000000","23","5","502700004","1","502800004","1","10000","50000","20000","901101005","100000","4","6","517200412","60000","1","1","517200413","2000","1","1","1301101707","60000","1","3"
"37","37","517","2","3000","12","2000000","23","5","502700004","1","502800004","1","10000","35000","35000","901101005","100000","7","9","517200412","60000","1","3","517200413","3000","1","1","1301101707","60000","3","5"
"38","38","517","3","4500","12","2000000","23","5","502700004","1","502800004","1","10000","20000","50000","901101005","100000","11","13","517200412","60000","2","4","517200413","4000","1","1","1301101707","60000","7","9"
"39","39","517","4","6000","12","2000000","23","5","502700004","1","502800004","1","10000","15000","65000","901101005","100000","15","21","517200412","60000","3","5","517200413","5000","1","1","1301101707","60000","13","19"
"40","40","517","5","7500","12","2000000","23","5","502700004","1","502800004","1","10000","10000","80000","901101005","100000","24","30","517200412","60000","4","6","517200413","8000","1","1","1301101707","60000","29","35"
"41","41","517","6","9000","12","2000000","23","5","502700004","1","502800004","1","10000","5000","80000","901101005","100000","38","44","517200412","60000","5","7","517200413","10000","1","1","1301101707","60000","61","67"
"42","42","517","7","10500","12","2000000","23","5","502700004","1","502800004","1","10000","5000","85000","901101005","100000","52","72","517200412","60000","6","8","517200413","20000","1","1","1301101707","60000","118","138"
"43","43","421","1","1500","12","1000000","23","2","502700003","2","502800003","1","10000","50000","20000","901101008","100000","9","11","517200411","80000","7","9","517200412","6000","1","1","1301101706","80000","7","9"
"44","44","421","2","3000","12","1000000","23","2","502700003","2","502800003","1","10000","35000","35000","901101008","100000","15","17","517200411","80000","9","11","517200412","9000","1","1","1301101706","80000","15","17"
"45","45","421","3","4500","12","1000000","23","2","502700003","2","502800003","1","10000","20000","50000","901101008","100000","23","25","517200411","80000","11","13","517200412","12000","1","1","1301101706","80000","31","33"
"46","46","421","4","6000","12","1000000","23","2","502700003","2","502800003","1","10000","15000","65000","901101008","100000","33","39","517200411","80000","13","15","517200412","15000","1","1","1301101706","80000","61","67"
"47","47","421","5","7500","12","1000000","23","2","502700003","2","502800003","1","10000","10000","80000","901101008","100000","51","57","517200411","80000","15","17","517200412","24000","1","1","1301101706","80000","125","131"
"48","48","421","6","9000","12","1000000","23","2","502700003","2","502800003","1","10000","5000","80000","901101008","100000","79","85","517200411","80000","17","19","517200412","30000","1","1","1301101706","80000","253","259"
"49","49","421","7","10500","12","1000000","23","2","502700003","2","502800003","1","10000","5000","85000","901101008","100000","114","134","517200411","80000","19","21","517200412","60000","1","1","1301101706","80000","502","522"
"50","50","521","1","1500","12","4000000","23","10","502700004","2","502800004","1","10000","50000","20000","901101005","100000","9","11","517200412","80000","1","2","517200413","6000","1","1","1301101707","80000","3","5"
"51","51","521","2","3000","12","4000000","23","10","502700004","2","502800004","1","10000","35000","35000","901101005","100000","15","17","517200412","80000","2","4","517200413","9000","1","1","1301101707","80000","7","9"
"52","52","521","3","4500","12","4000000","23","10","502700004","2","502800004","1","10000","20000","50000","901101005","100000","23","25","517200412","80000","4","5","517200413","12000","1","1","1301101707","80000","15","17"
"53","53","521","4","6000","12","4000000","23","10","502700004","2","502800004","1","10000","15000","65000","901101005","100000","33","39","517200412","80000","5","7","517200413","15000","1","1","1301101707","80000","29","35"
"54","54","521","5","7500","12","4000000","23","10","502700004","2","502800004","1","10000","10000","80000","901101005","100000","51","57","517200412","80000","7","8","517200413","24000","1","1","1301101707","80000","61","67"
"55","55","521","6","9000","12","4000000","23","10","502700004","2","502800004","1","10000","5000","80000","901101005","100000","79","85","517200412","80000","8","10","517200413","30000","1","1","1301101707","80000","125","131"
"56","56","521","7","10500","12","4000000","23","10","502700004","2","502800004","1","10000","5000","85000","901101005","100000","114","134","517200412","80000","10","11","517200413","60000","1","1","1301101707","80000","246","266"
"2001","2001","2408","1","1500","12","500000","23","2","502700003","2","502800003","2","10000","50000","20000","901101008","100000","5","7","517200411","60000","3","5","517200412","2000","1","1","1301101706","60000","4","6"
"2002","2002","2408","2","3000","12","500000","23","2","502700003","2","502800003","2","10000","35000","35000","901101008","100000","9","11","517200411","60000","4","6","517200412","3000","1","1","1301101706","60000","9","11"
"2003","2003","2408","3","4500","12","500000","23","2","502700003","2","502800003","2","10000","20000","50000","901101008","100000","14","16","517200411","60000","5","7","517200412","4000","1","1","1301101706","60000","19","21"
"2004","2004","2408","4","6000","12","500000","23","2","502700003","2","502800003","2","10000","15000","65000","901101008","100000","19","25","517200411","60000","6","8","517200412","5000","1","1","1301101706","60000","36","42"
"2005","2005","2408","5","7500","12","500000","23","2","502700003","2","502800003","2","10000","10000","80000","901101008","100000","30","36","517200411","60000","7","9","517200412","8000","1","1","1301101706","60000","74","80"
"2006","2006","2408","6","9000","12","500000","23","2","502700003","2","502800003","2","10000","5000","80000","901101008","100000","47","53","517200411","60000","8","10","517200412","10000","1","1","1301101706","60000","151","157"
"2007","2007","2408","7","10500","12","500000","23","2","502700003","2","502800003","2","10000","5000","85000","901101008","100000","65","85","517200411","60000","9","11","517200412","20000","1","1","1301101706","60000","298","318"
"2008","2008","2508","1","1500","12","2000000","23","10","502700004","2","502800004","2","10000","50000","20000","901101005","100000","5","7","517200412","60000","1","1","517200413","4000","1","1","1301101707","60000","2","4"
"2009","2009","2508","2","3000","12","2000000","23","10","502700004","2","502800004","2","10000","35000","35000","901101005","100000","9","11","517200412","60000","1","3","517200413","6000","1","1","1301101707","60000","4","6"
"2010","2010","2508","3","4500","12","2000000","23","10","502700004","2","502800004","2","10000","20000","50000","901101005","100000","14","16","517200412","60000","2","4","517200413","8000","1","1","1301101707","60000","9","11"
"2011","2011","2508","4","6000","12","2000000","23","10","502700004","2","502800004","2","10000","15000","65000","901101005","100000","19","25","517200412","60000","3","5","517200413","10000","1","1","1301101707","60000","17","23"
"2012","2012","2508","5","7500","12","2000000","23","10","502700004","2","502800004","2","10000","10000","80000","901101005","100000","30","36","517200412","60000","4","6","517200413","16000","1","1","1301101707","60000","36","42"
"2013","2013","2508","6","9000","12","2000000","23","10","502700004","2","502800004","2","10000","5000","80000","901101005","100000","47","53","517200412","60000","5","7","517200413","20000","1","1","1301101707","60000","74","80"
"2014","2014","2508","7","10500","12","2000000","23","10","502700004","2","502800004","2","10000","5000","85000","901101005","100000","65","85","517200412","60000","6","8","517200413","40000","1","1","1301101707","60000","144","164"
"2015","2015","2409","1","1500","12","1000000","23","5","502700003","5","502800003","2","10000","50000","20000","901101008","100000","11","13","517200411","80000","7","9","517200412","6000","1","1","1301101706","80000","9","11"
"2016","2016","2409","2","3000","12","1000000","23","5","502700003","5","502800003","2","10000","35000","35000","901101008","100000","19","21","517200411","80000","9","11","517200412","9000","1","1","1301101706","80000","19","21"
"2017","2017","2409","3","4500","12","1000000","23","5","502700003","5","502800003","2","10000","20000","50000","901101008","100000","28","30","517200411","80000","11","13","517200412","12000","1","1","1301101706","80000","38","40"
"2018","2018","2409","4","6000","12","1000000","23","5","502700003","5","502800003","2","10000","15000","65000","901101008","100000","41","47","517200411","80000","13","15","517200412","15000","1","1","1301101706","80000","74","80"
"2019","2019","2409","5","7500","12","1000000","23","5","502700003","5","502800003","2","10000","10000","80000","901101008","100000","62","68","517200411","80000","15","17","517200412","24000","1","1","1301101706","80000","151","157"
"2020","2020","2409","6","9000","12","1000000","23","5","502700003","5","502800003","2","10000","5000","80000","901101008","100000","96","102","517200411","80000","17","19","517200412","30000","1","1","1301101706","80000","305","313"
"2021","2021","2409","7","10500","12","1000000","23","5","502700003","5","502800003","2","10000","5000","85000","901101008","100000","139","159","517200411","80000","19","21","517200412","60000","1","1","1301101706","80000","605","625"
"2022","2022","2509","1","1500","12","4000000","23","25","502700004","5","502800004","2","10000","50000","20000","901101005","100000","11","13","517200412","80000","1","2","517200413","12000","1","1","1301101707","80000","4","6"
"2023","2023","2509","2","3000","12","4000000","23","25","502700004","5","502800004","2","10000","35000","35000","901101005","100000","19","21","517200412","80000","2","4","517200413","18000","1","1","1301101707","80000","9","11"
"2024","2024","2509","3","4500","12","4000000","23","25","502700004","5","502800004","2","10000","20000","50000","901101005","100000","28","30","517200412","80000","4","5","517200413","24000","1","1","1301101707","80000","19","21"
"2025","2025","2509","4","6000","12","4000000","23","25","502700004","5","502800004","2","10000","15000","65000","901101005","100000","41","47","517200412","80000","5","7","517200413","30000","1","1","1301101707","80000","36","42"
"2026","2026","2509","5","7500","12","4000000","23","25","502700004","5","502800004","2","10000","10000","80000","901101005","100000","62","68","517200412","80000","7","8","517200413","48000","1","1","1301101707","80000","74","80"
"2027","2027","2509","6","9000","12","4000000","23","25","502700004","5","502800004","2","10000","5000","80000","901101005","100000","96","102","517200412","80000","8","10","517200413","60000","1","1","1301101707","80000","151","157"
"2028","2028","2509","7","10500","12","4000000","23","25","502700004","5","502800004","2","10000","5000","85000","901101005","100000","139","159","517200412","80000","10","11","517200413","100000","1","1","1301101707","80000","298","318"
"2029","2029","2417","1","1500","12","500000","23","2","502700003","2","502800003","2","10000","50000","20000","901101008","100000","5","7","517200411","60000","3","5","517200412","2000","1","1","1301101706","60000","4","6"
"2030","2030","2417","2","3000","12","500000","23","2","502700003","2","502800003","2","10000","35000","35000","901101008","100000","9","11","517200411","60000","4","6","517200412","3000","1","1","1301101706","60000","9","11"
"2031","2031","2417","3","4500","12","500000","23","2","502700003","2","502800003","2","10000","20000","50000","901101008","100000","14","16","517200411","60000","5","7","517200412","4000","1","1","1301101706","60000","19","21"
"2032","2032","2417","4","6000","12","500000","23","2","502700003","2","502800003","2","10000","15000","65000","901101008","100000","19","25","517200411","60000","6","8","517200412","5000","1","1","1301101706","60000","36","42"
"2033","2033","2417","5","7500","12","500000","23","2","502700003","2","502800003","2","10000","10000","80000","901101008","100000","30","36","517200411","60000","7","9","517200412","8000","1","1","1301101706","60000","74","80"
"2034","2034","2417","6","9000","12","500000","23","2","502700003","2","502800003","2","10000","5000","80000","901101008","100000","47","53","517200411","60000","8","10","517200412","10000","1","1","1301101706","60000","151","157"
"2035","2035","2417","7","10500","12","500000","23","2","502700003","2","502800003","2","10000","5000","85000","901101008","100000","65","85","517200411","60000","9","11","517200412","20000","1","1","1301101706","60000","298","318"
"2036","2036","2517","1","1500","12","2000000","23","10","502700004","2","502800004","2","10000","50000","20000","901101005","100000","5","7","517200412","60000","1","1","517200413","4000","1","1","1301101707","60000","2","4"
"2037","2037","2517","2","3000","12","2000000","23","10","502700004","2","502800004","2","10000","35000","35000","901101005","100000","9","11","517200412","60000","1","3","517200413","6000","1","1","1301101707","60000","4","6"
"2038","2038","2517","3","4500","12","2000000","23","10","502700004","2","502800004","2","10000","20000","50000","901101005","100000","14","16","517200412","60000","2","4","517200413","8000","1","1","1301101707","60000","9","11"
"2039","2039","2517","4","6000","12","2000000","23","10","502700004","2","502800004","2","10000","15000","65000","901101005","100000","19","25","517200412","60000","3","5","517200413","10000","1","1","1301101707","60000","17","23"
"2040","2040","2517","5","7500","12","2000000","23","10","502700004","2","502800004","2","10000","10000","80000","901101005","100000","30","36","517200412","60000","4","6","517200413","16000","1","1","1301101707","60000","36","42"
"2041","2041","2517","6","9000","12","2000000","23","10","502700004","2","502800004","2","10000","5000","80000","901101005","100000","47","53","517200412","60000","5","7","517200413","20000","1","1","1301101707","60000","74","80"
"2042","2042","2517","7","10500","12","2000000","23","10","502700004","2","502800004","2","10000","5000","85000","901101005","100000","65","85","517200412","60000","6","8","517200413","40000","1","1","1301101707","60000","144","164"
