"Name","UniqueID","HolyStuffId","HolyStuff_Grade","Status01_Id","Status01_Value","Status02_Id","Status02_Value","Status03_Id","Status03_Value","Status04_Id","Status04_Value","SkillID","Skill_Level","Skill_CombatPower","HolyStuff_NeedLevel","HolyStuff_NeedCostId","HolyStuff_NeedCostCount","HolyStuff_NeedUse01Id","HolyStuff_NeedItem01Count","HolyStuff_NeedUse02Id","HolyStuff_NeedItem02Count","HolyStuff_NeedUse03Id","HolyStuff_NeedItem03Count","HolyStuff_NeedUse04Id","HolyStuff_NeedItem04Count"
"102008","102008","1002","8","20","105","29","42","32","168","86","1050","706005","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"102009","102009","1002","9","20","120","29","48","32","192","86","1200","706005","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"102010","102010","1002","10","20","135","29","54","32","216","86","1350","706005","5","500","0","0","0","0","0","0","0","0","0","0","0"
"103001","103001","1003","1","22","0","26","0","42","0","87","0","706004","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"103002","103002","1003","2","22","15","26","12","42","24","87","150","706004","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"103003","103003","1003","3","22","30","26","24","42","48","87","300","706004","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"103004","103004","1003","4","22","45","26","36","42","72","87","450","706004","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"103005","103005","1003","5","22","60","26","48","42","96","87","600","706004","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"103006","103006","1003","6","22","75","26","60","42","120","87","750","706004","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"103007","103007","1003","7","22","90","26","72","42","144","87","900","706004","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"103008","103008","1003","8","22","105","26","84","42","168","87","1050","706004","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"103009","103009","1003","9","22","120","26","96","42","192","87","1200","706004","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"103010","103010","1003","10","22","135","26","108","42","216","87","1350","706004","5","500","0","0","0","0","0","0","0","0","0","0","0"
"104001","104001","1004","1","30","0","35","0","33","0","41","0","706003","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"104002","104002","1004","2","30","6","35","24","33","24","41","24","706003","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"104003","104003","1004","3","30","12","35","48","33","48","41","48","706003","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"104004","104004","1004","4","30","18","35","72","33","72","41","72","706003","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"104005","104005","1004","5","30","24","35","96","33","96","41","96","706003","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"104006","104006","1004","6","30","30","35","120","33","120","41","120","706003","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"104007","104007","1004","7","30","36","35","144","33","144","41","144","706003","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"104008","104008","1004","8","30","42","35","168","33","168","41","168","706003","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"104009","104009","1004","9","30","48","35","192","33","192","41","192","706003","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"104010","104010","1004","10","30","54","35","216","33","216","41","216","706003","5","500","0","0","0","0","0","0","0","0","0","0","0"
"105001","105001","1005","1","82","0","40","0","43","0","34","0","706002","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"105002","105002","1005","2","82","240","40","24","43","24","34","24","706002","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"105003","105003","1005","3","82","480","40","48","43","48","34","48","706002","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"105004","105004","1005","4","82","720","40","72","43","72","34","72","706002","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"105005","105005","1005","5","82","960","40","96","43","96","34","96","706002","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"105006","105006","1005","6","82","1200","40","120","43","120","34","120","706002","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"105007","105007","1005","7","82","1440","40","144","43","144","34","144","706002","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"105008","105008","1005","8","82","1680","40","168","43","168","34","168","706002","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"105009","105009","1005","9","82","1920","40","192","43","192","34","192","706002","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"105010","105010","1005","10","82","2160","40","216","43","216","34","216","706002","5","500","0","0","0","0","0","0","0","0","0","0","0"
"201001","201001","2001","1","84","0","24","0","28","0","31","0","706001","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"201002","201002","2001","2","84","240","24","12","28","6","31","6","706001","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"201003","201003","2001","3","84","480","24","24","28","12","31","12","706001","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"201004","201004","2001","4","84","720","24","36","28","18","31","18","706001","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"201005","201005","2001","5","84","960","24","48","28","24","31","24","706001","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"201006","201006","2001","6","84","1200","24","60","28","30","31","30","706001","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"201007","201007","2001","7","84","1440","24","72","28","36","31","36","706001","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"201008","201008","2001","8","84","1680","24","84","28","42","31","42","706001","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"201009","201009","2001","9","84","1920","24","96","28","48","31","48","706001","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"201010","201010","2001","10","84","2160","24","108","28","54","31","54","706001","5","500","0","0","0","0","0","0","0","0","0","0","0"
"202001","202001","2002","1","20","0","29","0","32","0","86","0","706005","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"202002","202002","2002","2","20","15","29","6","32","24","86","150","706005","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"202003","202003","2002","3","20","30","29","12","32","48","86","300","706005","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"202004","202004","2002","4","20","45","29","18","32","72","86","450","706005","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"202005","202005","2002","5","20","60","29","24","32","96","86","600","706005","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"202006","202006","2002","6","20","75","29","30","32","120","86","750","706005","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"202007","202007","2002","7","20","90","29","36","32","144","86","900","706005","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"202008","202008","2002","8","20","105","29","42","32","168","86","1050","706005","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"202009","202009","2002","9","20","120","29","48","32","192","86","1200","706005","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"202010","202010","2002","10","20","135","29","54","32","216","86","1350","706005","5","500","0","0","0","0","0","0","0","0","0","0","0"
"203001","203001","2003","1","22","0","26","0","42","0","87","0","706004","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"203002","203002","2003","2","22","15","26","12","42","24","87","150","706004","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"203003","203003","2003","3","22","30","26","24","42","48","87","300","706004","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"203004","203004","2003","4","22","45","26","36","42","72","87","450","706004","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"203005","203005","2003","5","22","60","26","48","42","96","87","600","706004","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"203006","203006","2003","6","22","75","26","60","42","120","87","750","706004","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"203007","203007","2003","7","22","90","26","72","42","144","87","900","706004","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"203008","203008","2003","8","22","105","26","84","42","168","87","1050","706004","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"203009","203009","2003","9","22","120","26","96","42","192","87","1200","706004","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"203010","203010","2003","10","22","135","26","108","42","216","87","1350","706004","5","500","0","0","0","0","0","0","0","0","0","0","0"
"204001","204001","2004","1","30","0","35","0","33","0","41","0","706003","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"204002","204002","2004","2","30","6","35","24","33","24","41","24","706003","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"204003","204003","2004","3","30","12","35","48","33","48","41","48","706003","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"204004","204004","2004","4","30","18","35","72","33","72","41","72","706003","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"204005","204005","2004","5","30","24","35","96","33","96","41","96","706003","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"204006","204006","2004","6","30","30","35","120","33","120","41","120","706003","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"204007","204007","2004","7","30","36","35","144","33","144","41","144","706003","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"204008","204008","2004","8","30","42","35","168","33","168","41","168","706003","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"204009","204009","2004","9","30","48","35","192","33","192","41","192","706003","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"204010","204010","2004","10","30","54","35","216","33","216","41","216","706003","5","500","0","0","0","0","0","0","0","0","0","0","0"
"205001","205001","2005","1","82","0","40","0","43","0","34","0","706002","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"205002","205002","2005","2","82","240","40","24","43","24","34","24","706002","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"205003","205003","2005","3","82","480","40","48","43","48","34","48","706002","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"205004","205004","2005","4","82","720","40","72","43","72","34","72","706002","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"205005","205005","2005","5","82","960","40","96","43","96","34","96","706002","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"205006","205006","2005","6","82","1200","40","120","43","120","34","120","706002","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"205007","205007","2005","7","82","1440","40","144","43","144","34","144","706002","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"205008","205008","2005","8","82","1680","40","168","43","168","34","168","706002","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"205009","205009","2005","9","82","1920","40","192","43","192","34","192","706002","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"205010","205010","2005","10","82","2160","40","216","43","216","34","216","706002","5","500","0","0","0","0","0","0","0","0","0","0","0"
"301001","301001","3001","1","84","0","24","0","28","0","31","0","706001","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"301002","301002","3001","2","84","240","24","12","28","6","31","6","706001","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"301003","301003","3001","3","84","480","24","24","28","12","31","12","706001","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"301004","301004","3001","4","84","720","24","36","28","18","31","18","706001","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"301005","301005","3001","5","84","960","24","48","28","24","31","24","706001","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"301006","301006","3001","6","84","1200","24","60","28","30","31","30","706001","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"301007","301007","3001","7","84","1440","24","72","28","36","31","36","706001","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"301008","301008","3001","8","84","1680","24","84","28","42","31","42","706001","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"301009","301009","3001","9","84","1920","24","96","28","48","31","48","706001","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"301010","301010","3001","10","84","2160","24","108","28","54","31","54","706001","5","500","0","0","0","0","0","0","0","0","0","0","0"
"302001","302001","3002","1","20","0","29","0","32","0","86","0","706005","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"302002","302002","3002","2","20","15","29","6","32","24","86","150","706005","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"302003","302003","3002","3","20","30","29","12","32","48","86","300","706005","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"302004","302004","3002","4","20","45","29","18","32","72","86","450","706005","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"302005","302005","3002","5","20","60","29","24","32","96","86","600","706005","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"302006","302006","3002","6","20","75","29","30","32","120","86","750","706005","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"302007","302007","3002","7","20","90","29","36","32","144","86","900","706005","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"302008","302008","3002","8","20","105","29","42","32","168","86","1050","706005","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"302009","302009","3002","9","20","120","29","48","32","192","86","1200","706005","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"302010","302010","3002","10","20","135","29","54","32","216","86","1350","706005","5","500","0","0","0","0","0","0","0","0","0","0","0"
"303001","303001","3003","1","22","0","26","0","42","0","87","0","706004","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"303002","303002","3003","2","22","15","26","12","42","24","87","150","706004","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"303003","303003","3003","3","22","30","26","24","42","48","87","300","706004","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"303004","303004","3003","4","22","45","26","36","42","72","87","450","706004","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"303005","303005","3003","5","22","60","26","48","42","96","87","600","706004","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"303006","303006","3003","6","22","75","26","60","42","120","87","750","706004","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"303007","303007","3003","7","22","90","26","72","42","144","87","900","706004","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"303008","303008","3003","8","22","105","26","84","42","168","87","1050","706004","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"303009","303009","3003","9","22","120","26","96","42","192","87","1200","706004","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"303010","303010","3003","10","22","135","26","108","42","216","87","1350","706004","5","500","0","0","0","0","0","0","0","0","0","0","0"
"304001","304001","3004","1","30","0","35","0","33","0","41","0","706003","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"304002","304002","3004","2","30","6","35","24","33","24","41","24","706003","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"304003","304003","3004","3","30","12","35","48","33","48","41","48","706003","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"304004","304004","3004","4","30","18","35","72","33","72","41","72","706003","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"304005","304005","3004","5","30","24","35","96","33","96","41","96","706003","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"304006","304006","3004","6","30","30","35","120","33","120","41","120","706003","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"304007","304007","3004","7","30","36","35","144","33","144","41","144","706003","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"304008","304008","3004","8","30","42","35","168","33","168","41","168","706003","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"304009","304009","3004","9","30","48","35","192","33","192","41","192","706003","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"304010","304010","3004","10","30","54","35","216","33","216","41","216","706003","5","500","0","0","0","0","0","0","0","0","0","0","0"
"305001","305001","3005","1","82","0","40","0","43","0","34","0","706002","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"305002","305002","3005","2","82","240","40","24","43","24","34","24","706002","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"305003","305003","3005","3","82","480","40","48","43","48","34","48","706002","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"305004","305004","3005","4","82","720","40","72","43","72","34","72","706002","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"305005","305005","3005","5","82","960","40","96","43","96","34","96","706002","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"305006","305006","3005","6","82","1200","40","120","43","120","34","120","706002","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"305007","305007","3005","7","82","1440","40","144","43","144","34","144","706002","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"305008","305008","3005","8","82","1680","40","168","43","168","34","168","706002","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"305009","305009","3005","9","82","1920","40","192","43","192","34","192","706002","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"305010","305010","3005","10","82","2160","40","216","43","216","34","216","706002","5","500","0","0","0","0","0","0","0","0","0","0","0"
"401001","401001","4001","1","84","0","24","0","28","0","31","0","706001","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"401002","401002","4001","2","84","240","24","12","28","6","31","6","706001","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"401003","401003","4001","3","84","480","24","24","28","12","31","12","706001","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"401004","401004","4001","4","84","720","24","36","28","18","31","18","706001","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"401005","401005","4001","5","84","960","24","48","28","24","31","24","706001","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"401006","401006","4001","6","84","1200","24","60","28","30","31","30","706001","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"401007","401007","4001","7","84","1440","24","72","28","36","31","36","706001","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"401008","401008","4001","8","84","1680","24","84","28","42","31","42","706001","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"401009","401009","4001","9","84","1920","24","96","28","48","31","48","706001","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"401010","401010","4001","10","84","2160","24","108","28","54","31","54","706001","5","500","0","0","0","0","0","0","0","0","0","0","0"
"402001","402001","4002","1","20","0","29","0","32","0","86","0","706005","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"402002","402002","4002","2","20","15","29","6","32","24","86","150","706005","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"402003","402003","4002","3","20","30","29","12","32","48","86","300","706005","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"402004","402004","4002","4","20","45","29","18","32","72","86","450","706005","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"402005","402005","4002","5","20","60","29","24","32","96","86","600","706005","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"402006","402006","4002","6","20","75","29","30","32","120","86","750","706005","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"402007","402007","4002","7","20","90","29","36","32","144","86","900","706005","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"402008","402008","4002","8","20","105","29","42","32","168","86","1050","706005","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"402009","402009","4002","9","20","120","29","48","32","192","86","1200","706005","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"402010","402010","4002","10","20","135","29","54","32","216","86","1350","706005","5","500","0","0","0","0","0","0","0","0","0","0","0"
"403001","403001","4003","1","22","0","26","0","42","0","87","0","706004","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"403002","403002","4003","2","22","15","26","12","42","24","87","150","706004","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"403003","403003","4003","3","22","30","26","24","42","48","87","300","706004","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"403004","403004","4003","4","22","45","26","36","42","72","87","450","706004","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"403005","403005","4003","5","22","60","26","48","42","96","87","600","706004","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"403006","403006","4003","6","22","75","26","60","42","120","87","750","706004","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"403007","403007","4003","7","22","90","26","72","42","144","87","900","706004","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"403008","403008","4003","8","22","105","26","84","42","168","87","1050","706004","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"403009","403009","4003","9","22","120","26","96","42","192","87","1200","706004","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"403010","403010","4003","10","22","135","26","108","42","216","87","1350","706004","5","500","0","0","0","0","0","0","0","0","0","0","0"
"404001","404001","4004","1","30","0","35","0","33","0","41","0","706003","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"404002","404002","4004","2","30","6","35","24","33","24","41","24","706003","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"404003","404003","4004","3","30","12","35","48","33","48","41","48","706003","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"404004","404004","4004","4","30","18","35","72","33","72","41","72","706003","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"404005","404005","4004","5","30","24","35","96","33","96","41","96","706003","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"404006","404006","4004","6","30","30","35","120","33","120","41","120","706003","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"404007","404007","4004","7","30","36","35","144","33","144","41","144","706003","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"404008","404008","4004","8","30","42","35","168","33","168","41","168","706003","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"404009","404009","4004","9","30","48","35","192","33","192","41","192","706003","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"404010","404010","4004","10","30","54","35","216","33","216","41","216","706003","5","500","0","0","0","0","0","0","0","0","0","0","0"
"405001","405001","4005","1","82","0","40","0","43","0","34","0","706002","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"405002","405002","4005","2","82","240","40","24","43","24","34","24","706002","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"405003","405003","4005","3","82","480","40","48","43","48","34","48","706002","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"405004","405004","4005","4","82","720","40","72","43","72","34","72","706002","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"405005","405005","4005","5","82","960","40","96","43","96","34","96","706002","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"405006","405006","4005","6","82","1200","40","120","43","120","34","120","706002","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"405007","405007","4005","7","82","1440","40","144","43","144","34","144","706002","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"405008","405008","4005","8","82","1680","40","168","43","168","34","168","706002","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
