"Name","RowId","Potential_Id","Training_Class","Training_Level","Training_SuccessRate","Training_ExplanId","CostMoney_Id","CostMoney_Count","CostItem01_UseId","CostItem01_Count","CostItem02_UseId","CostItem02_Count","CostItem03_UseId","CostItem03_Count","CostItem04_UseId","CostItem04_Count","Passive_Id","Passive_CombatPoint","Passive_CombatPointLevel","Status01_Id","Status01_Value","Status02_Id","Status02_Value","Status03_Id","Status03_Value"
"54","54","15","1","4","50000","6401015","23","4","1201001409","1","0","0","0","0","0","0","0","0","0","32","120","87","400","0","0"
"55","55","16","1","1","80000","6401016","23","1","1201000201","1","0","0","0","0","0","0","0","0","0","33","26","0","0","0","0"
"56","56","16","1","2","70000","6401016","23","1","1201000201","2","0","0","0","0","0","0","0","0","0","33","52","0","0","0","0"
"57","57","16","1","3","60000","6401016","23","2","1201001310","1","0","0","0","0","0","0","0","0","0","33","78","0","0","0","0"
"58","58","17","1","1","70000","6401017","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","47","4","147","2","0","0"
"59","59","17","1","2","60000","6401017","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","47","8","147","4","0","0"
"60","60","17","1","3","50000","6401017","23","4","1201001310","1","1201001307","1","0","0","0","0","0","0","0","47","12","147","6","0","0"
"61","61","17","1","4","50000","6401017","23","4","1201001410","1","0","0","0","0","0","0","0","0","0","47","16","147","8","0","0"
"62","62","18","1","1","80000","6401018","23","1","1201000201","1","0","0","0","0","0","0","0","0","0","32","26","0","0","0","0"
"63","63","18","1","2","70000","6401018","23","1","1201000201","2","0","0","0","0","0","0","0","0","0","32","52","0","0","0","0"
"64","64","18","1","3","60000","6401018","23","2","1201001309","1","0","0","0","0","0","0","0","0","0","32","78","0","0","0","0"
"65","65","19","1","1","70000","6401019","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","40","11","82","70","0","0"
"66","66","19","1","2","60000","6401019","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","40","22","82","140","0","0"
"67","67","19","1","3","50000","6401019","23","4","1201001301","1","1201001309","1","0","0","0","0","0","0","0","40","33","82","210","0","0"
"68","68","19","1","4","50000","6401019","23","4","1201001401","1","0","0","0","0","0","0","0","0","0","40","44","82","280","0","0"
"69","69","20","1","1","70000","6401020","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","26","7","88","120","0","0"
"70","70","20","1","2","60000","6401020","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","26","14","88","240","0","0"
"71","71","20","1","3","50000","6401020","23","4","1201001311","1","1201001305","1","0","0","0","0","0","0","0","26","21","88","360","0","0"
"72","72","20","1","4","50000","6401020","23","4","1201001411","1","0","0","0","0","0","0","0","0","0","26","28","88","480","0","0"
"73","73","21","1","1","80000","6401021","23","1","1201000201","1","0","0","0","0","0","0","0","0","0","44","3","0","0","0","0"
"74","74","21","1","2","70000","6401021","23","1","1201000201","2","0","0","0","0","0","0","0","0","0","44","6","0","0","0","0"
"75","75","21","1","3","60000","6401021","23","2","1201001310","1","0","0","0","0","0","0","0","0","0","44","9","0","0","0","0"
"76","76","22","1","1","70000","6401022","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","46","4","1","75","0","0"
"77","77","22","1","2","60000","6401022","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","46","8","1","150","0","0"
"78","78","22","1","3","50000","6401022","23","4","1201001309","1","1201001308","1","0","0","0","0","0","0","0","46","12","1","225","0","0"
"79","79","22","1","4","50000","6401022","23","4","1201001409","1","0","0","0","0","0","0","0","0","0","46","16","1","300","0","0"
"80","80","23","1","1","70000","6401023","23","3","1201001308","1","0","0","0","0","0","0","0","0","0","42","27","89","120","0","0"
"81","81","23","1","2","60000","6401023","23","3","1201001308","2","1201001306","2","0","0","0","0","0","0","0","42","54","89","240","0","0"
"82","82","23","1","3","50000","6401023","23","3","1201001308","4","1201001306","4","0","0","0","0","0","0","0","42","81","89","360","0","0"
"83","83","23","1","4","40000","6401023","23","6","1201001408","1","0","0","0","0","0","0","0","0","0","42","108","89","480","0","0"
"84","84","23","1","5","40000","6401023","23","6","1201001408","1","1201001406","1","0","0","0","0","0","0","0","42","135","89","600","0","0"
"85","85","24","1","1","70000","6401024","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","32","30","89","100","0","0"
"86","86","24","1","2","60000","6401024","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","32","60","89","200","0","0"
"87","87","24","1","3","50000","6401024","23","4","1201001309","1","1201001306","1","0","0","0","0","0","0","0","32","90","89","300","0","0"
"88","88","24","1","4","50000","6401024","23","4","1201001409","1","0","0","0","0","0","0","0","0","0","32","120","89","400","0","0"
"89","89","25","1","1","80000","6401025","23","1","1201000201","1","0","0","0","0","0","0","0","0","0","45","3","0","0","0","0"
"90","90","25","1","2","70000","6401025","23","1","1201000201","2","0","0","0","0","0","0","0","0","0","45","6","0","0","0","0"
"91","91","25","1","3","60000","6401025","23","2","1201001311","1","0","0","0","0","0","0","0","0","0","45","9","0","0","0","0"
"92","92","26","1","1","70000","6401026","23","2","1201000201","2","0","0","0","0","0","0","0","0","0","20","7","22","7","147","2"
"93","93","26","1","2","60000","6401026","23","2","1201000201","4","0","0","0","0","0","0","0","0","0","20","14","22","14","147","4"
"94","94","26","1","3","50000","6401026","23","4","1201001309","1","1201001307","1","0","0","0","0","0","0","0","20","21","22","21","147","6"
"95","95","26","1","4","50000","6401026","23","4","1201001409","1","0","0","0","0","0","0","0","0","0","20","28","22","28","147","8"
"96","96","27","1","1","70000","6401027","23","3","1201001305","1","0","0","0","0","0","0","0","0","0","41","27","84","180","0","0"
"97","97","27","1","2","60000","6401027","23","3","1201001305","2","1201001302","2","0","0","0","0","0","0","0","41","54","84","360","0","0"
"98","98","27","1","3","50000","6401027","23","3","1201001305","4","1201001302","4","0","0","0","0","0","0","0","41","81","84","540","0","0"
"99","99","27","1","4","40000","6401027","23","6","1201001405","1","0","0","0","0","0","0","0","0","0","41","108","84","720","0","0"
"100","100","27","1","5","40000","6401027","23","6","1201001405","1","1201001402","1","0","0","0","0","0","0","0","41","135","84","900","0","0"
"101","101","28","1","1","70000","6401028","23","3","1201001309","1","0","0","0","0","0","0","0","0","0","46","9","89","120","0","0"
"102","102","28","1","2","60000","6401028","23","3","1201001309","2","1201001306","2","0","0","0","0","0","0","0","46","18","89","240","0","0"
"103","103","28","1","3","50000","6401028","23","3","1201001309","4","1201001306","4","0","0","0","0","0","0","0","46","27","89","360","0","0"
"104","104","28","1","4","40000","6401028","23","6","1201001409","1","0","0","0","0","0","0","0","0","0","46","36","89","480","0","0"
"105","105","28","1","5","40000","6401028","23","6","1201001409","1","1201001406","1","0","0","0","0","0","0","0","46","45","89","600","0","0"
"106","106","29","1","1","70000","6401029","23","3","1201001305","1","0","0","0","0","0","0","0","0","0","41","27","93","120","0","0"
"107","107","29","1","2","60000","6401029","23","3","1201001305","2","1201001308","2","0","0","0","0","0","0","0","41","54","93","240","0","0"
"108","108","29","1","3","50000","6401029","23","3","1201001305","4","1201001308","4","0","0","0","0","0","0","0","41","81","93","360","0","0"
"109","109","29","1","4","40000","6401029","23","6","1201001405","1","0","0","0","0","0","0","0","0","0","41","108","93","480","0","0"
"110","110","29","1","5","40000","6401029","23","6","1201001405","1","1201001408","1","0","0","0","0","0","0","0","41","135","93","600","0","0"
"111","111","30","1","1","70000","6401030","23","3","1201001310","1","0","0","0","0","0","0","0","0","0","44","9","1","90","0","0"
"112","112","30","1","2","60000","6401030","23","3","1201001310","2","1201001308","2","0","0","0","0","0","0","0","44","18","1","180","0","0"
"113","113","30","1","3","50000","6401030","23","3","1201001310","4","1201001308","4","0","0","0","0","0","0","0","44","27","1","270","0","0"
"114","114","30","1","4","40000","6401030","23","6","1201001410","1","0","0","0","0","0","0","0","0","0","44","36","1","360","0","0"
"115","115","30","1","5","40000","6401030","23","6","1201001410","1","1201001408","1","0","0","0","0","0","0","0","44","45","1","450","0","0"
"116","116","31","1","1","70000","6401031","23","3","1201001306","1","0","0","0","0","0","0","0","0","0","34","72","91","120","0","0"
"117","117","31","1","2","60000","6401031","23","3","1201001306","2","1201001302","2","0","0","0","0","0","0","0","34","144","91","240","0","0"
"118","118","31","1","3","50000","6401031","23","3","1201001306","4","1201001302","4","0","0","0","0","0","0","0","34","216","91","360","0","0"
"119","119","31","1","4","40000","6401031","23","6","1201001406","1","0","0","0","0","0","0","0","0","0","34","288","91","480","0","0"
"120","120","31","1","5","40000","6401031","23","6","1201001406","1","1201001402","1","0","0","0","0","0","0","0","34","360","91","600","0","0"
"121","121","32","1","1","70000","6401032","23","3","1201001310","1","0","0","0","0","0","0","0","0","0","47","9","92","120","0","0"
"122","122","32","1","2","60000","6401032","23","3","1201001310","2","1201001307","2","0","0","0","0","0","0","0","47","18","92","240","0","0"
"123","123","32","1","3","50000","6401032","23","3","1201001310","4","1201001307","4","0","0","0","0","0","0","0","47","27","92","360","0","0"
"124","124","32","1","4","40000","6401032","23","6","1201001410","1","0","0","0","0","0","0","0","0","0","47","36","92","480","0","0"
"125","125","32","1","5","40000","6401032","23","6","1201001410","1","1201001407","1","0","0","0","0","0","0","0","47","45","92","600","0","0"
"126","126","33","1","1","70000","6401033","23","3","1201001310","1","0","0","0","0","0","0","0","0","0","33","72","146","3","0","0"
"127","127","33","1","2","60000","6401033","23","3","1201001310","2","1201001302","2","0","0","0","0","0","0","0","33","144","146","6","0","0"
"128","128","33","1","3","50000","6401033","23","3","1201001310","4","1201001302","4","0","0","0","0","0","0","0","33","216","146","9","0","0"
"129","129","33","1","4","40000","6401033","23","6","1201001410","1","0","0","0","0","0","0","0","0","0","33","288","146","12","0","0"
"130","130","33","1","5","40000","6401033","23","6","1201001410","1","1201001402","1","0","0","0","0","0","0","0","33","360","146","15","0","0"
"131","131","34","1","1","70000","6401034","23","3","1201001301","1","0","0","0","0","0","0","0","0","0","40","27","88","150","0","0"
"132","132","34","1","2","60000","6401034","23","3","1201001301","2","1201001305","2","0","0","0","0","0","0","0","40","54","88","300","0","0"
"133","133","34","1","3","50000","6401034","23","3","1201001301","4","1201001305","4","0","0","0","0","0","0","0","40","81","88","450","0","0"
"134","134","34","1","4","40000","6401034","23","6","1201001401","1","0","0","0","0","0","0","0","0","0","40","108","88","600","0","0"
"135","135","34","1","5","40000","6401034","23","6","1201001401","1","1201001405","1","0","0","0","0","0","0","0","40","135","88","750","0","0"
"136","136","35","1","1","70000","6401035","23","3","1201001310","1","0","0","0","0","0","0","0","0","0","24","18","147","3","0","0"
"137","137","35","1","2","60000","6401035","23","3","1201001310","2","1201001307","2","0","0","0","0","0","0","0","24","36","147","6","0","0"
"138","138","35","1","3","50000","6401035","23","3","1201001310","4","1201001307","4","0","0","0","0","0","0","0","24","54","147","9","0","0"
"139","139","35","1","4","40000","6401035","23","6","1201001410","1","0","0","0","0","0","0","0","0","0","24","72","147","12","0","0"
"140","140","35","1","5","40000","6401035","23","6","1201001410","1","1201001407","1","0","0","0","0","0","0","0","24","90","147","15","0","0"
"141","141","36","1","1","70000","6401036","23","3","1201001311","1","0","0","0","0","0","0","0","0","0","45","9","1","90","0","0"
"142","142","36","1","2","60000","6401036","23","3","1201001311","2","1201001308","2","0","0","0","0","0","0","0","45","18","1","180","0","0"
"143","143","36","1","3","50000","6401036","23","3","1201001311","4","1201001308","4","0","0","0","0","0","0","0","45","27","1","270","0","0"
"144","144","36","1","4","40000","6401036","23","6","1201001411","1","0","0","0","0","0","0","0","0","0","45","36","1","360","0","0"
"145","145","36","1","5","40000","6401036","23","6","1201001411","1","1201001408","1","0","0","0","0","0","0","0","45","45","1","450","0","0"
"146","146","37","1","1","70000","6401037","23","3","1201001305","1","0","0","0","0","0","0","0","0","0","41","27","6","12","0","0"
"147","147","37","1","2","60000","6401037","23","3","1201001305","2","1201001308","2","0","0","0","0","0","0","0","41","54","6","24","0","0"
"148","148","37","1","3","50000","6401037","23","3","1201001305","4","1201001308","4","0","0","0","0","0","0","0","41","81","6","36","0","0"
"149","149","37","1","4","40000","6401037","23","6","1201001405","1","0","0","0","0","0","0","0","0","0","41","108","6","48","0","0"
"150","150","37","1","5","40000","6401037","23","6","1201001405","1","1201001408","1","0","0","0","0","0","0","0","41","135","6","60","0","0"
"151","151","38","1","1","70000","6401038","23","3","1201001311","1","0","0","0","0","0","0","0","0","0","26","18","82","90","0","0"
"152","152","38","1","2","60000","6401038","23","3","1201001311","2","1201001309","2","0","0","0","0","0","0","0","26","36","82","180","0","0"
"153","153","38","1","3","50000","6401038","23","3","1201001311","4","1201001309","4","0","0","0","0","0","0","0","26","54","82","270","0","0"
"154","154","38","1","4","40000","6401038","23","6","1201001411","1","0","0","0","0","0","0","0","0","0","26","72","82","360","0","0"
"155","155","38","1","5","40000","6401038","23","6","1201001411","1","1201001409","1","0","0","0","0","0","0","0","26","90","82","450","0","0"
"156","156","39","1","1","70000","6401039","23","3","1201001307","1","0","0","0","0","0","0","0","0","0","35","72","84","180","0","0"
"157","157","39","1","2","60000","6401039","23","3","1201001307","2","1201001302","2","0","0","0","0","0","0","0","35","144","84","360","0","0"
"158","158","39","1","3","50000","6401039","23","3","1201001307","4","1201001302","4","0","0","0","0","0","0","0","35","216","84","540","0","0"
"159","159","39","1","4","40000","6401039","23","6","1201001407","1","0","0","0","0","0","0","0","0","0","35","288","84","720","0","0"
"160","160","39","1","5","40000","6401039","23","6","1201001407","1","1201001402","1","0","0","0","0","0","0","0","35","360","84","900","0","0"
"161","161","40","1","1","60000","6401040","23","5","1201001311","5","1201001305","5","517000408","1","0","0","0","0","0","26","60","88","370","0","0"
"162","162","40","1","2","50000","6401040","23","10","1201001411","1","0","0","517000408","2","0","0","0","0","0","26","120","88","740","0","0"
"163","163","40","1","3","50000","6401040","23","10","1201001411","1","1201001405","1","517000408","2","0","0","0","0","0","26","180","88","1110","0","0"
"164","164","40","1","4","50000","6401040","23","20","1201001511","1","0","0","517000408","4","0","0","0","0","0","26","240","88","1480","0","0"
"165","165","40","1","5","40000","6401040","23","20","0","0","1201001505","1","517000408","4","0","0","0","0","0","26","300","88","1850","0","0"
"166","166","40","1","6","40000","6401040","23","20","1201001511","1","1201001505","1","517000408","4","0","0","0","0","0","26","360","88","2220","0","0"
"167","167","41","1","1","70000","6401041","23","3","1201001308","1","0","0","0","0","0","0","0","0","0","42","27","87","120","0","0"
"168","168","41","1","2","60000","6401041","23","3","1201001308","2","1201001307","2","0","0","0","0","0","0","0","42","54","87","240","0","0"
"169","169","41","1","3","50000","6401041","23","3","1201001308","4","1201001307","4","0","0","0","0","0","0","0","42","81","87","360","0","0"
"170","170","41","1","4","40000","6401041","23","6","1201001408","1","0","0","0","0","0","0","0","0","0","42","108","87","480","0","0"
"171","171","41","1","5","40000","6401041","23","6","1201001408","1","1201001407","1","0","0","0","0","0","0","0","42","135","87","600","0","0"
"172","172","42","1","1","70000","6401042","23","3","1201001306","1","0","0","0","0","0","0","0","0","0","43","27","86","150","0","0"
"173","173","42","1","2","60000","6401042","23","3","1201001306","2","1201001303","2","0","0","0","0","0","0","0","43","54","86","300","0","0"
"174","174","42","1","3","50000","6401042","23","3","1201001306","4","1201001303","4","0","0","0","0","0","0","0","43","81","86","450","0","0"
"175","175","42","1","4","40000","6401042","23","6","1201001406","1","0","0","0","0","0","0","0","0","0","43","108","86","600","0","0"
"176","176","42","1","5","40000","6401042","23","6","1201001406","1","1201001403","1","0","0","0","0","0","0","0","43","135","86","750","0","0"
"177","177","43","1","1","70000","6401043","23","3","1201001305","1","0","0","0","0","0","0","0","0","0","41","27","89","120","0","0"
"178","178","43","1","2","60000","6401043","23","3","1201001305","2","1201001306","2","0","0","0","0","0","0","0","41","54","89","240","0","0"
"179","179","43","1","3","50000","6401043","23","3","1201001305","4","1201001306","4","0","0","0","0","0","0","0","41","81","89","360","0","0"
"180","180","43","1","4","40000","6401043","23","6","1201001405","1","0","0","0","0","0","0","0","0","0","41","108","89","480","0","0"
"181","181","43","1","5","40000","6401043","23","6","1201001405","1","1201001406","1","0","0","0","0","0","0","0","41","135","89","600","0","0"
"182","182","44","1","1","60000","6401044","23","5","1201001308","5","1201001307","5","517000408","1","0","0","0","0","0","42","90","92","300","0","0"
"183","183","44","1","2","50000","6401044","23","10","1201001408","1","0","0","517000408","2","0","0","0","0","0","42","180","92","600","0","0"
"184","184","44","1","3","50000","6401044","23","10","1201001408","1","1201001407","1","517000408","2","0","0","0","0","0","42","270","92","900","0","0"
"185","185","44","1","4","50000","6401044","23","20","1201001508","1","0","0","517000408","4","0","0","0","0","0","42","360","92","1200","0","0"
"186","186","44","1","5","40000","6401044","23","20","0","0","1201001507","1","517000408","4","0","0","0","0","0","42","450","92","1500","0","0"
"187","187","44","1","6","40000","6401044","23","20","1201001508","1","1201001507","1","517000408","4","0","0","0","0","0","42","540","92","1800","0","0"
"188","188","45","1","1","70000","6401045","23","3","1201001307","1","0","0","0","0","0","0","0","0","0","35","72","93","120","0","0"
"189","189","45","1","2","60000","6401045","23","3","1201001307","2","1201001308","2","0","0","0","0","0","0","0","35","144","93","240","0","0"
"190","190","45","1","3","50000","6401045","23","3","1201001307","4","1201001308","4","0","0","0","0","0","0","0","35","216","93","360","0","0"
"191","191","45","1","4","40000","6401045","23","6","1201001407","1","0","0","0","0","0","0","0","0","0","35","288","93","480","0","0"
"192","192","45","1","5","40000","6401045","23","6","1201001407","1","1201001408","1","0","0","0","0","0","0","0","35","360","93","600","0","0"
"193","193","46","1","1","70000","6401046","23","3","1201001309","1","0","0","0","0","0","0","0","0","0","32","72","91","120","0","0"
"194","194","46","1","2","60000","6401046","23","3","1201001309","2","1201001302","2","0","0","0","0","0","0","0","32","144","91","240","0","0"
"195","195","46","1","3","50000","6401046","23","3","1201001309","4","1201001302","4","0","0","0","0","0","0","0","32","216","91","360","0","0"
"196","196","46","1","4","40000","6401046","23","6","1201001409","1","0","0","0","0","0","0","0","0","0","32","288","91","480","0","0"
"197","197","46","1","5","40000","6401046","23","6","1201001409","1","1201001402","1","0","0","0","0","0","0","0","32","360","91","600","0","0"
"198","198","47","1","1","70000","6401047","23","3","1201001310","1","0","0","0","0","0","0","0","0","0","24","18","146","3","0","0"
"199","199","47","1","2","60000","6401047","23","3","1201001310","2","1201001302","2","0","0","0","0","0","0","0","24","36","146","6","0","0"
"200","200","47","1","3","50000","6401047","23","3","1201001310","4","1201001302","4","0","0","0","0","0","0","0","24","54","146","9","0","0"
"201","201","47","1","4","40000","6401047","23","6","1201001410","1","0","0","0","0","0","0","0","0","0","24","72","146","12","0","0"
"202","202","47","1","5","40000","6401047","23","6","1201001410","1","1201001402","1","0","0","0","0","0","0","0","24","90","146","15","0","0"
"203","203","48","1","1","70000","6401048","23","3","1201001306","1","0","0","0","0","0","0","0","0","0","34","72","147","3","0","0"
"204","204","48","1","2","60000","6401048","23","3","1201001306","2","1201001307","2","0","0","0","0","0","0","0","34","144","147","6","0","0"
"205","205","48","1","3","50000","6401048","23","3","1201001306","4","1201001307","4","0","0","0","0","0","0","0","34","216","147","9","0","0"
"206","206","48","1","4","40000","6401048","23","6","1201001406","1","0","0","0","0","0","0","0","0","0","34","288","147","12","0","0"
"207","207","48","1","5","40000","6401048","23","6","1201001406","1","1201001407","1","0","0","0","0","0","0","0","34","360","147","15","0","0"
"208","208","49","1","1","60000","6401049","23","5","1201001310","5","1201001308","5","517000408","1","0","0","0","0","0","44","30","6","30","0","0"
"209","209","49","1","2","50000","6401049","23","10","1201001410","1","0","0","517000408","2","0","0","0","0","0","44","60","6","60","0","0"
"210","210","49","1","3","50000","6401049","23","10","1201001410","1","1201001408","1","517000408","2","0","0","0","0","0","44","90","6","90","0","0"
"211","211","49","1","4","50000","6401049","23","20","1201001510","1","0","0","517000408","4","0","0","0","0","0","44","120","6","120","0","0"
"212","212","49","1","5","40000","6401049","23","20","0","0","1201001508","1","517000408","4","0","0","0","0","0","44","150","6","150","0","0"
"213","213","49","1","6","40000","6401049","23","20","1201001510","1","1201001508","1","517000408","4","0","0","0","0","0","44","180","6","180","0","0"
"214","214","50","1","1","60000","6401050","23","5","1201001310","5","1201001309","5","517000408","1","0","0","0","0","0","47","30","82","220","0","0"
"215","215","50","1","2","50000","6401050","23","10","1201001410","1","0","0","517000408","2","0","0","0","0","0","47","60","82","440","0","0"
"216","216","50","1","3","50000","6401050","23","10","1201001410","1","1201001409","1","517000408","2","0","0","0","0","0","47","90","82","660","0","0"
"217","217","50","1","4","50000","6401050","23","20","1201001510","1","0","0","517000408","4","0","0","0","0","0","47","120","82","880","0","0"
"218","218","50","1","5","40000","6401050","23","20","0","0","1201001509","1","517000408","4","0","0","0","0","0","47","150","82","1100","0","0"
"219","219","50","1","6","40000","6401050","23","20","1201001510","1","1201001509","1","517000408","4","0","0","0","0","0","47","180","82","1320","0","0"
"220","220","51","1","1","70000","6401051","23","3","1201001301","1","0","0","0","0","0","0","0","0","0","40","27","89","120","0","0"
