"Name","UniqueID","StateTransferType","OnSleep","OnIdle","OnPatrol","OnBattle","OnTrace","OnRunAway","OnComeBack","OnAction","OnDead","OnEventMsg","Source","Transition","Target"
"502","502","0","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)"
"503","503","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace"")","(""EventTarget / OutOfAttackRange / Trace "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty / Idle"")","(""EventTarget / InAttackRange / Battle "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty / Idle"")","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"504","504","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Battle/EventTarget / InAttackRange / Battle"")","(""EventTarget / InSight / Battle/EventTarget / InAttackRange / Battle"")","(""EventTarget / TargetEmpty / ComeBack"")","(0)","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"505","505","0","(""EventTarget / Struck / Awake"")","(""EventTarget / Struck / Battle"")","(""EventTarget / Struck / Battle"")","(""EventTarget / OutOfSight / Idle "")","(""EventTarget / OutOfSight / Idle"")","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"506","506","0","(""EventTarget / Struck / Awake"")","(""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / OutOfAttackRange / Trace "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty / ComeBack"")","(""EventTarget / InAttackRange / Battle "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty / ComeBack"")","(""EventTarget / OutOfSight / Idle"")","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"507","507","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / Struck / RunAway"")","(""EventTarget / Struck / RunAway"")","(0)","(0)","(""EventTarget / OutOfSight / Idle"")","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"508","508","0","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)"
"509","509","0","(0)","(""EventTarget / InSight / Battle"")","(""EventTarget / InSight / Battle"")","(""EventTarget / OutOfSight / Idle"",""/EventTarget / TargetEmpty / Idle"",""/EventTarget / OutOfAttackRange / Idle/"")","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)"
"510","510","0","(0)","(""EventTarget / Struck / Battle/"",""EventTarget / TargetEmpty / Idle/"",""EventTarget / InSight / Battle"")","(0)","(0)","(0)","(0)","(0)","(0)","(""EventTarget / InSight / Idle/"",""EventTarget / TargetEmpty / Idle"")","(0)","(0)","(0)","(0)"
"511","511","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace"")","(""EventTarget / OutOfAttackRange / Trace "",""EventTarget / TargetEmpty / Idle"")","(""EventTarget / InAttackRange / Battle "",""EventTarget / TargetEmpty / Idle"")","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"9999","9999","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / OutOfAttackRange / Trace "",""EventTarget / OutOfSight / Idle "",""EventTarget / OutOfRegion / ComeBack"")","(""EventTarget / InAttackRange / Battle "",""EventTarget / OutOfSight / ComeBack "",""EventTarget / OutOfRegion / ComeBack"")","(""EventTarget / OutOfSight / Idle "",""EventTarget / EndRunAway / Idle "",""EventTarget / OutOfRegion / ComeBack"")","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"512","512","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Battle"")","(""EventTarget / InSight / Battle"")","(""EventTarget / OutOfSight / Idle "")","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)"
