"Name","Potential_Id","Potential_NameSid","Potential_ExplanId","Potential_NodeuiId","Node_Category","Node_Grade","UnLockPotential01_Id","UnLockPotential01_Level","UnLockPotential02_Id","UnLockPotential02_Level","UnLockPotential03_Id","UnLockPotential03_Level","UnLockPotential04_Id","UnLockPotential04_Level"
"153","153","6400153","6401153","103","2","3","148","3","0","0","0","0","0","0"
"154","154","6400154","6401154","104","2","4","153","3","159","3","0","0","0","0"
"155","155","6400155","6401155","104","2","4","156","3","154","3","159","3","0","0"
"156","156","6400156","6401156","103","2","3","157","3","0","0","0","0","0","0"
"157","157","6400157","6401157","103","2","3","151","3","0","0","0","0","0","0"
"158","158","6400158","6401158","104","2","4","153","3","0","0","0","0","0","0"
"159","159","6400159","6401159","104","2","4","158","3","160","3","0","0","0","0"
"160","160","6400160","6401160","104","2","4","156","3","0","0","0","0","0","0"
"161","161","6400161","6401161","104","2","4","158","3","160","3","0","0","0","0"
"162","162","6400162","6401162","303","2","5","140","3","149","3","154","3","0","0"
"163","163","6400163","6401163","304","2","5","142","3","150","3","155","3","0","0"
"201","201","6400201","6401201","201","3","1","0","0","0","0","0","0","0","0"
"202","202","6400202","6401202","202","3","2","201","3","0","0","0","0","0","0"
"203","203","6400203","6401203","202","3","2","201","3","0","0","0","0","0","0"
"204","204","6400204","6401204","201","3","1","202","3","0","0","0","0","0","0"
"205","205","6400205","6401205","201","3","1","202","3","0","0","0","0","0","0"
"206","206","6400206","6401206","202","3","2","202","3","203","3","205","3","207","3"
"207","207","6400207","6401207","201","3","1","203","3","0","0","0","0","0","0"
"208","208","6400208","6401208","201","3","1","203","3","0","0","0","0","0","0"
"209","209","6400209","6401209","201","3","1","210","3","0","0","0","0","0","0"
"210","210","6400210","6401210","202","3","2","204","3","0","0","0","0","0","0"
"211","211","6400211","6401211","201","3","1","206","3","210","3","0","0","0","0"
"212","212","6400212","6401212","202","3","2","211","3","0","0","0","0","0","0"
"213","213","6400213","6401213","201","3","1","212","3","214","3","0","0","0","0"
"214","214","6400214","6401214","202","3","2","215","3","0","0","0","0","0","0"
"215","215","6400215","6401215","201","3","1","206","3","216","3","0","0","0","0"
"216","216","6400216","6401216","202","3","2","208","3","0","0","0","0","0","0"
"217","217","6400217","6401217","201","3","1","216","3","0","0","0","0","0","0"
"218","218","6400218","6401218","202","3","2","209","3","0","0","0","0","0","0"
"219","219","6400219","6401219","202","3","2","212","3","218","3","0","0","0","0"
"220","220","6400220","6401220","202","3","2","222","3","0","0","0","0","0","0"
"221","221","6400221","6401221","202","3","2","222","3","0","0","0","0","0","0"
"222","222","6400222","6401222","203","3","3","213","3","0","0","0","0","0","0"
"223","223","6400223","6401223","202","3","2","222","3","0","0","0","0","0","0"
"224","224","6400224","6401224","202","3","2","222","3","0","0","0","0","0","0"
"225","225","6400225","6401225","202","3","2","214","3","226","3","0","0","0","0"
"226","226","6400226","6401226","202","3","2","217","3","0","0","0","0","0","0"
"227","227","6400227","6401227","203","3","3","218","3","0","0","0","0","0","0"
"228","228","6400228","6401228","203","3","3","227","3","0","0","0","0","0","0"
"229","229","6400229","6401229","203","3","3","219","3","0","0","0","0","0","0"
"230","230","6400230","6401230","204","3","4","232","3","0","0","0","0","0","0"
"231","231","6400231","6401231","203","3","3","220","3","0","0","0","0","0","0"
"232","232","6400232","6401232","203","3","3","221","3","231","3","0","0","0","0"
"233","233","6400233","6401233","203","3","3","232","3","234","3","0","0","0","0"
"234","234","6400234","6401234","203","3","3","223","3","235","3","0","0","0","0"
"235","235","6400235","6401235","203","3","3","224","3","0","0","0","0","0","0"
"236","236","6400236","6401236","203","3","3","225","3","0","0","0","0","0","0"
"237","237","6400237","6401237","204","3","4","234","3","0","0","0","0","0","0"
"238","238","6400238","6401238","203","3","3","239","3","0","0","0","0","0","0"
"239","239","6400239","6401239","203","3","3","226","3","0","0","0","0","0","0"
"240","240","6400240","6401240","203","3","3","228","3","0","0","0","0","0","0"
"241","241","6400241","6401241","203","3","3","240","3","0","0","0","0","0","0"
"242","242","6400242","6401242","204","3","4","243","3","0","0","0","0","0","0"
"243","243","6400243","6401243","203","3","3","244","3","252","3","0","0","0","0"
"244","244","6400244","6401244","204","3","4","253","3","0","0","0","0","0","0"
"245","245","6400245","6401245","204","3","4","257","3","0","0","0","0","0","0"
"246","246","6400246","6401246","203","3","3","245","3","259","3","0","0","0","0"
"247","247","6400247","6401247","204","3","4","246","3","0","0","0","0","0","0"
"248","248","6400248","6401248","203","3","3","249","3","0","0","0","0","0","0"
"249","249","6400249","6401249","203","3","3","238","3","0","0","0","0","0","0"
"250","250","6400250","6401250","203","3","3","240","3","0","0","0","0","0","0"
"251","251","6400251","6401251","204","3","4","241","3","250","3","0","0","0","0"
"252","252","6400252","6401252","204","3","4","254","3","0","0","0","0","0","0"
"253","253","6400253","6401253","203","3","3","252","3","0","0","0","0","0","0"
"254","254","6400254","6401254","204","3","4","255","3","0","0","0","0","0","0"
"255","255","6400255","6401255","203","3","3","233","3","0","0","0","0","0","0"
"256","256","6400256","6401256","203","3","3","254","3","258","3","0","0","0","0"
"257","257","6400257","6401257","203","3","3","259","3","0","0","0","0","0","0"
"258","258","6400258","6401258","204","3","4","255","3","0","0","0","0","0","0"
"259","259","6400259","6401259","204","3","4","258","3","0","0","0","0","0","0"
"260","260","6400260","6401260","204","3","4","248","3","261","3","0","0","0","0"
"261","261","6400261","6401261","203","3","3","249","3","0","0","0","0","0","0"
"262","262","6400262","6401262","305","3","5","236","3","237","3","238","3","247","3"
"263","263","6400263","6401263","306","3","5","228","3","229","3","230","3","242","3"
