"Name","OptionId","AttributeType","OptionGradeRate01","OptionGradeRate02","OptionGradeRate03","OptionGradeRate04","OptionGradeRate05","OptionGradeRate06","OptionGradeRate07","OptionGradeRate08","OptionGradeRate09","OptionGradeRate10","OptionGradeValue01","OptionGradeValue02","OptionGradeValue03","OptionGradeValue04","OptionGradeValue05","OptionGradeValue06","OptionGradeValue07","OptionGradeValue08","OptionGradeValue09","OptionGradeValue10","OptionGradeValue11","OptionGradeValue12","OptionGradeValue13","OptionGradeValue14","OptionGradeValue15","OptionGradeValue16","OptionGradeValue17","OptionGradeValue18","OptionGradeValue19","OptionGradeValue20","OptionGradeValue21","OptionGradeValue22","OptionGradeValue23","OptionGradeValue24","OptionGradeValue25","OptionGradeValue26","OptionGradeValue27","OptionGradeValue28","OptionGradeValue29","OptionGradeValue30","OptionGradeValue31","OptionGradeValue32","OptionGradeValue33","OptionGradeValue34","OptionGradeValue35","OptionGradeValue36","OptionGradeValue37","OptionGradeValue38","OptionGradeValue39","OptionGradeValue40","OptionGradeValue41","OptionGradeValue42","OptionGradeValue43","OptionGradeValue44","OptionGradeValue45","OptionGradeValue46","OptionGradeValue47","OptionGradeValue48","OptionGradeValue49","OptionGradeValue50","AttributeGrade"
"112","112","41","0","3350","3350","1200","1200","400","400","100","0","0","6","0","0","0","0","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","0"
"113","113","42","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"114","114","43","0","3350","3350","1200","1200","400","400","100","0","0","6","0","0","0","0","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","0"
"115","115","44","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"116","116","45","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"117","117","46","0","3350","3350","1200","1200","400","400","100","0","0","3","0","0","0","0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","0"
"118","118","47","0","3350","3350","1200","1200","400","400","100","0","0","3","0","0","0","0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","0"
"119","119","48","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"120","120","49","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"121","121","50","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"122","122","51","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"123","123","52","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"124","124","53","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"125","125","119","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"126","126","120","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"201","201","30","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"202","202","31","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"203","203","32","0","3350","3350","1200","1200","400","400","100","0","0","12","0","0","0","0","12","12","12","12","12","12","12","12","12","12","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","0"
"204","204","33","0","3350","3350","1200","1200","400","400","100","0","0","12","0","0","0","0","12","12","12","12","12","12","12","12","12","12","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","0"
"205","205","34","0","3350","3350","1200","1200","400","400","100","0","0","16","0","0","0","0","16","16","16","16","16","16","16","16","16","16","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","0"
"206","206","35","0","3350","3350","1200","1200","400","400","100","0","0","16","0","0","0","0","16","16","16","16","16","16","16","16","16","16","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","0"
"207","207","82","0","3350","3350","1200","1200","400","400","100","0","0","300","0","0","0","0","300","300","300","300","300","300","300","300","300","300","510","510","510","510","510","510","510","510","510","510","900","900","900","900","900","900","900","900","900","900","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","0"
"209","209","38","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"210","210","39","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"211","211","40","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"212","212","41","0","3350","3350","1200","1200","400","400","100","0","0","6","0","0","0","0","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","0"
"213","213","42","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"214","214","43","0","3350","3350","1200","1200","400","400","100","0","0","6","0","0","0","0","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","0"
"215","215","44","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"216","216","45","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"217","217","46","0","3350","3350","1200","1200","400","400","100","0","0","3","0","0","0","0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","0"
"218","218","47","0","3350","3350","1200","1200","400","400","100","0","0","3","0","0","0","0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","0"
"219","219","48","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"220","220","49","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"221","221","50","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"222","222","51","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"223","223","52","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"224","224","53","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"225","225","119","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"226","226","120","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"301","301","30","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"302","302","31","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"303","303","32","0","3350","3350","1200","1200","400","400","100","0","0","12","0","0","0","0","12","12","12","12","12","12","12","12","12","12","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","0"
"304","304","33","0","3350","3350","1200","1200","400","400","100","0","0","12","0","0","0","0","12","12","12","12","12","12","12","12","12","12","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","0"
"305","305","34","0","3350","3350","1200","1200","400","400","100","0","0","16","0","0","0","0","16","16","16","16","16","16","16","16","16","16","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","0"
"306","306","35","0","3350","3350","1200","1200","400","400","100","0","0","16","0","0","0","0","16","16","16","16","16","16","16","16","16","16","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","0"
"307","307","82","0","3350","3350","1200","1200","400","400","100","0","0","300","0","0","0","0","300","300","300","300","300","300","300","300","300","300","510","510","510","510","510","510","510","510","510","510","900","900","900","900","900","900","900","900","900","900","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","0"
"309","309","38","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"310","310","39","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"311","311","40","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"312","312","41","0","3350","3350","1200","1200","400","400","100","0","0","6","0","0","0","0","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","0"
"313","313","42","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"314","314","43","0","3350","3350","1200","1200","400","400","100","0","0","6","0","0","0","0","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","0"
"315","315","44","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"316","316","45","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"317","317","46","0","3350","3350","1200","1200","400","400","100","0","0","3","0","0","0","0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","0"
"318","318","47","0","3350","3350","1200","1200","400","400","100","0","0","3","0","0","0","0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","0"
"319","319","48","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"320","320","49","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"321","321","50","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"322","322","51","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"323","323","52","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"324","324","53","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"325","325","119","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"326","326","120","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"401","401","30","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"402","402","31","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"403","403","32","0","3350","3350","1200","1200","400","400","100","0","0","12","0","0","0","0","12","12","12","12","12","12","12","12","12","12","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","0"
"404","404","33","0","3350","3350","1200","1200","400","400","100","0","0","12","0","0","0","0","12","12","12","12","12","12","12","12","12","12","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","0"
"405","405","34","0","3350","3350","1200","1200","400","400","100","0","0","16","0","0","0","0","16","16","16","16","16","16","16","16","16","16","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","0"
"406","406","35","0","3350","3350","1200","1200","400","400","100","0","0","16","0","0","0","0","16","16","16","16","16","16","16","16","16","16","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","0"
"407","407","82","0","3350","3350","1200","1200","400","400","100","0","0","300","0","0","0","0","300","300","300","300","300","300","300","300","300","300","510","510","510","510","510","510","510","510","510","510","900","900","900","900","900","900","900","900","900","900","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","0"
"409","409","38","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"410","410","39","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"411","411","40","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"412","412","41","0","3350","3350","1200","1200","400","400","100","0","0","6","0","0","0","0","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","0"
"413","413","42","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"414","414","43","0","3350","3350","1200","1200","400","400","100","0","0","6","0","0","0","0","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","0"
"415","415","44","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"416","416","45","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"417","417","46","0","3350","3350","1200","1200","400","400","100","0","0","3","0","0","0","0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","0"
"418","418","47","0","3350","3350","1200","1200","400","400","100","0","0","3","0","0","0","0","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","9","9","9","9","9","9","9","9","9","9","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","0"
"419","419","48","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
"420","420","49","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","22","22","22","22","22","22","22","22","22","22","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","0"
