"Name","MailPresetId","MailTablNo","MailTextTemplate","MailTextReferValue","IsReward","FunctionType","FunctionText","MailTitleSId","MaiSubTitleSId","MailTextSId","RewardType1","RewardTypeSub1","RewardValue1","RewardType2","RewardTypeSub2","RewardValue2","RewardType3","RewardTypeSub3","RewardValue3","RewardType4","RewardTypeSub4","RewardValue4","RewardType5","RewardTypeSub5","RewardValue5","RewardType6","RewardTypeSub6","RewardValue6","RewardType7","RewardTypeSub7","RewardValue7","RewardType8","RewardTypeSub8","RewardValue8","RewardType9","RewardTypeSub9","RewardValue9","RewardType10","RewardTypeSub10","RewardValue10","RewardType11","RewardTypeSub11","RewardValue11","RewardType12","RewardTypeSub12","RewardValue12","RewardType13","RewardTypeSub13","RewardValue13","RewardType14","RewardTypeSub14","RewardValue14","RewardType15","RewardTypeSub15","RewardValue15","RewardType16","RewardTypeSub16","RewardValue16","RewardType17","RewardTypeSub17","RewardValue17","RewardType18","RewardTypeSub18","RewardValue18","RewardType19","RewardTypeSub19","RewardValue19","RewardType20","RewardTypeSub20","RewardValue20","MailRetentionReriod","Mail_R&R_Del_Time","ServerLogEventType"
"3003","3003","2","0","0","1","0","104","3003","4003","5003","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","86400","13806"
"3004","3004","1","1","0","1","0","104","3002","4002","5002","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","2592000","432000","13807"
"3005","3005","2","1","ITEM.Name","1","0","104","3005","4005","5005","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","432000","13805"
"3006","3006","2","1","Character.Name","0","4","108","3006","4006","5006","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","1209600","0","13801"
"6001","6001","2","1","INSTANCE_DUNGEON_INFO.Name","1","0","104","6001","7001","8001","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13808"
"6002","6002","2","1","INSTANCE_DUNGEON_INFO.Name","1","0","104","6002","7002","8002","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13809"
"12010","12010","2","1","STRONG_POINT.REWARD","0","0","104","12010","13010","14010","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","86400","13810"
"12011","12011","2","1","STRONG_POINT.WIN","0","0","104","12011","13011","14011","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","86400","13801"
"12012","12012","2","1","STRONG_POINT.WARNING","0","0","0","12012","13012","14012","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","86400","13801"
"12013","12013","2","2","STRONG_POINT.RETURN","0","0","0","12013","13013","14013","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","86400","13801"
"12014","12014","2","2","STRONG_POINT.CHANGE","0","0","0","12014","13014","14014","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","86400","13801"
"12015","12015","2","1","Character.Name","1","0","104","12015","13015","14015","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13811"
"12016","12016","2","1","PrizeName","1","0","104","12016","13016","14016","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13812"
"12017","12017","2","1","MONEY","0","0","0","12017","13017","14017","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","86400","13801"
"12018","12018","2","2","STRONG_POINT.CANCLE","0","0","0","12018","13018","14018","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","86400","13801"
"12019","12019","6","1","Character.Name","0","0","0","12019","13019","14019","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","0","13801"
"12020","12020","6","1","Character.Name","0","0","0","12020","13020","14020","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","0","13801"
"12021","12021","6","1","Character.Name","0","0","0","12021","13021","14021","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","0","13801"
"12025","12025","2","2","GUILD.GuildName,Character.Name,GUILD_DOMINION_EXCHANGE.ExchangeDominionId,GUILD_DOMINION_EXCHANGE.MoneyId_Receive","1","2","104","12025","13025","14025","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","86400","13813"
"12026","12026","2","2","GUILD.GuildName,Character.Name,GUILD_DOMINION_EXCHANGE.ExchangeDominionId,GUILD_DOMINION_EXCHANGE.MoneyId_Receive","1","2","104","12026","13026","14026","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","86400","13814"
"12101","12101","3","2","GUILD.GuildName,GUILD_DOMINION_PBS.DominionPBSNameId","0","0","0","43002","44002","45002","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13801"
"12102","12102","3","2","GUILD.GuildName,GUILD_DOMINION_PBS.DominionPBSNameId","0","0","0","43003","44003","45003","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13801"
"12103","12103","6","3","Server.Name,GUILD_DOMINION_BUFF.DominionNameId,GUILD_DOMINION_BUFF.DominionBuffDescId","0","0","0","43004","44004","45004","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13801"
"12104","12104","6","2","Server.Name,GUILD_DOMINION_BUFF.DominionNameId","0","0","0","43005","44005","45005","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13801"
"15002","15002","3","1","GUILD.GuildName","0","1","100","15002","16002","17002","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","86400","13801"
"15003","15003","3","1","GUILD.GuildName","0","0","0","15003","16003","17003","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","86400","13801"
"15004","15004","3","1","GUILD.GuildName","0","0","0","15004","16004","17004","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","259200","86400","13801"
"15005","15005","3","0","0","1","0","104","15005","16005","17005","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13815"
"15006","15006","3","0","0","1","0","104","15006","16006","17006","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13816"
"15007","15007","3","1","GUILD.GuildName","0","1","101","15007","16007","17007","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","259200","86400","13801"
"15008","15008","3","1","GUILD.GuildName","0","1","102","15008","16008","17008","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","259200","86400","13801"
"15009","15009","3","1","GUILD.GuildName","0","1","103","15009","16009","17009","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","259200","86400","13801"
"15010","15010","3","0","0","0","0","0","15010","16010","17010","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","259200","86400","13801"
"15012","15012","3","1","GUILD_EXPEDITION.Name","1","0","104","15012","16012","17012","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13817"
"15015","15015","3","1","GUILD.CostGive","1","0","104","15016","16016","17016","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","259200","86400","13818"
"15016","15016","3","1","Character.Name","0","0","0","15017","16017","17017","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","259200","86400","13801"
