"Name","RefineId","RefineGroup","RefineStep","SuccessRate","ReqCostType1","ReqCostValue1","ReqCostType2","ReqCostValue2","ReqMaterialItemUseId1","ReqMaterialValue1","ReqMaterialItemUseId2","ReqMaterialValue2","ReqMaterialItemUseId3","ReqMaterialValue3","ReqMaterialItemUseId4","ReqMaterialValue4"
"103046","103046","103040","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"103047","103047","103040","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"120011","120011","120010","1","60000","12","10000000","23","200","906000004","1","908000004","1","503200001","5","503200002","5"
"120012","120012","120010","2","45000","12","10000000","23","200","906000004","1","908000004","1","503200001","10","503200002","10"
"120013","120013","120010","3","30000","12","10000000","23","200","906000004","1","908000004","1","503200001","20","503200002","20"
"120014","120014","120010","4","15000","12","10000000","23","200","906000004","1","908000004","1","503200001","35","503200002","35"
"120015","120015","120010","5","10000","12","10000000","23","200","906000004","1","908000004","1","503200001","55","503200002","55"
"120016","120016","120010","6","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","75","503200002","75"
"120017","120017","120010","7","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","100","503200002","100"
"202021","202021","202020","1","60000","12","10000000","23","200","903000004","1","908000004","1","503200001","5","503200002","5"
"202022","202022","202020","2","45000","12","10000000","23","200","903000004","1","908000004","1","503200001","10","503200002","10"
"202023","202023","202020","3","30000","12","10000000","23","200","903000004","1","908000004","1","503200001","20","503200002","20"
"202024","202024","202020","4","15000","12","10000000","23","200","903000004","1","908000004","1","503200001","35","503200002","35"
"202025","202025","202020","5","10000","12","10000000","23","200","903000004","1","908000004","1","503200001","55","503200002","55"
"202026","202026","202020","6","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","75","503200002","75"
"202027","202027","202020","7","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","100","503200002","100"
"203011","203011","203010","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"203012","203012","203010","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"203013","203013","203010","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"203014","203014","203010","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"203015","203015","203010","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"203016","203016","203010","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"203017","203017","203010","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"203021","203021","203020","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"203022","203022","203020","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"203023","203023","203020","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"203024","203024","203020","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"203025","203025","203020","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"203026","203026","203020","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"203027","203027","203020","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"203031","203031","203030","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"203032","203032","203030","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"203033","203033","203030","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"203034","203034","203030","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"203035","203035","203030","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"203036","203036","203030","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"203037","203037","203030","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"203041","203041","203040","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"203042","203042","203040","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"203043","203043","203040","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"203044","203044","203040","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"203045","203045","203040","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"203046","203046","203040","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"203047","203047","203040","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"220011","220011","220010","1","60000","12","10000000","23","200","906000004","1","908000004","1","503200001","5","503200002","5"
"220012","220012","220010","2","45000","12","10000000","23","200","906000004","1","908000004","1","503200001","10","503200002","10"
"220013","220013","220010","3","30000","12","10000000","23","200","906000004","1","908000004","1","503200001","20","503200002","20"
"220014","220014","220010","4","15000","12","10000000","23","200","906000004","1","908000004","1","503200001","35","503200002","35"
"220015","220015","220010","5","10000","12","10000000","23","200","906000004","1","908000004","1","503200001","55","503200002","55"
"220016","220016","220010","6","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","75","503200002","75"
"220017","220017","220010","7","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","100","503200002","100"
"302031","302031","302030","1","60000","12","10000000","23","200","903000004","1","908000004","1","503200001","5","503200002","5"
"302032","302032","302030","2","45000","12","10000000","23","200","903000004","1","908000004","1","503200001","10","503200002","10"
"302033","302033","302030","3","30000","12","10000000","23","200","903000004","1","908000004","1","503200001","20","503200002","20"
"302034","302034","302030","4","15000","12","10000000","23","200","903000004","1","908000004","1","503200001","35","503200002","35"
"302035","302035","302030","5","10000","12","10000000","23","200","903000004","1","908000004","1","503200001","55","503200002","55"
"302036","302036","302030","6","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","75","503200002","75"
"302037","302037","302030","7","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","100","503200002","100"
"303011","303011","303010","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"303012","303012","303010","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"303013","303013","303010","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"303014","303014","303010","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"303015","303015","303010","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"303016","303016","303010","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"303017","303017","303010","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"303021","303021","303020","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"303022","303022","303020","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"303023","303023","303020","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"303024","303024","303020","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"303025","303025","303020","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"303026","303026","303020","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"303027","303027","303020","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"303031","303031","303030","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"303032","303032","303030","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"303033","303033","303030","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"303034","303034","303030","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"303035","303035","303030","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"303036","303036","303030","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"303037","303037","303030","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"303041","303041","303040","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"303042","303042","303040","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"303043","303043","303040","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"303044","303044","303040","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"303045","303045","303040","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"303046","303046","303040","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"303047","303047","303040","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"320011","320011","320010","1","60000","12","10000000","23","200","906000004","1","908000004","1","503200001","5","503200002","5"
"320012","320012","320010","2","45000","12","10000000","23","200","906000004","1","908000004","1","503200001","10","503200002","10"
"320013","320013","320010","3","30000","12","10000000","23","200","906000004","1","908000004","1","503200001","20","503200002","20"
"320014","320014","320010","4","15000","12","10000000","23","200","906000004","1","908000004","1","503200001","35","503200002","35"
"320015","320015","320010","5","10000","12","10000000","23","200","906000004","1","908000004","1","503200001","55","503200002","55"
"320016","320016","320010","6","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","75","503200002","75"
"320017","320017","320010","7","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","100","503200002","100"
"402041","402041","402040","1","60000","12","10000000","23","200","903000004","1","908000004","1","503200001","5","503200002","5"
"402042","402042","402040","2","45000","12","10000000","23","200","903000004","1","908000004","1","503200001","10","503200002","10"
"402043","402043","402040","3","30000","12","10000000","23","200","903000004","1","908000004","1","503200001","20","503200002","20"
"402044","402044","402040","4","15000","12","10000000","23","200","903000004","1","908000004","1","503200001","35","503200002","35"
"402045","402045","402040","5","10000","12","10000000","23","200","903000004","1","908000004","1","503200001","55","503200002","55"
"402046","402046","402040","6","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","75","503200002","75"
"402047","402047","402040","7","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","100","503200002","100"
"403011","403011","403010","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"403012","403012","403010","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"403013","403013","403010","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"403014","403014","403010","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"403015","403015","403010","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"403016","403016","403010","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"403017","403017","403010","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"403021","403021","403020","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"403022","403022","403020","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"403023","403023","403020","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"403024","403024","403020","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"403025","403025","403020","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"403026","403026","403020","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"403027","403027","403020","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"403031","403031","403030","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"403032","403032","403030","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"403033","403033","403030","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"403034","403034","403030","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"403035","403035","403030","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"403036","403036","403030","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"403037","403037","403030","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"403041","403041","403040","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"403042","403042","403040","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"403043","403043","403040","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"403044","403044","403040","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"403045","403045","403040","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"403046","403046","403040","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"403047","403047","403040","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"420011","420011","420010","1","60000","12","10000000","23","200","906000004","1","908000004","1","503200001","5","503200002","5"
"420012","420012","420010","2","45000","12","10000000","23","200","906000004","1","908000004","1","503200001","10","503200002","10"
"420013","420013","420010","3","30000","12","10000000","23","200","906000004","1","908000004","1","503200001","20","503200002","20"
"420014","420014","420010","4","15000","12","10000000","23","200","906000004","1","908000004","1","503200001","35","503200002","35"
"420015","420015","420010","5","10000","12","10000000","23","200","906000004","1","908000004","1","503200001","55","503200002","55"
"420016","420016","420010","6","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","75","503200002","75"
"420017","420017","420010","7","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","100","503200002","100"
"502051","502051","502050","1","60000","12","10000000","23","200","903000004","1","908000004","1","503200001","5","503200002","5"
"502052","502052","502050","2","45000","12","10000000","23","200","903000004","1","908000004","1","503200001","10","503200002","10"
"502053","502053","502050","3","30000","12","10000000","23","200","903000004","1","908000004","1","503200001","20","503200002","20"
"502054","502054","502050","4","15000","12","10000000","23","200","903000004","1","908000004","1","503200001","35","503200002","35"
"502055","502055","502050","5","10000","12","10000000","23","200","903000004","1","908000004","1","503200001","55","503200002","55"
"502056","502056","502050","6","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","75","503200002","75"
"502057","502057","502050","7","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","100","503200002","100"
"503011","503011","503010","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"503012","503012","503010","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"503013","503013","503010","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"503014","503014","503010","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"503015","503015","503010","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"503016","503016","503010","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"503017","503017","503010","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"503021","503021","503020","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"503022","503022","503020","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"503023","503023","503020","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"503024","503024","503020","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"503025","503025","503020","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"503026","503026","503020","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"503027","503027","503020","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"503031","503031","503030","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"503032","503032","503030","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"503033","503033","503030","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"503034","503034","503030","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"503035","503035","503030","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"503036","503036","503030","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"503037","503037","503030","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"503041","503041","503040","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"503042","503042","503040","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"503043","503043","503040","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"503044","503044","503040","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"503045","503045","503040","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"503046","503046","503040","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"503047","503047","503040","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"520011","520011","520010","1","60000","12","10000000","23","200","906000004","1","908000004","1","503200001","5","503200002","5"
"520012","520012","520010","2","45000","12","10000000","23","200","906000004","1","908000004","1","503200001","10","503200002","10"
"520013","520013","520010","3","30000","12","10000000","23","200","906000004","1","908000004","1","503200001","20","503200002","20"
"520014","520014","520010","4","15000","12","10000000","23","200","906000004","1","908000004","1","503200001","35","503200002","35"
"520015","520015","520010","5","10000","12","10000000","23","200","906000004","1","908000004","1","503200001","55","503200002","55"
"520016","520016","520010","6","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","75","503200002","75"
"520017","520017","520010","7","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","100","503200002","100"
"602061","602061","602060","1","60000","12","10000000","23","200","903000004","1","908000004","1","503200001","5","503200002","5"
"602062","602062","602060","2","45000","12","10000000","23","200","903000004","1","908000004","1","503200001","10","503200002","10"
"602063","602063","602060","3","30000","12","10000000","23","200","903000004","1","908000004","1","503200001","20","503200002","20"
"602064","602064","602060","4","15000","12","10000000","23","200","903000004","1","908000004","1","503200001","35","503200002","35"
"602065","602065","602060","5","10000","12","10000000","23","200","903000004","1","908000004","1","503200001","55","503200002","55"
"602066","602066","602060","6","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","75","503200002","75"
"602067","602067","602060","7","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","100","503200002","100"
"603011","603011","603010","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"603012","603012","603010","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"603013","603013","603010","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"603014","603014","603010","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"603015","603015","603010","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"603016","603016","603010","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"603017","603017","603010","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"603021","603021","603020","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"603022","603022","603020","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"603023","603023","603020","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"603024","603024","603020","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"603025","603025","603020","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"603026","603026","603020","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"603027","603027","603020","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"603031","603031","603030","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"603032","603032","603030","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"603033","603033","603030","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"603034","603034","603030","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"603035","603035","603030","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"603036","603036","603030","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"603037","603037","603030","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"603041","603041","603040","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"603042","603042","603040","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"603043","603043","603040","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"603044","603044","603040","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"603045","603045","603040","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"603046","603046","603040","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"603047","603047","603040","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"620011","620011","620010","1","60000","12","10000000","23","200","906000004","1","908000004","1","503200001","5","503200002","5"
"620012","620012","620010","2","45000","12","10000000","23","200","906000004","1","908000004","1","503200001","10","503200002","10"
"620013","620013","620010","3","30000","12","10000000","23","200","906000004","1","908000004","1","503200001","20","503200002","20"
"620014","620014","620010","4","15000","12","10000000","23","200","906000004","1","908000004","1","503200001","35","503200002","35"
"620015","620015","620010","5","10000","12","10000000","23","200","906000004","1","908000004","1","503200001","55","503200002","55"
"620016","620016","620010","6","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","75","503200002","75"
"620017","620017","620010","7","5000","12","10000000","23","200","906000004","1","908000004","1","503200001","100","503200002","100"
"4011","4011","4010","1","60000","12","10000000","23","200","905000004","1","908000004","1","503200001","5","503200002","5"
"4012","4012","4010","2","45000","12","10000000","23","200","905000004","1","908000004","1","503200001","10","503200002","10"
"4013","4013","4010","3","30000","12","10000000","23","200","905000004","1","908000004","1","503200001","20","503200002","20"
"4014","4014","4010","4","15000","12","10000000","23","200","905000004","1","908000004","1","503200001","35","503200002","35"
"4015","4015","4010","5","10000","12","10000000","23","200","905000004","1","908000004","1","503200001","55","503200002","55"
"4016","4016","4010","6","5000","12","10000000","23","200","905000004","1","908000004","1","503200001","75","503200002","75"
"4017","4017","4010","7","5000","12","10000000","23","200","905000004","1","908000004","1","503200001","100","503200002","100"
"4021","4021","4020","1","60000","12","10000000","23","200","905000004","1","908000004","1","503200001","5","503200002","5"
"4022","4022","4020","2","45000","12","10000000","23","200","905000004","1","908000004","1","503200001","10","503200002","10"
"4023","4023","4020","3","30000","12","10000000","23","200","905000004","1","908000004","1","503200001","20","503200002","20"
"4024","4024","4020","4","15000","12","10000000","23","200","905000004","1","908000004","1","503200001","35","503200002","35"
"4025","4025","4020","5","10000","12","10000000","23","200","905000004","1","908000004","1","503200001","55","503200002","55"
"4026","4026","4020","6","5000","12","10000000","23","200","905000004","1","908000004","1","503200001","75","503200002","75"
"4027","4027","4020","7","5000","12","10000000","23","200","905000004","1","908000004","1","503200001","100","503200002","100"
"4031","4031","4030","1","60000","12","10000000","23","200","905000004","1","908000004","1","503200001","5","503200002","5"
"4032","4032","4030","2","45000","12","10000000","23","200","905000004","1","908000004","1","503200001","10","503200002","10"
"4033","4033","4030","3","30000","12","10000000","23","200","905000004","1","908000004","1","503200001","20","503200002","20"
"4034","4034","4030","4","15000","12","10000000","23","200","905000004","1","908000004","1","503200001","35","503200002","35"
"4035","4035","4030","5","10000","12","10000000","23","200","905000004","1","908000004","1","503200001","55","503200002","55"
"4036","4036","4030","6","5000","12","10000000","23","200","905000004","1","908000004","1","503200001","75","503200002","75"
"4037","4037","4030","7","5000","12","10000000","23","200","905000004","1","908000004","1","503200001","100","503200002","100"
