"Name","CommonId","Warrior","Magician","Taoist","Assassin","Berserker","DarkTaoist","ColletStatus","CalculateType"
"77","77","0","0","0","0","0","0","0","0"
"78","78","0","0","0","0","0","0","0","0"
"79","79","0","0","0","0","0","0","0","0"
"80","80","0","0","0","0","0","0","0","0"
"81","81","0","0","0","0","0","0","0","0"
"82","82","0","0","0","0","0","0","0","0"
"83","83","0","0","0","0","0","0","0","0"
"84","84","0","0","0","0","0","0","0","0"
"85","85","0","0","0","0","0","0","0","0"
"86","86","0","0","0","0","0","0","0","0"
"87","87","0","0","0","0","0","0","0","0"
"88","88","0","0","0","0","0","0","0","0"
"89","89","0","0","0","0","0","0","0","0"
"90","90","0","0","0","0","0","0","0","0"
"91","91","0","0","0","0","0","0","0","0"
"92","92","0","0","0","0","0","0","0","0"
"93","93","0","0","0","0","0","0","0","0"
"94","94","0","0","0","0","0","0","0","0"
"95","95","0","0","0","0","0","0","0","0"
"96","96","0","0","0","0","0","0","0","0"
"97","97","0","0","0","0","0","0","0","0"
"98","98","0","0","0","0","0","0","0","0"
"99","99","0","0","0","0","0","0","0","0"
"100","100","0","0","0","0","0","0","0","0"
"101","101","0","0","0","0","0","0","0","0"
"102","102","0","0","0","0","0","0","0","0"
"103","103","0","0","0","0","0","0","0","0"
"104","104","0","0","0","0","0","0","0","0"
"105","105","0","0","0","0","0","0","0","0"
"106","106","0","0","0","0","0","0","0","0"
"107","107","0","0","0","0","0","0","0","0"
"108","108","0","0","0","0","0","0","0","0"
"109","109","0","0","0","0","0","0","0","0"
"110","110","0","0","0","0","0","0","0","0"
"111","111","0","0","0","0","0","0","0","0"
"112","112","0","0","0","0","0","0","0","0"
"113","113","0","0","0","0","0","0","0","0"
"114","114","0","0","0","0","0","0","0","0"
"115","115","0","0","0","0","0","0","0","0"
"116","116","0","0","0","0","0","0","0","0"
"117","117","0","0","0","0","0","0","0","0"
"118","118","0","0","0","0","0","0","0","0"
"119","119","10000","10000","10000","10000","10000","10000","0","0"
"120","120","10000","10000","10000","10000","10000","10000","0","0"
"121","121","0","0","0","0","0","0","16","1"
"122","122","0","0","0","0","0","0","17","1"
"123","123","0","0","0","0","0","0","18","1"
"124","124","0","0","0","0","0","0","19","1"
"125","125","0","0","0","0","0","0","20","1"
"126","126","0","0","0","0","0","0","21","1"
"127","127","0","0","0","0","0","0","22","1"
"128","128","0","0","0","0","0","0","23","1"
"129","129","0","0","0","0","0","0","24","1"
"130","130","0","0","0","0","0","0","25","1"
"131","131","0","0","0","0","0","0","28","1"
"132","132","0","0","0","0","0","0","29","1"
"133","133","0","0","0","0","0","0","30","1"
"134","134","0","0","0","0","0","0","36","1"
"135","135","0","0","0","0","0","0","46","1"
"136","136","0","0","0","0","0","0","47","1"
"137","137","0","0","0","0","0","0","48","1"
"138","138","0","0","0","0","0","0","49","1"
"139","139","0","0","0","0","0","0","50","1"
"140","140","0","0","0","0","0","0","0","0"
"141","141","0","0","0","0","0","0","0","0"
"142","142","0","0","0","0","0","0","0","0"
"143","143","0","0","0","0","0","0","0","0"
"144","144","0","0","0","0","0","0","0","0"
"145","145","0","0","0","0","0","0","0","0"
"146","146","0","0","0","0","0","0","0","0"
"147","147","0","0","0","0","0","0","0","0"
"148","148","0","0","0","0","0","0","0","0"
"149","149","0","0","0","0","0","0","0","0"
"150","150","0","0","0","0","0","0","0","0"
"151","151","0","0","0","0","0","0","0","0"
"152","152","0","0","0","0","0","0","0","0"
"153","153","0","0","0","0","0","0","0","0"
"154","154","0","0","0","0","0","0","0","0"
"155","155","0","0","0","0","0","0","0","0"
"156","156","0","0","0","0","0","0","0","0"
"157","157","0","0","0","0","0","0","0","0"
"158","158","0","0","0","0","0","0","0","0"
"159","159","10000","10000","10000","10000","10000","10000","0","0"
"160","160","10000","10000","10000","10000","10000","10000","0","0"
"161","161","0","0","0","0","0","0","0","0"
"162","162","0","0","0","0","0","0","0","0"
"163","163","0","0","0","0","0","0","0","0"
"164","164","0","0","0","0","0","0","0","0"
"165","165","0","0","0","0","0","0","0","0"
"166","166","0","0","0","0","0","0","0","0"
"167","167","0","0","0","0","0","0","0","0"
"168","168","0","0","0","0","0","0","0","0"
"169","169","0","0","0","0","0","0","0","0"
"170","170","0","0","0","0","0","0","0","0"
"171","171","0","0","0","0","0","0","0","0"
"172","172","0","0","0","0","0","0","0","0"
"173","173","0","0","0","0","0","0","0","0"
"174","174","0","0","0","0","0","0","0","0"
"181","181","20000","20000","20000","20000","20000","20000","0","0"
"182","182","20000","20000","20000","20000","20000","20000","0","0"
