"Name","GuildShopId","GuildShopGroup","ShopGroupName","GuildShopNo","GuildShopItemUnLockDominionId","GuildShopItemUnLockDevId","GuildShopItemUnLockDevLevel","GuildShopItemId","GuildShopItemCnt","GuildShopItemRegCostType","GuildShopItemRegCostTypeSub","GuildShopItemRegCostValue","GuildShopItemBuyCostType","GuildShopItemBuyCostTypeSub","GuildShopItemBuyCostValue"
"10","10","4","0","10","(0)","101006","8","603200403","1","1","92","200","1","17","90000"
"11","11","4","0","11","(0)","101006","8","603200303","1","1","92","200","1","17","90000"
"12","12","4","0","12","(0)","101006","9","603200503","1","1","92","200","1","17","90000"
"13","13","4","0","13","(0)","101006","9","603200603","1","1","92","200","1","17","90000"
"14","14","4","0","14","(0)","101006","10","603200103","1","1","92","200","1","17","90000"
"15","15","5","4748002","1","(0)","0","0","601200506","1","1","92","50","1","17","2000"
"16","16","5","0","2","(0)","0","0","601200109","1","1","92","50","1","17","2000"
"17","17","5","0","3","(0)","101006","1","606201324","1","1","92","50","1","17","3000"
"18","18","5","0","4","(0)","101006","1","606201323","1","1","92","50","1","17","3000"
"73","73","5","0","5","(0)","101006","1","606201325","1","1","92","50","1","17","3000"
"19","19","5","0","6","(0)","101006","1","601200507","1","1","92","75","1","17","5000"
"20","20","5","0","7","(0)","101006","2","625200602","1","1","92","50","1","17","4000"
"21","21","5","0","8","(0)","101006","2","601200110","1","1","92","50","1","17","4000"
"22","22","5","0","9","(0)","101006","5","606201308","1","1","92","100","1","17","10000"
"23","23","5","0","10","(0)","101006","5","606201309","1","1","92","100","1","17","10000"
"74","74","5","0","11","(0)","101006","5","606201307","1","1","92","100","1","17","10000"
"24","24","5","0","12","(0)","101006","5","601200508","1","1","92","200","1","17","9000"
"25","25","5","0","13","(0)","101006","7","606201304","1","1","92","200","1","17","30000"
"26","26","5","0","14","(0)","101006","7","606201305","1","1","92","200","1","17","30000"
"75","75","5","0","15","(0)","101006","7","606201303","1","1","92","200","1","17","30000"
"27","27","5","0","16","(0)","101006","10","601200510","1","1","92","475","1","17","14400"
"28","28","6","4748003","1","(0)","0","0","601200111","1","1","93","500","1","17","7000"
"29","29","6","0","2","(0)","0","0","601200112","1","1","93","500","1","17","7000"
"30","30","6","0","3","(0)","0","0","601202332","1","1","94","500","1","17","7000"
"31","31","6","0","4","(0)","0","0","601202333","1","1","94","500","1","17","7000"
"32","32","6","0","5","(0)","101006","3","601202334","1","1","93","3000","1","17","35000"
"33","33","6","0","6","(0)","101006","3","601202335","1","1","93","3000","1","17","35000"
"34","34","6","0","7","(0)","101006","4","601202336","1","1","94","3000","1","17","35000"
"35","35","6","0","8","(0)","101006","4","601202337","1","1","94","3000","1","17","35000"
"36","36","6","0","9","(0)","101006","7","601202338","1","1","93","20000","1","17","350000"
"37","37","6","0","10","(0)","101006","7","601202339","1","1","93","20000","1","17","350000"
"38","38","6","0","11","(0)","101006","8","601202340","1","1","94","20000","1","17","350000"
"39","39","6","0","12","(0)","101006","8","601202341","1","1","94","20000","1","17","350000"
"40","40","7","4748004","1","(0)","0","0","601200101","1","1","92","50","1","17","4000"
"41","41","7","0","2","(0)","0","0","601200103","1","1","92","50","1","17","4000"
"42","42","7","0","3","(0)","0","0","601202342","1","1","92","30","1","17","2200"
"43","43","7","0","4","(0)","0","0","601202343","1","1","92","30","1","17","2200"
"44","44","7","0","5","(0)","101006","3","601200102","1","1","92","150","1","17","18000"
"45","45","7","0","6","(0)","101006","3","601200104","1","1","92","150","1","17","18000"
"76","76","7","0","7","(0)","101006","5","1301201406","1","1","92","50","1","17","4000"
"46","46","7","0","8","(0)","101006","6","601202344","1","1","92","100","1","17","9000"
"47","47","7","0","9","(0)","101006","6","601202345","1","1","92","100","1","17","9000"
"48","48","7","0","10","(0)","101006","9","601202346","1","1","92","600","1","17","90000"
"49","49","7","0","11","(0)","101006","9","601202347","1","1","92","600","1","17","90000"
"77","77","7","0","12","(0)","101006","10","1301201407","1","1","92","300","1","17","39000"
