"Name","NaviMeshId","Navimesh"
"110502070","110502070","NAVIMESH_104005010.bin"
"200022300","200022300","NAVIMESH_FD_ZumaTemple_01.bin"
"200022310","200022310","NAVIMESH_FD_ZumaTemple_02.bin"
"200022320","200022320","NAVIMESH_FD_ZumaTemple_03.bin"
"201500010","201500010","NAVIMESH_201500010.bin"
"201004050","201004050","NAVIMESH_201004040.bin"
"201004051","201004051","NAVIMESH_201004041.bin"
"201004052","201004052","NAVIMESH_201004042.bin"
"201004053","201004053","NAVIMESH_201004043.bin"
"200501970","200501970","NAVIMESH_200501970.bin"
"200601170","200601170","NAVIMESH_200601170.bin"
