"Name","RowId","OptionGroup","AttributeType","AttributeTypeRate","Option_C","OptionRate_C","Option_B","OptionRate_B","Option_A","OptionRate_A","Option_S","OptionRate_S"
"3043","3043","3","43","4166","12053","47000","12054","43000","12055","9000","12056","1000"
"3044","3044","3","44","4166","12057","47000","12058","43000","12059","9000","12060","1000"
"3045","3045","3","45","4166","12061","47000","12062","43000","12063","9000","12064","1000"
"3048","3048","3","48","4166","12065","47000","12066","43000","12067","9000","12068","1000"
"3049","3049","3","49","4166","12069","47000","12070","43000","12071","9000","12072","1000"
"3050","3050","3","50","4166","12073","47000","12074","43000","12075","9000","12076","1000"
"3051","3051","3","51","4166","12077","47000","12078","43000","12079","9000","12080","1000"
"3052","3052","3","52","4166","12081","47000","12082","43000","12083","9000","12084","1000"
"3053","3053","3","53","4166","12085","47000","12086","43000","12087","9000","12088","1000"
"3119","3119","3","119","4166","12089","47000","12090","43000","12091","9000","12092","1000"
"3120","3120","3","120","4166","12093","47000","12094","43000","12095","9000","12096","1000"
"4001","4001","4","1","4166","13001","47000","13002","43000","13003","9000","13004","1000"
"4006","4006","4","6","4166","13005","47000","13006","43000","13007","9000","13008","1000"
"4024","4024","4","24","4166","13009","47000","13010","43000","13011","9000","13012","1000"
"4026","4026","4","26","4166","13013","47000","13014","43000","13015","9000","13016","1000"
"4032","4032","4","32","4166","13017","47000","13018","43000","13019","9000","13020","1000"
"4033","4033","4","33","4166","13021","47000","13022","43000","13023","9000","13024","1000"
"4034","4034","4","34","4166","13025","47000","13026","43000","13027","9000","13028","1000"
"4035","4035","4","35","4166","13029","47000","13030","43000","13031","9000","13032","1000"
"4038","4038","4","38","4166","13033","47000","13034","43000","13035","9000","13036","1000"
"4039","4039","4","39","4166","13037","47000","13038","43000","13039","9000","13040","1000"
"4040","4040","4","40","4166","13041","47000","13042","43000","13043","9000","13044","1000"
"4041","4041","4","41","4166","13045","47000","13046","43000","13047","9000","13048","1000"
"4042","4042","4","42","4166","13049","47000","13050","43000","13051","9000","13052","1000"
"4043","4043","4","43","4166","13053","47000","13054","43000","13055","9000","13056","1000"
"4044","4044","4","44","4166","13057","47000","13058","43000","13059","9000","13060","1000"
"4045","4045","4","45","4166","13061","47000","13062","43000","13063","9000","13064","1000"
"4048","4048","4","48","4166","13065","47000","13066","43000","13067","9000","13068","1000"
"4049","4049","4","49","4166","13069","47000","13070","43000","13071","9000","13072","1000"
"4050","4050","4","50","4166","13073","47000","13074","43000","13075","9000","13076","1000"
"4051","4051","4","51","4166","13077","47000","13078","43000","13079","9000","13080","1000"
"4052","4052","4","52","4166","13081","47000","13082","43000","13083","9000","13084","1000"
"4053","4053","4","53","4166","13085","47000","13086","43000","13087","9000","13088","1000"
"4119","4119","4","119","4166","13089","47000","13090","43000","13091","9000","13092","1000"
"4120","4120","4","120","4166","13093","47000","13094","43000","13095","9000","13096","1000"
