"Name","GetWayId","ItemGetWay","GetWayFilterType","GetWayFilterValueMin","GetWayFilterValueMax"
"41","41","(2,15,19,7,12,23,35)","1","1000000","1000000"
"42","42","(13,21,7,23,31)","1","1000000","1000000"
"43","43","(7,23)","1","1000000","1000000"
"44","44","(7,23)","1","1000000","1000000"
"45","45","(15,19,26,27,23)","1","1000000","1000000"
"46","46","(15,19,26,27,23,35)","1","1000000","1000000"
"47","47","(26,27,23,35)","1","1000000","1000000"
"48","48","(26,27,23,35)","1","1000000","1000000"
"49","49","(15,4,7,24,23,29)","1","1000000","1000000"
"50","50","(15,4,7,24,23,29)","1","1000000","1000000"
"51","51","(7,24,23,29)","1","1000000","1000000"
"52","52","(7,24,23,29)","1","1000000","1000000"
"53","53","(7,24,23,29)","1","1000000","1000000"
"54","54","(15,19,2,7,24,23,29,35)","1","1000000","1000000"
"55","55","(15,19,2,7,24,23,29,31,32,35)","1","1000000","1000000"
"56","56","(2,7,24,23,29,32,35)","1","1000000","1000000"
"57","57","(2,7,24,23,29,32,35)","1","1000000","1000000"
"58","58","(7,24,23,29)","1","1000000","1000000"
"59","59","(15,19,2,7,24,23,29,35)","1","1000000","1000000"
"60","60","(15,19,5,7,24,23,29,31,32)","1","1000000","1000000"
"61","61","(5,7,24,23,29,32)","1","1000000","1000000"
"62","62","(5,7,24,23,29,32)","1","1000000","1000000"
"63","63","(7,24,23,29)","1","1000000","1000000"
"64","64","(15,19,2,7,24,23,29,35)","1","1000000","1000000"
"65","65","(15,19,2,7,24,23,29,31,32,35)","1","1000000","1000000"
"66","66","(2,7,24,23,29,32,35)","1","1000000","1000000"
"67","67","(2,7,24,23,29,32,35)","1","1000000","1000000"
"68","68","(7,24,23,29)","1","1000000","1000000"
"69","69","(15,19,2,7,24,23,29,35)","1","1000000","1000000"
"70","70","(15,19,5,7,24,23,29,31,32)","1","1000000","1000000"
"71","71","(5,7,24,23,29,32)","1","1000000","1000000"
"72","72","(5,7,24,23,29,32)","1","1000000","1000000"
"73","73","(7,24,23,29)","1","1000000","1000000"
"74","74","(15,19,2,7,24,23,29,35)","1","1000000","1000000"
"75","75","(15,19,13,21,7,24,23,29,31,32)","1","1000000","1000000"
"76","76","(13,21,7,24,23,29,32)","1","1000000","1000000"
"77","77","(13,21,7,24,23,29,32)","1","1000000","1000000"
"78","78","(7,24,23,29)","1","1000000","1000000"
"79","79","(15,19,2,24,23,29,35)","1","1000000","1000000"
"80","80","(15,19,2,7,24,23,29,35)","1","1000000","1000000"
"81","81","(15,19,7,24,23,29)","1","1000000","1000000"
"82","82","(7,24,23,29)","1","1000000","1000000"
"83","83","(7,24,23,29)","1","1000000","1000000"
"84","84","(15,19,2,29,35)","1","1000000","1000000"
"85","85","(7,24,2,13,21,3,5,14,23,18,29,35)","1","1000000","1000000"
"86","86","(7,24,2,13,21,3,5,14,23,18,29,35)","1","1000000","1000000"
"87","87","(7,24,2,13,21,3,5,14,23,18,29,35)","1","1000000","1000000"
"88","88","(7,23,29)","1","1000000","1000000"
"89","89","(5,13,21,11,23,29)","1","1000000","1000000"
"90","90","(5,13,21,11,27,23,29)","1","1000000","1000000"
"91","91","(5,13,21,11,27,23,29)","1","1000000","1000000"
"92","92","(5,13,21,11,27,23,29)","1","1000000","1000000"
"93","93","(15,19,11,26,23,29)","1","1000000","1000000"
"94","94","(11,26,27,23,29)","1","1000000","1000000"
"95","95","(11,26,27,23,29)","1","1000000","1000000"
"96","96","(11,26,23,29)","1","1000000","1000000"
"97","97","(13,29)","1","1000000","1000000"
"98","98","(13,29)","1","1000000","1000000"
"99","99","(13,29)","1","1000000","1000000"
"100","100","(13,23,29)","1","1000000","1000000"
"101","101","(21,29)","1","1000000","1000000"
"102","102","(21,29)","1","1000000","1000000"
"103","103","(21,29)","1","1000000","1000000"
"104","104","(21,23,29)","1","1000000","1000000"
"105","105","(15,19,11,12,13,21,23,25,29)","1","1000000","1000000"
"106","106","(11,24,13,21,23,29)","1","1000000","1000000"
"107","107","(11,24,23,13,21,2,14,29)","1","1000000","1000000"
"108","108","(11,24,23,2,13,21,14,29,35)","1","1000000","1000000"
"109","109","(11,23,29)","1","1000000","1000000"
"110","110","(11,2,23,29,35)","1","1000000","1000000"
"111","111","(11,2,13,21,14,23,29,35)","1","1000000","1000000"
"112","112","(11,2,13,21,14,23,29,35)","1","1000000","1000000"
"113","113","(24,12,25,29)","1","1000000","1000000"
"114","114","(24,12,25,29)","1","1000000","1000000"
"115","115","(24,12,29,39)","1","1000000","1000000"
"116","116","(24,12,23,29)","1","1000000","1000000"
"117","117","(24,23,29)","1","1000000","1000000"
"118","118","(11,26,23,29)","1","1000000","1000000"
"119","119","(11,27,26,23,29)","1","1000000","1000000"
"120","120","(27,26,23,29)","1","1000000","1000000"
"121","121","(27,26,23,29)","1","1000000","1000000"
"122","122","(11,13,21,23)","1","1000000","1000000"
"123","123","(11,13,21,27,23)","1","1000000","1000000"
"124","124","(11,27,23)","1","1000000","1000000"
"125","125","(11,23,27)","1","1000000","1000000"
"126","126","(24,23,29)","1","1000000","1000000"
"127","127","(24,23,29)","1","1000000","1000000"
"128","128","(27,26,23,29)","1","1000000","1000000"
"129","129","(27,26,23,29)","1","1000000","1000000"
"130","130","(29,13,21,24,23,30,29)","1","1000000","1000000"
"131","131","(2,25,29,35)","1","1000000","1000000"
"132","132","(11,1,29,31)","1","1000000","1000000"
"133","133","(11,29,31)","1","1000000","1000000"
"134","134","(11,29)","1","1000000","1000000"
"135","135","(2,25,29,35)","1","1000000","1000000"
"136","136","(11,1,29,31)","1","1000000","1000000"
"137","137","(11,29,31)","1","1000000","1000000"
"138","138","(11,29)","1","1000000","1000000"
"139","139","(5,29)","1","1000000","1000000"
"140","140","(5,1,29,31,32)","1","1000000","1000000"
"141","141","(11,29,31,32)","1","1000000","1000000"
"142","142","(11,29)","1","1000000","1000000"
"143","143","(13,21,5,29)","1","1000000","1000000"
"144","144","(13,21,5,1,29,31,32)","1","1000000","1000000"
"145","145","(13,21,11,29,31,32)","1","1000000","1000000"
"146","146","(13,21,11,29)","1","1000000","1000000"
"147","147","(5,29)","1","1000000","1000000"
"148","148","(5,1,29,31,32)","1","1000000","1000000"
"149","149","(11,29,31,32)","1","1000000","1000000"
"150","150","(11,29)","1","1000000","1000000"
"151","151","(12,29)","1","1000000","1000000"
"152","152","(12,29)","1","1000000","1000000"
"153","153","(12,29,31)","1","1000000","1000000"
"154","154","(12,29,31)","1","1000000","1000000"
"155","155","(12,29,31)","1","1000000","1000000"
"156","156","(15,19,28,29)","1","1000000","1000000"
"157","157","(12,25,29)","1","1000000","1000000"
"158","158","(1,29)","1","1000000","1000000"
"159","159","(1,29)","1","1000000","1000000"
"160","160","(16,29)","1","1000000","1000000"
"161","161","(2,13,21,5,23,29,31,35)","1","1000000","1000000"
"162","162","(2,29,35)","1","1000000","1000000"
"163","163","(6,7,10,5,29)","1","1000000","1000000"
"164","164","(6,7,4,5,29)","1","1000000","1000000"
"165","165","(6,7,5,1,29)","1","1000000","1000000"
"166","166","(29,29)","1","1000000","1000000"
"167","167","(29,1)","1","1000000","1000000"
"168","168","(29,29)","1","1000000","1000000"
"169","169","(17,29)","1","1000000","1000000"
"170","170","(4,29)","1","1000000","1000000"
"171","171","(2,3,14,29,35)","1","1000000","1000000"
"172","172","(29,1)","1","1000000","1000000"
"173","173","(24,29,1,31)","1","1000000","1000000"
"174","174","(29,1)","1","1000000","1000000"
"175","175","(2,3,4,5,6,7,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1,31,32,33,34,35,37,38,39,40)","1","1000000","1000000"
"176","176","(2,11,29,35)","1","1000000","1000000"
"177","177","(11,29)","1","1000000","1000000"
"178","178","(2,5,29,35)","1","1000000","1000000"
"179","179","(5,13,21,29)","1","1000000","1000000"
"180","180","(19,5,29)","1","1000000","1000000"
"181","181","(24,29)","1","1000000","1000000"
"182","182","(24,5,29)","1","1000000","1000000"
"183","183","(11,29)","1","1000000","1000000"
"184","184","(31)","1","1000000","1000000"
"185","185","(32)","1","1000000","1000000"
"186","186","(2,3,4,5,6,7,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35)","1","1000000","1000000"
"187","187","(2,3,4,5,6,7,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1,31,32,33,34,35,37,38,39)","1","1000000","1000000"
