"Name","CollectionId","PhaseGroupId","AccountType","TopMenuGroup","TopMenuString","ListGroup","ListGroupString","PeriodType","StartDate","EndDate","TitleString","ListSort","EffectAttributeType","EffectAttributeValue","EffectString","EffectGroup","EffectGroupString","ClassId","ItemUseId01","Smelting01","ItemUseId02","Smelting02","ItemUseId03","Smelting03","ItemUseId04","Smelting04","ItemUseId05","Smelting05","ItemUseId06","Smelting06","ItemUseId07","Smelting07","ItemUseId08","Smelting08"
"100100111","100100111","0","1","4","5200014","1","5200013","1","2021-10-20 16:00","2021-12-01 15:59","5210188","98","28","20","500011","7","500011","0","1301001534","0","1301001534","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100112","100100112","0","1","4","5200014","1","5200013","1","2021-10-20 16:00","2021-12-01 15:59","5210189","98","46","20","510046","24","510046","0","1301001534","0","1301001534","0","1301001534","0","1301001534","0","0","0","0","0","0","0","0","0"
"100100113","100100113","0","1","4","5200014","1","5200013","1","2021-10-20 16:00","2021-12-01 15:59","5210190","98","38","20","500026","16","500026","0","1301001534","0","1301001534","0","1301001534","0","1301001534","0","1301001534","0","1301001534","0","0","0","0","0"
"100100114","100100114","0","1","4","5200014","1","5200013","1","2021-10-20 16:00","2021-12-01 15:59","5210191","98","88","400","500109","65","500109","0","1301001535","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100115","100100115","0","1","4","5200014","1","5200013","1","2021-10-20 16:00","2021-12-01 15:59","5210192","98","29","20","500012","8","500012","0","1301001535","0","1301001535","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100116","100100116","0","1","4","5200014","1","5200013","1","2021-10-20 16:00","2021-12-01 15:59","5210193","98","47","20","510047","25","510047","0","1301001535","0","1301001535","0","1301001535","0","1301001535","0","0","0","0","0","0","0","0","0"
"100100117","100100117","0","1","4","5200014","1","5200013","1","2021-10-20 16:00","2021-12-01 15:59","5210194","98","39","20","500027","17","500027","0","1301001535","0","1301001535","0","1301001535","0","1301001535","0","1301001535","0","1301001535","0","0","0","0","0"
"100100118","100100118","0","1","4","5200014","1","5200013","1","2021-11-07 16:00","2022-02-21 15:59","5210206","97","88","200","500109","65","500109","0","1301001554","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100119","100100119","0","1","4","5200014","1","5200013","1","2021-11-07 16:00","2022-02-21 15:59","5210207","97","28","10","500011","7","500011","0","1301001555","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100120","100100120","0","1","4","5200014","1","5200013","1","2021-11-07 16:00","2022-02-21 15:59","5210208","97","30","10","500013","9","500013","0","1301001556","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100121","100100121","0","1","4","5200014","1","5200013","1","2021-11-07 16:00","2022-02-21 15:59","5210209","97","31","10","500014","10","500014","0","1301001557","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100122","100100122","0","1","4","5200014","1","5200013","1","2021-11-07 16:00","2022-02-21 15:59","5210210","97","82","400","500091","59","500091","0","1301001558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100123","100100123","0","1","4","5200014","1","5200013","1","2021-11-24 16:00","2022-03-21 15:59","5210211","96","29","10","500012","8","500012","0","1301001586","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100124","100100124","0","1","4","5200014","1","5200013","1","2021-11-24 16:00","2022-03-21 15:59","5210212","96","28","10","500011","7","500011","0","1301001586","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100125","100100125","0","1","4","5200014","1","5200013","1","2021-11-24 16:00","2022-03-21 15:59","5210213","96","46","20","510046","24","510046","0","1301001586","0","1301001586","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100126","100100126","0","1","4","5200014","1","5200013","1","2021-11-24 16:00","2022-03-21 15:59","5210214","96","47","20","510047","25","510047","0","1301001586","0","1301001586","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100127","100100127","0","1","4","5200014","1","5200013","1","2021-11-24 16:00","2022-03-21 15:59","5210215","96","82","200","500091","59","500091","0","1301001586","0","1301001586","0","1301001586","0","0","0","0","0","0","0","0","0","0","0"
"100100128","100100128","0","1","4","5200014","1","5200013","1","2021-12-28 16:00","2022-02-07 15:59","5210230","95","82","400","500091","59","500091","0","1301001622","0","1301001623","0","1301001624","0","1301001625","0","1301001626","0","0","0","0","0","0","0"
"100100129","100100129","0","1","4","5200014","1","5200013","1","2021-12-28 16:00","2022-02-07 15:59","5210231","95","46","20","510046","24","510046","0","1301001622","0","1301001623","0","1301001624","0","1301001625","0","1301001626","0","0","0","0","0","0","0"
"100100130","100100130","0","1","4","5200014","1","5200013","1","2021-12-28 16:00","2022-02-07 15:59","5210232","95","47","20","510047","25","510047","0","1301001622","0","1301001623","0","1301001624","0","1301001625","0","1301001626","0","0","0","0","0","0","0"
"100100131","100100131","0","1","4","5200014","1","5200013","1","2021-12-28 16:00","2022-02-07 15:59","5210233","95","28","20","500011","7","500011","0","1301001622","0","1301001623","0","1301001624","0","1301001625","0","1301001626","0","0","0","0","0","0","0"
"100100132","100100132","0","1","4","5200014","1","5200013","1","2021-12-28 16:00","2022-02-07 15:59","5210234","95","29","20","500012","8","500012","0","1301001622","0","1301001623","0","1301001624","0","1301001625","0","1301001626","0","0","0","0","0","0","0"
"100100133","100100133","0","1","4","5200014","1","5200013","1","2022-01-27 16:00","2022-04-08 15:59","5210235","94","82","250","500091","59","500091","0","1301001634","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100134","100100134","0","1","4","5200014","1","5200013","1","2022-01-27 16:00","2022-04-08 15:59","5210236","94","46","15","510046","24","510046","0","1301001633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100135","100100135","0","1","4","5200014","1","5200013","1","2022-01-27 16:00","2022-04-08 15:59","5210237","94","47","15","510047","25","510047","0","1301001635","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100136","100100136","0","1","4","5200014","1","5200013","1","2022-01-27 16:00","2022-04-08 15:59","5210238","94","44","10","510044","22","510044","0","1301001636","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100137","100100137","0","1","4","5200014","1","5200013","1","2022-01-27 16:00","2022-04-08 15:59","5210239","94","82","550","500091","59","500091","0","1301001634","0","1301001634","0","1301001634","0","0","0","0","0","0","0","0","0","0","0"
"100100138","100100138","0","1","4","5200014","1","5200013","1","2022-01-27 16:00","2022-04-08 15:59","5210240","94","46","25","510046","24","510046","0","1301001633","0","1301001633","0","1301001633","0","0","0","0","0","0","0","0","0","0","0"
"100100139","100100139","0","1","4","5200014","1","5200013","1","2022-01-27 16:00","2022-04-08 15:59","5210241","94","47","25","510047","25","510047","0","1301001635","0","1301001635","0","1301001635","0","0","0","0","0","0","0","0","0","0","0"
"100100140","100100140","0","1","4","5200014","1","5200013","1","2022-01-27 16:00","2022-04-08 15:59","5210242","94","44","20","510044","22","510044","0","1301001636","0","1301001636","0","1301001636","0","0","0","0","0","0","0","0","0","0","0"
"100100141","100100141","0","1","4","5200014","1","5200013","1","2022-02-14 16:00","2022-04-22 15:59","5210247","93","82","200","500091","59","500091","0","1301001639","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100142","100100142","0","1","4","5200014","1","5200013","1","2022-02-14 16:00","2022-04-22 15:59","5210248","93","88","200","500109","65","500109","0","1301001640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100143","100100143","0","1","4","5200014","1","5200013","1","2022-02-14 16:00","2022-04-22 15:59","5210249","93","50","10","510050","28","510050","0","1301001641","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100144","100100144","0","1","4","5200014","1","5200013","1","2022-02-14 16:00","2022-04-22 15:59","5210250","93","52","10","510052","30","510052","0","1301001642","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100145","100100145","0","1","4","5200014","1","5200013","1","2022-02-14 16:00","2022-04-22 15:59","5210251","93","82","500","500091","59","500091","0","1301001639","0","1301001639","0","1301001639","0","0","0","0","0","0","0","0","0","0","0"
"100100146","100100146","0","1","4","5200014","1","5200013","1","2022-02-14 16:00","2022-04-22 15:59","5210252","93","88","500","500109","65","500109","0","1301001640","0","1301001640","0","1301001640","0","0","0","0","0","0","0","0","0","0","0"
"100100147","100100147","0","1","4","5200014","1","5200013","1","2022-02-14 16:00","2022-04-22 15:59","5210253","93","50","30","510050","28","510050","0","1301001641","0","1301001641","0","1301001641","0","0","0","0","0","0","0","0","0","0","0"
"100100148","100100148","0","1","4","5200014","1","5200013","1","2022-02-14 16:00","2022-04-22 15:59","5210254","93","52","30","510052","30","510052","0","1301001642","0","1301001642","0","1301001642","0","0","0","0","0","0","0","0","0","0","0"
"100100149","100100149","0","1","4","5200014","1","5200013","1","2022-02-23 16:00","2022-05-05 15:59","5210261","92","82","200","500091","59","500091","0","1301001646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100150","100100150","0","1","4","5200014","1","5200013","1","2022-02-23 16:00","2022-05-05 15:59","5210262","92","34","40","510034","13","510034","0","1301001647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100151","100100151","0","1","4","5200014","1","5200013","1","2022-02-23 16:00","2022-05-05 15:59","5210263","92","28","10","500011","7","500011","0","1301001648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100152","100100152","0","1","4","5200014","1","5200013","1","2022-02-23 16:00","2022-05-05 15:59","5210264","92","29","10","500012","8","500012","0","1301001649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100153","100100153","0","1","4","5200014","1","5200013","1","2022-02-23 16:00","2022-05-05 15:59","5210265","92","82","500","500091","59","500091","0","1301001646","0","1301001646","0","1301001646","0","0","0","0","0","0","0","0","0","0","0"
"100100154","100100154","0","1","4","5200014","1","5200013","1","2022-02-23 16:00","2022-05-05 15:59","5210266","92","34","100","510034","13","510034","0","1301001647","0","1301001647","0","1301001647","0","0","0","0","0","0","0","0","0","0","0"
"100100155","100100155","0","1","4","5200014","1","5200013","1","2022-02-23 16:00","2022-05-05 15:59","5210267","92","28","25","500011","7","500011","0","1301001648","0","1301001648","0","1301001648","0","0","0","0","0","0","0","0","0","0","0"
"100100156","100100156","0","1","4","5200014","1","5200013","1","2022-02-23 16:00","2022-05-05 15:59","5210268","92","29","25","500012","8","500012","0","1301001649","0","1301001649","0","1301001649","0","0","0","0","0","0","0","0","0","0","0"
"100100157","100100157","0","1","4","5200014","1","5200013","1","2022-03-27 16:00","2022-06-02 15:59","5210286","91","82","250","500091","59","500091","0","1301001664","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100158","100100158","0","1","4","5200014","1","5200013","1","2022-03-27 16:00","2022-06-02 15:59","5210287","91","46","15","510046","24","510046","0","1301001665","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100159","100100159","0","1","4","5200014","1","5200013","1","2022-03-27 16:00","2022-06-02 15:59","5210288","91","47","15","510047","25","510047","0","1301001666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100160","100100160","0","1","4","5200014","1","5200013","1","2022-03-27 16:00","2022-06-02 15:59","5210289","91","82","550","500091","59","500091","0","1301001664","0","1301001664","0","1301001664","0","0","0","0","0","0","0","0","0","0","0"
"100100161","100100161","0","1","4","5200014","1","5200013","1","2022-03-27 16:00","2022-06-02 15:59","5210290","91","46","25","510046","24","510046","0","1301001665","0","1301001665","0","1301001665","0","0","0","0","0","0","0","0","0","0","0"
"100100162","100100162","0","1","4","5200014","1","5200013","1","2022-03-27 16:00","2022-06-02 15:59","5210291","91","47","25","510047","25","510047","0","1301001666","0","1301001666","0","1301001666","0","0","0","0","0","0","0","0","0","0","0"
"100100163","100100163","0","1","4","5200014","1","5200013","1","2022-04-17 16:00","2022-06-16 15:59","5210306","90","82","250","500091","59","500091","0","1301001671","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100164","100100164","0","1","4","5200014","1","5200013","1","2022-04-17 16:00","2022-06-16 15:59","5210307","90","34","25","510034","13","510034","0","1301001670","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100165","100100165","0","1","4","5200014","1","5200013","1","2022-04-17 16:00","2022-06-16 15:59","5210308","90","50","15","510050","28","510050","0","1301001672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100166","100100166","0","1","4","5200014","1","5200013","1","2022-04-17 16:00","2022-06-16 15:59","5210309","90","32","25","500015","11","500015","0","1301001673","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100167","100100167","0","1","4","5200014","1","5200013","1","2022-04-17 16:00","2022-06-16 15:59","5210310","90","82","550","500091","59","500091","0","1301001671","0","1301001671","0","1301001671","0","0","0","0","0","0","0","0","0","0","0"
"100100168","100100168","0","1","4","5200014","1","5200013","1","2022-04-17 16:00","2022-06-16 15:59","5210311","90","34","55","510034","13","510034","0","1301001670","0","1301001670","0","1301001670","0","0","0","0","0","0","0","0","0","0","0"
"100100169","100100169","0","1","4","5200014","1","5200013","1","2022-04-17 16:00","2022-06-16 15:59","5210312","90","50","25","510050","28","510050","0","1301001672","0","1301001672","0","1301001672","0","0","0","0","0","0","0","0","0","0","0"
"100100170","100100170","0","1","4","5200014","1","5200013","1","2022-04-17 16:00","2022-06-16 15:59","5210313","90","32","55","500015","11","500015","0","1301001673","0","1301001673","0","1301001673","0","0","0","0","0","0","0","0","0","0","0"
"100100171","100100171","0","1","4","5200014","1","5200013","1","2022-04-24 16:00","2022-06-30 15:59","5210314","89","82","250","500091","59","500091","0","1301001684","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100172","100100172","0","1","4","5200014","1","5200013","1","2022-04-24 16:00","2022-06-30 15:59","5210315","89","88","250","500109","65","500109","0","1301001686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100173","100100173","0","1","4","5200014","1","5200013","1","2022-04-24 16:00","2022-06-30 15:59","5210316","89","28","10","500011","7","500011","0","1301001685","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100174","100100174","0","1","4","5200014","1","5200013","1","2022-04-24 16:00","2022-06-30 15:59","5210317","89","29","10","500012","8","500012","0","1301001687","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100175","100100175","0","1","4","5200014","1","5200013","1","2022-04-24 16:00","2022-06-30 15:59","5210318","89","82","350","500091","59","500091","0","1301001684","0","1301001684","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100176","100100176","0","1","4","5200014","1","5200013","1","2022-04-24 16:00","2022-06-30 15:59","5210319","89","88","350","500109","65","500109","0","1301001686","0","1301001686","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100177","100100177","0","1","4","5200014","1","5200013","1","2022-04-24 16:00","2022-06-30 15:59","5210320","89","28","20","500011","7","500011","0","1301001685","0","1301001685","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100178","100100178","0","1","4","5200014","1","5200013","1","2022-04-24 16:00","2022-06-30 15:59","5210321","89","29","20","500012","8","500012","0","1301001687","0","1301001687","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100179","100100179","0","1","4","5200014","1","5200013","1","2022-04-24 16:00","2022-06-30 15:59","5210322","89","82","600","500091","59","500091","0","1301001687","0","1301001686","0","1301001685","0","1301001684","0","0","0","0","0","0","0","0","0"
"100100180","100100180","0","1","4","5200014","1","5200013","1","2022-05-09 16:00","2022-07-14 15:59","5210332","88","82","250","500091","59","500091","0","1301001693","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100181","100100181","0","1","4","5200014","1","5200013","1","2022-05-09 16:00","2022-07-14 15:59","5210333","88","44","20","510044","22","510044","0","1301001694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100182","100100182","0","1","4","5200014","1","5200013","1","2022-05-09 16:00","2022-07-14 15:59","5210334","88","40","40","510040","18","510040","0","1301001695","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100183","100100183","0","1","4","5200014","1","5200013","1","2022-05-09 16:00","2022-07-14 15:59","5210335","88","41","40","500126","20","500126","0","1301001696","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100184","100100184","0","1","4","5200014","1","5200013","1","2022-05-09 16:00","2022-07-14 15:59","5210336","88","82","350","500091","59","500091","0","1301001693","0","1301001693","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100185","100100185","0","1","4","5200014","1","5200013","1","2022-05-09 16:00","2022-07-14 15:59","5210337","88","44","25","510044","22","510044","0","1301001694","0","1301001694","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100186","100100186","0","1","4","5200014","1","5200013","1","2022-05-09 16:00","2022-07-14 15:59","5210338","88","40","50","510040","18","510040","0","1301001695","0","1301001695","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100187","100100187","0","1","4","5200014","1","5200013","1","2022-05-09 16:00","2022-07-14 15:59","5210339","88","41","50","500126","20","500126","0","1301001696","0","1301001696","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100188","100100188","0","1","4","5200014","1","5200013","1","2022-05-09 16:00","2022-07-14 15:59","5210340","88","82","600","500091","59","500091","0","1301001696","0","1301001695","0","1301001694","0","1301001693","0","0","0","0","0","0","0","0","0"
"100100189","100100189","0","1","4","5200014","1","5200013","1","2022-05-18 16:00","2022-07-29 15:59","5210350","87","82","250","500091","59","500091","0","1301001701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100190","100100190","0","1","4","5200014","1","5200013","1","2022-05-18 16:00","2022-07-29 15:59","5210351","87","89","250","500114","66","500114","0","1301001702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100191","100100191","0","1","4","5200014","1","5200013","1","2022-05-18 16:00","2022-07-29 15:59","5210352","87","46","15","510046","24","510046","0","1301001703","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100192","100100192","0","1","4","5200014","1","5200013","1","2022-05-18 16:00","2022-07-29 15:59","5210353","87","47","15","510047","25","510047","0","1301001704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100193","100100193","0","1","4","5200014","1","5200013","1","2022-05-18 16:00","2022-07-29 15:59","5210354","87","82","350","500091","59","500091","0","1301001701","0","1301001701","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100194","100100194","0","1","4","5200014","1","5200013","1","2022-05-18 16:00","2022-07-29 15:59","5210355","87","89","350","500114","66","500114","0","1301001702","0","1301001702","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100195","100100195","0","1","4","5200014","1","5200013","1","2022-05-18 16:00","2022-07-29 15:59","5210356","87","46","25","510046","24","510046","0","1301001703","0","1301001703","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100196","100100196","0","1","4","5200014","1","5200013","1","2022-05-18 16:00","2022-07-29 15:59","5210357","87","47","25","510047","25","510047","0","1301001704","0","1301001704","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100197","100100197","0","1","4","5200014","1","5200013","1","2022-05-18 16:00","2022-07-29 15:59","5210358","87","82","600","500091","59","500091","0","1301001704","0","1301001703","0","1301001702","0","1301001701","0","0","0","0","0","0","0","0","0"
"100100198","100100198","0","1","4","5200014","1","5200013","1","2022-06-02 16:00","2022-08-11 15:59","5210359","86","82","250","500091","59","500091","0","1301001712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100199","100100199","0","1","4","5200014","1","5200013","1","2022-06-02 16:00","2022-08-11 15:59","5210360","86","34","50","510034","13","510034","0","1301001711","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100200","100100200","0","1","4","5200014","1","5200013","1","2022-06-02 16:00","2022-08-11 15:59","5210361","86","50","15","510050","28","510050","0","1301001710","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100201","100100201","0","1","4","5200014","1","5200013","1","2022-06-02 16:00","2022-08-11 15:59","5210362","86","32","50","500015","11","500015","0","1301001709","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100202","100100202","0","1","4","5200014","1","5200013","1","2022-06-02 16:00","2022-08-11 15:59","5210363","86","82","350","500091","59","500091","0","1301001712","0","1301001712","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100203","100100203","0","1","4","5200014","1","5200013","1","2022-06-02 16:00","2022-08-11 15:59","5210364","86","34","70","510034","13","510034","0","1301001711","0","1301001711","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100204","100100204","0","1","4","5200014","1","5200013","1","2022-06-02 16:00","2022-08-11 15:59","5210365","86","50","20","510050","28","510050","0","1301001710","0","1301001710","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100205","100100205","0","1","4","5200014","1","5200013","1","2022-06-02 16:00","2022-08-11 15:59","5210366","86","32","70","500015","11","500015","0","1301001709","0","1301001709","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100206","100100206","0","1","4","5200014","1","5200013","1","2022-06-02 16:00","2022-08-11 15:59","5210367","86","82","600","500091","59","500091","0","1301001709","0","1301001710","0","1301001711","0","1301001712","0","0","0","0","0","0","0","0","0"
"100100207","100100207","0","1","4","5200014","1","5200013","1","2022-06-16 16:00","2022-08-25 15:59","5210385","85","82","250","500091","59","500091","0","1301001731","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100208","100100208","0","1","4","5200014","1","5200013","1","2022-06-16 16:00","2022-08-25 15:59","5210386","85","30","20","500013","9","500013","0","1301001730","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100209","100100209","0","1","4","5200014","1","5200013","1","2022-06-16 16:00","2022-08-25 15:59","5210387","85","31","20","500014","10","500014","0","1301001732","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100210","100100210","0","1","4","5200014","1","5200013","1","2022-06-16 16:00","2022-08-25 15:59","5210388","85","32","50","500015","11","500015","0","1301001733","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100211","100100211","0","1","4","5200014","1","5200013","1","2022-06-16 16:00","2022-08-25 15:59","5210389","85","82","350","500091","59","500091","0","1301001731","0","1301001731","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100212","100100212","0","1","4","5200014","1","5200013","1","2022-06-16 16:00","2022-08-25 15:59","5210390","85","30","25","500013","9","500013","0","1301001730","0","1301001730","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100213","100100213","0","1","4","5200014","1","5200013","1","2022-06-16 16:00","2022-08-25 15:59","5210391","85","31","25","500014","10","500014","0","1301001732","0","1301001732","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100214","100100214","0","1","4","5200014","1","5200013","1","2022-06-16 16:00","2022-08-25 15:59","5210392","85","32","70","500015","11","500015","0","1301001733","0","1301001733","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100215","100100215","0","1","4","5200014","1","5200013","1","2022-06-16 16:00","2022-08-25 15:59","5210393","85","82","600","500091","59","500091","0","1301001733","0","1301001732","0","1301001730","0","1301001731","0","0","0","0","0","0","0","0","0"
"100100216","100100216","0","1","4","5200014","1","5200013","1","2022-07-03 16:00","2022-09-09 15:59","5210394","84","82","250","500091","59","500091","0","1301001742","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100217","100100217","0","1","4","5200014","1","5200013","1","2022-07-03 16:00","2022-09-09 15:59","5210395","84","28","10","500011","7","500011","0","1301001743","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100218","100100218","0","1","4","5200014","1","5200013","1","2022-07-03 16:00","2022-09-09 15:59","5210396","84","29","10","500012","8","500012","0","1301001744","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100219","100100219","0","1","4","5200014","1","5200013","1","2022-07-03 16:00","2022-09-09 15:59","5210397","84","34","50","510034","13","510034","0","1301001745","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100220","100100220","0","1","4","5200014","1","5200013","1","2022-07-03 16:00","2022-09-09 15:59","5210398","84","82","350","500091","59","500091","0","1301001742","0","1301001742","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100221","100100221","0","1","4","5200014","1","5200013","1","2022-07-03 16:00","2022-09-09 15:59","5210399","84","28","20","500011","7","500011","0","1301001743","0","1301001743","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100222","100100222","0","1","4","5200014","1","5200013","1","2022-07-03 16:00","2022-09-09 15:59","5210400","84","29","20","500012","8","500012","0","1301001744","0","1301001744","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100223","100100223","0","1","4","5200014","1","5200013","1","2022-07-03 16:00","2022-09-09 15:59","5210401","84","34","70","510034","13","510034","0","1301001745","0","1301001745","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100224","100100224","0","1","4","5200014","1","5200013","1","2022-07-03 16:00","2022-09-09 15:59","5210402","84","82","600","500091","59","500091","0","1301001745","0","1301001744","0","1301001743","0","1301001742","0","0","0","0","0","0","0","0","0"
"100100225","100100225","0","1","4","5200014","1","5200013","1","2022-07-13 16:00","2022-09-23 15:59","5210403","83","82","250","500091","59","500091","0","1301001772","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
