"Name","NpcDialogId","DialogValue","DialogVoice"
"10093","10093","(50101)",""
"10094","10094","(50102)",""
"10095","10095","(50103)",""
"10096","10096","(50104,50105)",""
"10101","10101","(50111,50112,50113,50114)",""
"10102","10102","(50115)",""
"10103","10103","(50116)",""
"10104","10104","(50117)",""
"10105","10105","(50118)",""
"10106","10106","(50119,50120,50121)",""
"10107","10107","(50122)",""
"10108","10108","(50123)",""
"10109","10109","(50124)",""
"10110","10110","(50125)",""
"10111","10111","(50583)",""
"10115","10115","(50126,50127)",""
"10116","10116","(50128)",""
"10117","10117","(50129)",""
"10118","10118","(50130)",""
"10119","10119","(50131)",""
"10120","10120","(50132)",""
"10121","10121","(50133)",""
"10122","10122","(50134)",""
"10123","10123","(50135)",""
"10124","10124","(50136)",""
"10125","10125","(50137)",""
"10126","10126","(50138)",""
"10127","10127","(50139)",""
"10128","10128","(50140)",""
"10129","10129","(50141)",""
"10130","10130","(50142,50143,50144)",""
"10131","10131","(50145)",""
"10132","10132","(50146)",""
"10133","10133","(50147)",""
"10134","10134","(50148)",""
"10135","10135","(50149)",""
"10136","10136","(50150)",""
"10137","10137","(50151)",""
"10138","10138","(50152)",""
"10139","10139","(50153)",""
"10140","10140","(50154)",""
"10141","10141","(50155)",""
"10142","10142","(50156)",""
"10143","10143","(50157)",""
"10144","10144","(50158)",""
"10145","10145","(50159)",""
"10146","10146","(50160,50161)",""
"10147","10147","(50161)",""
"10148","10148","(50162)",""
"10149","10149","(50163)",""
"10150","10150","(50164,50165)",""
"10151","10151","(50165)",""
"10152","10152","(50166)",""
"10153","10153","(50167)",""
"10154","10154","(50168)",""
"10155","10155","(50169)",""
"10156","10156","(50170)",""
"10157","10157","(50171)",""
"10158","10158","(50172)",""
"10159","10159","(50173)",""
"10160","10160","(50174)",""
"10161","10161","(50175)",""
"10162","10162","(50177,50178)",""
"10163","10163","(50179,50180)",""
"10164","10164","(50181,50182)",""
"10165","10165","(50183,50184,50189)",""
"10166","10166","(50185,50186)",""
"10167","10167","(50187,50188)",""
"10168","10168","(50190)",""
"10169","10169","(50191,50192)",""
"10170","10170","(50193)",""
"10171","10171","(50194)",""
"10172","10172","(50195)",""
"10173","10173","(50196)",""
"10175","10175","(50199,50200)",""
"10176","10176","(50201,50202)",""
"10177","10177","(50203,50204)",""
"10178","10178","(50205,50206)",""
"10179","10179","(50207)",""
"10180","10180","(50209)",""
"10181","10181","(50210)",""
"10182","10182","(50211)",""
"10183","10183","(50212)",""
"10184","10184","(50213)",""
"10185","10185","(50214)",""
"10186","10186","(50215)",""
"10188","10188","(50218,50219)",""
"10190","10190","(50222)",""
"10191","10191","(50224)",""
"10192","10192","(50225)",""
"10193","10193","(50226)",""
"10194","10194","(50227)",""
"10195","10195","(50228)",""
"10196","10196","(50229)",""
"10197","10197","(50230)",""
"10198","10198","(50231)",""
"10199","10199","(50232)",""
"10200","10200","(50233)",""
"10201","10201","(50234)",""
"10202","10202","(50235)",""
"10203","10203","(50236)",""
"10204","10204","(50237)",""
"10205","10205","(50238)",""
"10207","10207","(50242)",""
"10208","10208","(50243)",""
"10209","10209","(50244)",""
"10210","10210","(50245)",""
"10211","10211","(50246)",""
"10212","10212","(50247)",""
"10213","10213","(50248)",""
"10214","10214","(50249)",""
"10215","10215","(50250)",""
"10216","10216","(50251)",""
"10217","10217","(50252)",""
"10218","10218","(50253)",""
"10219","10219","(50254)",""
"10220","10220","(50255)",""
"10221","10221","(50256)",""
"10222","10222","(50257)",""
"10223","10223","(50258)",""
"10224","10224","(50259)",""
"10225","10225","(50260)",""
"10226","10226","(50261)",""
"10227","10227","(50262)",""
"10228","10228","(50263)",""
"10229","10229","(50264,50265)",""
"10230","10230","(50266)",""
"10231","10231","(50267)",""
"10256","10256","(50291)",""
"10257","10257","(50223)",""
"10258","10258","(50292)",""
"10259","10259","(50293)",""
"10260","10260","(50294)",""
"10261","10261","(50295,50296)",""
"10262","10262","(50297)",""
"10263","10263","(50298)",""
"10264","10264","(50299)",""
"10265","10265","(50300)",""
"10266","10266","(50301,50302,50303)",""
"10267","10267","(50304,50305,50306)",""
"10268","10268","(50307)",""
"10269","10269","(50308)",""
"10270","10270","(50309)",""
"10271","10271","(50310)",""
"10272","10272","(50311)",""
"10273","10273","(50312)",""
"10274","10274","(50313)",""
"10275","10275","(50314,50315)",""
"10276","10276","(50316)",""
"10277","10277","(50317)",""
"10278","10278","(50318)",""
"10279","10279","(50319)",""
"10280","10280","(50320)",""
"10281","10281","(50321)",""
"10283","10283","(50324,50325)",""
"10284","10284","(50326,50327)",""
"10285","10285","(50328,50329)",""
"10286","10286","(50330)",""
"10287","10287","(50332)",""
"10288","10288","(50333)",""
"10289","10289","(50334)",""
"10290","10290","(50335)",""
"10291","10291","(50336)",""
"10292","10292","(50337)",""
"10293","10293","(50341)",""
"10294","10294","(50342,50343)",""
"10295","10295","(50344,50345)",""
"10297","10297","(50348)",""
"10298","10298","(50349)",""
"10299","10299","(50350)",""
"10300","10300","(50351)",""
"10301","10301","(50352)",""
"10302","10302","(50353)",""
"10303","10303","(50354)",""
"10304","10304","(50355,50356)",""
"10305","10305","(50357,50358)",""
"10306","10306","(50359)",""
"10307","10307","(50360)",""
"10308","10308","(50361)",""
"10309","10309","(50362)",""
"10311","10311","(50366)",""
"10313","10313","(50370)",""
"10314","10314","(50371)",""
"10315","10315","(50372)",""
"10316","10316","(50373)",""
"10317","10317","(50374)",""
"10318","10318","(50375)",""
"10319","10319","(50376)",""
"10320","10320","(50377)",""
"10321","10321","(50378)",""
"10322","10322","(50379)",""
"10323","10323","(50380)",""
"10324","10324","(50381)",""
"10328","10328","(50383)",""
"10329","10329","(50384)",""
"10330","10330","(50385)",""
"10331","10331","(50386)",""
"10332","10332","(50387)",""
"10334","10334","(50397)",""
"10335","10335","(50398)",""
"10336","10336","(50399)",""
"10337","10337","(50400)",""
"10338","10338","(50401)",""
"10339","10339","(50402)",""
"10340","10340","(50403)",""
"10341","10341","(50404)",""
"10342","10342","(50405)",""
"10343","10343","(50406)",""
"10344","10344","(50407)",""
"10345","10345","(50408)",""
"10346","10346","(50409)",""
"10347","10347","(50410)",""
"10348","10348","(50411)",""
"10349","10349","(50412,50586)",""
"10350","10350","(50413)",""
"10352","10352","(50417)",""
"10353","10353","(50418)",""
"10354","10354","(50419)",""
"10355","10355","(50420)",""
"10356","10356","(50421)",""
"10357","10357","(50422)",""
"10358","10358","(50423)",""
"10359","10359","(50424,50425,50426)",""
"10360","10360","(50427)",""
"10361","10361","(50428,50429)",""
"10362","10362","(50430)",""
"10363","10363","(50431)",""
"10364","10364","(50432)",""
"10365","10365","(50433)",""
"10366","10366","(50434)",""
"10367","10367","(50435)",""
"10368","10368","(50436)",""
"10369","10369","(50437)",""
"10370","10370","(50438)",""
"10371","10371","(50439)",""
"10372","10372","(50440)",""
"10373","10373","(50441)",""
"10374","10374","(50442)",""
"10375","10375","(50443)",""
"10376","10376","(50392)",""
"10377","10377","(50393)",""
"10378","10378","(50394)",""
"10379","10379","(50395)",""
"10380","10380","(50396)",""
"10381","10381","(51201)",""
"10382","10382","(50446)",""
"10383","10383","(50447)",""
"10384","10384","(50448)",""
"10385","10385","(50449)",""
"10386","10386","(50450)",""
"10387","10387","(50453)",""
"10388","10388","(50454)",""
"10389","10389","(50455)",""
"10390","10390","(50456)",""
"10391","10391","(50457)",""
"10392","10392","(50458)",""
"10393","10393","(50459)",""
"10394","10394","(50460)",""
"10395","10395","(50461)",""
"10396","10396","(50462,50565)",""
"10397","10397","(50463)",""
"10398","10398","(50464)",""
"10449","10449","(50566)",""
"10455","10455","(50572)",""
"10456","10456","(50573)",""
"10399","10399","(50465,50466)",""
"10400","10400","(50467,50468)",""
"10401","10401","(50469,50470)",""
"10402","10402","(50471,50472)",""
"10403","10403","(50473,50474)",""
"10404","10404","(50475,50476)",""
"10405","10405","(50477,50478)",""
"10406","10406","(50479)",""
"10407","10407","(50481,50482)",""
"10408","10408","(50483,50484)",""
"10409","10409","(50485,50486)",""
"10410","10410","(50487)",""
"10411","10411","(50489,50490)",""
"10412","10412","(50491,50492)",""
"10413","10413","(50493,50494)",""
"10414","10414","(50495,50496)",""
"10415","10415","(50497)",""
"10457","10457","(50574)",""
"10458","10458","(50575)",""
"10416","10416","(50499)",""
"10417","10417","(50501)",""
"10418","10418","(50503)",""
"10419","10419","(50505)",""
"10420","10420","(50507)",""
"10421","10421","(50509)",""
"10422","10422","(50511,50512)",""
"10450","10450","(50567)",""
"10451","10451","(50568)",""
"10452","10452","(50569)",""
"10423","10423","(50513,50514)",""
"10425","10425","(50517)",""
"10426","10426","(50519,50520)",""
"10427","10427","(50521)",""
"10428","10428","(50523,50524)",""
"10429","10429","(50525,50526)",""
"10430","10430","(50527,50528)",""
"10431","10431","(50529,50530)",""
"10432","10432","(50531,50532)",""
"10433","10433","(50533)",""
"10435","10435","(50537,50538)",""
"10438","10438","(50543,50544)",""
"10439","10439","(50545,50546)",""
"10440","10440","(50547,50548)",""
"10441","10441","(50549)",""
"10442","10442","(50551,50552)",""
"10443","10443","(50553)",""
"10444","10444","(50555,50556)",""
"10445","10445","(50557,50558)",""
"10446","10446","(50559,50560)",""
"10447","10447","(50561,50562)",""
"10448","10448","(50563,50564)",""
"10453","10453","(50570)",""
"10454","10454","(50571)",""
"10459","10459","(50576)",""
"10460","10460","(50577)",""
"10461","10461","(50578)",""
"10462","10462","(50579)",""
"10463","10463","(50580)",""
"10464","10464","(50581)",""
"10465","10465","(50582)",""
"10466","10466","(50584)",""
"10467","10467","(50585)",""
"10501","10501","(50587)",""
"10502","10502","(50589)",""
"10503","10503","(50591)",""
"10504","10504","(50593)",""
"10505","10505","(50595)",""
"10506","10506","(50597)",""
"10507","10507","(50599,50600)",""
"10508","10508","(50601)",""
"10509","10509","(50602)",""
"10510","10510","(50603)",""
"10511","10511","(50605)",""
"10512","10512","(50607,50608)",""
"10513","10513","(50609)",""
"10514","10514","(50610)",""
"10515","10515","(50612)",""
"10516","10516","(50614)",""
"10517","10517","(50616)",""
"10518","10518","(50617)",""
"10601","10601","(50701)",""
"10602","10602","(50702)",""
"10603","10603","(50703)",""
"10604","10604","(50704)",""
"10605","10605","(50705)",""
"10606","10606","(50706)",""
"10607","10607","(50707,50708)",""
"10608","10608","(50709)",""
"10609","10609","(50710)",""
"10610","10610","(50711)",""
"10611","10611","(50712,50713)",""
"10612","10612","(50714)",""
"10613","10613","(50715)",""
"10614","10614","(50716)",""
"10701","10701","(50801)",""
"10702","10702","(50802)",""
"10703","10703","(50803)",""
"10704","10704","(50804)",""
"10705","10705","(50805)",""
"10706","10706","(50806)",""
"10707","10707","(50807)",""
"10708","10708","(50808)",""
"10709","10709","(50809)",""
"10710","10710","(50810)",""
"10711","10711","(50811,50812)",""
"10801","10801","(50901)",""
"10802","10802","(50902)",""
"10803","10803","(50903)",""
"10804","10804","(50904)",""
"10805","10805","(50905)",""
"10806","10806","(50906)",""
"10807","10807","(50907)",""
"10808","10808","(50908)",""
"10809","10809","(50909)",""
"10810","10810","(50910)",""
"10811","10811","(50911)",""
"10812","10812","(50912)",""
"10813","10813","(50913)",""
"10901","10901","(51001)",""
"10902","10902","(51002)",""
"10903","10903","(51003)",""
"10904","10904","(51004)",""
"10905","10905","(51005)",""
"10906","10906","(51006)",""
"10907","10907","(51007)",""
"10908","10908","(51008)",""
"10909","10909","(51009)",""
"11001","11001","(51101)",""
"11002","11002","(51102)",""
"11003","11003","(51103)",""
"11004","11004","(51104)",""
"11005","11005","(51105)",""
"11006","11006","(51106)",""
"11007","11007","(51107)",""
"11101","11101","(51301)",""
"11102","11102","(51302)",""
"11103","11103","(51303)",""
"11104","11104","(51304)",""
"11105","11105","(51305)",""
"11201","11201","(51401)",""
"11202","11202","(51402)",""
"11203","11203","(51403)",""
"11204","11204","(51404)",""
"11205","11205","(51405)",""
"11206","11206","(51406)",""
"11207","11207","(51407)",""
"11208","11208","(51408)",""
"11209","11209","(51409)",""
"11301","11301","(51501)",""
"11302","11302","(51502)",""
"11303","11303","(51503)",""
"11304","11304","(51504)",""
"11305","11305","(51505)",""
"11306","11306","(51506)",""
"11307","11307","(51507)",""
"11308","11308","(51508)",""
"11309","11309","(51509)",""
"11310","11310","(51510)",""
"11311","11311","(51511)",""
"11312","11312","(51512)",""
"11313","11313","(51513)",""
"11314","11314","(51514)",""
"11315","11315","(51515)",""
"11316","11316","(51516)",""
"11401","11401","(51601)",""
"11402","11402","(51602)",""
"11403","11403","(51603)",""
"11404","11404","(51604)",""
"11405","11405","(51605)",""
"11406","11406","(51606)",""
"11501","11501","(51701)",""
"11502","11502","(51702)",""
"11503","11503","(51703)",""
"11504","11504","(51704)",""
"11505","11505","(51705)",""
"11601","11601","(51801)",""
"11602","11602","(51802)",""
"11603","11603","(51803)",""
"11604","11604","(51804)",""
"11605","11605","(51805)",""
"11606","11606","(51806)",""
"11607","11607","(51807)",""
"12001","12001","(52001)",""
"12002","12002","(52002)",""
"12003","12003","(52003)",""
"12004","12004","(52004)",""
"12005","12005","(52005)",""
"12101","12101","(52101)",""
"12102","12102","(52102)",""
"12103","12103","(52103)",""
"12104","12104","(52104)",""
"12105","12105","(52105)",""
"12106","12106","(52106)",""
"12107","12107","(52107)",""
"12108","12108","(52108)",""
"12109","12109","(52109)",""
"12201","12201","(52201)",""
"12202","12202","(52202)",""
"12203","12203","(52203)",""
"12204","12204","(52204)",""
"12205","12205","(52205)",""
"12206","12206","(52206)",""
"12207","12207","(52207)",""
"12208","12208","(52208)",""
"12209","12209","(52209)",""
"12210","12210","(52210)",""
"12211","12211","(52211)",""
"12212","12212","(52212)",""
"12213","12213","(52213)",""
"12214","12214","(52214)",""
"12215","12215","(52215)",""
"12216","12216","(52216)",""
"12301","12301","(52301)",""
"12302","12302","(52302)",""
"12303","12303","(52303)",""
"12304","12304","(52304)",""
"12305","12305","(52305)",""
"12306","12306","(52306)",""
"12307","12307","(52307)",""
"12308","12308","(52308)",""
"12309","12309","(52309)",""
"12310","12310","(52310)",""
"12311","12311","(52311)",""
"12312","12312","(52312)",""
"12401","12401","(52401)",""
"12402","12402","(52402)",""
"12403","12403","(52403)",""
"12404","12404","(52404)",""
"12405","12405","(52405)",""
"12406","12406","(52406)",""
"12407","12407","(52407)",""
"12408","12408","(52408)",""
"12409","12409","(52409)",""
"12410","12410","(52410)",""
"12411","12411","(52411)",""
"12501","12501","(52501)",""
"12502","12502","(52502)",""
"12503","12503","(52503)",""
"12504","12504","(52504)",""
"12505","12505","(52505)",""
"12506","12506","(52506)",""
"12507","12507","(52507)",""
"13201","13201","(53201)",""
"13202","13202","(53202)",""
"13203","13203","(53203)",""
"13204","13204","(53204)",""
"13205","13205","(53205)",""
"13206","13206","(53206)",""
"13207","13207","(53207)",""
"13208","13208","(53208)",""
"13209","13209","(53209)",""
"13210","13210","(53210)",""
"13211","13211","(53211)",""
"13212","13212","(53212)",""
"13213","13213","(53213)",""
"13214","13214","(53214)",""
"13215","13215","(53215)",""
"13216","13216","(53216)",""
"13217","13217","(53217)",""
"13218","13218","(53218)",""
"13219","13219","(53219)",""
"13301","13301","(53301)",""
"13302","13302","(53302)",""
"13303","13303","(53303)",""
"13304","13304","(53304)",""
"13305","13305","(53305)",""
"13306","13306","(53306)",""
"13307","13307","(53307)",""
"13308","13308","(53308)",""
"13309","13309","(53309)",""
"13310","13310","(53310)",""
"13311","13311","(53311)",""
"13312","13312","(53312)",""
"13401","13401","(53401)",""
"13402","13402","(53402)",""
"13403","13403","(53403)",""
"13404","13404","(53404)",""
"13405","13405","(53405)",""
"13406","13406","(53406)",""
"13407","13407","(53407)",""
"13408","13408","(53408)",""
"13409","13409","(53409)",""
"13410","13410","(53410)",""
"13501","13501","(53501)",""
"13502","13502","(53502)",""
"13503","13503","(53503)",""
"13504","13504","(53504)",""
"13505","13505","(53505)",""
"13506","13506","(53506)",""
"13507","13507","(53507)",""
"13508","13508","(53508)",""
"13509","13509","(53509)",""
"13601","13601","(53601)",""
"13602","13602","(53602)",""
"13603","13603","(53603)",""
"13604","13604","(53604)",""
"13605","13605","(53605)",""
"13606","13606","(53606)",""
"13607","13607","(53607)",""
"13608","13608","(53608)",""
"13609","13609","(53609)",""
"13610","13610","(53610)",""
"13611","13611","(53611)",""
"13612","13612","(53612)",""
"13701","13701","(53701)",""
"13702","13702","(53702)",""
"13703","13703","(53703)",""
"13704","13704","(53704)",""
"13705","13705","(53705)",""
"13706","13706","(53706)",""
"13707","13707","(53707)",""
"13708","13708","(53708)",""
"13709","13709","(53709)",""
"13710","13710","(53710)",""
"13711","13711","(53711)",""
"13712","13712","(53712)",""
"13801","13801","(53801)",""
"13802","13802","(53802)",""
"13803","13803","(53803)",""
"13804","13804","(53804)",""
"13805","13805","(53805)",""
"13806","13806","(53806)",""
"13807","13807","(53807)",""
"13808","13808","(53808)",""
"13809","13809","(53809)",""
"13810","13810","(53810)",""
"13811","13811","(53811)",""
"13812","13812","(53812)",""
"13813","13813","(53813)",""
"13814","13814","(53814)",""
"13815","13815","(53815)",""
"13816","13816","(53816)",""
"13817","13817","(53817)",""
"13818","13818","(53818)",""
"13819","13819","(53819)",""
"13820","13820","(53820)",""
"13821","13821","(53821)",""
"13822","13822","(53822)",""
"13823","13823","(53823)",""
"13901","13901","(53901)",""
"13902","13902","(53902)",""
"13903","13903","(53903)",""
"13904","13904","(53904)",""
"13905","13905","(53905)",""
"13906","13906","(53906)",""
"13907","13907","(53907)",""
"13908","13908","(53908)",""
"13909","13909","(53909)",""
"13910","13910","(53911)",""
"13911","13911","(53912)",""
"13912","13912","(53914)",""
"13913","13913","(53921)",""
"13914","13914","(53922)",""
"13915","13915","(53923)",""
"13916","13916","(53925)",""
"13917","13917","(53926)",""
"13918","13918","(53927)",""
"14001","14001","(54001)",""
"14002","14002","(54002)",""
"14003","14003","(54003)",""
"14004","14004","(54004)",""
"14005","14005","(54005)",""
"14006","14006","(54006)",""
"14007","14007","(54007)",""
"14008","14008","(54008)",""
"14009","14009","(54009)",""
"14010","14010","(54010)",""
"14011","14011","(54011)",""
"14012","14012","(54012)",""
"14013","14013","(54013)",""
"14014","14014","(54014)",""
"14015","14015","(54015)",""
"14016","14016","(54016)",""
"14017","14017","(54017)",""
"14018","14018","(54018)",""
"14101","14101","(54101)",""
"14102","14102","(54102)",""
"14103","14103","(54103)",""
"14104","14104","(54104)",""
"14105","14105","(54105)",""
"14106","14106","(54106)",""
"14107","14107","(54107)",""
"14108","14108","(54108)",""
"14109","14109","(54110)",""
"14110","14110","(54111)",""
"14111","14111","(54112)",""
"14112","14112","(54113)",""
"14113","14113","(54114)",""
"14114","14114","(54115)",""
"14115","14115","(54116)",""
"14116","14116","(54117)",""
"14117","14117","(54118)",""
"14118","14118","(54119)",""
"14201","14201","(54201)",""
"14202","14202","(54202)",""
"14203","14203","(54203)",""
"14204","14204","(54204)",""
"14205","14205","(54205)",""
"14206","14206","(54207)",""
"14207","14207","(54208)",""
"14208","14208","(54209)",""
"14209","14209","(54210)",""
"14210","14210","(54211)",""
"14211","14211","(54212)",""
"14212","14212","(54213)",""
"14213","14213","(54214)",""
"14214","14214","(54215)",""
"14215","14215","(54216)",""
"14216","14216","(54217)",""
"14301","14301","(54301)",""
"14302","14302","(54302)",""
"14303","14303","(54303)",""
"14304","14304","(54304)",""
"14305","14305","(54305)",""
"14306","14306","(54306)",""
"14307","14307","(54307)",""
"14308","14308","(54308)",""
"14309","14309","(54309)",""
"14310","14310","(54310)",""
"14311","14311","(54311)",""
"20001","20001","(60001,60002,60003)",""
"20002","20002","(60004)",""
"20003","20003","(60005)",""
"20004","20004","(20004)",""
"20005","20005","(20005)",""
"20006","20006","(20006)",""
"20007","20007","(20007)",""
"20008","20008","(20008)",""
"20009","20009","(20009)",""
"20010","20010","(20010)",""
"20011","20011","(20011)",""
"30003","30003","(105000101,105000102)",""
"30004","30004","(105000201,105000202,105000203)",""
"30005","30005","(105000301,105000302,105000303)",""
"40001","40001","(70001,70002)",""
"50000","50000","(500000)",""
"50001","50001","(500001)",""
"50002","50002","(500002)",""
"50003","50003","(500003)",""
"50004","50004","(500004)",""
"50005","50005","(500005)",""
"50006","50006","(500006)",""
"50010","50010","(500010)",""
"50011","50011","(500011)",""
"50012","50012","(500012)",""
"50013","50013","(500013)",""
"50014","50014","(500014)",""
"50015","50015","(500015)",""
"50016","50016","(500016)",""
"50017","50017","(500017)",""
"50018","50018","(500018)",""
"50019","50019","(500019)",""
"50020","50020","(500020)",""
"50021","50021","(500021)",""
"50022","50022","(500022)",""
"50023","50023","(500023)",""
"50024","50024","(500024)",""
"50025","50025","(500025)",""
"50026","50026","(500026)",""
"50027","50027","(500027)",""
"50028","50028","(500028)",""
"50029","50029","(500029)",""
"50031","50031","(500031)",""
"50032","50032","(500032)",""
"50033","50033","(500033)",""
"50034","50034","(500034)",""
"50035","50035","(500035)",""
"50037","50037","(500037)",""
"50038","50038","(500038)",""
"50040","50040","(500040)",""
"50041","50041","(500041)",""
"50042","50042","(500042)",""
"50044","50044","(500044)",""
"50045","50045","(500045)",""
"50046","50046","(500046)",""
"50047","50047","(500047)",""
"50048","50048","(500048)",""
"50049","50049","(500049)",""
"50050","50050","(500050)",""
"50051","50051","(500051)",""
"50052","50052","(500052)",""
"50053","50053","(500053)",""
"50054","50054","(500054)",""
"50055","50055","(500055)",""
"50056","50056","(500056)",""
"50058","50058","(500058)",""
"50059","50059","(500059)",""
"50060","50060","(500060)",""
"50061","50061","(500061)",""
"50062","50062","(500062)",""
"50064","50064","(500064)",""
"50065","50065","(500065)",""
"50066","50066","(500066)",""
"50067","50067","(500067)",""
"50068","50068","(500068)",""
"50069","50069","(500069)",""
"50070","50070","(500070)",""
"50071","50071","(500071)",""
"50072","50072","(500072)",""
"50073","50073","(500073)",""
"50074","50074","(500074)",""
"50075","50075","(500075)",""
"50076","50076","(500076)",""
"50077","50077","(500077)",""
"50078","50078","(500078)",""
"50079","50079","(500079)",""
"50080","50080","(500080)",""
"50081","50081","(500081)",""
"50082","50082","(500082)",""
"50083","50083","(500083)",""
"50084","50084","(500084)",""
"50085","50085","(500085)",""
"50086","50086","(500086)",""
"50087","50087","(500087)",""
"50088","50088","(500088)",""
"50089","50089","(500089)",""
"50090","50090","(500090)",""
"50091","50091","(500091)",""
"50092","50092","(500092)",""
"50093","50093","(500093)",""
"50094","50094","(500094)",""
"50095","50095","(500095)",""
"50096","50096","(500096)",""
"50097","50097","(500097)",""
"50098","50098","(500098)",""
"50099","50099","(500099)",""
"50100","50100","(500100)",""
"50101","50101","(500101)",""
"50102","50102","(500102)",""
"50103","50103","(500103)",""
"50104","50104","(500104)",""
"50105","50105","(500105)",""
"50106","50106","(500106)",""
