"Name","ContentsId","ClassId","ShowOnOff","DefaultBtnType","OpenConditionType","OpenConditionValue","PlanAlramType","PlanAlramValue","TutorialGroupId","LockOnOff","ServerVisitUseContents","ConquerServerUseContents","UnionZoneDungeonUseContents"
"7000","7000","0","1","2","1","60","0","0","0","0","1","1","1"
"5913","5913","0","1","2","1","40","0","0","0","0","0","0","0"
"2730","2730","0","0","2","1","1","0","0","0","0","1","1","0"
"7100","7100","0","0","3","1","1","0","0","0","0","1","1","1"
"6802","6802","0","0","3","1","1","0","0","0","0","0","0","0"
"5914","5914","0","0","3","1","40","0","0","0","0","0","0","0"
"7400","7400","0","1","2","1","60","0","0","0","0","1","1","1"
"7500","7500","0","0","3","1","1","0","0","0","0","0","0","0"
"7600","7600","0","0","3","1","20","0","0","0","0","1","1","1"
"5500","5500","0","0","1","1","1","0","0","0","0","1","1","1"
"8100","8100","0","1","2","1","123","0","0","0","0","1","1","1"
"8110","8110","0","0","2","1","123","0","0","0","0","1","1","1"
"8120","8120","0","0","2","1","123","0","0","0","0","1","1","1"
