"Name","PetId","Tier","NameId","Origin","TagNameId","IconId","PETBuffIconId","GachaIconId","GachaFixImgOffset","LuxuryType","CostumePartsType","IngameMeshId","OutgameMeshId","OutgameAnimResourceId","IngameAnimResourceId","UnlockNeedItemId","UnlockNeedItemUseId","UnlockNeedItemCount","GradeUpNeedCostType","GradeUpNeedCostValue","LvUpNeedPetItemUseId","GradeUpNeedItemCount01","GradeUpNeedItemUseId02","GradeUpNeedItemCount02","Global_Attribute1Type","Global_Attribute1Value","Global_Attribute2Type","Global_Attribute2Value","SkillId01","SkillId02","SkillId03","SkillId04","SkillId05","SkillId06","SpeechTxtUi","SpeechTxtEquip","SpeechTxtDie"
"1501","1501","3","4800016","1","4810002","3410015","3450015","231708015","(0,0)","0","0","400015","410015","31015","41001","1701200015","1701000015","1","2","300000","1701000015","1","508000002","15","22","10","0","0","15001","15002","0","0","0","0","(4820141,4820142,4820143)","(4831141,4831142,4831143)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"1601","1601","2","4800017","1","4810002","3410016","3450016","231708016","(0,0)","0","0","400016","410016","31016","41008","1701200016","1701000016","1","2","15000","1701000016","1","508000001","10","22","5","0","0","16001","0","0","0","0","0","(4820151,4820152,4820153)","(4831151,4831152,4831153)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"1701","1701","5","4800018","6","4810007","3410017","3450017","231708017","(0,0)","0","0","400017","410017","31017","41006","1701200017","1701000017","1","2","700000","1701000017","1","508000004","25","22","40","0","0","17001","17002","17003","17004","0","0","(4820161,4820162,4820163)","(4831161,4831162,4831163)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"1801","1801","2","4800019","1","4810002","3410018","3450018","231708018","(0,0)","0","0","400018","410018","31018","41001","1701200018","1701000018","1","2","15000","1701000018","1","508000001","10","20","5","0","0","18001","0","0","0","0","0","(4820171,4820172,4820173)","(4831171,4831172,4831173)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"1901","1901","3","4800020","1","4810002","3410019","3450019","231708019","(0,0)","0","0","400019","410019","31019","41004","1701200019","1701000019","1","2","300000","1701000019","1","508000002","15","26","10","0","0","19001","19002","0","0","0","0","(4820181,4820182,4820183)","(4831181,4831182,4831183)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"2001","2001","3","4800021","1","4810002","3410020","3450020","231708020","(0,0)","0","0","400020","410020","31020","41006","1701200020","1701000020","1","2","300000","1701000020","1","508000002","15","26","10","0","0","20001","20002","0","0","0","0","(4820191,4820192,4820193)","(4831191,4831192,4831193)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"2101","2101","4","4800022","6","4810007","3410021","3450021","231708021","(0,0)","0","0","400021","410021","31021","41006","1701200021","1701000021","1","2","500000","1701000021","1","508000003","20","22","20","0","0","21001","21002","21003","0","0","0","(4820201,4820202,4820203)","(4831201,4831202,4831203)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"2201","2201","3","4800023","2","4810003","3410022","3450022","231708022","(0,0)","0","0","400022","410022","31022","41005","1701200022","1701000022","1","2","300000","1701000022","1","508000002","15","20","10","0","0","22001","22002","0","0","0","0","(4820211,4820212,4820213)","(4831211,4831212,4831213)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"2301","2301","2","4800024","1","4810002","3410023","3450023","231708023","(0,0)","0","0","400023","410023","31023","41003","1701200023","1701000023","1","2","15000","1701000023","1","508000001","10","24","5","0","0","23001","0","0","0","0","0","(4820221,4820222,4820223)","(4831221,4831222,4831223)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"2401","2401","5","4800025","2","4810003","3410024","3450024","231708024","(0,0)","0","0","400024","410024","31024","41006","1701200024","1701000024","1","2","700000","1701000024","1","508000004","25","26","40","0","0","24001","24002","24003","24004","0","0","(4820231,4820232,4820233)","(4831231,4831232,4831233)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"2501","2501","3","4800026","2","4810003","3410025","3450025","231708025","(0,0)","0","0","400025","410025","31025","41005","1701200025","1701000025","1","2","300000","1701000025","1","508000002","15","22","10","0","0","25001","25002","0","0","0","0","(4820241,4820242,4820243)","(4831241,4831242,4831243)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"2601","2601","4","4800027","5","4810006","3410026","3450026","231708026","(0,0)","0","0","400026","410026","31026","41006","1701200026","1701000026","1","2","500000","1701000026","1","508000003","20","22","20","0","0","26001","26002","26003","0","0","0","(4820251,4820252,4820253)","(4831251,4831252,4831253)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"2701","2701","4","4800028","4","4810005","3410027","3450027","231708027","(0,0)","0","0","400027","410027","31027","41006","1701200027","1701000027","1","2","500000","1701000027","1","508000003","20","20","20","0","0","27001","27002","27003","0","0","0","(4820261,4820262,4820263)","(4831261,4831262,4831263)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"2801","2801","4","4800029","6","4810007","3410028","3450028","231708028","(0,0)","0","0","400028","410028","31028","41006","1701200028","1701000028","1","2","500000","1701000028","1","508000003","20","24","20","0","0","28001","28002","28003","0","0","0","(4820271,4820272,4820273)","(4831271,4831272,4831273)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"2901","2901","4","4800030","3","4810004","3410029","3450029","231708029","(0,0)","0","0","400029","410029","31029","41005","1701200029","1701000029","1","2","500000","1701000029","1","508000003","20","26","20","0","0","29001","29002","29003","0","0","0","(4820281,4820282,4820283)","(4831281,4831282,4831283)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"3001","3001","3","4800031","1","4810002","3410030","3450030","231708030","(0,0)","0","0","400030","410030","31030","41004","1701200030","1701000030","1","2","300000","1701000030","1","508000002","15","26","10","0","0","30001","30002","0","0","0","0","(4820291,4820292,4820293)","(4831291,4831292,4831293)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"3101","3101","5","4800032","1","4810002","3410031","3450031","231708031","(0,0)","0","0","400031","410031","31031","41003","1701100031","1701000031","1","2","700000","1701000031","1","508000004","25","24","40","0","0","31001","31002","31003","31004","0","0","(4820301,4820302,4820303)","(4831301,4831302,4831303)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"3201","3201","3","4800033","2","4810003","3410032","3450032","231708032","(0,0)","0","0","400032","410032","31032","41001","1701200032","1701000032","1","2","300000","1701000032","1","508000002","15","24","10","0","0","32001","32002","0","0","0","0","(4820311,4820312,4820313)","(4831311,4831312,4831313)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"3301","3301","3","4800034","1","4810002","3410033","3450033","231708033","(0,0)","0","0","400033","410033","31033","41001","1701200033","1701000033","1","2","300000","1701000033","1","508000002","15","24","10","0","0","33001","33002","0","0","0","0","(4820321,4820322,4820323)","(4831321,4831322,4831323)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"3401","3401","4","4800035","4","4810005","3410034","3450034","231708034","(0,0)","0","0","400034","410034","31034","41005","1701200034","1701000034","1","2","500000","1701000034","1","508000003","20","20","20","0","0","34001","34002","34003","0","0","0","(4820331,4820332,4820333)","(4831331,4831332,4831333)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"3501","3501","4","4800036","6","4810007","3410035","3450035","231708035","(0,0)","0","0","400035","410035","31035","41005","1701200035","1701000035","1","2","500000","1701000035","1","508000003","20","20","20","0","0","35001","35002","35003","0","0","0","(4820341,4820342,4820343)","(4831341,4831342,4831343)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"3601","3601","5","4800037","6","4810007","3410036","3450036","231708036","(0,0)","0","0","400036","410036","31036","41006","1701200036","1701000036","1","2","700000","1701000036","1","508000004","25","26","40","0","0","36001","36002","36003","36004","0","0","(4820351,4820352,4820353)","(4831351,4831352,4831353)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"3701","3701","4","4800038","1","4810002","3410037","3450037","231708037","(0,0)","0","0","400037","410037","31037","41003","1701200037","1701000037","1","2","500000","1701000037","1","508000003","20","24","20","0","0","37001","37002","37003","0","0","0","(4820361,4820362,4820363)","(4831361,4831362,4831363)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"3801","3801","4","4800039","3","4810004","3410038","3450038","231708038","(0,0)","0","0","400038","410038","31038","41006","1701200038","1701000038","1","2","500000","1701000038","1","508000003","20","22","20","0","0","38001","38002","38003","0","0","0","(4820371,4820372,4820373)","(4831371,4831372,4831373)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"3901","3901","4","4800040","2","4810003","3410039","3450039","231708039","(0,0)","0","0","400039","410039","31039","41005","1701200039","1701000039","1","2","500000","1701000039","1","508000003","20","26","20","0","0","39001","39002","39003","0","0","0","(4820381,4820382,4820383)","(4831381,4831382,4831383)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"4001","4001","5","4800041","5","4810006","3410040","3450040","231708040","(0,0)","0","0","400040","410040","31040","41005","1701200040","1701000040","1","2","700000","1701000040","1","508000004","25","20","40","0","0","40001","40002","40003","40004","0","0","(4820391,4820392,4820393)","(4831391,4831392,4831393)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"4101","4101","5","4800042","2","4810003","3410041","3450041","231708041","(0,0)","0","0","400041","410041","31041","41006","1701200041","1701000041","1","2","700000","1701000041","1","508000004","25","22","40","0","0","41001","41002","41003","41004","0","0","(4820401,4820402,4820403)","(4831401,4831402,4831403)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"4201","4201","5","4800043","4","4810005","3410042","3450042","231708042","(0,0)","0","0","400042","410042","31042","41009","1701200042","1701000042","1","2","700000","1701000042","1","508000004","25","20","40","0","0","42001","42002","42003","42004","0","0","(4820411,4820412,4820413)","(4831411,4831412,4831413)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"4301","4301","5","4800044","3","4810004","3410043","3450043","231708043","(0,0)","0","0","400043","410043","31043","41009","1701200043","1701000043","1","2","700000","1701000043","1","508000004","25","24","40","0","0","43001","43002","43003","43004","0","0","(4820421,4820422,4820423)","(4831421,4831422,4831423)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"4401","4401","4","4800045","3","4810004","3410044","3450044","231708044","(0,0)","0","0","400044","410044","31044","41006","1701200044","1701000044","1","2","500000","1701000044","1","508000003","20","24","20","0","0","44001","44002","44003","0","0","0","(4820431,4820432,4820433)","(4831431,4831432,4831433)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"4501","4501","4","4800046","2","4810003","3410045","3450045","231708045","(0,0)","0","0","400045","410045","31045","41005","1701200045","1701000045","1","2","500000","1701000045","1","508000003","20","26","20","0","0","45001","45002","45003","0","0","0","(4820441,4820442,4820443)","(4831441,4831442,4831443)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"4601","4601","5","4800047","3","4810004","3410046","3450046","231708046","(0,0)","0","0","400046","410046","31046","41006","1701200046","1701000046","1","2","700000","1701000046","1","508000004","25","20","40","0","0","46001","46002","46003","46004","0","0","(4820451,4820452,4820453)","(4831451,4831452,4831453)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"4701","4701","4","4800048","1","4810002","3410047","3450047","231708047","(0,0)","0","0","400047","410047","31047","41006","1701200047","1701000047","1","2","500000","1701000047","1","508000003","20","20","20","0","0","47001","47002","47003","0","0","0","(4820461,4820462)","(4831461,4831462,4831463)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"4801","4801","4","4800049","5","4810006","3410048","3450048","231708048","(10,0)","0","0","400048","410048","31048","41005","1701200048","1701000048","1","2","500000","1701000048","1","508000003","20","22","20","0","0","48001","48002","48003","0","0","0","(4820471,4820472)","(4831471,4831472,4831473)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"4901","4901","5","4800050","4","4810005","3410049","3450049","231708049","(25,0)","0","0","400049","410049","31049","41006","1701200049","1701000049","1","2","700000","1701000049","1","508000004","25","24","40","0","0","49001","49002","49003","49004","0","0","(4820481,4820482)","(4831481,4831482,4831483)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"5001","5001","4","4800051","6","4810007","3410050","3450050","231708050","(0,0)","0","0","400050","410050","31050","41003","1701200050","1701000050","1","2","500000","1701000050","1","508000003","20","26","20","0","0","50001","50002","50003","0","0","0","(4820491,4820492)","(4831491,4831492,4831493)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"5101","5101","5","4800052","5","4810006","3410051","3450051","231708051","(0,0)","0","0","400051","410051","31051","41005","1701200051","1701000051","1","2","700000","1701000051","1","508000004","25","22","40","0","0","51001","51002","51003","51004","0","0","(4820501,4820502)","(4831501,4831502,4831503)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"5201","5201","4","4800053","1","4810002","3410052","3450052","231708052","(25,0)","0","0","400052","410052","31052","41006","1701200052","1701000052","1","2","500000","1701000052","2","508000003","20","24","20","0","0","52001","52002","52003","0","0","0","(4820511,4820512)","(4831511,4831512,4831513)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"5301","5301","5","4800054","1","4810002","3410053","3450053","231708053","(0,0)","0","0","400053","410053","31053","41001","1701200053","1701000053","1","2","700000","1701000053","3","508000004","25","26","40","0","0","53001","53002","53003","53004","0","0","(4820521,4820522)","(4831521,4831522,4831523)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"5401","5401","4","4800055","4","4810005","3410054","3450054","231708054","(25,0)","0","0","400054","410054","31054","41006","1701200054","1701000054","1","2","500000","1701000054","4","508000003","20","22","20","0","0","54001","54002","54003","0","0","0","(4820531,4820532)","(4831531,4831532,4831533)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"5501","5501","4","4800056","5","4810006","3410055","3450055","231708055","(25,0)","0","0","400055","410055","31055","41003","1701200055","1701000055","1","2","500000","1701000055","5","508000003","20","26","20","0","0","55001","55002","55003","0","0","0","(4820541,4820542)","(4831541,4831542,4831543)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"5601","5601","4","4800057","2","4810003","3410056","3450056","231708056","(0,0)","0","0","400056","410056","31056","41005","1701200056","1701000056","1","2","500000","1701000056","5","508000003","20","20","20","0","0","56001","56002","56003","0","0","0","(4820551,4820552)","(4831551,4831552,4831553)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"5701","5701","5","4800058","5","4810006","3410057","3450057","231708057","(0,0)","0","0","400057","410057","31057","41005","1701200057","1701000057","1","2","700000","1701000057","3","508000004","25","26","40","0","0","57001","57002","57003","57004","57005","0","(4820561,4820562)","(4831561,4831562,4831563)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"5801","5801","4","4800059","1","4810002","3410058","3450058","231708058","(0,0)","0","0","400058","410058","31058","41001","1701200058","1701000058","1","2","500000","1701000058","5","508000003","20","22","20","0","0","58001","58002","58003","0","0","0","(4820571,4820572)","(4831571,4831572,4831573)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"5901","5901","5","4800060","6","4810007","3410059","3450059","231708059","(30,0)","0","0","400059","410059","31059","41006","1701200059","1701000059","1","2","700000","1701000059","3","508000004","25","24","40","0","0","59001","59002","59003","59004","59005","0","(4820581,4820582)","(4831581,4831582,4831583)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"6001","6001","4","4800061","6","4810007","3410060","3450060","231708060","(0,0)","0","0","400060","410060","31060","41006","1701200060","1701000060","1","2","500000","1701000060","5","508000003","20","24","20","0","0","60001","60002","60003","0","0","0","(4820591,4820592)","(4831591,4831592,4831593)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"6101","6101","5","4800062","2","4810003","3410061","3450061","231708061","(0,0)","0","0","400061","410061","31061","41003","1701200061","1701000061","1","2","700000","1701000061","3","508000004","25","20","40","0","0","61001","61002","61003","61004","61005","0","(4820601,4820602)","(4831601,4831602,4831603)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"6201","6201","4","4800063","5","4810006","3410062","3450062","231708062","(0,0)","0","0","400062","410062","31062","41008","1701200062","1701000062","1","2","500000","1701000062","1","508000003","20","28","15","0","0","62001","62002","62003","0","0","0","(4820611,4820612)","(4831611,4831612,4831613)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"6301","6301","5","4800064","5","4810006","3410063","3450063","231708063","(40,-25)","0","0","400063","410063","31063","41006","1701200063","1701000063","1","2","700000","1701000063","1","508000004","25","22","40","0","0","63001","63002","63003","63004","63005","0","(4820621,4820622)","(4831621,4831622,4831623)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"6401","6401","5","4800065","4","4810005","3410064","3450064","231708064","(0,-45)","0","0","400064","410064","31064","41006","1701200064","1701000064","1","2","700000","1701000064","1","508000004","25","22","40","0","0","64001","64002","64003","64004","64005","0","(4820631,4820632)","(4831631,4831632,4831633)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"6501","6501","4","4800066","4","4810005","3410065","3450065","231708065","(0,-45)","0","0","400065","410065","31065","41006","1701200065","1701000065","1","2","500000","1701000065","1","508000003","20","20","20","0","0","65001","65002","65003","0","0","0","(4820641,4820642)","(4831641,4831642,4831643)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"6601","6601","5","4800067","6","4810007","3410066","3450066","231708066","(0,0)","0","0","400066","410066","31066","41006","1701200066","1701000066","1","2","700000","1701000066","1","508000004","25","24","40","0","0","66001","66002","66003","66004","66005","0","(4820651,4820652)","(4831651,4831652,4831653)","(4830002,4830003,4830004,4830005,4830006,4830007,4830008,4830009,4830010,4830011)"
"100001","100001","4","110700001","1","0","110710001","0","0","(0,0)","1","7","500001","510001","60001","52005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(0)","(0)","(0)"
"100101","100101","4","110700002","1","0","110710002","0","0","(0,0)","1","7","500002","510002","60002","52006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(0)","(0)","(0)"
"100201","100201","5","110700003","1","0","110710003","0","0","(0,0)","1","7","500003","510003","60003","52001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(0)","(0)","(0)"
"100301","100301","5","110700004","1","0","110710004","0","0","(0,0)","1","7","500004","510004","60004","52002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(0)","(0)","(0)"
"100401","100401","4","110700005","1","0","110710005","0","0","(0,0)","1","7","500005","510005","60005","52007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(0)","(0)","(0)"
"100501","100501","4","110700006","1","0","110710006","0","0","(0,0)","1","7","500006","510006","60006","41006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(0)","(0)","(0)"
"100601","100601","4","110700007","1","0","110710007","0","0","(0,0)","1","7","500007","510007","60007","52003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(0)","(0)","(0)"
"100701","100701","4","110700008","1","0","110710008","0","0","(0,0)","1","7","500008","510008","60008","52004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(0)","(0)","(0)"
