"Name","BuffAttackID","TargetType","TargetValue","ImpactType","AttackDistanceMax","AttackHeight","DamageAttribute","MulDamage","LevelUpMulDamage","AddDamage","LevelUpAddDamage","MagicDamage","LevelUpMagicDamage","AddMagicDamage","LevelUpAddMagicDamage","SuperIgnore","CCStance","CrowdControlType","CCDirection","CrowdControlValue","CrowdControlHeight","CrowdControlValueEx","CrowdControlTime","CCEffect","CCEffectSocket","CCEffectHeight","CCEffectScale","CCMaterialPath","HitEffect","CriticalHitEffect","HitEffectScale"
"50102","50102","1","1","0","0","500","0","0","0","0","0","0","0","0","0","200","33","6","0","200","0","0.46","4","0","0","0","1","0","0","0","1"
"50103","50103","1","1","0","0","500","0","0","0","0","0","0","0","0","0","200","33","6","0","200","0","0.46","5","0","0","0","1","0","0","0","1"
"50104","50104","1","1","0","0","500","0","0","0","0","0","0","0","0","0","200","33","6","0","200","0","0.46","6","0","0","0","1","0","0","0","1"
"50531","50531","1","1","0","0","500","0","0","0","0","0","0","0","0","0","200","21","2","0","0","0","0","5","2050003","Buff_Top","40","1","0","0","0","1"
"50532","50532","1","1","0","0","500","0","0","0","0","0","0","0","0","0","500","21","2","0","0","0","0","6","2050003","Buff_Top","40","1","0","0","0","1"
"50533","50533","1","1","0","0","500","0","0","0","0","0","0","0","0","0","700","21","2","0","0","0","0","7","2050003","Buff_Top","40","1","0","0","0","1"
"50111","50111","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","12","4","0","0","0","0","5","0","0","0","1","MaterialInstanceConstant'/Game/Characters/Material/system_materials/IceMaterial_Inst.IceMaterial_Inst'","0","0","1"
"60101","60101","1","5","2","400","500","0","0","0","0","0","10000","0","0","0","10000","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","2010053","2010056","1"
"60601","60601","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","0","0","1"
"60602","60602","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","0","0","1"
"60603","60603","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","3","2050003","Buff_Top","40","1","0","0","0","1"
"60611","60611","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","11","0","400","0","0","1","2050016","Buff_Top","40","1","0","0","0","1"
"60612","60612","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","11","0","800","0","0","2","2050016","Buff_Top","40","1","0","0","0","1"
"60613","60613","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","11","0","1200","0","0","3","2050016","Buff_Top","40","1","0","0","0","1"
"60614","60614","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","11","0","1600","0","0","4","2050016","Buff_Top","40","1","0","0","0","1"
"60621","60621","1","1","0","0","500","0","0","0","0","0","0","0","0","0","400","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","0","0","1"
"60622","60622","1","1","0","0","500","0","0","0","0","0","0","0","0","0","600","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","0","0","1"
"60623","60623","1","1","0","0","500","0","0","0","0","0","0","0","0","0","800","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","0","0","1"
"60624","60624","1","1","0","0","500","0","0","0","0","0","0","0","0","0","600","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","0","0","1"
"60625","60625","1","1","0","0","500","0","0","0","0","0","0","0","0","0","800","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","0","0","1"
"60626","60626","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","0","0","1"
"60627","60627","1","1","0","0","500","0","0","0","0","0","0","0","0","0","500","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","0","0","1"
"60628","60628","1","1","0","0","500","0","0","0","0","0","0","0","0","0","700","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","0","0","1"
"60631","60631","1","5","2","400","500","0","0","0","0","0","15000","300","0","0","0","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","2010053","2010056","1"
"60632","60632","1","5","2","400","500","0","0","0","0","0","15000","300","0","0","150","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","2010053","2010056","1"
"60633","60633","1","5","2","400","500","0","0","0","0","0","15000","300","0","0","250","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","2010053","2010056","1"
"60634","60634","1","5","2","400","500","0","0","0","0","0","15000","300","0","0","500","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","2010053","2010056","1"
"100001","100001","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","1","2050003","Buff_Top","40","1","0","0","0","1"
"100002","100002","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","0","0","1"
"100003","100003","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","3","2050003","Buff_Top","40","1","0","0","0","1"
"100004","100004","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","4","2050003","Buff_Top","40","1","0","0","0","1"
"100005","100005","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","5","2050003","Buff_Top","40","1","0","0","0","1"
"100006","100006","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","10","2050003","Buff_Top","40","1","0","0","0","1"
"100007","100007","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","60","2050003","Buff_Top","40","1","0","0","0","1"
"103201","103201","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","11","5","0","200","0","0.2","0.2","0","Buff_Top","40","1","0","2010047","2010050","1"
"103202","103202","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","32","6","0","300","0","0.9","2.1","0","Buff_Top","40","1","0","2010047","2010050","1"
"103203","103203","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","11","2","0","0","0","0","0.2","0","Buff_Top","40","1","0","2010047","2010050","1"
"103204","103204","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","11","8","0","700","0","0.2","0.5","0","Buff_Top","40","1","0","2010047","2010050","1"
"103205","103205","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","32","6","0","1500","0","0.9","2.1","0","Buff_Top","40","1","0","2010047","2010050","1"
"103206","103206","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","2","2050003","Buff_Top","40","1","0","2010047","2010050","1"
"200001","200001","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","32","6","0","100","0","0.3","2.7","0","Buff_Top","40","1","0","0","0","1"
"400543","400543","1","10","2","1200","500","0","10000","0","0","0","10000","0","0","0","1000","0","0","0","0","0","0","0","0","0","0","1","0","2010100","2010100","1"
"410052","410052","1","1","0","0","0","0","10000","0","0","0","10000","0","0","0","1000","33","6","0","200","0","0.46","3","0","0","0","1","0","2010047","2010050","1"
"410063","410063","1","1","0","0","0","0","20000","0","0","0","20000","0","0","0","1000","0","0","0","0","0","0","0","0","0","0","1","0","2010047","2010050","1"
"704012","704012","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","1.5","2050003","0","0","1","0","0","0","1"
"704014","704014","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","1.5","2050003","0","0","1","0","0","0","1"
"705012","705012","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","2","2050003","0","0","1","0","0","0","1"
"705014","705014","1","1","0","0","500","0","0","0","0","0","0","0","0","0","1000","21","2","0","0","0","0","2","2050003","0","0","1","0","0","0","1"
