"Name","TabHorizon","MainType","SubType","Tier","MaterialCount","ComposeGrade","FailPointType","FailPointReward","ComposeCostType","ComposeCostValue","SuccessRate","GreatSuccessRate","XdracoSuccessRate","SuccessComposeListID1","SuccessComposeListID2","SuccessComposeListID3","SuccessComposeListID4","SuccessComposeListID5","SuccessComposeListID6","FailComposeListID1","FailComposeListID2","FailComposeListID3","FailComposeListID4","FailComposeListID5","FailComposeListID6","GreatSuccessComposeListID1","GreatSuccessComposeListID2","GreatSuccessComposeListID3","GreatSuccessComposeListID4","GreatSuccessComposeListID5","GreatSuccessComposeListID6","FailPointCompseListID1","FailPointCompseListID2","FailPointCompseListID3","FailPointCompseListID4","FailPointCompseListID5","FailPointCompseListID6","XdracoFailComposeListID1","XdracoFailComposeListID2","XdracoFailComposeListID3","XdracoFailComposeListID4","XdracoFailComposeListID5","XdracoFailComposeListID6"
"11","0","17","1","1","4","3","7","25","0","0","7000","0","0","4010003","4010003","4010003","4010003","4010003","4010003","4020003","4020003","4020003","4020003","4020003","4020003","0","0","0","0","0","0","4010003","4010003","4010003","4010003","4010003","4010003","0","0","0","0","0","0"
"12","0","17","1","1","4","4","8","25","0","0","5000","0","0","4010004","4010004","4010004","4010004","4010004","4010004","4020004","4020004","4020004","4020004","4020004","4020004","0","0","0","0","0","0","4010004","4010004","4010004","4010004","4010004","4010004","0","0","0","0","0","0"
"13","0","12","1","1","4","2","0","0","0","0","10000","2000","0","5010102","5010202","5010302","5010402","5010502","5010602","5020102","5020202","5020302","5020402","5020502","5020602","5030102","5030202","5030302","5030402","5030502","5030602","0","0","0","0","0","0","0","0","0","0","0","0"
"14","0","12","1","1","4","3","9","25","0","0","7000","1400","0","5010103","5010203","5010303","5010403","5010503","5010603","5020103","5020203","5020303","5020403","5020503","5020603","5030103","5030203","5030303","5030403","5030503","5030603","5010103","5010203","5010303","5010403","5010503","5010603","0","0","0","0","0","0"
"15","0","12","1","1","4","4","10","25","0","0","5000","1000","0","5010104","5010204","5010304","5010404","5010504","5010604","5020104","5020204","5020304","5020404","5020504","5020604","5030104","5030204","5030304","5030404","5030504","5030604","5010104","5010204","5010304","5010404","5010504","5010604","0","0","0","0","0","0"
"19","0","17","2","1","4","2","0","0","0","0","10000","2000","0","6010002","6010002","6010002","6010002","6010002","6010002","6020002","6020002","6020002","6020002","6020002","6020002","6030002","6030002","6030002","6030002","6030002","6030002","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","17","2","1","4","3","11","25","0","0","7000","1000","1000","6010003","6010003","6010003","6010003","6010003","6010003","6020003","6020003","6020003","6020003","6020003","6020003","6030003","6030003","6030003","6030003","6030003","6030003","6010003","6010003","6010003","6010003","6010003","6010003","0","0","0","0","0","0"
"21","0","17","2","1","4","4","12","25","0","0","5000","500","1000","6010004","6010004","6010004","6010004","6010004","6010004","6020004","6020004","6020004","6020004","6020004","6020004","6030004","6030004","6030004","6030004","6030004","6030004","6010004","6010004","6010004","6010004","6010004","6010004","6030003","6030003","6030003","6030003","6030003","6030003"
"25","0","8","0","1","4","2","0","0","0","0","10000","2000","0","7010002","7010002","7010002","7010002","7010002","7010002","7020002","7020002","7020002","7020002","7020002","7020002","7030002","7030002","7030002","7030002","7030002","7030002","0","0","0","0","0","0","0","0","0","0","0","0"
"26","0","8","0","1","4","3","13","25","0","0","7000","1000","1000","7010003","7010003","7010003","7010003","7010003","7010003","7020003","7020003","7020003","7020003","7020003","7020003","7030003","7030003","7030003","7030003","7030003","7030003","7010003","7010003","7010003","7010003","7010003","7010003","0","0","0","0","0","0"
"27","0","8","0","1","4","4","14","25","0","0","5000","500","1000","7010004","7010004","7010004","7010004","7010004","7010004","7020004","7020004","7020004","7020004","7020004","7020004","7030004","7030004","7030004","7030004","7030004","7030004","7010004","7010004","7010004","7010004","7010004","7010004","7030003","7030003","7030003","7030003","7030003","7030003"
"28","0","13","2","1","4","2","0","0","0","0","10000","0","0","8010002","8010002","8010002","8010002","8010002","8010002","8020002","8020002","8020002","8020002","8020002","8020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","0","13","2","1","4","3","38","25","0","0","10000","0","0","8010003","8010003","8010003","8010003","8010003","8010003","8020003","8020003","8020003","8020003","8020003","8020003","0","0","0","0","0","0","8010003","8010003","8010003","8010003","8010003","8010003","0","0","0","0","0","0"
"30","0","13","2","1","4","4","39","25","0","0","10000","0","0","8010004","8010004","8010004","8010004","8010004","8010004","8020004","8020004","8020004","8020004","8020004","8020004","0","0","0","0","0","0","8010004","8010004","8010004","8010004","8010004","8010004","0","0","0","0","0","0"
"37","0","9","6","1","4","2","0","0","0","0","10000","0","0","9010002","9010002","9010002","9010002","9010002","9010002","9020002","9020002","9020002","9020002","9020002","9020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","0","9","6","1","4","3","43","25","0","0","7000","0","0","9010003","9010003","9010003","9010003","9010003","9010003","9020003","9020003","9020003","9020003","9020003","9020003","0","0","0","0","0","0","9010003","9010003","9010003","9010003","9010003","9010003","0","0","0","0","0","0"
"39","0","9","6","1","4","4","44","25","0","0","5000","0","0","9010004","9010004","9010004","9010004","9010004","9010004","9020004","9020004","9020004","9020004","9020004","9020004","0","0","0","0","0","0","9010004","9010004","9010004","9010004","9010004","9010004","0","0","0","0","0","0"
"40","0","9","7","1","4","2","0","0","0","0","10000","0","0","10010002","10010002","10010002","10010002","10010002","10010002","10020002","10020002","10020002","10020002","10020002","10020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","0","9","7","1","4","3","48","25","0","0","7000","0","0","10010003","10010003","10010003","10010003","10010003","10010003","10020003","10020003","10020003","10020003","10020003","10020003","0","0","0","0","0","0","10010003","10010003","10010003","10010003","10010003","10010003","0","0","0","0","0","0"
"42","0","9","7","1","4","4","49","25","0","0","5000","0","0","10010004","10010004","10010004","10010004","10010004","10010004","10020004","10020004","10020004","10020004","10020004","10020004","0","0","0","0","0","0","10010004","10010004","10010004","10010004","10010004","10010004","0","0","0","0","0","0"
"43","0","18","10","1","4","2","0","0","0","0","10000","0","0","11010002","11010002","11010002","11010002","11010002","11010002","11020002","11020002","11020002","11020002","11020002","11020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","0","18","10","1","4","3","53","25","0","0","10000","0","0","11010003","11010003","11010003","11010003","11010003","11010003","11020003","11020003","11020003","11020003","11020003","11020003","0","0","0","0","0","0","11010003","11010003","11010003","11010003","11010003","11010003","0","0","0","0","0","0"
"45","0","18","10","1","4","4","54","25","0","0","10000","0","0","11010004","11010004","11010004","11010004","11010004","11010004","11020004","11020004","11020004","11020004","11020004","11020004","0","0","0","0","0","0","11010004","11010004","11010004","11010004","11010004","11010004","0","0","0","0","0","0"
"49","0","8","8","1","4","2","0","0","0","0","10000","2000","0","12010002","12010002","12010002","12010002","12010002","12010002","12020002","12020002","12020002","12020002","12020002","12020002","12030002","12030002","12030002","12030002","12030002","12030002","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","8","8","1","4","3","58","25","0","0","7000","1000","1000","12010003","12010003","12010003","12010003","12010003","12010003","12020003","12020003","12020003","12020003","12020003","12020003","12030003","12030003","12030003","12030003","12030003","12030003","12010003","12010003","12010003","12010003","12010003","12010003","0","0","0","0","0","0"
"51","0","8","8","1","4","4","59","25","0","0","5000","500","1000","12010004","12010004","12010004","12010004","12010004","12010004","12020004","12020004","12020004","12020004","12020004","12020004","12030004","12030004","12030004","12030004","12030004","12030004","12010004","12010004","12010004","12010004","12010004","12010004","12030003","12030003","12030003","12030003","12030003","12030003"
"55","0","21","0","1","4","2","0","0","0","0","5000","1000","0","13010002","13010002","13010002","13010002","13010002","13010002","13020002","13020002","13020002","13020002","13020002","13020002","13030002","13030002","13030002","13030002","13030002","13030002","0","0","0","0","0","0","13040002","13040002","13040002","13040002","13040002","13040002"
"56","0","21","0","1","4","3","64","25","0","0","5000","1000","2000","13010003","13010003","13010003","13010003","13010003","13010003","13020003","13020003","13020003","13020003","13020003","13020003","13030003","13030003","13030003","13030003","13030003","13030003","13010003","13010003","13010003","13010003","13010003","13010003","13030002","13030002","13030002","13030002","13030002","13030002"
"57","0","21","0","1","4","4","65","25","0","0","5000","500","2000","13010004","13010004","13010004","13010004","13010004","13010004","13020004","13020004","13020004","13020004","13020004","13020004","13030004","13030004","13030004","13030004","13030004","13030004","13010004","13010004","13010004","13010004","13010004","13010004","13030003","13030003","13030003","13030003","13030003","13030003"
"58","0","6","35","1","4","2","0","0","0","0","10000","0","0","14010002","14010002","14010002","14010002","14010002","14010002","14020002","14020002","14020002","14020002","14020002","14020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","0","6","35","1","4","3","74","25","0","0","7000","0","0","14010003","14010003","14010003","14010003","14010003","14010003","14020003","14020003","14020003","14020003","14020003","14020003","0","0","0","0","0","0","14010003","14010003","14010003","14010003","14010003","14010003","0","0","0","0","0","0"
"60","0","6","35","1","4","4","75","25","0","0","5000","0","0","14010004","14010004","14010004","14010004","14010004","14010004","14020004","14020004","14020004","14020004","14020004","14020004","0","0","0","0","0","0","14010004","14010004","14010004","14010004","14010004","14010004","0","0","0","0","0","0"
"61","0","6","36","1","4","2","0","0","0","0","10000","0","0","15010002","15010002","15010002","15010002","15010002","15010002","15020002","15020002","15020002","15020002","15020002","15020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","0","6","36","1","4","3","84","25","0","0","7000","0","0","15010003","15010003","15010003","15010003","15010003","15010003","15020003","15020003","15020003","15020003","15020003","15020003","0","0","0","0","0","0","15010003","15010003","15010003","15010003","15010003","15010003","0","0","0","0","0","0"
"63","0","6","36","1","4","4","85","25","0","0","5000","0","0","15010004","15010004","15010004","15010004","15010004","15010004","15020004","15020004","15020004","15020004","15020004","15020004","0","0","0","0","0","0","15010004","15010004","15010004","15010004","15010004","15010004","0","0","0","0","0","0"
"64","0","6","37","1","4","2","0","0","0","0","10000","0","0","16010002","16010002","16010002","16010002","16010002","16010002","16020002","16020002","16020002","16020002","16020002","16020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","0","6","37","1","4","3","94","25","0","0","10000","0","0","16010003","16010003","16010003","16010003","16010003","16010003","16020003","16020003","16020003","16020003","16020003","16020003","0","0","0","0","0","0","16010003","16010003","16010003","16010003","16010003","16010003","0","0","0","0","0","0"
"66","0","6","38","1","4","2","0","0","0","0","10000","0","0","17010002","17010002","17010002","17010002","17010002","17010002","17020002","17020002","17020002","17020002","17020002","17020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","0","6","38","1","4","3","104","25","0","0","7000","0","0","17010003","17010003","17010003","17010003","17010003","17010003","17020003","17020003","17020003","17020003","17020003","17020003","0","0","0","0","0","0","17010003","17010003","17010003","17010003","17010003","17010003","0","0","0","0","0","0"
"68","0","6","38","1","4","4","105","25","0","0","5000","0","0","17010004","17010004","17010004","17010004","17010004","17010004","17020004","17020004","17020004","17020004","17020004","17020004","0","0","0","0","0","0","17010004","17010004","17010004","17010004","17010004","17010004","0","0","0","0","0","0"
"69","0","9","8","1","4","2","0","0","0","0","10000","0","0","18010002","18010002","18010002","18010002","18010002","18010002","18020002","18020002","18020002","18020002","18020002","18020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","9","8","1","4","3","114","25","0","0","7000","0","0","18010003","18010003","18010003","18010003","18010003","18010003","18020003","18020003","18020003","18020003","18020003","18020003","0","0","0","0","0","0","18010003","18010003","18010003","18010003","18010003","18010003","0","0","0","0","0","0"
"71","0","9","8","1","4","4","115","25","0","0","5000","0","0","18010004","18010004","18010004","18010004","18010004","18010004","18020004","18020004","18020004","18020004","18020004","18020004","0","0","0","0","0","0","18010004","18010004","18010004","18010004","18010004","18010004","0","0","0","0","0","0"
"81","0","17","2","2","4","2","0","0","0","0","10000","2000","0","6011002","6011002","6011002","6011002","6011002","6011002","6021002","6021002","6021002","6021002","6021002","6021002","6031002","6031002","6031002","6031002","6031002","6031002","0","0","0","0","0","0","0","0","0","0","0","0"
"82","0","17","2","2","4","3","134","25","0","0","7000","1000","1000","6011003","6011003","6011003","6011003","6011003","6011003","6021003","6021003","6021003","6021003","6021003","6021003","6031003","6031003","6031003","6031003","6031003","6031003","6011003","6011003","6011003","6011003","6011003","6011003","0","0","0","0","0","0"
"83","0","17","2","2","4","4","135","25","0","0","5000","500","1000","6011004","6011004","6011004","6011004","6011004","6011004","6021004","6021004","6021004","6021004","6021004","6021004","6031004","6031004","6031004","6031004","6031004","6031004","6011004","6011004","6011004","6011004","6011004","6011004","6031003","6031003","6031003","6031003","6031003","6031003"
"84","0","8","0","2","4","2","0","0","0","0","10000","2000","0","7011002","7011002","7011002","7011002","7011002","7011002","7021002","7021002","7021002","7021002","7021002","7021002","7031002","7031002","7031002","7031002","7031002","7031002","0","0","0","0","0","0","0","0","0","0","0","0"
"85","0","8","0","2","4","3","124","25","0","0","7000","1000","1000","7011003","7011003","7011003","7011003","7011003","7011003","7021003","7021003","7021003","7021003","7021003","7021003","7031003","7031003","7031003","7031003","7031003","7031003","7011003","7011003","7011003","7011003","7011003","7011003","0","0","0","0","0","0"
"86","0","8","0","2","4","4","125","25","0","0","5000","500","1000","7011004","7011004","7011004","7011004","7011004","7011004","7021004","7021004","7021004","7021004","7021004","7021004","7031004","7031004","7031004","7031004","7031004","7031004","7011004","7011004","7011004","7011004","7011004","7011004","7031003","7031003","7031003","7031003","7031003","7031003"
"87","0","8","8","2","4","2","0","0","0","0","10000","2000","0","12011002","12011002","12011002","12011002","12011002","12011002","12021002","12021002","12021002","12021002","12021002","12021002","12031002","12031002","12031002","12031002","12031002","12031002","0","0","0","0","0","0","0","0","0","0","0","0"
"88","0","8","8","2","4","3","144","25","0","0","7000","1000","1000","12011003","12011003","12011003","12011003","12011003","12011003","12021003","12021003","12021003","12021003","12021003","12021003","12031003","12031003","12031003","12031003","12031003","12031003","12011003","12011003","12011003","12011003","12011003","12011003","0","0","0","0","0","0"
"89","0","8","8","2","4","4","145","25","0","0","5000","500","1000","12011004","12011004","12011004","12011004","12011004","12011004","12021004","12021004","12021004","12021004","12021004","12021004","12031004","12031004","12031004","12031004","12031004","12031004","12011004","12011004","12011004","12011004","12011004","12011004","12031003","12031003","12031003","12031003","12031003","12031003"
