"Name","UniqueID","ClassID","CustomizingType","String","ValueType","Value","ValueInversion"
"58","58","1","58","인중양옆높이","1","(43)","0"
"59","59","1","59","광대위치_X","1","(44)","0"
"60","60","1","60","광대위치_Y","1","(45)","0"
"61","61","1","61","광대높이","1","(46)","0"
"62","62","1","62","볼높이","1","(47)","0"
"63","63","1","63","하관넓이","1","(48)","0"
"64","64","1","64","하관높이","1","(49)","0"
"65","65","1","65","하관 돌출","1","(50)","0"
"66","66","1","66","턱넓이","1","(51)","0"
"67","67","1","67","턱길이","1","(52)","0"
"68","68","1","68","턱높이","1","(53)","0"
"69","69","1","69","턱각도","1","(54)","1"
"70","70","1","70","콧대위높이","1","(55)","0"
"71","71","1","71","콧볼각도","1","(56)","0"
"72","72","1","72","이마높이","1","(57)","0"
"73","73","1","73","피부색농도","1","(1007)","0"
"74","74","1","74","눈동자색밝기","1","(1008)","0"
"75","75","1","75","헤어광택(스펙큘러)","1","(1009)","0"
"76","76","1","76","코높이","1","(58)","0"
"77","77","1","77","코뿌리너비","1","(59)","0"
"78","78","1","78","머리색농도","1","(1010)","0"
"79","79","1","79","눈화장농도","1","(1011)","0"
"80","80","1","80","입술색농도","1","(1012)","0"
"81","81","1","81","눈동자회전(좌우)","1","(61)","0"
"82","82","1","82","바깥턱높이","1","(62)","0"
"83","83","1","83","얼굴볼륨","1","(63)","0"
"84","84","1","84","볼터치농도","1","(1013)","0"
"85","85","1","85","눈코입","1","(64)","0"
"86","86","2","1","프리셋","2","(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20)","0"
"87","87","2","2","머리모양","2","(220000,220001,220002,220003,220004,220005,220006,220007)","0"
"88","88","2","3","머리색","2","(261001,261002,261003,261004,261005,261006,261007,261008,261009,261010,261011,261012,261013,261014,261015,261016,261017,261018,261019,261020,261021,261022,261023,261024,261025,261026,261027,261028,261029,261030,261031,261032,261033,261034,261035,261036,261037,261038,261039,261040,261041,261042,261043,261044,261045,261046,261047,261048,261049,261050,261051,261052,261053,261054,261055,261056,261057,261058,261059,261060,261061,261062,261063,261064)","0"
"89","89","2","4","얼굴","2","(225000,225001,225002,225003,225004,225005)","0"
"90","90","2","5","피부색","2","(262001,262002,262003,262004,262005,262006,262007,262008,262009,262010,262011,262012,262013,262014,262015,262016,262017,262018,262019,262020,262021,262022,262023,262024,262025,262026,262027,262028,262029,262030,262031,262032,262033,262034,262035,262036,262037,262038,262039,262040,262041,262042,262043,262044,262045,262046,262047,262048,262049,262050,262051,262052)","0"
"91","91","2","6"," 눈동자색상","2","(263001,263002,263003,263004,263005,263006,263007,263008,263009,263010,263011,263012,263013,263014,263015,263016,263017,263018,263019,263020,263021,263022,263023,263024,263025,263026,263027,263028,263029,263030,263031,263032,263033,263034,263035,263036,263037,263038,263039,263040,263041,263042,263043,263044,263045,263046,263047,263048,263049,263050,263051,263052)","0"
"92","92","2","7","입술색상","2","(266001,266002,266003,266004,266005,266006,266007,266008,266009,266010,266011,266012,266013,266014,266015,266016,266017,266018,266019,266020,266021,266022,266023,266024,266025,266026,266027)","0"
"93","93","2","8","눈화장","2","(264001,264002,264003,264004,264005,264006,264007,264008,264009,264010,264011,264012,264013,264014,264015,264016,264017,264018,264019,264020,264021,264022,264023,264024,264025,264026,264027,264028)","0"
"94","94","2","9","볼터치","2","(265001,265002,265003,265004,265005,265006,265007,265008,265009,265010,265011,265012,265013,265014,265015,265016,265017,265018,265019,265020,265021,265022,265023,265024)","0"
"95","95","2","10","피부광택","1","(1001)","1"
"96","96","2","11","입술광택","1","(1002)","1"
"97","97","2","12","점위치_x","1","(1003)","1"
"98","98","2","13","점위치_y","1","(1004)","0"
"99","99","2","14","점농도","1","(1005)","0"
"100","100","2","15","눈동자회전(위아래)","1","(60)","0"
"101","101","2","16","눈위치(높이)","1","(1)","0"
"102","102","2","17","눈위치(간격)","1","(2)","0"
"103","103","2","18","눈전체크기","1","(3)","0"
"104","104","2","19","눈회전","1","(4)","0"
"105","105","2","20","눈크기(위아래)","1","(5)","0"
"106","106","2","21","눈동자크기","1","(6)","0"
"107","107","2","22","눈썹(높이)","1","(7)","0"
"108","108","2","23","눈섭위치(간격)","1","(8)","0"
"109","109","2","24","눈썹(기울기)","1","(9)","0"
"110","110","2","25","눈썹(모양)","1","(10)","0"
"111","111","2","26","눈썹(두께)","1","(11)","0"
"112","112","2","27","L_눈윗라인01_x","1","(12)","1"
"113","113","2","28","L_눈윗라인01_y","1","(13)","0"
"114","114","2","29","L_눈윗라인02_x","1","(14)","1"
"115","115","2","30","L_눈윗라인02_y","1","(15)","0"
"116","116","2","31","L_눈아랫라인_x","1","(16)","1"
"117","117","2","32","L_눈아랫라인_y","1","(17)","1"
"118","118","2","33","L_앞트임_x","1","(18)","1"
"119","119","2","34","L_앞트임_y","1","(19)","0"
"120","120","2","35","L_뒷트임_x","1","(20)","1"
"121","121","2","36","L_뒷트임_y","1","(21)","0"
"122","122","2","37","애교살","1","(22)","0"
"123","123","2","38","코위치(위아래)","1","(23)","1"
"124","124","2","39","코끝높이","1","(24)","0"
"125","125","2","40","코끝위치","1","(25)","1"
"126","126","2","41","코등위치","1","(26)","1"
"127","127","2","42","코너비","1","(27)","0"
"128","128","2","43","콧방울너비","1","(28)","0"
"129","129","2","44","콧등너비","1","(29)","0"
"130","130","2","45","입위치(위아래)","1","(30)","0"
"131","131","2","46","눈썹 깊이","1","(31)","0"
"132","132","2","47","입크기(좌우)","1","(32)","0"
"133","133","2","48","윗입술넓이","1","(33)","0"
"134","134","2","49","윗입술벌림","1","(34)","0"
"135","135","2","50","아랫입술넓이","1","(35)","0"
"136","136","2","51","아랫입술벌림","1","(36)","0"
"137","137","2","52","입꼬리위치(위아래)","1","(37)","1"
"138","138","2","53","입돌출","1","(38)","0"
"139","139","2","54","윗 입술 모음","1","(39)","0"
"140","140","2","55","아랫 입술 모음","1","(40)","0"
"141","141","2","56","눈썹길이","1","(41)","0"
"142","142","2","57","콧방울높이","1","(42)","0"
"143","143","2","58","인중양옆높이","1","(43)","0"
"144","144","2","59","광대위치_X","1","(44)","0"
"145","145","2","60","광대위치_Y","1","(45)","0"
"146","146","2","61","광대높이","1","(46)","0"
"147","147","2","62","볼높이","1","(47)","0"
"148","148","2","63","하관넓이","1","(48)","0"
"149","149","2","64","하관높이","1","(49)","0"
"150","150","2","65","하관 돌출","1","(50)","0"
"151","151","2","66","턱넓이","1","(51)","0"
"152","152","2","67","턱길이","1","(52)","0"
"153","153","2","68","턱높이","1","(53)","0"
"154","154","2","69","턱각도","1","(54)","1"
"155","155","2","70","콧대위높이","1","(55)","0"
"156","156","2","71","콧볼각도","1","(56)","0"
"157","157","2","72","이마높이","1","(57)","0"
"158","158","2","73","피부색농도","1","(1007)","0"
"159","159","2","74","눈동자색밝기","1","(1008)","0"
"160","160","2","75","헤어광택(스펙큘러)","1","(1009)","0"
"161","161","2","76","코높이","1","(58)","0"
"162","162","2","77","코뿌리너비","1","(59)","0"
"163","163","2","78","머리색농도","1","(1010)","0"
"164","164","2","79","눈화장농도","1","(1011)","0"
"165","165","2","80","입술색농도","1","(1012)","0"
"166","166","2","81","눈동자회전(좌우)","1","(61)","0"
"167","167","2","82","바깥턱높이","1","(62)","0"
"168","168","2","83","바깥턱높이","1","(63)","0"
"169","169","2","84","볼터치농도","1","(1013)","0"
"170","170","2","85","얼굴 윤곽","1","(64)","0"
"171","171","3","1","프리셋","2","(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20)","0"
"172","172","3","2","머리모양","2","(230000,230001,230002,230003,230004,230005,230006,230007)","0"
"173","173","3","3","머리색","2","(261001,261002,261003,261004,261005,261006,261007,261008,261009,261010,261011,261012,261013,261014,261015,261016,261017,261018,261019,261020,261021,261022,261023,261024,261025,261026,261027,261028,261029,261030,261031,261032,261033,261034,261035,261036,261037,261038,261039,261040,261041,261042,261043,261044,261045,261046,261047,261048,261049,261050,261051,261052,261053,261054,261055,261056,261057,261058,261059,261060,261061,261062,261063,261064)","0"
"174","174","3","4","얼굴","2","(235000,235001,235002,235003,235004)","0"
"175","175","3","5","피부색","2","(262001,262002,262003,262004,262005,262006,262007,262008,262009,262010,262011,262012,262013,262014,262015,262016,262017,262018,262019,262020,262021,262022,262023,262024,262025,262026,262027,262028,262029,262030,262031,262032,262033,262034,262035,262036,262037,262038,262039,262040,262041,262042,262043,262044,262045,262046,262047,262048,262049,262050,262051,262052)","0"
"176","176","3","6"," 눈동자색상","2","(263001,263002,263003,263004,263005,263006,263007,263008,263009,263010,263011,263012,263013,263014,263015,263016,263017,263018,263019,263020,263021,263022,263023,263024,263025,263026,263027,263028,263029,263030,263031,263032,263033,263034,263035,263036,263037,263038,263039,263040,263041,263042,263043,263044,263045,263046,263047,263048,263049,263050,263051,263052)","0"
"177","177","3","7","입술색상","2","(266001,266002,266003,266004,266005,266006,266007,266008,266009,266010,266011,266012,266013,266014,266015,266016,266017,266018,266019,266020,266021,266022,266023,266024,266025,266026,266027)","0"
"178","178","3","8","눈화장","2","(264001,264002,264003,264004,264005,264006,264007,264008,264009,264010,264011,264012,264013,264014,264015,264016,264017,264018,264019,264020,264021,264022,264023,264024,264025,264026,264027,264028)","0"
"179","179","3","9","볼터치","2","(265001,265002,265003,265004,265005,265006,265007,265008,265009,265010,265011,265012,265013,265014,265015,265016,265017,265018,265019,265020,265021,265022,265023,265024)","0"
"180","180","3","10","피부광택","1","(1001)","1"
"181","181","3","11","입술광택","1","(1002)","1"
"182","182","3","12","점위치_x","1","(1003)","1"
"183","183","3","13","점위치_y","1","(1004)","0"
"184","184","3","14","점농도","1","(1005)","0"
"185","185","3","15","눈동자회전(위아래)","1","(60)","0"
"186","186","3","16","눈위치(높이)","1","(1)","0"
"187","187","3","17","눈위치(간격)","1","(2)","0"
"188","188","3","18","눈전체크기","1","(3)","0"
"189","189","3","19","눈회전","1","(4)","0"
"190","190","3","20","눈크기(위아래)","1","(5)","0"
"191","191","3","21","눈동자크기","1","(6)","0"
"192","192","3","22","눈썹(높이)","1","(7)","0"
"193","193","3","23","눈섭위치(간격)","1","(8)","0"
"194","194","3","24","눈썹(기울기)","1","(9)","0"
"195","195","3","25","눈썹(모양)","1","(10)","0"
"196","196","3","26","눈썹(두께)","1","(11)","0"
"197","197","3","27","L_눈윗라인01_x","1","(12)","1"
"198","198","3","28","L_눈윗라인01_y","1","(13)","0"
"199","199","3","29","L_눈윗라인02_x","1","(14)","1"
"200","200","3","30","L_눈윗라인02_y","1","(15)","0"
"201","201","3","31","L_눈아랫라인_x","1","(16)","1"
"202","202","3","32","L_눈아랫라인_y","1","(17)","1"
"203","203","3","33","L_앞트임_x","1","(18)","1"
"204","204","3","34","L_앞트임_y","1","(19)","0"
"205","205","3","35","L_뒷트임_x","1","(20)","1"
"206","206","3","36","L_뒷트임_y","1","(21)","0"
"207","207","3","37","애교살","1","(22)","0"
"208","208","3","38","코위치(위아래)","1","(23)","1"
"209","209","3","39","코끝높이","1","(24)","0"
"210","210","3","40","코끝위치","1","(25)","1"
"211","211","3","41","코등위치","1","(26)","1"
"212","212","3","42","코너비","1","(27)","0"
"213","213","3","43","콧방울너비","1","(28)","0"
"214","214","3","44","콧등너비","1","(29)","0"
"215","215","3","45","입위치(위아래)","1","(30)","0"
"216","216","3","46","눈썹 깊이","1","(31)","0"
"217","217","3","47","입크기(좌우)","1","(32)","0"
"218","218","3","48","윗입술넓이","1","(33)","0"
"219","219","3","49","윗입술벌림","1","(34)","0"
"220","220","3","50","아랫입술넓이","1","(35)","0"
"221","221","3","51","아랫입술벌림","1","(36)","0"
"222","222","3","52","입꼬리위치(위아래)","1","(37)","1"
"223","223","3","53","입돌출","1","(38)","0"
"224","224","3","54","윗 입술 모음","1","(39)","0"
"225","225","3","55","아랫 입술 모음","1","(40)","0"
"226","226","3","56","눈썹길이","1","(41)","0"
"227","227","3","57","콧방울높이","1","(42)","0"
"228","228","3","58","인중양옆높이","1","(43)","0"
"229","229","3","59","광대위치_X","1","(44)","0"
"230","230","3","60","광대위치_Y","1","(45)","0"
"231","231","3","61","광대높이","1","(46)","0"
"232","232","3","62","볼높이","1","(47)","0"
"233","233","3","63","하관넓이","1","(48)","0"
"234","234","3","64","하관높이","1","(49)","0"
"235","235","3","65","하관 돌출","1","(50)","0"
"236","236","3","66","턱넓이","1","(51)","0"
"237","237","3","67","턱길이","1","(52)","0"
"238","238","3","68","턱높이","1","(53)","0"
"239","239","3","69","턱각도","1","(54)","1"
"240","240","3","70","콧대위높이","1","(55)","0"
"241","241","3","71","콧볼각도","1","(56)","0"
"242","242","3","72","이마높이","1","(57)","0"
"243","243","3","73","피부색농도","1","(1007)","0"
"244","244","3","74","눈동자색밝기","1","(1008)","0"
"245","245","3","75","헤어광택(스펙큘러)","1","(1009)","0"
"246","246","3","76","코높이","1","(58)","0"
"247","247","3","77","코뿌리너비","1","(59)","0"
"248","248","3","78","머리색농도","1","(1010)","0"
"249","249","3","79","눈화장농도","1","(1011)","0"
"250","250","3","80","입술색농도","1","(1012)","0"
"251","251","3","81","눈동자회전(좌우)","1","(61)","0"
"252","252","3","82","바깥턱높이","1","(62)","0"
"253","253","3","83","바깥턱높이","1","(63)","0"
"254","254","3","84","볼터치농도","1","(1013)","0"
"255","255","3","85","얼굴 윤곽","1","(64)","0"
"256","256","5","1","프리셋","2","(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20)","0"
"257","257","5","2","머리모양","2","(250000,250001,250002,250003,250004,250005,250006,250007)","0"
"258","258","5","3","머리색","2","(261001,261002,261003,261004,261005,261006,261007,261008,261009,261010,261011,261012,261013,261014,261015,261016,261017,261018,261019,261020,261021,261022,261023,261024,261025,261026,261027,261028,261029,261030,261031,261032,261033,261034,261035,261036,261037,261038,261039,261040,261041,261042,261043,261044,261045,261046,261047,261048,261049,261050,261051,261052,261053,261054,261055,261056,261057,261058,261059,261060,261061,261062,261063,261064)","0"
"259","259","5","4","얼굴","2","(255000,255001,255002,255003,255004)","0"
"260","260","5","5","피부색","2","(262001,262002,262003,262004,262005,262006,262007,262008,262009,262010,262011,262012,262013,262014,262015,262016,262017,262018,262019,262020,262021,262022,262023,262024,262025,262026,262027,262028,262029,262030,262031,262032,262033,262034,262035,262036,262037,262038,262039,262040,262041,262042,262043,262044,262045,262046,262047,262048,262049,262050,262051,262052)","0"
"261","261","5","6"," 눈동자색상","2","(263001,263002,263003,263004,263005,263006,263007,263008,263009,263010,263011,263012,263013,263014,263015,263016,263017,263018,263019,263020,263021,263022,263023,263024,263025,263026,263027,263028,263029,263030,263031,263032,263033,263034,263035,263036,263037,263038,263039,263040,263041,263042,263043,263044,263045,263046,263047,263048,263049,263050,263051,263052)","0"
"262","262","5","7","입술색상","2","(266001,266002,266003,266004,266005,266006,266007,266008,266009,266010,266011,266012,266013,266014,266015,266016,266017,266018,266019,266020,266021,266022,266023,266024,266025,266026,266027)","0"
"263","263","5","8","눈화장","2","(264001,264002,264003,264004,264005,264006,264007,264008,264009,264010,264011,264012,264013,264014,264015,264016,264017,264018,264019,264020,264021,264022,264023,264024,264025,264026,264027,264028)","0"
"264","264","5","9","볼터치","2","(265001)","0"
"265","265","5","10","피부광택","1","(1001)","1"
"266","266","5","11","입술광택","1","(1002)","1"
"267","267","5","12","점위치_x","1","(1003)","1"
"268","268","5","13","점위치_y","1","(1004)","0"
"269","269","5","14","점농도","1","(1005)","0"
"270","270","5","15","눈동자회전(위아래)","1","(60)","0"
"271","271","5","16","눈위치(높이)","1","(1)","0"
"272","272","5","17","눈위치(간격)","1","(2)","0"
"273","273","5","18","눈전체크기","1","(3)","0"
"274","274","5","19","눈회전","1","(4)","0"
"275","275","5","20","눈크기(위아래)","1","(5)","0"
"276","276","5","21","눈동자크기","1","(6)","0"
"277","277","5","22","눈썹(높이)","1","(7)","0"
"278","278","5","23","눈섭위치(간격)","1","(8)","0"
"279","279","5","24","눈썹(기울기)","1","(9)","0"
"280","280","5","25","눈썹(모양)","1","(10)","0"
"281","281","5","26","눈썹(두께)","1","(11)","0"
"282","282","5","27","L_눈윗라인01_x","1","(12)","1"
"283","283","5","28","L_눈윗라인01_y","1","(13)","0"
"284","284","5","29","L_눈윗라인02_x","1","(14)","1"
"285","285","5","30","L_눈윗라인02_y","1","(15)","0"
"286","286","5","31","L_눈아랫라인_x","1","(16)","1"
"287","287","5","32","L_눈아랫라인_y","1","(17)","1"
"288","288","5","33","L_앞트임_x","1","(18)","1"
"289","289","5","34","L_앞트임_y","1","(19)","0"
"290","290","5","35","L_뒷트임_x","1","(20)","1"
"291","291","5","36","L_뒷트임_y","1","(21)","0"
"292","292","5","37","애교살","1","(22)","0"
"293","293","5","38","코위치(위아래)","1","(23)","1"
"294","294","5","39","코끝높이","1","(24)","0"
"295","295","5","40","코끝위치","1","(25)","1"
"296","296","5","41","코등위치","1","(26)","1"
"297","297","5","42","코너비","1","(27)","0"
"298","298","5","43","콧방울너비","1","(28)","0"
"299","299","5","44","콧등너비","1","(29)","0"
"300","300","5","45","입위치(위아래)","1","(30)","0"
"301","301","5","46","눈썹 깊이","1","(31)","0"
"302","302","5","47","입크기(좌우)","1","(32)","0"
"303","303","5","48","윗입술넓이","1","(33)","0"
"304","304","5","49","윗입술벌림","1","(34)","0"
"305","305","5","50","아랫입술넓이","1","(35)","0"
"306","306","5","51","아랫입술벌림","1","(36)","0"
"307","307","5","52","입꼬리위치(위아래)","1","(37)","1"
"308","308","5","53","입돌출","1","(38)","0"
"309","309","5","54","윗 입술 모음","1","(39)","0"
"310","310","5","55","아랫 입술 모음","1","(40)","0"
"311","311","5","56","눈썹길이","1","(41)","0"
"312","312","5","57","콧방울높이","1","(42)","0"
"313","313","5","58","인중양옆높이","1","(43)","0"
"314","314","5","59","광대위치_X","1","(44)","0"
"315","315","5","60","광대위치_Y","1","(45)","0"
"316","316","5","61","광대높이","1","(46)","0"
"317","317","5","62","볼높이","1","(47)","0"
"318","318","5","63","하관넓이","1","(48)","0"
"319","319","5","64","하관높이","1","(49)","0"
"320","320","5","65","하관 돌출","1","(50)","0"
"321","321","5","66","턱넓이","1","(51)","0"
"322","322","5","67","턱길이","1","(52)","0"
"323","323","5","68","턱높이","1","(53)","0"
"324","324","5","69","턱각도","1","(54)","1"
"325","325","5","70","콧대위높이","1","(55)","0"
"326","326","5","71","콧볼각도","1","(56)","0"
"327","327","5","72","이마높이","1","(57)","0"
"328","328","5","73","피부색농도","1","(1007)","0"
"329","329","5","74","눈동자색밝기","1","(1008)","0"
"330","330","5","75","헤어광택(스펙큘러)","1","(1009)","0"
"331","331","5","76","코높이","1","(58)","0"
"332","332","5","77","코뿌리너비","1","(59)","0"
"333","333","5","78","머리색농도","1","(1010)","0"
"334","334","5","79","눈화장농도","1","(1011)","0"
"335","335","5","80","입술색농도","1","(1012)","0"
"336","336","5","81","눈동자회전(좌우)","1","(61)","0"
"337","337","5","82","바깥턱높이","1","(62)","0"
"338","338","5","83","얼굴볼륨","1","(63)","0"
"339","339","5","84","볼터치농도","1","(1013)","0"
"340","340","5","85","얼굴 윤곽","1","(64)","0"
"341","341","4","1","프리셋","2","(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20)","0"
"342","342","4","2","머리모양","2","(240000,240001,240002,240003,240004,240005,240006,240007)","0"
"343","343","4","3","머리색","2","(261001,261002,261003,261004,261005,261006,261007,261008,261009,261010,261011,261012,261013,261014,261015,261016,261017,261018,261019,261020,261021,261022,261023,261024,261025,261026,261027,261028,261029,261030,261031,261032,261033,261034,261035,261036,261037,261038,261039,261040,261041,261042,261043,261044,261045,261046,261047,261048,261049,261050,261051,261052,261053,261054,261055,261056,261057,261058,261059,261060,261061,261062,261063,261064)","0"
"344","344","4","4","얼굴","2","(245000,245001,245002,245003,245004)","0"
"345","345","4","5","피부색","2","(262001,262002,262003,262004,262005,262006,262007,262008,262009,262010,262011,262012,262013,262014,262015,262016,262017,262018,262019,262020,262021,262022,262023,262024,262025,262026,262027,262028,262029,262030,262031,262032,262033,262034,262035,262036,262037,262038,262039,262040,262041,262042,262043,262044,262045,262046,262047,262048,262049,262050,262051,262052)","0"
"346","346","4","6"," 눈동자색상","2","(263001,263002,263003,263004,263005,263006,263007,263008,263009,263010,263011,263012,263013,263014,263015,263016,263017,263018,263019,263020,263021,263022,263023,263024,263025,263026,263027,263028,263029,263030,263031,263032,263033,263034,263035,263036,263037,263038,263039,263040,263041,263042,263043,263044,263045,263046,263047,263048,263049,263050,263051,263052)","0"
"347","347","4","7","입술색상","2","(266001,266002,266003,266004,266005,266006,266007,266008,266009,266010,266011,266012,266013,266014,266015,266016,266017,266018,266019,266020,266021,266022,266023,266024,266025,266026,266027)","0"
"348","348","4","8","눈화장","2","(264001,264002,264003,264004,264005,264006,264007,264008,264009,264010,264011,264012,264013,264014,264015,264016,264017,264018,264019,264020,264021,264022,264023,264024,264025,264026,264027,264028)","0"
"349","349","4","9","볼터치","2","(265001,265002,265003,265004,265005,265006,265007,265008,265009,265010,265011,265012,265013,265014,265015,265016,265017,265018,265019,265020,265021,265022,265023,265024)","0"
"350","350","4","10","피부광택","1","(1001)","1"
"351","351","4","11","입술광택","1","(1002)","1"
"352","352","4","12","점위치_x","1","(1003)","1"
"353","353","4","13","점위치_y","1","(1004)","0"
"354","354","4","14","점농도","1","(1005)","0"
"355","355","4","15","눈동자회전(위아래)","1","(60)","0"
"356","356","4","16","눈위치(높이)","1","(1)","0"
"357","357","4","17","눈위치(간격)","1","(2)","0"
"358","358","4","18","눈전체크기","1","(3)","0"
"359","359","4","19","눈회전","1","(4)","0"
"360","360","4","20","눈크기(위아래)","1","(5)","0"
"361","361","4","21","눈동자크기","1","(6)","0"
"362","362","4","22","눈썹(높이)","1","(7)","0"
"363","363","4","23","눈섭위치(간격)","1","(8)","0"
"364","364","4","24","눈썹(기울기)","1","(9)","0"
"365","365","4","25","눈썹(모양)","1","(10)","0"
"366","366","4","26","눈썹(두께)","1","(11)","0"
"367","367","4","27","L_눈윗라인01_x","1","(12)","1"
"368","368","4","28","L_눈윗라인01_y","1","(13)","0"
"369","369","4","29","L_눈윗라인02_x","1","(14)","1"
"370","370","4","30","L_눈윗라인02_y","1","(15)","0"
"371","371","4","31","L_눈아랫라인_x","1","(16)","1"
"372","372","4","32","L_눈아랫라인_y","1","(17)","1"
"373","373","4","33","L_앞트임_x","1","(18)","1"
"374","374","4","34","L_앞트임_y","1","(19)","0"
"375","375","4","35","L_뒷트임_x","1","(20)","1"
"376","376","4","36","L_뒷트임_y","1","(21)","0"
"377","377","4","37","애교살","1","(22)","0"
"378","378","4","38","코위치(위아래)","1","(23)","1"
"379","379","4","39","코끝높이","1","(24)","0"
"380","380","4","40","코끝위치","1","(25)","1"
"381","381","4","41","코등위치","1","(26)","1"
"382","382","4","42","코너비","1","(27)","0"
"383","383","4","43","콧방울너비","1","(28)","0"
"384","384","4","44","콧등너비","1","(29)","0"
"385","385","4","45","입위치(위아래)","1","(30)","0"
"386","386","4","46","눈썹 깊이","1","(31)","0"
"387","387","4","47","입크기(좌우)","1","(32)","0"
"388","388","4","48","윗입술넓이","1","(33)","0"
"389","389","4","49","윗입술벌림","1","(34)","0"
"390","390","4","50","아랫입술넓이","1","(35)","0"
