"Name","RefineId","RefineGroup","RefineStep","Attribute1Value","Attribute2Value","Attribute3Value","Attribute4Value","Attribute5Value","Attribute6Value"
"220015","220015","220010","5","403","313","365","123","0","0"
"220016","220016","220010","6","483","375","438","147","0","0"
"220017","220017","220010","7","564","438","511","172","0","0"
"302031","302031","302030","1","201","201","48","107","107","0"
"302032","302032","302030","2","403","403","96","214","214","0"
"302033","302033","302030","3","604","604","143","321","321","0"
"302034","302034","302030","4","805","805","191","428","428","0"
"302035","302035","302030","5","1006","1006","239","535","535","0"
"302036","302036","302030","6","1208","1208","287","642","642","0"
"302037","302037","302030","7","1409","1409","334","749","749","0"
"303011","303011","303010","1","108","108","141","175","175","0"
"303012","303012","303010","2","217","217","282","350","350","0"
"303013","303013","303010","3","325","325","423","525","525","0"
"303014","303014","303010","4","433","433","564","700","700","0"
"303015","303015","303010","5","541","541","705","875","875","0"
"303016","303016","303010","6","650","650","846","1050","1050","0"
"303017","303017","303010","7","758","758","987","1225","1225","0"
"303021","303021","303020","1","2460","54","37","48","37","0"
"303022","303022","303020","2","4920","109","73","96","73","0"
"303023","303023","303020","3","7380","163","110","143","110","0"
"303024","303024","303020","4","9840","217","146","191","146","0"
"303025","303025","303020","5","12300","271","183","239","183","0"
"303026","303026","303020","6","14760","326","219","287","219","0"
"303027","303027","303020","7","17220","380","256","334","256","0"
"303031","303031","303030","1","1230","48","141","37","37","0"
"303032","303032","303030","2","2460","96","282","73","73","0"
"303033","303033","303030","3","3690","143","423","110","110","0"
"303034","303034","303030","4","4920","191","564","146","146","0"
"303035","303035","303030","5","6150","239","705","183","183","0"
"303036","303036","303030","6","7380","287","846","219","219","0"
"303037","303037","303030","7","8610","334","987","256","256","0"
"303041","303041","303040","1","1230","54","48","30","30","0"
"303042","303042","303040","2","2460","109","96","60","60","0"
"303043","303043","303040","3","3690","163","143","90","90","0"
"303044","303044","303040","4","4920","217","191","120","120","0"
"303045","303045","303040","5","6150","271","239","150","150","0"
"303046","303046","303040","6","7380","326","287","180","180","0"
"303047","303047","303040","7","8610","380","334","210","210","0"
"320011","320011","320010","1","81","81","63","73","25","0"
"320012","320012","320010","2","161","161","125","146","49","0"
"320013","320013","320010","3","242","242","188","219","74","0"
"320014","320014","320010","4","322","322","250","292","98","0"
"320015","320015","320010","5","403","403","313","365","123","0"
"320016","320016","320010","6","483","483","375","438","147","0"
"320017","320017","320010","7","564","564","438","511","172","0"
"402041","402041","402040","1","201","48","107","107","0","0"
"402042","402042","402040","2","403","96","214","214","0","0"
"402043","402043","402040","3","604","143","321","321","0","0"
"402044","402044","402040","4","805","191","428","428","0","0"
"402045","402045","402040","5","1006","239","535","535","0","0"
"402046","402046","402040","6","1208","287","642","642","0","0"
"402047","402047","402040","7","1409","334","749","749","0","0"
"403011","403011","403010","1","108","108","141","175","175","0"
"403012","403012","403010","2","217","217","282","350","350","0"
"403013","403013","403010","3","325","325","423","525","525","0"
"403014","403014","403010","4","433","433","564","700","700","0"
"403015","403015","403010","5","541","541","705","875","875","0"
"403016","403016","403010","6","650","650","846","1050","1050","0"
"403017","403017","403010","7","758","758","987","1225","1225","0"
"403021","403021","403020","1","2460","54","37","48","37","0"
"403022","403022","403020","2","4920","109","73","96","73","0"
"403023","403023","403020","3","7380","163","110","143","110","0"
"403024","403024","403020","4","9840","217","146","191","146","0"
"403025","403025","403020","5","12300","271","183","239","183","0"
"403026","403026","403020","6","14760","326","219","287","219","0"
"403027","403027","403020","7","17220","380","256","334","256","0"
"403031","403031","403030","1","1230","48","141","37","37","0"
"403032","403032","403030","2","2460","96","282","73","73","0"
"403033","403033","403030","3","3690","143","423","110","110","0"
"403034","403034","403030","4","4920","191","564","146","146","0"
"403035","403035","403030","5","6150","239","705","183","183","0"
"403036","403036","403030","6","7380","287","846","219","219","0"
"403037","403037","403030","7","8610","334","987","256","256","0"
"403041","403041","403040","1","1230","54","48","30","30","0"
"403042","403042","403040","2","2460","109","96","60","60","0"
"403043","403043","403040","3","3690","163","143","90","90","0"
"403044","403044","403040","4","4920","217","191","120","120","0"
"403045","403045","403040","5","6150","271","239","150","150","0"
"403046","403046","403040","6","7380","326","287","180","180","0"
"403047","403047","403040","7","8610","380","334","210","210","0"
"420011","420011","420010","1","81","63","73","25","0","0"
"420012","420012","420010","2","161","125","146","49","0","0"
"420013","420013","420010","3","242","188","219","74","0","0"
"420014","420014","420010","4","322","250","292","98","0","0"
"420015","420015","420010","5","403","313","365","123","0","0"
"420016","420016","420010","6","483","375","438","147","0","0"
"420017","420017","420010","7","564","438","511","172","0","0"
"502051","502051","502050","1","201","201","48","107","107","0"
"502052","502052","502050","2","403","403","96","214","214","0"
"502053","502053","502050","3","604","604","143","321","321","0"
"502054","502054","502050","4","805","805","191","428","428","0"
"502055","502055","502050","5","1006","1006","239","535","535","0"
"502056","502056","502050","6","1208","1208","287","642","642","0"
"502057","502057","502050","7","1409","1409","334","749","749","0"
"503011","503011","503010","1","108","108","141","175","175","0"
"503012","503012","503010","2","217","217","282","350","350","0"
"503013","503013","503010","3","325","325","423","525","525","0"
"503014","503014","503010","4","433","433","564","700","700","0"
"503015","503015","503010","5","541","541","705","875","875","0"
"503016","503016","503010","6","650","650","846","1050","1050","0"
"503017","503017","503010","7","758","758","987","1225","1225","0"
"503021","503021","503020","1","2460","54","37","48","37","0"
"503022","503022","503020","2","4920","109","73","96","73","0"
"503023","503023","503020","3","7380","163","110","143","110","0"
"503024","503024","503020","4","9840","217","146","191","146","0"
"503025","503025","503020","5","12300","271","183","239","183","0"
"503026","503026","503020","6","14760","326","219","287","219","0"
"503027","503027","503020","7","17220","380","256","334","256","0"
"503031","503031","503030","1","1230","48","141","37","37","0"
"503032","503032","503030","2","2460","96","282","73","73","0"
"503033","503033","503030","3","3690","143","423","110","110","0"
"503034","503034","503030","4","4920","191","564","146","146","0"
"503035","503035","503030","5","6150","239","705","183","183","0"
"503036","503036","503030","6","7380","287","846","219","219","0"
"503037","503037","503030","7","8610","334","987","256","256","0"
"503041","503041","503040","1","1230","54","48","30","30","0"
"503042","503042","503040","2","2460","109","96","60","60","0"
"503043","503043","503040","3","3690","163","143","90","90","0"
"503044","503044","503040","4","4920","217","191","120","120","0"
"503045","503045","503040","5","6150","271","239","150","150","0"
"503046","503046","503040","6","7380","326","287","180","180","0"
"503047","503047","503040","7","8610","380","334","210","210","0"
"520011","520011","520010","1","81","81","63","73","25","0"
"520012","520012","520010","2","161","161","125","146","49","0"
"520013","520013","520010","3","242","242","188","219","74","0"
"520014","520014","520010","4","322","322","250","292","98","0"
"520015","520015","520010","5","403","403","313","365","123","0"
"520016","520016","520010","6","483","483","375","438","147","0"
"520017","520017","520010","7","564","564","438","511","172","0"
"602061","602061","602060","1","201","48","107","107","0","0"
"602062","602062","602060","2","403","96","214","214","0","0"
"602063","602063","602060","3","604","143","321","321","0","0"
"602064","602064","602060","4","805","191","428","428","0","0"
"602065","602065","602060","5","1006","239","535","535","0","0"
"602066","602066","602060","6","1208","287","642","642","0","0"
"602067","602067","602060","7","1409","334","749","749","0","0"
"603011","603011","603010","1","108","108","141","175","175","0"
"603012","603012","603010","2","217","217","282","350","350","0"
"603013","603013","603010","3","325","325","423","525","525","0"
"603014","603014","603010","4","433","433","564","700","700","0"
"603015","603015","603010","5","541","541","705","875","875","0"
"603016","603016","603010","6","650","650","846","1050","1050","0"
"603017","603017","603010","7","758","758","987","1225","1225","0"
"603021","603021","603020","1","2460","54","37","48","37","0"
"603022","603022","603020","2","4920","109","73","96","73","0"
"603023","603023","603020","3","7380","163","110","143","110","0"
"603024","603024","603020","4","9840","217","146","191","146","0"
"603025","603025","603020","5","12300","271","183","239","183","0"
"603026","603026","603020","6","14760","326","219","287","219","0"
"603027","603027","603020","7","17220","380","256","334","256","0"
"603031","603031","603030","1","1230","48","141","37","37","0"
"603032","603032","603030","2","2460","96","282","73","73","0"
"603033","603033","603030","3","3690","143","423","110","110","0"
"603034","603034","603030","4","4920","191","564","146","146","0"
"603035","603035","603030","5","6150","239","705","183","183","0"
"603036","603036","603030","6","7380","287","846","219","219","0"
"603037","603037","603030","7","8610","334","987","256","256","0"
"603041","603041","603040","1","1230","54","48","30","30","0"
"603042","603042","603040","2","2460","109","96","60","60","0"
"603043","603043","603040","3","3690","163","143","90","90","0"
"603044","603044","603040","4","4920","217","191","120","120","0"
"603045","603045","603040","5","6150","271","239","150","150","0"
"603046","603046","603040","6","7380","326","287","180","180","0"
"603047","603047","603040","7","8610","380","334","210","210","0"
"620011","620011","620010","1","81","63","73","25","0","0"
"620012","620012","620010","2","161","125","146","49","0","0"
"620013","620013","620010","3","242","188","219","74","0","0"
"620014","620014","620010","4","322","250","292","98","0","0"
"620015","620015","620010","5","403","313","365","123","0","0"
"620016","620016","620010","6","483","375","438","147","0","0"
"620017","620017","620010","7","564","438","511","172","0","0"
"4011","4011","4010","1","365","101","89","141","89","0"
"4012","4012","4010","2","730","202","178","282","178","0"
"4013","4013","4010","3","1095","302","267","423","267","0"
"4014","4014","4010","4","1460","403","356","564","356","0"
"4015","4015","4010","5","1825","504","445","705","445","0"
"4016","4016","4010","6","2190","605","534","846","534","0"
"4017","4017","4010","7","2555","705","623","987","623","0"
"4021","4021","4020","1","365","101","108","175","175","0"
"4022","4022","4020","2","730","202","217","350","350","0"
"4023","4023","4020","3","1095","302","325","525","525","0"
"4024","4024","4020","4","1460","403","433","700","700","0"
"4025","4025","4020","5","1825","504","541","875","875","0"
"4026","4026","4020","6","2190","605","650","1050","1050","0"
"4027","4027","4020","7","2555","705","758","1225","1225","0"
"4031","4031","4030","1","101","101","141","30","30","0"
"4032","4032","4030","2","202","202","282","60","60","0"
"4033","4033","4030","3","302","302","423","90","90","0"
"4034","4034","4030","4","403","403","564","120","120","0"
"4035","4035","4030","5","504","504","705","150","150","0"
"4036","4036","4030","6","605","605","846","180","180","0"
"4037","4037","4030","7","705","705","987","210","210","0"
"4041","4041","4040","1","43","43","63","73","37","0"
"4042","4042","4040","2","87","87","125","146","73","0"
"4043","4043","4040","3","130","130","188","219","110","0"
"4044","4044","4040","4","173","173","250","292","146","0"
"4045","4045","4040","5","216","216","313","365","183","0"
"4046","4046","4040","6","260","260","375","438","219","0"
"4047","4047","4040","7","303","303","438","511","256","0"
