"Name","MonsterId","GroupId","NameSid","NameTitleSid","MonsterResourceID","BehaviourAiLink","MonColorGroupID","MonScale","Race","MonGrade","Level","MonType","MaxHP","PhysicalAttack","ReducePhysicalDef","MagicAttack","ReduceMagicDef","PhysicalDefense","MagicDefense","Accuracy","Dodge","Critical","AvoidCritical","CriticalOutcome","DefCriticalOutcome","MonAttackDamage","MonDefense","DefSmiteSkillDamage","DarkdefenseDamage","SkillDamage","DefSkillDamage","AtkAllDamage","DefAllDamage","StunPer","DefStunPer","KnockDownPer","DefKnockDownPer","SmiteBuffPer","DefSmiteBuffPer","DeBuffPer","DefDeBuffPer","CursePer","DefCursePer","AttackLuck","WalkSpeed","RunSpeed","FastRunSpeed","FiredefensePer","FrozendefensePer","LightningdefensePer","PoisondefensePer","HolydefensePer","DarkdefensePer","CombatPower","Exp","HpStack","PierceBody","UseAppear","FactionType","ViewRange","ActivityRange","TargetingType","CharacterTargetPriority","TargetValue","AttackDelayMin","AttackDelayMax","NormalAttackCntMin","NormalAttackCntMax","MonNormalAttack","MonAttack","AttackRate_0","AttackRate_1","AttackRate_2","AttackRate_3","MonNormalLongAttack","LongMonAttack","LongAttackRate_0","LongAttackRate_1","LongAttackRate_2","LongAttackRate_3","TraceGap","AttackRange","LongAttackRange","CapsuleHalfHeight","CapsuleRadius","HitConGrade","StateConGrade","MoveConGrade","SmiteBuffArmor","EffectBuffArmor","PartsRadius","MonsterFunctionData"
"100001042","100001042","0","3701608","0","502031","4000","100098","1.3","2","3","3","1","2434","81","0","81","0","16","16","22","13","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","350","350","1000","0","-500","500","-250","0","2821","0","2434","0","0","2","10000","10000","1","0","0","1.5","1.5","2","3","(10197010,10197020)","(10197030,10197040,10197050,10197140,10197150)","(30,20,20,15,15)","(0,0,0,0,0)","(0,0,0,0,0)","(0,0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","440","0","200","150","1000","2000","2000","0","0","0","0"
"100001043","100001043","0","3701609","0","500821","4000","0","1","2","1","3","1","825","74","0","74","0","16","16","22","13","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","235","350","350","1000","0","-500","500","-250","0","2821","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(10019010,10019020)","(10019030,10019040,10019120,10019130,10019140)","(50,50,0,0,0)","(0,0,0,0,0)","(0,0,0,0,0)","(0,0,0,0,0)","(10019010,10019020)","(0)","(0)","(0)","(0)","(0)","50","350","0","200","200","500","500","0","0","0","0","0"
"100001044","100001044","0","3701610","0","300581","2000","0","1","4","1","3","1","24338","81","0","81","0","16","16","22","13","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140","500","500","0","-250","0","-500","1000","500","2821","0","0","0","0","1","10000","10000","1","0","0","0.5","0.5","1","2","(10130010,10130020)","(10130030,10130040,10130050,10130910)","(30,30,20,20)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","280","0","120","100","500","500","0","0","0","0","HideLv"
"100001045","100001045","0","3701794","3700032","300321","4003","0","1","4","1","3","1","8250","74","0","74","0","16","16","22","13","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123","500","500","0","-250","0","-500","1000","500","2821","0","0","0","0","1","10000","10000","1","0","0","0.5","0.5","1","2","(10132010)","(10132030)","(100)","(0)","(0)","(0)","(10132020)","(10132030)","(0)","(0)","(0)","(0)","50","200","800","100","100","500","500","0","0","0","0","HideLv"
"100001046","100001046","0","3701585","0","301031","4000","0","1","4","1","4","1","1188","80","0","80","0","19","19","26","23","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","270","270","0","-250","0","-500","1000","500","3249","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(0)","(10219030,10219040)","(50,50)","(0,0)","(0,0)","(0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","200","0","100","100","500","500","0","0","0","0","0"
"100001047","100001047","0","3701585","0","301031","4000","0","1","4","1","4","1","1188","80","0","80","0","19","19","26","23","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","270","270","0","-250","0","-500","1000","500","3249","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(0)","(10219030,10219040)","(50,50)","(0,0)","(0,0)","(0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","200","0","100","100","500","500","0","0","0","0","0"
"100001048","100001048","0","3701830","0","301001","4000","0","1.2","4","3","4","1","3505","88","0","88","0","19","19","26","23","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","165","350","350","0","-250","0","-500","1000","500","3249","0","3505","0","0","2","10000","10000","1","0","0","0.5","0.5","2","3","(10220010,10220020)","(10220030,10220040,10220050,10220060)","(25,25,25,25)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","350","0","130","130","1000","2000","2000","0","0","0","0"
"100001049","100001049","0","3701601","0","500501","4000","100100","1.2","1","4","1","1","3050","59","0","59","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","260","500","500","-250","0","0","1000","-500","500","2372","0","1525","1","0","2","10000","10000","1","0","0","0.5","0.5","1","3","(10049010,10049020)","(10049030,10049040,10049130)","(35,35,30)","(0,0,0)","(0,0,0)","(0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","590","0","230","230","2000","4000","4000","30","100","0","0"
"100001055","100001055","0","3701616","0","501311","4000","0","1.1","1","1","1","1","649","51","0","51","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","270","270","-250","0","0","1000","-500","500","2372","0","0","0","2.5","2","10000","10000","1","0","0","0.5","0.5","4","6","(10175010,10175020)","(10175030,10175040,10175140)","(50,50,0)","(0,0,0)","(0,0,0)","(0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","325","0","150","100","500","500","0","0","0","0","0"
"100001056","100001056","0","3701616","0","501311","4000","0","1.1","1","1","1","1","649","51","0","51","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","270","270","-250","0","0","1000","-500","500","2372","0","0","0","2.5","2","10000","10000","1","0","0","0.8","0.8","4","6","(10175010,10175020)","(10175030,10175040,10175140)","(50,50,0)","(0,0,0)","(0,0,0)","(0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","325","0","150","100","500","500","0","0","0","0","0"
"100001057","100001057","0","3701617","0","501321","4000","0","1.1","1","1","1","1","649","51","0","51","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180","270","270","-250","0","0","1000","-500","500","2372","0","0","0","2.5","2","10000","10000","1","0","0","0.5","0.5","4","6","(10176010)","(10176030,10176040)","(0,0)","(0,0)","(0,0)","(0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","850","0","150","100","500","500","0","0","0","0","0"
"100001058","100001058","0","3701617","0","501321","4000","0","1.1","1","1","1","1","649","51","0","51","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180","270","270","-250","0","0","1000","-500","500","2372","0","0","0","2.5","2","10000","10000","1","0","0","0.8","0.8","4","6","(10176010)","(10176030,10176040)","(0,0)","(0,0)","(0,0)","(0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","850","0","150","100","500","500","0","0","0","0","0"
"100001059","100001059","0","3701618","0","501401","4000","0","1","1","2","1","1","974","55","0","55","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","228","350","350","-250","0","0","1000","-500","500","2372","0","0","0","2.5","2","10000","10000","1","0","0","0.5","0.5","3","5","(10192010,10192020)","(10192030,10192040,10192050,10192130,10192140,10192150)","(100,0,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","400","0","180","150","500","1000","500","0","0","0","0"
"100001069","100001069","0","3701625","0","300921","4000","0","1.2","2","1","2","1","990","72","0","72","0","13","13","18","9","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190","350","350","1000","0","-500","500","-250","0","2683","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(0)","(10152030,10152040,10152050,10152120,10152130,10152140)","(50,50,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","350","0","130","150","500","500","0","0","0","0","0"
"100001071","100001071","0","3701627","0","500151","4000","100106","1","4","1","2","1","660","67","0","67","0","13","13","18","9","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","350","350","0","-250","0","-500","1000","500","2683","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(10021010,10021020)","(10021030,10021040,10021120,10021130)","(50,50,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","300","0","130","100","500","500","0","0","0","0","0"
"100001072","100001072","0","3701628","0","500131","4000","100107","1","4","2","2","1","990","72","0","72","0","13","13","18","9","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98","350","350","0","-250","0","-500","1000","500","2683","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","3","5","(10024010,10024020)","(10024030,10024040)","(50,50)","(0,0)","(0,0)","(0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","350","0","150","100","500","1000","500","0","0","0","0"
"100001074","100001074","0","3701630","0","500281","4000","0","1","0","1","1","1","454","36","0","36","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","270","270","-500","0","-100","0","230","230","2372","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(10005020)","(0)","(0)","(0)","(0)","(0)","(10005010)","(0)","(0)","(0)","(0)","(0)","50","210","1100","100","100","500","500","0","0","0","0","0"
"100001075","100001075","0","3701602","0","500521","4000","0","1","1","1","1","1","649","51","0","51","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180","270","270","-250","0","0","1000","-500","500","2372","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(10046010,10046020)","(10046130,10046040,10046140)","(0,100,0)","(0,0,0)","(0,0,0)","(0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","400","0","130","100","500","500","0","0","0","0","0"
"100001076","100001076","0","3701602","0","500531","4000","0","1","1","1","1","1","649","51","0","51","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86","270","270","-250","0","0","1000","-500","500","2372","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(10047010,10047020)","(10047030,10047040,10047130)","(50,50,0)","(0,0,0)","(0,0,0)","(0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","950","0","130","100","500","500","0","0","0","0","0"
"100001077","100001077","0","3701602","0","500541","4000","0","1","1","1","1","1","649","51","0","51","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","154","270","270","-250","0","0","1000","-500","500","2372","0","0","0","0","2","10000","10000","1","0","0","1.5","1.5","4","6","(10048010)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","50","950","0","130","100","500","500","0","0","0","0","0"
"100001078","100001078","0","3701631","0","400722","0","0","1.5","0","1","1","3","260","51","0","51","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-500","0","-100","0","230","230","2372","0","0","1","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","50","425","0","130","100","500","500","5000","0","0","0","0"
"100001081","100001081","0","3701634","0","501603","0","0","1","3","5","1","2","39433","61","0","61","0","7","7","14","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","350","350","350","500","-500","1000","-250","0","0","2372","220","1314","1","0","2","10000","5000","1","0","0","0.5","0.5","1","3","(10201010,10201020)","(10201030,10201040)","(50,50)","(0,0)","(0,0)","(0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","1850","0","800","500","4000","6000","6000","30","100","0","0"
"100001082","100001082","0","3720043","3700052","501731","4000","0","1.2","4","4","3","1","15510","85","0","85","0","16","16","22","13","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","226","350","350","0","-250","0","-500","1000","500","2821","0","7755","1","0","2","10000","10000","1","0","0","0.5","0.5","1","3","(10214010,10214020)","(10214030,10214040,10214050,10214060,10214130,10214140,10214150,10214160)","(25,25,0,0,0,0,50,0)","(0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0)","(0,0,0,0,0,0,0,0)","(10214010,10214020)","(0)","(0)","(0)","(0)","(0)","50","410","0","150","150","2000","4000","4000","30","100","0","0"
"100001083","100001083","0","3701743","3700080","501651","4000","0","1","4","1","2","1","462","47","0","47","0","13","13","18","9","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","178","350","350","0","-250","0","-500","1000","500","2683","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(10206010,10206020)","(10206030,10206040,10206130,10206140)","(50,50,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","350","0","130","100","500","500","0","0","0","0","0"
"100001084","100001084","0","3701627","0","501651","2000","100112","1","4","1","2","1","92","5","0","5","0","13","13","18","9","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","178","350","350","0","-250","0","-500","1000","500","2683","0","0","0","0","1","10000","10000","1","0","0","0.5","0.5","1","2","(10206010,10206020)","(10206030,10206040,10206130,10206140)","(50,50,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","350","0","130","100","500","500","0","0","0","0","0"
"100001085","100001085","0","3720265","0","300921","4000","0","1","2","1","2","1","660","67","0","67","0","13","13","18","9","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190","350","350","1000","0","-500","500","-250","0","2683","0","0","0","0","2","10000","10000","1","2","0","0.5","0.5","4","6","(0)","(10152030,10152040,10152050,10152120,10152130,10152140)","(50,50,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","300","0","130","150","500","500","0","0","0","0","0"
"100001086","100001086","0","3701627","0","501651","4000","100112","1","4","1","2","1","660","67","0","67","0","13","13","18","9","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","178","350","350","0","-250","0","-500","1000","500","2683","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(10206010,10206020)","(10206030,10206040,10206130,10206140)","(50,50,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","350","0","130","100","500","500","0","0","0","0","0"
"100001087","100001087","0","3701627","0","501671","4000","100113","1","4","1","2","1","462","47","0","47","0","13","13","18","9","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140","350","350","0","-250","0","-500","1000","500","2683","0","0","0","0","2","10000","10000","1","0","0","0.5","0.5","4","6","(10208010)","(10208030,10208040,10208130,10208140)","(100,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","500","0","130","100","500","500","0","0","0","0","0"
"100001088","100001088","0","3701626","0","300921","4000","0","1.2","2","1","2","1","660","67","0","67","0","13","13","18","9","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190","350","350","1000","0","-500","500","-250","0","2683","0","0","0","0","2","10000","10000","1","2","0","0.5","0.5","4","6","(0)","(10152030,10152040,10152050,10152120,10152130,10152140)","(50,50,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","350","0","130","150","500","500","0","0","0","0","0"
"100002005","100002005","0","3701794","3700032","300321","4003","0","1","4","1","5","1","13220","89","0","89","0","22","22","29","49","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123","500","500","0","-250","0","-500","1000","500","3520","0","0","0","0","1","10000","10000","1","0","0","0.5","0.5","1","2","(10132010)","(10132030)","(100)","(0)","(0)","(0)","(10132020)","(10132030)","(0)","(0)","(0)","(0)","50","200","800","100","100","500","500","0","0","0","0","HideLv"
"100002015","100002015","0","3701585","0","301032","2000","0","1","4","1","1","1","6","51","0","51","0","7","7","10","5","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","270","270","0","-250","0","-500","1000","500","2372","0","0","0","0","1","10000","10000","1","0","0","0.5","0.5","1","2","(0)","(10219030,10219040)","(50,50)","(0,0)","(0,0)","(0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","200","0","100","100","500","500","0","0","0","0","HideLv/BodyClearTime 999"
"100002016","100002016","0","3701609","0","500821","4000","0","1","2","1","5","1","1322","89","0","89","0","22","22","29","49","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","235","350","350","1000","0","-500","500","-250","0","3520","0","0","0","0","2","10000","10000","2","2","100002015","0.5","0.5","4","6","(10019010,10019020)","(10019030,10019040,10019120,10019130,10019140)","(50,50,0,0,0)","(0,0,0,0,0)","(0,0,0,0,0)","(0,0,0,0,0)","(10019010,10019020)","(0)","(0)","(0)","(0)","(0)","50","350","0","200","200","500","500","0","0","0","0","0"
"100002017","100002017","0","3701647","0","501521","4000","100375","1.1","2","3","5","1","3900","98","0","98","0","22","22","29","49","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","306","350","350","1000","0","-500","500","-250","0","3520","0","3900","0","0","2","10000","10000","1","0","0","1","1","2","3","(10196010,10196020)","(10196030,10196040,10196050,10196130,10196140)","(25,25,20,15,15)","(0,0,0,0,0)","(0,0,0,0,0)","(0,0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","435","0","200","200","1000","2000","2000","0","0","0","0"
"101001001","101001001","0","3701648","0","500391","4000","100116","1","2","1","9","1","1540","167","0","167","0","75","75","69","82","10","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","139","350","350","1000","0","-500","500","-250","0","5204","0","0","0","0","2","10000","10000","1","0","0","1.5","1.5","4","6","(10079010,10079020)","(10079030,10079040,10079130)","(50,50,0)","(0,0,0)","(0,0,0)","(0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","280","0","100","100","500","500","0","0","0","0","0"
"101001002","101001002","0","3701649","0","500401","4000","100117","1","2","1","9","1","1540","167","0","167","0","75","75","69","82","10","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","157","350","350","1000","0","-500","500","-250","0","5204","0","0","0","0","2","10000","10000","1","0","0","1","1","4","6","(10080010,10080020)","(10080030,10080040,10080140)","(50,50,0)","(0,0,0)","(0,0,0)","(0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","280","0","100","100","500","500","0","0","0","0","0"
"101001003","101001003","0","3701650","0","500411","4000","100118","1.3","2","3","9","1","7238","192","0","192","0","75","75","69","82","10","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","193","350","350","1000","0","-500","500","-250","0","5204","0","3619","0","0","2","10000","10000","1","0","0","1.5","1.5","2","3","(10081010,10081020)","(10081120)","(100)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","50","950","0","100","100","1000","2000","2000","0","0","0","0"
"101001004","101001004","0","3703084","3700028","300481","4003","0","1","4","3","9","1","45430","184","0","184","0","75","75","69","82","10","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112","500","500","0","-250","0","-500","1000","500","5204","0","45430","0","0","1","10000","10000","1","0","0","1","1","1","2","(10133010,10133020)","(10133030,10133040,10133910)","(20,60,20)","(0,0,0)","(0,0,0)","(0,0,0)","(10133010,10133020)","(0)","(0)","(0)","(0)","(0)","50","250","0","130","100","1000","2000","2000","0","0","0","HideLv"
