"Name","UniqueID","BloodSetID","BloodLevel","TrainingCost_Spirit","Blood1_Training_NeedUse01Id","Blood1_Training_NeedItem01Count","Blood1_Training_NeedUse02Id","Blood1_Training_NeedItem02Count","Blood2_Training_NeedUse01Id","Blood2_Training_NeedItem01Count","Blood2_Training_NeedUse02Id","Blood2_Training_NeedItem02Count","Blood3_Training_NeedUse01Id","Blood3_Training_NeedItem01Count","Blood3_Training_NeedUse02Id","Blood3_Training_NeedItem02Count","Blood4_Training_NeedUse01Id","Blood4_Training_NeedItem01Count","Blood4_Training_NeedUse02Id","Blood4_Training_NeedItem02Count","TrainingChanceSuccess","TrainingChanceFail","TrainingChanceCriticalFail","Blood1_AttributeType","Blood1_AttributeValue","Blood2_AttributeType","Blood2_AttributeValue","Blood3_AttributeType","Blood3_AttributeValue","Blood4_AttributeType","Blood4_AttributeValue","HardTraining_ForcePanelLevel"
"1001010","1001010","1001","10","200","517000102","1","0","0","517000202","1","0","0","517000302","1","0","0","517000402","1","0","0","10000","0","0","20","45","40","50","24","60","26","60","2"
"1001011","1001011","1001","11","500","517000102","4","0","0","517000202","4","0","0","517000302","4","0","0","517000402","4","0","0","10000","0","0","20","50","40","55","24","66","26","66","3"
"1001012","1001012","1001","12","500","517000102","4","0","0","517000202","4","0","0","517000302","4","0","0","517000402","4","0","0","10000","0","0","20","54","40","60","24","72","26","72","3"
"1001013","1001013","1001","13","500","517000102","4","0","0","517000202","4","0","0","517000302","4","0","0","517000402","4","0","0","10000","0","0","20","59","40","65","24","78","26","78","3"
"1001014","1001014","1001","14","500","517000102","4","0","0","517000202","4","0","0","517000302","4","0","0","517000402","4","0","0","10000","0","0","20","63","40","70","24","84","26","84","3"
"1001015","1001015","1001","15","500","517000102","4","0","0","517000202","4","0","0","517000302","4","0","0","517000402","4","0","0","10000","0","0","20","68","40","75","24","90","26","90","3"
"1001016","1001016","1001","16","1000","517000103","3","0","0","517000203","3","0","0","517000303","3","0","0","517000403","3","0","0","10000","0","0","20","72","40","80","24","96","26","96","4"
"1001017","1001017","1001","17","1000","517000103","3","0","0","517000203","3","0","0","517000303","3","0","0","517000403","3","0","0","10000","0","0","20","77","40","85","24","102","26","102","4"
"1001018","1001018","1001","18","1000","517000103","3","0","0","517000203","3","0","0","517000303","3","0","0","517000403","3","0","0","10000","0","0","20","81","40","90","24","108","26","108","4"
"1001019","1001019","1001","19","1000","517000103","3","0","0","517000203","3","0","0","517000303","3","0","0","517000403","3","0","0","10000","0","0","20","86","40","95","24","114","26","114","4"
"1001020","1001020","1001","20","1000","517000103","3","0","0","517000203","3","0","0","517000303","3","0","0","517000403","3","0","0","10000","0","0","20","90","40","100","24","120","26","120","4"
"1001021","1001021","1001","21","2000","517000103","6","0","0","517000203","6","0","0","517000303","6","0","0","517000403","6","0","0","10000","0","0","20","95","40","105","24","126","26","126","5"
"1001022","1001022","1001","22","2000","517000103","6","0","0","517000203","6","0","0","517000303","6","0","0","517000403","6","0","0","10000","0","0","20","99","40","110","24","132","26","132","5"
"1001023","1001023","1001","23","2000","517000103","6","0","0","517000203","6","0","0","517000303","6","0","0","517000403","6","0","0","10000","0","0","20","104","40","115","24","138","26","138","5"
"1001024","1001024","1001","24","2000","517000103","6","0","0","517000203","6","0","0","517000303","6","0","0","517000403","6","0","0","10000","0","0","20","108","40","120","24","144","26","144","5"
"1001025","1001025","1001","25","2000","517000103","6","0","0","517000203","6","0","0","517000303","6","0","0","517000403","6","0","0","10000","0","0","20","113","40","125","24","150","26","150","5"
"1001026","1001026","1001","26","2000","517000103","12","0","0","517000203","12","0","0","517000303","12","0","0","517000403","12","0","0","10000","0","0","20","117","40","130","24","156","26","156","6"
"1001027","1001027","1001","27","2000","517000103","12","0","0","517000203","12","0","0","517000303","12","0","0","517000403","12","0","0","10000","0","0","20","122","40","135","24","162","26","162","6"
"1001028","1001028","1001","28","2000","517000103","12","0","0","517000203","12","0","0","517000303","12","0","0","517000403","12","0","0","10000","0","0","20","126","40","140","24","168","26","168","6"
"1001029","1001029","1001","29","2000","517000103","12","0","0","517000203","12","0","0","517000303","12","0","0","517000403","12","0","0","10000","0","0","20","131","40","145","24","174","26","174","6"
"1001030","1001030","1001","30","2000","517000103","12","0","0","517000203","12","0","0","517000303","12","0","0","517000403","12","0","0","10000","0","0","20","135","40","150","24","180","26","180","6"
"1001031","1001031","1001","31","10000","517000104","6","0","0","517000204","6","0","0","517000304","6","0","0","517000404","6","0","0","10000","0","0","20","140","40","155","24","186","26","186","7"
"1001032","1001032","1001","32","10000","517000104","6","0","0","517000204","6","0","0","517000304","6","0","0","517000404","6","0","0","10000","0","0","20","144","40","160","24","192","26","192","7"
"1001033","1001033","1001","33","10000","517000104","6","0","0","517000204","6","0","0","517000304","6","0","0","517000404","6","0","0","10000","0","0","20","149","40","165","24","198","26","198","7"
"1001034","1001034","1001","34","10000","517000104","6","0","0","517000204","6","0","0","517000304","6","0","0","517000404","6","0","0","10000","0","0","20","153","40","170","24","204","26","204","7"
"1001035","1001035","1001","35","10000","517000104","6","0","0","517000204","6","0","0","517000304","6","0","0","517000404","6","0","0","10000","0","0","20","158","40","175","24","210","26","210","7"
"1001036","1001036","1001","36","50000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","20","162","40","180","24","216","26","216","8"
"1001037","1001037","1001","37","50000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","20","167","40","185","24","222","26","222","8"
"1001038","1001038","1001","38","50000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","20","171","40","190","24","228","26","228","8"
"1001039","1001039","1001","39","50000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","20","176","40","195","24","234","26","234","8"
"1001040","1001040","1001","40","50000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","20","180","40","200","24","240","26","240","8"
"1001041","1001041","1001","41","100000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","20","185","40","205","24","246","26","246","9"
"1001042","1001042","1001","42","100000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","20","189","40","210","24","252","26","252","9"
"1001043","1001043","1001","43","100000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","20","194","40","215","24","258","26","258","9"
"1001044","1001044","1001","44","100000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","20","198","40","220","24","264","26","264","9"
"1001045","1001045","1001","45","100000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","20","203","40","225","24","270","26","270","9"
"1001046","1001046","1001","46","200000","517000104","12","0","0","517000204","12","0","0","517000304","12","0","0","517000404","12","0","0","10000","0","0","20","207","40","230","24","276","26","276","10"
"1001047","1001047","1001","47","200000","517000104","12","0","0","517000204","12","0","0","517000304","12","0","0","517000404","12","0","0","10000","0","0","20","212","40","235","24","282","26","282","10"
"1001048","1001048","1001","48","200000","517000104","12","0","0","517000204","12","0","0","517000304","12","0","0","517000404","12","0","0","10000","0","0","20","216","40","240","24","288","26","288","10"
"1001049","1001049","1001","49","200000","517000104","12","0","0","517000204","12","0","0","517000304","12","0","0","517000404","12","0","0","10000","0","0","20","221","40","245","24","294","26","294","10"
"1001050","1001050","1001","50","200000","517000104","12","0","0","517000204","12","0","0","517000304","12","0","0","517000404","12","0","0","10000","0","0","20","225","40","250","24","300","26","300","10"
"1001051","1001051","1001","51","300000","517000104","20","501000050","4","517000204","20","501000050","4","517000304","20","501000050","4","517000404","20","501000050","4","10000","0","0","20","230","40","255","24","306","26","306","11"
"1001052","1001052","1001","52","300000","517000104","20","501000050","4","517000204","20","501000050","4","517000304","20","501000050","4","517000404","20","501000050","4","10000","0","0","20","234","40","260","24","312","26","312","11"
"1001053","1001053","1001","53","300000","517000104","20","501000050","4","517000204","20","501000050","4","517000304","20","501000050","4","517000404","20","501000050","4","10000","0","0","20","239","40","265","24","318","26","318","11"
"1001054","1001054","1001","54","300000","517000104","20","501000050","4","517000204","20","501000050","4","517000304","20","501000050","4","517000404","20","501000050","4","10000","0","0","20","243","40","270","24","324","26","324","11"
"1001055","1001055","1001","55","300000","517000104","20","501000050","4","517000204","20","501000050","4","517000304","20","501000050","4","517000404","20","501000050","4","10000","0","0","20","248","40","275","24","330","26","330","11"
"1001056","1001056","1001","56","400000","517000104","24","501000050","6","517000204","24","501000050","6","517000304","24","501000050","6","517000404","24","501000050","6","10000","0","0","20","252","40","280","24","336","26","336","12"
"1001057","1001057","1001","57","400000","517000104","24","501000050","6","517000204","24","501000050","6","517000304","24","501000050","6","517000404","24","501000050","6","10000","0","0","20","257","40","285","24","342","26","342","12"
"1001058","1001058","1001","58","400000","517000104","24","501000050","6","517000204","24","501000050","6","517000304","24","501000050","6","517000404","24","501000050","6","10000","0","0","20","261","40","290","24","348","26","348","12"
"1001059","1001059","1001","59","400000","517000104","24","501000050","6","517000204","24","501000050","6","517000304","24","501000050","6","517000404","24","501000050","6","10000","0","0","20","266","40","295","24","354","26","354","12"
"1001060","1001060","1001","60","400000","517000104","24","501000050","6","517000204","24","501000050","6","517000304","24","501000050","6","517000404","24","501000050","6","10000","0","0","20","270","40","300","24","360","26","360","12"
"1001061","1001061","1001","61","500000","517000105","3","501000050","8","517000205","3","501000050","8","517000305","3","501000050","8","517000405","3","501000050","8","10000","0","0","20","275","40","305","24","366","26","366","13"
"1001062","1001062","1001","62","500000","517000105","3","501000050","8","517000205","3","501000050","8","517000305","3","501000050","8","517000405","3","501000050","8","10000","0","0","20","279","40","310","24","372","26","372","13"
"1001063","1001063","1001","63","500000","517000105","3","501000050","8","517000205","3","501000050","8","517000305","3","501000050","8","517000405","3","501000050","8","10000","0","0","20","284","40","315","24","378","26","378","13"
"1001064","1001064","1001","64","500000","517000105","3","501000050","8","517000205","3","501000050","8","517000305","3","501000050","8","517000405","3","501000050","8","10000","0","0","20","288","40","320","24","384","26","384","13"
"1001065","1001065","1001","65","500000","517000105","3","501000050","8","517000205","3","501000050","8","517000305","3","501000050","8","517000405","3","501000050","8","10000","0","0","20","293","40","325","24","390","26","390","13"
"1001066","1001066","1001","66","600000","517000105","5","501000050","10","517000205","5","501000050","10","517000305","5","501000050","10","517000405","5","501000050","10","10000","0","0","20","297","40","330","24","396","26","396","14"
"1001067","1001067","1001","67","600000","517000105","5","501000050","10","517000205","5","501000050","10","517000305","5","501000050","10","517000405","5","501000050","10","10000","0","0","20","302","40","335","24","402","26","402","14"
"1001068","1001068","1001","68","600000","517000105","5","501000050","10","517000205","5","501000050","10","517000305","5","501000050","10","517000405","5","501000050","10","10000","0","0","20","306","40","340","24","408","26","408","14"
"1001069","1001069","1001","69","600000","517000105","5","501000050","10","517000205","5","501000050","10","517000305","5","501000050","10","517000405","5","501000050","10","10000","0","0","20","311","40","345","24","414","26","414","14"
"1001070","1001070","1001","70","600000","517000105","5","501000050","10","517000205","5","501000050","10","517000305","5","501000050","10","517000405","5","501000050","10","10000","0","0","20","315","40","350","24","420","26","420","14"
"1001071","1001071","1001","71","700000","517000105","7","501000050","12","517000205","7","501000050","12","517000305","7","501000050","12","517000405","7","501000050","12","10000","0","0","20","320","40","355","24","426","26","426","15"
"1001072","1001072","1001","72","700000","517000105","7","501000050","12","517000205","7","501000050","12","517000305","7","501000050","12","517000405","7","501000050","12","10000","0","0","20","324","40","360","24","432","26","432","15"
"1001073","1001073","1001","73","700000","517000105","7","501000050","12","517000205","7","501000050","12","517000305","7","501000050","12","517000405","7","501000050","12","10000","0","0","20","329","40","365","24","438","26","438","15"
"1001074","1001074","1001","74","700000","517000105","7","501000050","12","517000205","7","501000050","12","517000305","7","501000050","12","517000405","7","501000050","12","10000","0","0","20","333","40","370","24","444","26","444","15"
"1001075","1001075","1001","75","700000","517000105","7","501000050","12","517000205","7","501000050","12","517000305","7","501000050","12","517000405","7","501000050","12","10000","0","0","20","338","40","375","24","450","26","450","15"
"1001076","1001076","1001","76","800000","517000105","9","501000050","14","517000205","9","501000050","14","517000305","9","501000050","14","517000405","9","501000050","14","10000","0","0","20","342","40","380","24","456","26","456","16"
"1001077","1001077","1001","77","800000","517000105","9","501000050","14","517000205","9","501000050","14","517000305","9","501000050","14","517000405","9","501000050","14","10000","0","0","20","347","40","385","24","462","26","462","16"
"1001078","1001078","1001","78","800000","517000105","9","501000050","14","517000205","9","501000050","14","517000305","9","501000050","14","517000405","9","501000050","14","10000","0","0","20","351","40","390","24","468","26","468","16"
"1001079","1001079","1001","79","800000","517000105","9","501000050","14","517000205","9","501000050","14","517000305","9","501000050","14","517000405","9","501000050","14","10000","0","0","20","356","40","395","24","474","26","474","16"
"1001080","1001080","1001","80","800000","517000105","9","501000050","14","517000205","9","501000050","14","517000305","9","501000050","14","517000405","9","501000050","14","10000","0","0","20","360","40","400","24","480","26","480","16"
"1001081","1001081","1001","81","900000","517000105","12","501000050","17","517000205","12","501000050","17","517000305","12","501000050","17","517000405","12","501000050","17","10000","0","0","20","365","40","405","24","486","26","486","17"
"1001082","1001082","1001","82","900000","517000105","12","501000050","17","517000205","12","501000050","17","517000305","12","501000050","17","517000405","12","501000050","17","10000","0","0","20","369","40","410","24","492","26","492","17"
"1001083","1001083","1001","83","900000","517000105","12","501000050","17","517000205","12","501000050","17","517000305","12","501000050","17","517000405","12","501000050","17","10000","0","0","20","374","40","415","24","498","26","498","17"
"1001084","1001084","1001","84","900000","517000105","12","501000050","17","517000205","12","501000050","17","517000305","12","501000050","17","517000405","12","501000050","17","10000","0","0","20","378","40","420","24","504","26","504","17"
"1001085","1001085","1001","85","900000","517000105","12","501000050","17","517000205","12","501000050","17","517000305","12","501000050","17","517000405","12","501000050","17","10000","0","0","20","383","40","425","24","510","26","510","17"
"1001086","1001086","1001","86","1000000","517000105","15","501000050","20","517000205","15","501000050","20","517000305","15","501000050","20","517000405","15","501000050","20","10000","0","0","20","387","40","430","24","516","26","516","18"
"1001087","1001087","1001","87","1000000","517000105","15","501000050","20","517000205","15","501000050","20","517000305","15","501000050","20","517000405","15","501000050","20","10000","0","0","20","392","40","435","24","522","26","522","18"
"1001088","1001088","1001","88","1000000","517000105","15","501000050","20","517000205","15","501000050","20","517000305","15","501000050","20","517000405","15","501000050","20","10000","0","0","20","396","40","440","24","528","26","528","18"
"1001089","1001089","1001","89","1000000","517000105","15","501000050","20","517000205","15","501000050","20","517000305","15","501000050","20","517000405","15","501000050","20","10000","0","0","20","401","40","445","24","534","26","534","18"
"1001090","1001090","1001","90","1000000","517000105","15","501000050","20","517000205","15","501000050","20","517000305","15","501000050","20","517000405","15","501000050","20","10000","0","0","20","405","40","450","24","540","26","540","18"
"1001091","1001091","1001","91","1100000","517000105","18","501000050","23","517000205","18","501000050","23","517000305","18","501000050","23","517000405","18","501000050","23","10000","0","0","20","410","40","455","24","546","26","546","19"
"1001092","1001092","1001","92","1100000","517000105","18","501000050","23","517000205","18","501000050","23","517000305","18","501000050","23","517000405","18","501000050","23","10000","0","0","20","414","40","460","24","552","26","552","19"
"1001093","1001093","1001","93","1100000","517000105","18","501000050","23","517000205","18","501000050","23","517000305","18","501000050","23","517000405","18","501000050","23","10000","0","0","20","419","40","465","24","558","26","558","19"
"1001094","1001094","1001","94","1100000","517000105","18","501000050","23","517000205","18","501000050","23","517000305","18","501000050","23","517000405","18","501000050","23","10000","0","0","20","423","40","470","24","564","26","564","19"
"1001095","1001095","1001","95","1100000","517000105","18","501000050","23","517000205","18","501000050","23","517000305","18","501000050","23","517000405","18","501000050","23","10000","0","0","20","428","40","475","24","570","26","570","19"
"1001096","1001096","1001","96","1200000","517000105","21","501000050","26","517000205","21","501000050","26","517000305","21","501000050","26","517000405","21","501000050","26","10000","0","0","20","432","40","480","24","576","26","576","20"
"1001097","1001097","1001","97","1200000","517000105","21","501000050","26","517000205","21","501000050","26","517000305","21","501000050","26","517000405","21","501000050","26","10000","0","0","20","437","40","485","24","582","26","582","20"
"1001098","1001098","1001","98","1200000","517000105","21","501000050","26","517000205","21","501000050","26","517000305","21","501000050","26","517000405","21","501000050","26","10000","0","0","20","441","40","490","24","588","26","588","20"
"1001099","1001099","1001","99","1200000","517000105","21","501000050","26","517000205","21","501000050","26","517000305","21","501000050","26","517000405","21","501000050","26","10000","0","0","20","446","40","495","24","594","26","594","20"
"1001100","1001100","1001","100","1200000","517000105","21","501000050","26","517000205","21","501000050","26","517000305","21","501000050","26","517000405","21","501000050","26","10000","0","0","20","450","40","500","24","600","26","600","20"
"1002000","1002000","1002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","28","0","29","0","30","0","42","0","1"
"1002001","1002001","1002","1","100","517000101","1","0","0","517000201","1","0","0","517000301","1","0","0","517000401","1","0","0","10000","0","0","28","4","29","4","30","8","42","8","1"
"1002002","1002002","1002","2","100","517000101","1","0","0","517000201","1","0","0","517000301","1","0","0","517000401","1","0","0","10000","0","0","28","8","29","8","30","16","42","16","1"
"1002003","1002003","1002","3","100","517000101","1","0","0","517000201","1","0","0","517000301","1","0","0","517000401","1","0","0","10000","0","0","28","12","29","12","30","24","42","24","1"
"1002004","1002004","1002","4","100","517000101","1","0","0","517000201","1","0","0","517000301","1","0","0","517000401","1","0","0","10000","0","0","28","16","29","16","30","32","42","32","1"
"1002005","1002005","1002","5","100","517000101","1","0","0","517000201","1","0","0","517000301","1","0","0","517000401","1","0","0","10000","0","0","28","20","29","20","30","40","42","40","1"
"1002006","1002006","1002","6","200","517000102","1","0","0","517000202","1","0","0","517000302","1","0","0","517000402","1","0","0","10000","0","0","28","24","29","24","30","48","42","48","2"
"1002007","1002007","1002","7","200","517000102","1","0","0","517000202","1","0","0","517000302","1","0","0","517000402","1","0","0","10000","0","0","28","28","29","28","30","56","42","56","2"
"1002008","1002008","1002","8","200","517000102","1","0","0","517000202","1","0","0","517000302","1","0","0","517000402","1","0","0","10000","0","0","28","32","29","32","30","64","42","64","2"
"1002009","1002009","1002","9","200","517000102","1","0","0","517000202","1","0","0","517000302","1","0","0","517000402","1","0","0","10000","0","0","28","36","29","36","30","72","42","72","2"
"1002010","1002010","1002","10","200","517000102","1","0","0","517000202","1","0","0","517000302","1","0","0","517000402","1","0","0","10000","0","0","28","40","29","40","30","80","42","80","2"
"1002011","1002011","1002","11","500","517000102","4","0","0","517000202","4","0","0","517000302","4","0","0","517000402","4","0","0","10000","0","0","28","44","29","44","30","88","42","88","3"
"1002012","1002012","1002","12","500","517000102","4","0","0","517000202","4","0","0","517000302","4","0","0","517000402","4","0","0","10000","0","0","28","48","29","48","30","96","42","96","3"
"1002013","1002013","1002","13","500","517000102","4","0","0","517000202","4","0","0","517000302","4","0","0","517000402","4","0","0","10000","0","0","28","52","29","52","30","104","42","104","3"
"1002014","1002014","1002","14","500","517000102","4","0","0","517000202","4","0","0","517000302","4","0","0","517000402","4","0","0","10000","0","0","28","56","29","56","30","112","42","112","3"
"1002015","1002015","1002","15","500","517000102","4","0","0","517000202","4","0","0","517000302","4","0","0","517000402","4","0","0","10000","0","0","28","60","29","60","30","120","42","120","3"
"1002016","1002016","1002","16","1000","517000103","3","0","0","517000203","3","0","0","517000303","3","0","0","517000403","3","0","0","10000","0","0","28","64","29","64","30","128","42","128","4"
"1002017","1002017","1002","17","1000","517000103","3","0","0","517000203","3","0","0","517000303","3","0","0","517000403","3","0","0","10000","0","0","28","68","29","68","30","136","42","136","4"
"1002018","1002018","1002","18","1000","517000103","3","0","0","517000203","3","0","0","517000303","3","0","0","517000403","3","0","0","10000","0","0","28","72","29","72","30","144","42","144","4"
"1002019","1002019","1002","19","1000","517000103","3","0","0","517000203","3","0","0","517000303","3","0","0","517000403","3","0","0","10000","0","0","28","76","29","76","30","152","42","152","4"
"1002020","1002020","1002","20","1000","517000103","3","0","0","517000203","3","0","0","517000303","3","0","0","517000403","3","0","0","10000","0","0","28","80","29","80","30","160","42","160","4"
"1002021","1002021","1002","21","2000","517000103","6","0","0","517000203","6","0","0","517000303","6","0","0","517000403","6","0","0","10000","0","0","28","84","29","84","30","168","42","168","5"
"1002022","1002022","1002","22","2000","517000103","6","0","0","517000203","6","0","0","517000303","6","0","0","517000403","6","0","0","10000","0","0","28","88","29","88","30","176","42","176","5"
"1002023","1002023","1002","23","2000","517000103","6","0","0","517000203","6","0","0","517000303","6","0","0","517000403","6","0","0","10000","0","0","28","92","29","92","30","184","42","184","5"
"1002024","1002024","1002","24","2000","517000103","6","0","0","517000203","6","0","0","517000303","6","0","0","517000403","6","0","0","10000","0","0","28","96","29","96","30","192","42","192","5"
"1002025","1002025","1002","25","2000","517000103","6","0","0","517000203","6","0","0","517000303","6","0","0","517000403","6","0","0","10000","0","0","28","100","29","100","30","200","42","200","5"
"1002026","1002026","1002","26","2000","517000103","12","0","0","517000203","12","0","0","517000303","12","0","0","517000403","12","0","0","10000","0","0","28","104","29","104","30","208","42","208","6"
"1002027","1002027","1002","27","2000","517000103","12","0","0","517000203","12","0","0","517000303","12","0","0","517000403","12","0","0","10000","0","0","28","108","29","108","30","216","42","216","6"
"1002028","1002028","1002","28","2000","517000103","12","0","0","517000203","12","0","0","517000303","12","0","0","517000403","12","0","0","10000","0","0","28","112","29","112","30","224","42","224","6"
"1002029","1002029","1002","29","2000","517000103","12","0","0","517000203","12","0","0","517000303","12","0","0","517000403","12","0","0","10000","0","0","28","116","29","116","30","232","42","232","6"
"1002030","1002030","1002","30","2000","517000103","12","0","0","517000203","12","0","0","517000303","12","0","0","517000403","12","0","0","10000","0","0","28","120","29","120","30","240","42","240","6"
"1002031","1002031","1002","31","10000","517000104","6","0","0","517000204","6","0","0","517000304","6","0","0","517000404","6","0","0","10000","0","0","28","124","29","124","30","248","42","248","7"
"1002032","1002032","1002","32","10000","517000104","6","0","0","517000204","6","0","0","517000304","6","0","0","517000404","6","0","0","10000","0","0","28","128","29","128","30","256","42","256","7"
"1002033","1002033","1002","33","10000","517000104","6","0","0","517000204","6","0","0","517000304","6","0","0","517000404","6","0","0","10000","0","0","28","132","29","132","30","264","42","264","7"
"1002034","1002034","1002","34","10000","517000104","6","0","0","517000204","6","0","0","517000304","6","0","0","517000404","6","0","0","10000","0","0","28","136","29","136","30","272","42","272","7"
"1002035","1002035","1002","35","10000","517000104","6","0","0","517000204","6","0","0","517000304","6","0","0","517000404","6","0","0","10000","0","0","28","140","29","140","30","280","42","280","7"
"1002036","1002036","1002","36","50000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","28","144","29","144","30","288","42","288","8"
"1002037","1002037","1002","37","50000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","28","148","29","148","30","296","42","296","8"
"1002038","1002038","1002","38","50000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","28","152","29","152","30","304","42","304","8"
"1002039","1002039","1002","39","50000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","28","156","29","156","30","312","42","312","8"
"1002040","1002040","1002","40","50000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","28","160","29","160","30","320","42","320","8"
"1002041","1002041","1002","41","100000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","28","164","29","164","30","328","42","328","9"
"1002042","1002042","1002","42","100000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","28","168","29","168","30","336","42","336","9"
"1002043","1002043","1002","43","100000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","28","172","29","172","30","344","42","344","9"
"1002044","1002044","1002","44","100000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","28","176","29","176","30","352","42","352","9"
"1002045","1002045","1002","45","100000","517000104","9","0","0","517000204","9","0","0","517000304","9","0","0","517000404","9","0","0","10000","0","0","28","180","29","180","30","360","42","360","9"
"1002046","1002046","1002","46","200000","517000104","12","0","0","517000204","12","0","0","517000304","12","0","0","517000404","12","0","0","10000","0","0","28","184","29","184","30","368","42","368","10"
"1002047","1002047","1002","47","200000","517000104","12","0","0","517000204","12","0","0","517000304","12","0","0","517000404","12","0","0","10000","0","0","28","188","29","188","30","376","42","376","10"
"1002048","1002048","1002","48","200000","517000104","12","0","0","517000204","12","0","0","517000304","12","0","0","517000404","12","0","0","10000","0","0","28","192","29","192","30","384","42","384","10"
"1002049","1002049","1002","49","200000","517000104","12","0","0","517000204","12","0","0","517000304","12","0","0","517000404","12","0","0","10000","0","0","28","196","29","196","30","392","42","392","10"
"1002050","1002050","1002","50","200000","517000104","12","0","0","517000204","12","0","0","517000304","12","0","0","517000404","12","0","0","10000","0","0","28","200","29","200","30","400","42","400","10"
"1002051","1002051","1002","51","300000","517000104","20","501000050","4","517000204","20","501000050","4","517000304","20","501000050","4","517000404","20","501000050","4","10000","0","0","28","204","29","204","30","408","42","408","11"
