"Name","GiftId","GiftTabNo","GiftName","GiftIcon","IconGrade","GiftExp","GiftGoldenKey","GiftSelectCnt","GiftType1","GiftTypeSub1","GiftValue1","GiftRatio1","GiftType2","GiftTypeSub2","GiftValue2","GiftRatio2","GiftType3","GiftTypeSub3","GiftValue3","GiftRatio3","GiftType4","GiftTypeSub4","GiftValue4","GiftRatio4","GiftType5","GiftTypeSub5","GiftValue5","GiftRatio5","GiftType6","GiftTypeSub6","GiftValue6","GiftRatio6","GiftType7","GiftTypeSub7","GiftValue7","GiftRatio7","GiftType8","GiftTypeSub8","GiftValue8","GiftRatio8","GiftType9","GiftTypeSub9","GiftValue9","GiftRatio9","GiftType10","GiftTypeSub10","GiftValue10","GiftRatio10","GiftType11","GiftTypeSub11","GiftValue11","GiftRatio11","GiftType12","GiftTypeSub12","GiftValue12","GiftRatio12","GiftType13","GiftTypeSub13","GiftValue13","GiftRatio13","GiftType14","GiftTypeSub14","GiftValue14","GiftRatio14","GiftType15","GiftTypeSub15","GiftValue15","GiftRatio15","GiftType16","GiftTypeSub16","GiftValue16","GiftRatio16","GiftType17","GiftTypeSub17","GiftValue17","GiftRatio17","GiftType18","GiftTypeSub18","GiftValue18","GiftRatio18","GiftType19","GiftTypeSub19","GiftValue19","GiftRatio19","GiftType20","GiftTypeSub20","GiftValue20","GiftRatio20"
"700","700","1","4747011","230601081","1","50","120","1","1","2","30000","10001","1","11","10000","10000","1","12","20000","10000","4","601200506","2","7500","4","902200102","50","7500","4","901200402","25","7500","4","521200001","25","7500","4","604200103","50","10909","4","605200103","50","10909","4","606201303","1","2727","4","606201304","1","2727","4","606201305","1","2727","4","508200001","2","5000","4","508200002","1","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"701","701","1","4747011","230601081","1","50","120","1","1","2","30000","10001","1","11","10000","10000","1","12","20000","10000","4","601200506","2","7500","4","902200102","50","7500","4","901200402","25","7500","4","521200001","25","7500","4","604200103","50","10909","4","605200103","50","10909","4","606201303","1","2727","4","606201304","1","2727","4","606201305","1","2727","4","508200001","2","5000","4","508200002","1","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"702","702","1","4747012","230601082","2","50","120","1","1","2","50000","9999","1","11","15000","10000","1","12","30000","10000","4","601200506","3","7500","4","902200102","75","7500","4","901200402","36","7500","4","521200001","36","7500","4","604200103","100","6667","4","605200103","100","6667","4","606201303","1","3333","4","606201304","1","3333","4","606201305","1","3333","4","606201301","1","1667","4","606201302","1","1667","4","606201204","1","1667","4","606201214","1","1667","4","508200001","3","5000","4","508200002","1","5000","0","0","0","0","0","0","0","0"
"703","703","1","4747012","230601082","2","50","120","1","1","2","50000","9999","1","11","15000","10000","1","12","30000","10000","4","601200506","3","7500","4","902200102","75","7500","4","901200402","36","7500","4","521200001","36","7500","4","604200103","100","6667","4","605200103","100","6667","4","606201303","1","3333","4","606201304","1","3333","4","606201305","1","3333","4","606201301","1","1667","4","606201302","1","1667","4","606201204","1","1667","4","606201214","1","1667","4","508200001","3","5000","4","508200002","1","5000","0","0","0","0","0","0","0","0"
"704","704","1","4747013","230601083","3","50","120","1","1","2","70000","10000","1","11","25000","10000","1","12","35000","10000","4","601200506","4","7500","4","902200102","100","7500","4","901200402","50","7500","4","521200001","50","7500","4","604200103","200","6000","4","605200103","200","6000","4","606201303","1","3000","4","606201304","1","3000","4","606201305","1","3000","4","606201301","1","1500","4","606201302","1","1500","4","606201204","1","1500","4","606201214","1","1500","4","606201306","1","1500","4","604200305","5","1500","4","508200001","5","5000","4","508200002","1","5000"
"705","705","1","4747013","230601083","3","50","120","1","1","2","70000","10000","1","11","25000","10000","1","12","35000","10000","4","601200506","4","7500","4","902200102","100","7500","4","901200402","50","7500","4","521200001","50","7500","4","604200103","200","6000","4","605200103","200","6000","4","606201303","1","3000","4","606201304","1","3000","4","606201305","1","3000","4","606201301","1","1500","4","606201302","1","1500","4","606201204","1","1500","4","606201214","1","1500","4","606201306","1","1500","4","604200305","5","1500","4","508200001","5","5000","4","508200002","1","5000"
"706","706","1","4747013","230601083","3","50","120","1","1","2","70000","10000","1","11","25000","10000","1","12","35000","10000","4","601200506","4","7500","4","902200102","100","7500","4","901200402","50","7500","4","521200001","50","7500","4","604200103","200","6000","4","605200103","200","6000","4","606201303","1","3000","4","606201304","1","3000","4","606201305","1","3000","4","606201301","1","1500","4","606201302","1","1500","4","606201204","1","1500","4","606201214","1","1500","4","606201306","1","1500","4","604200305","5","1500","4","508200001","5","5000","4","508200002","1","5000"
"707","707","1","4747013","230601083","3","50","120","1","1","2","70000","10000","1","11","25000","10000","1","12","35000","10000","4","601200506","4","7500","4","902200102","100","7500","4","901200402","50","7500","4","521200001","50","7500","4","604200103","200","6000","4","605200103","200","6000","4","606201303","1","3000","4","606201304","1","3000","4","606201305","1","3000","4","606201301","1","1500","4","606201302","1","1500","4","606201204","1","1500","4","606201214","1","1500","4","606201306","1","1500","4","604200305","5","1500","4","508200001","5","5000","4","508200002","1","5000"
"751","751","1","4747025","230601081","1","50","120","1","1","2","30000","10001","1","11","10000","10000","1","12","20000","10000","4","601200506","2","7500","4","902200102","50","7500","4","901200402","25","7500","4","521200001","25","7500","4","604200103","50","10909","4","605200103","50","10909","4","606201303","1","2727","4","606201304","1","2727","4","606201305","1","2727","4","508200001","2","5000","4","508200002","1","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"752","752","1","4747026","230601082","2","50","120","1","1","2","50000","9999","1","11","15000","10000","1","12","30000","10000","4","601200506","3","7500","4","902200102","75","7500","4","901200402","36","7500","4","521200001","36","7500","4","604200103","100","6667","4","605200103","100","6667","4","606201303","1","3333","4","606201304","1","3333","4","606201305","1","3333","4","606201301","1","1667","4","606201302","1","1667","4","606201204","1","1667","4","606201214","1","1667","4","508200001","3","5000","4","508200002","1","5000","0","0","0","0","0","0","0","0"
"753","753","1","4747026","230601082","2","50","120","1","1","2","50000","9999","1","11","15000","10000","1","12","30000","10000","4","601200506","3","7500","4","902200102","75","7500","4","901200402","36","7500","4","521200001","36","7500","4","604200103","100","6667","4","605200103","100","6667","4","606201303","1","3333","4","606201304","1","3333","4","606201305","1","3333","4","606201301","1","1667","4","606201302","1","1667","4","606201204","1","1667","4","606201214","1","1667","4","508200001","3","5000","4","508200002","1","5000","0","0","0","0","0","0","0","0"
"754","754","1","4747027","230601083","3","50","120","1","1","2","70000","10000","1","11","25000","10000","1","12","35000","10000","4","601200506","4","7500","4","902200102","100","7500","4","901200402","50","7500","4","521200001","50","7500","4","604200103","200","6000","4","605200103","200","6000","4","606201303","1","3000","4","606201304","1","3000","4","606201305","1","3000","4","606201301","1","1500","4","606201302","1","1500","4","606201204","1","1500","4","606201214","1","1500","4","606201306","1","1500","4","604200305","5","1500","4","508200001","5","5000","4","508200002","1","5000"
"755","755","1","4747027","230601083","3","50","120","1","1","2","70000","10000","1","11","25000","10000","1","12","35000","10000","4","601200506","4","7500","4","902200102","100","7500","4","901200402","50","7500","4","521200001","50","7500","4","604200103","200","6000","4","605200103","200","6000","4","606201303","1","3000","4","606201304","1","3000","4","606201305","1","3000","4","606201301","1","1500","4","606201302","1","1500","4","606201204","1","1500","4","606201214","1","1500","4","606201306","1","1500","4","604200305","5","1500","4","508200001","5","5000","4","508200002","1","5000"
"5001","5001","2","4747017","230601081","1","50","75","1","4","601200502","3","5222","4","601200504","1","522","1","17","150","10448","1","17","300","1045","4","1301201408","1","5224","4","1301201408","5","522","1","2","2000","15672","1","11","200","15672","1","12","200","15672","4","902200102","8","6667","4","901200402","4","6667","4","521200001","2","6667","4","508200001","1","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5002","5002","2","4747018","230601082","2","100","150","1","4","601200503","3","5222","4","601200505","1","522","1","17","300","10448","1","17","600","1045","4","1301201408","2","5224","4","1301201408","10","522","1","2","4000","15672","1","11","400","15672","1","12","400","15672","4","902200102","15","6667","4","901200402","8","6667","4","521200001","4","6667","4","508200001","3","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5003","5003","2","4747019","230601083","3","300","450","1","4","601200504","6","5224","4","601200506","2","522","1","17","600","10448","1","17","1200","1045","4","1301201408","6","5224","4","1301201408","30","522","1","2","12000","15672","1","11","1200","15672","1","12","1200","15672","4","902200102","30","6154","4","901200402","15","6154","4","521200001","8","6154","4","625200602","1","1538","4","508200001","6","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5004","5004","2","4747020","230601084","4","500","750","1","4","601200505","3","5224","4","601200507","1","522","1","17","1000","10448","1","17","2000","1045","4","1301201408","10","5224","4","1301201408","50","522","1","2","25000","15672","1","11","2500","15672","1","12","2500","15672","4","902200102","50","6154","4","901200402","25","6154","4","521200001","12","6154","4","625200602","1","1538","4","508200001","10","7500","4","508200002","1","2500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
